cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0,0.0,0.0,0.0,0.001392757660167131,0.0,0.0,0.0,0.008064516129032258,0.0,0.0015503875968992248,0.0,0.001669449081803005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0,0.0,0.0,0.0,0.0008084074373484236,0.0011086474501108647,0.0,0.0,
-18,0.0008598452278589854,0.0005668934240362812,0.0,0.0,0.004815409309791332,0.0007173601147776184,0.0010934937124111536,0.0,0.009009009009009009,0.0,0.0017421602787456446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005449591280653951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013679890560875513,0.0016012810248198558,0.001567398119122257,0.0,0.0,
-17,0.0008818342151675485,0.0,0.0,0.0,0.0017035775127768314,0.0,0.0005482456140350877,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.0,0.0,0.0,0.002145922746781116,0.0010638297872340426,0.0,0.0,0.0,0.0,0.0008650519031141869,0.0,0.0,0.0,
-16,0.0,0.0,0.0,0.0,0.0,0.0006997900629811056,0.0005339028296849973,0.006896551724137931,0.0,0.0,0.0017452006980802793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000531632110579479,0.0,0.0,0.0,0.0,0.0,0.0035087719298245615,0.0,0.0,0.0,0.002544529262086514,0.005494505494505495,0.001388888888888889,0.000846740050804403,0.0,0.0,0.0,
-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0,0.000856898029134533,0.0,0.0,0.0,
-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016313213703099511,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,
-13,0.0,0.0,0.0,0.0017513134851138354,0.0016,0.0005602240896358543,0.0003727171077152441,0.0,0.0,0.0,0.0029806259314456036,0.00026253609871357313,0.0,0.0,0.0,0.0,0.0,0.0,0.0005165289256198347,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006548788474132286
-12,0.0,0.0005194805194805195,0.0,0.0,0.0016051364365971107,0.0,0.0010842067220816769,0.0,0.0,0.0006648936170212766,0.002336448598130841,0.0007953340402969247,0.0,0.0,0.0,0.002197802197802198,0.0,0.0,0.0005299417064122947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008368200836820083,0.0,0.0,0.0
-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028653295128939827,0.0002735229759299781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002742230347349177,0.0,0.0,0.0,0.001176470588235294,0.0017825311942959,0.0,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544217,0.0,0.01056338028169014,0.0,0.0,0.0005773672055427252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001095290251916758,0.0,0.0009216589861751152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.00040933278755628325,0.0,0.0031446540880503146,0.0,0.0032733224222585926,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0011587485515643105,0.0,0.002277904328018223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009107468123861566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016181229773462784
-8,0.0,0.0013227513227513227,0.0,0.0,0.0,0.0,0.0,0.0,0.0032679738562091504,0.0,0.001669449081803005,0.0006583278472679394,0.0,0.0,0.0,0.0,0.0,0.0,0.0009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0012239902080783353,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.0018248175182481751,0.000687757909215956,0.0,0.0,0.0,0.0,0.0,0.00032562683165092806,0.0,0.0,0.0,0.0,0.0,0.0,0.0009276437847866419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0009165902841429881,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0016366612111292963,0.0,0.0,0.0,0.0,0.0,0.0014326647564469914,0.0008870490833826139,0.0014064697609001407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007930214115781126,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0,0.0005773672055427252,0.0,0.0,0.002717391304347826,0.0,0.0027624309392265192,0.0008564087924636027,0.0,0.0,0.0,0.0,0.0,0.0,0.0006591957811470006,0.0,0.0,0.0022935779816513763,0.0,0.0,0.0012254901960784314,0.0044943820224719105,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0008291873963515755,0.0,0.0,0.0
-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0008019246190858059,0.0,0.0,0.0007905138339920949,0.0,0.000281610813855252,0.0,0.0,0.0,0.004597701149425287,0.0,0.045454545454545456,0.0005924170616113745,0.0,0.0,0.0017331022530329288,0.0,0.006060606060606061,0.0,0.00228310502283105,0.0,0.0,0.0,0.006756756756756757,0.0011086474501108647,0.0008904719501335708,0.0,0.0,0.0,0.0
-3,0.0,0.0006199628022318661,0.0,0.0,0.0,0.0005787037037037037,0.0,0.005319148936170213,0.0024813895781637717,0.0,0.003110419906687403,0.0002827254735651682,0.0013280212483399733,0.0,0.0,0.0,0.0,0.0,0.0005141388174807198,0.0,0.005494505494505495,0.0,0.0,0.0,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0003957261574990107,0.0,0.0,0.0015151515151515152,0.0015600624024961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005310674455655868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
