cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.019123505976095617,0.013415315818893237,0.01818181818181818,0.01160541586073501,0.01532033426183844,0.018259281801582473,0.008344923504867872,0.031088082901554404,0.016129032258064516,0.017118402282453638,0.021705426356589147,0.017278617710583154,0.01335559265442404,0.0,0.0,0.0,0.028011204481792718,0.0,0.016609672691744015,0.0,0.009433962264150943,0.0,0.015810276679841896,0.006578947368421052,0.009868421052631578,0.004032258064516129,0.007373271889400922,0.012345679012345678,0.016317016317016316,0.07647058823529412,0.004555808656036446,0.018593371059013743,0.017738359201773836,0.0,0.02040816326530612,
-18,0.019776440240756664,0.016439909297052153,0.03488372093023256,0.020089285714285716,0.016051364365971106,0.009325681492109038,0.01202843083652269,0.005235602094240838,0.009009009009009009,0.002628120893561104,0.012195121951219513,0.019002375296912115,0.013071895424836602,0.0,0.0,0.02097902097902098,0.022408963585434174,0.0,0.015258855585831062,0.0,0.0,0.0163265306122449,0.018018018018018018,0.006993006993006993,0.01893939393939394,0.017857142857142856,0.003257328990228013,0.010638297872340425,0.012594458438287154,0.020134228187919462,0.008207934336525308,0.017614091273018415,0.018808777429467086,0.0,0.026615969581749048,
-17,0.014991181657848324,0.012605042016806723,0.019417475728155338,0.018072289156626505,0.01192504258943782,0.017857142857142856,0.008223684210526315,0.0,0.011764705882352941,0.01607142857142857,0.012006861063464836,0.0160857908847185,0.01727447216890595,0.02631578947368421,0.0,0.020689655172413793,0.02512562814070352,0.0,0.013683634373289545,0.0,0.0,0.013333333333333334,0.015659955257270694,0.023622047244094488,0.01195219123505976,0.01072961373390558,0.00425531914893617,0.015,0.01818181818181818,0.01935483870967742,0.011128775834658187,0.01730103806228374,0.01762114537444934,0.0,0.03215434083601286,
-16,0.020308692120227456,0.012756516916250694,0.05504587155963303,0.022556390977443608,0.006779661016949152,0.011896431070678797,0.0069407367859049655,0.041379310344827586,0.014492753623188406,0.012519561815336464,0.019197207678883072,0.0213903743315508,0.011029411764705883,0.0,0.030303030303030304,0.0058823529411764705,0.013392857142857142,0.0,0.013290802764486975,0.0,0.011111111111111112,0.014492753623188406,0.012471655328798186,0.0273972602739726,0.028070175438596492,0.012072434607645875,0.0054288816503800215,0.0,0.02544529262086514,0.06043956043956044,0.006944444444444444,0.018628281117696866,0.02157164869029276,0.0,0.012779552715654952,
-15,0.022481265611990008,0.016724336793540944,0.045871559633027525,0.020872865275142316,0.008912655971479501,0.011904761904761904,0.007407407407407408,0.012738853503184714,0.03125,0.0141287284144427,0.014975041597337771,0.01440922190201729,0.007029876977152899,0.0,0.029411764705882353,0.01282051282051282,0.023809523809523808,0.0,0.013609145345672292,0.0,0.02247191011235955,0.004694835680751174,0.014722536806342015,0.01875,0.013333333333333334,0.0038535645472061657,0.002506265664160401,0.005208333333333333,0.028011204481792718,0.017142857142857144,0.008771929824561403,0.018851756640959727,0.023157894736842106,0.0,0.025179856115107913,
-14,0.015113350125944584,0.0109151973131822,0.03225806451612903,0.023809523809523808,0.012195121951219513,0.009861932938856016,0.009683666881859263,0.019801980198019802,0.008771929824561403,0.014339622641509434,0.006607929515418502,0.012496367335077013,0.010810810810810811,0.0,0.0,0.007462686567164179,0.007246376811594203,0.0,0.016695957820738138,0.0,0.014285714285714285,0.014778325123152709,0.011419249592169658,0.0,0.008771929824561403,0.011494252873563218,0.0035398230088495575,0.005376344086021506,0.017361111111111112,0.06862745098039216,0.009036144578313253,0.012181616832779624,0.011162790697674419,0.0072992700729927005,0.005,
-13,0.0253592561284869,0.009761388286334056,0.02,0.028021015761821366,0.0176,0.015126050420168067,0.007827059262020127,0.005681818181818182,0.01680672268907563,0.017484868863483525,0.019374068554396422,0.01785245471252297,0.005595523581135092,0.0,0.024096385542168676,0.012552301255230125,0.017857142857142856,0.0,0.009297520661157025,0.0,0.0,0.0034482758620689655,0.01756311745334797,0.005847953216374269,0.016201620162016202,0.014625228519195612,0.004479283314669653,0.02185792349726776,0.013215859030837005,0.03825136612021858,0.015873015873015872,0.02901178603807797,0.024935511607910577,0.0,0.007067137809187279,0.0026195153896529143
-12,0.021669341894060994,0.014545454545454545,0.034482758620689655,0.03008849557522124,0.009630818619582664,0.013302486986697512,0.008312251535959523,0.02531645569620253,0.005479452054794521,0.011303191489361703,0.01985981308411215,0.0204135737009544,0.01335113484646195,0.029411764705882353,0.013157894736842105,0.02197802197802198,0.02224694104560623,0.0,0.009009009009009009,0.0,0.009259259259259259,0.007936507936507936,0.014300306435137897,0.017857142857142856,0.020607375271149676,0.016042780748663103,0.0034423407917383822,0.007751937984496124,0.017316017316017316,0.03048780487804878,0.016163793103448277,0.026200873362445413,0.0100418410041841,0.014925373134328358,0.037800687285223365,0.0072254335260115606
-11,0.017094017094017096,0.013677012098895318,0.0,0.035443037974683546,0.008680555555555556,0.01159047005795235,0.0054858934169279,0.015706806282722512,0.007936507936507936,0.0191625266146203,0.011461318051575931,0.020787746170678335,0.011523687580025609,0.0,0.012345679012345678,0.00904977375565611,0.011695906432748537,0.0,0.01453287197231834,0.0,0.010638297872340425,0.014652014652014652,0.010362694300518135,0.02702702702702703,0.019036954087346025,0.006734006734006734,0.006398537477148081,0.0045662100456621,0.019271948608137045,0.03821656050955414,0.009411764705882352,0.020499108734402853,0.015070921985815602,0.011363636363636364,0.022727272727272728,0.009216589861751152
-10,0.016012810248198558,0.007058823529411765,0.0641025641025641,0.0234375,0.01838235294117647,0.00892458723784025,0.010629251700680272,0.0048543689320388345,0.014084507042253521,0.017241379310344827,0.00764525993883792,0.016454965357967668,0.010596026490066225,0.0,0.0,0.017582417582417582,0.010514018691588784,0.0,0.012205754141238012,0.16666666666666666,0.0,0.012,0.02132435465768799,0.0,0.01533406352683461,0.00796812749003984,0.004608294930875576,0.004784688995215311,0.012195121951219513,0.021739130434782608,0.004962779156327543,0.023809523809523808,0.02134756504336224,0.012307692307692308,0.02280130293159609,0.007194244604316547
-9,0.012688342585249802,0.012559808612440191,0.037037037037037035,0.02849002849002849,0.022964509394572025,0.00959079283887468,0.005321326238231682,0.02127659574468085,0.006289308176100629,0.02384500745156483,0.019639934533551555,0.016671541386370285,0.007776049766718507,0.0,0.0,0.006263048016701462,0.016222479721900347,0.0,0.016704631738800303,0.0,0.0,0.004273504273504274,0.009750812567713976,0.0125,0.023485784919653894,0.0196078431372549,0.0018214936247723133,0.010101010101010102,0.01141552511415525,0.03614457831325301,0.007334963325183374,0.0136986301369863,0.022376543209876542,0.006622516556291391,0.032640949554896145,0.006472491909385114
-8,0.009066183136899365,0.018518518518518517,0.01834862385321101,0.036036036036036036,0.011583011583011582,0.012684989429175475,0.010994263862332695,0.011494252873563218,0.00980392156862745,0.00831255195344971,0.015025041736227046,0.018104015799868336,0.007836990595611285,0.02857142857142857,0.0425531914893617,0.013262599469496022,0.011029411764705883,0.0,0.01953488372093023,0.0,0.006756756756756757,0.01951219512195122,0.016560509554140127,0.0,0.01835985312117503,0.008797653958944282,0.0020470829068577278,0.005,0.0045871559633027525,0.0736196319018405,0.016973125884016973,0.023835319609967497,0.02422723475355054,0.0,0.024305555555555556,0.00597609561752988
-7,0.010787486515641856,0.010822510822510822,0.023529411764705882,0.032407407407407406,0.010948905109489052,0.0068775790921595595,0.009666505558240696,0.02097902097902098,0.006289308176100629,0.014349775784753363,0.009746588693957114,0.01823510257245197,0.0078003120124804995,0.0,0.0,0.02763819095477387,0.008827238335435058,0.0,0.014842300556586271,0.14285714285714285,0.006289308176100629,0.010638297872340425,0.013953488372093023,0.007462686567164179,0.01968503937007874,0.010101010101010102,0.007774538386783284,0.0,0.017766497461928935,0.03896103896103896,0.013157894736842105,0.017897091722595078,0.021081576535288724,0.012145748987854251,0.03225806451612903,0.006085192697768763
-6,0.016853932584269662,0.010321797207043109,0.009615384615384616,0.028446389496717725,0.01309328968903437,0.009340338587273789,0.011553273427471117,0.028409090909090908,0.01881720430107527,0.01596958174904943,0.014326647564469915,0.01744529863985807,0.009845288326300985,0.0,0.0,0.0069767441860465115,0.017173051519154558,0.0,0.019760056457304165,0.0,0.005649717514124294,0.01838235294117647,0.02079002079002079,0.0,0.020858895705521473,0.013015184381778741,0.004761904761904762,0.021505376344086023,0.01650943396226415,0.05649717514124294,0.012658227848101266,0.016319129646418858,0.02775574940523394,0.00911854103343465,0.03557312252964427,0.0022471910112359553
-5,0.010362694300518135,0.007936507936507936,0.05673758865248227,0.025210084033613446,0.009917355371900827,0.013279445727482679,0.009823986901350798,0.015,0.01358695652173913,0.015897047691143074,0.008287292817679558,0.01712817584927205,0.009523809523809525,0.0,0.009900990099009901,0.017587939698492462,0.014840182648401826,0.0,0.015820698747528016,0.06666666666666667,0.01282051282051282,0.006880733944954129,0.011641443538998836,0.024691358024691357,0.01838235294117647,0.01348314606741573,0.006782945736434108,0.014925373134328358,0.018957345971563982,0.0425531914893617,0.006734006734006734,0.021505376344086023,0.02902155887230514,0.022082018927444796,0.03858520900321544,0.006745362563237774
-4,0.01915991156963891,0.006711409395973154,0.030303030303030304,0.02826086956521739,0.016363636363636365,0.011845386533665835,0.009623095429029671,0.005076142131979695,0.0158311345646438,0.015810276679841896,0.011627906976744186,0.01943114615601239,0.009859154929577466,0.0,0.0,0.006896551724137931,0.01951219512195122,0.0,0.015995260663507108,0.0,0.011494252873563218,0.006932409012131715,0.01331967213114754,0.006060606060606061,0.013221153846153846,0.0091324200913242,0.006016847172081829,0.0,0.008547008547008548,0.060810810810810814,0.004434589800443459,0.013357079252003561,0.0177717019822283,0.013029315960912053,0.02181818181818182,0.016339869281045753
