cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0015936254980079682,0.0,0.0,0.0019342359767891683,0.004178272980501393,0.0018259281801582471,0.0027816411682892906,0.0,0.016129032258064516,0.0014265335235378032,0.0,0.0021598272138228943,0.0,0.02857142857142857,0.0,0.0,0.0056022408963585435,0.0,0.0039081582804103565,0.0,0.0,0.017937219730941704,0.0047430830039525695,0.006578947368421052,0.003289473684210526,0.012096774193548387,0.0027649769585253456,0.00411522633744856,0.002331002331002331,0.0058823529411764705,0.0011389521640091116,0.007275666936135812,0.0033259423503325942,0.0,0.017006802721088437,
-18,0.0017196904557179708,0.0017006802721088435,0.0,0.008928571428571428,0.012841091492776886,0.003586800573888092,0.004373974849644614,0.005235602094240838,0.018018018018018018,0.002628120893561104,0.0017421602787456446,0.0,0.0016339869281045752,0.0,0.0,0.006993006993006993,0.008403361344537815,0.0,0.0016348773841961854,0.0,0.0,0.0326530612244898,0.005148005148005148,0.0,0.003787878787878788,0.013888888888888888,0.002171552660152009,0.02127659574468085,0.007556675062972292,0.03355704697986577,0.004103967168262654,0.010408326661329063,0.003134796238244514,0.004273504273504274,0.0076045627376425855,
-17,0.001763668430335097,0.0006002400960384153,0.019417475728155338,0.008032128514056224,0.010221465076660987,0.001488095238095238,0.003289473684210526,0.007633587786259542,0.0,0.007142857142857143,0.0017152658662092624,0.0,0.005758157389635317,0.0,0.0,0.006896551724137931,0.005025125628140704,0.0,0.006568144499178982,0.0,0.0,0.022222222222222223,0.0044742729306487695,0.0,0.0,0.004291845493562232,0.0010638297872340426,0.01,0.0025974025974025974,0.012903225806451613,0.006359300476947536,0.00865051903114187,0.011747430249632892,0.005747126436781609,0.006430868167202572,
-16,0.0008123476848090983,0.0005546311702717693,0.01834862385321101,0.007518796992481203,0.010169491525423728,0.0013995801259622112,0.0037373198077949813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.028985507246376812,0.0045351473922902496,0.0,0.0035087719298245615,0.01006036217303823,0.006514657980456026,0.004830917874396135,0.002544529262086514,0.02197802197802198,0.002777777777777778,0.005080440304826418,0.009244992295839754,0.0,0.006389776357827476,
-15,0.0033305578684429643,0.0017301038062283738,0.009174311926605505,0.0056925996204933585,0.0035650623885918,0.0014005602240896359,0.0015873015873015873,0.012738853503184714,0.0,0.004709576138147566,0.0,0.002881844380403458,0.0,0.0,0.0,0.01282051282051282,0.009523809523809525,0.0,0.004899292324442025,0.1,0.0,0.009389671361502348,0.010192525481313703,0.0,0.0,0.007707129094412331,0.006265664160401002,0.010416666666666666,0.0028011204481792717,0.02857142857142857,0.01023391812865497,0.009425878320479864,0.002105263157894737,0.0,0.01079136690647482,
-14,0.0012594458438287153,0.0,0.010752688172043012,0.0026455026455026454,0.0,0.0009861932938856016,0.001936733376371853,0.0,0.008771929824561403,0.0007547169811320754,0.0,0.0014530659691950015,0.0,0.0,0.0,0.0037313432835820895,0.0018115942028985507,0.0,0.0017574692442882249,0.0,0.0,0.009852216748768473,0.004893964110929853,0.0,0.0043859649122807015,0.0,0.005309734513274336,0.0,0.006944444444444444,0.0,0.004518072289156626,0.009966777408637873,0.0018604651162790699,0.0072992700729927005,0.0,
-13,0.0,0.0021691973969631237,0.01,0.0,0.0032,0.0016806722689075631,0.003354453969437197,0.005681818181818182,0.008403361344537815,0.0033624747814391394,0.0014903129657228018,0.0023628248884221582,0.0015987210231814548,0.0,0.0,0.0020920502092050207,0.0033482142857142855,0.0,0.0010330578512396695,0.09090909090909091,0.0,0.020689655172413793,0.007683863885839737,0.005847953216374269,0.004500450045004501,0.005484460694698354,0.0033594624860022394,0.0,0.004405286343612335,0.0273224043715847,0.006349206349206349,0.005439709882139619,0.009458297506448839,0.0,0.014134275618374558,0.0019646365422396855
-12,0.0032102728731942215,0.0,0.0,0.005309734513274336,0.009630818619582664,0.001735106998264893,0.0010842067220816769,0.02531645569620253,0.010958904109589041,0.003989361702127659,0.0011682242990654205,0.002651113467656416,0.0,0.0,0.013157894736842105,0.004395604395604396,0.012235817575083427,0.058823529411764705,0.0010598834128245894,0.0,0.0,0.023809523809523808,0.005107252298263534,0.005952380952380952,0.0010845986984815619,0.0071301247771836,0.0034423407917383822,0.011627906976744186,0.0,0.024390243902439025,0.0010775862068965517,0.00611353711790393,0.002510460251046025,0.004975124378109453,0.006872852233676976,0.010115606936416185
-11,0.000777000777000777,0.0021041557075223566,0.0,0.005063291139240506,0.006944444444444444,0.0025756600128783,0.004310344827586207,0.005235602094240838,0.007936507936507936,0.0035486160397444995,0.0014326647564469914,0.0013676148796498905,0.002560819462227913,0.0,0.0,0.00904977375565611,0.004678362573099415,0.0,0.004844290657439446,0.11764705882352941,0.0,0.014652014652014652,0.0031088082901554403,0.02027027027027027,0.008958566629339306,0.008417508417508417,0.004570383912248629,0.0,0.0,0.03184713375796178,0.0058823529411764705,0.008021390374331552,0.0035460992907801418,0.0,0.007575757575757576,0.009216589861751152
-10,0.0032025620496397116,0.0,0.0,0.0026041666666666665,0.0055147058823529415,0.0022311468094600626,0.002551020408163265,0.009708737864077669,0.01056338028169014,0.002758620689655172,0.0015290519877675841,0.0043302540415704385,0.0013245033112582781,0.0,0.017857142857142856,0.004395604395604396,0.011682242990654205,0.0,0.0,0.0,0.0,0.008,0.005611672278338945,0.0,0.004381161007667032,0.00796812749003984,0.004608294930875576,0.0,0.004878048780487805,0.005434782608695652,0.008684863523573201,0.007326007326007326,0.00266844563042028,0.003076923076923077,0.009771986970684038,0.007194244604316547
-9,0.0031720856463124504,0.0005980861244019139,0.024691358024691357,0.002849002849002849,0.006263048016701462,0.0025575447570332483,0.0024559967253376994,0.0,0.009433962264150943,0.004470938897168405,0.004909983633387889,0.0026323486399532025,0.0,0.0,0.0,0.0041753653444676405,0.005793742757821553,0.0,0.004555808656036446,0.0,0.0,0.01282051282051282,0.007583965330444204,0.00625,0.003708281829419036,0.007352941176470588,0.007285974499089253,0.010101010101010102,0.00228310502283105,0.024096385542168676,0.007334963325183374,0.008806262230919765,0.0030864197530864196,0.006622516556291391,0.011869436201780416,0.0048543689320388345
