cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.14820717131474104,0.09837898267188373,0.2636363636363636,0.16054158607350097,0.23676880222841226,0.11016433353621424,0.12795549374130738,0.12953367875647667,0.0967741935483871,0.11412268188302425,0.2,0.11231101511879049,0.08013355592654424,0.08571428571428572,0.15384615384615385,0.1393939393939394,0.10084033613445378,0.034482758620689655,0.17782120175867122,0.0,0.16981132075471697,0.18385650224215247,0.14940711462450593,0.09868421052631579,0.13815789473684212,0.07661290322580645,0.22672811059907835,0.07818930041152264,0.1585081585081585,0.21764705882352942,0.12414578587699317,0.0856911883589329,0.10532150776053215,0.17049180327868851,0.17687074829931973,
-18,0.15563198624247634,0.10770975056689343,0.12790697674418605,0.15178571428571427,0.1942215088282504,0.0781922525107604,0.1060688901038819,0.09947643979057591,0.10810810810810811,0.11826544021024968,0.20209059233449478,0.14014251781472684,0.06699346405228758,0.06060606060606061,0.05263157894736842,0.18181818181818182,0.08683473389355742,0.14285714285714285,0.17111716621253406,0.25,0.08695652173913043,0.20408163265306123,0.1866151866151866,0.1048951048951049,0.1590909090909091,0.07341269841269842,0.23995656894679696,0.0851063829787234,0.1385390428211587,0.3422818791946309,0.12995896032831739,0.08086469175340272,0.08150470219435736,0.19658119658119658,0.17110266159695817,
-17,0.14814814814814814,0.09123649459783914,0.1262135922330097,0.17269076305220885,0.17717206132879046,0.09375,0.1118421052631579,0.12213740458015267,0.09411764705882353,0.14642857142857144,0.19725557461406518,0.13404825737265416,0.08829174664107485,0.18421052631578946,0.03571428571428571,0.18620689655172415,0.10050251256281408,0.045454545454545456,0.18281335522714834,0.14285714285714285,0.061855670103092786,0.19555555555555557,0.1789709172259508,0.09448818897637795,0.1553784860557769,0.10300429184549356,0.22340425531914893,0.075,0.08831168831168831,0.3032258064516129,0.10651828298887123,0.07006920415224914,0.11013215859030837,0.3218390804597701,0.18971061093247588,
-16,0.15272136474411047,0.1136993899057127,0.11009174311926606,0.13721804511278196,0.2271186440677966,0.10216934919524143,0.1222637479978644,0.14482758620689656,0.07246376811594203,0.1596244131455399,0.19022687609075042,0.11497326203208556,0.0900735294117647,0.0967741935483871,0.12121212121212122,0.16470588235294117,0.08035714285714286,0.0,0.15151515151515152,0.07142857142857142,0.03333333333333333,0.22705314009661837,0.1417233560090703,0.1095890410958904,0.14385964912280702,0.05432595573440644,0.250814332247557,0.1111111111111111,0.13231552162849872,0.24175824175824176,0.14305555555555555,0.07027942421676546,0.09861325115562404,0.2648648648648649,0.2108626198083067,
-15,0.1540383014154871,0.09573241061130335,0.11926605504587157,0.14231499051233396,0.21390374331550802,0.08893557422969188,0.1164021164021164,0.16560509554140126,0.0390625,0.13971742543171115,0.1713810316139767,0.1239193083573487,0.07557117750439367,0.13043478260869565,0.029411764705882353,0.14743589743589744,0.09047619047619047,0.125,0.13554708764289602,0.2,0.0898876404494382,0.19718309859154928,0.1664779161947905,0.05625,0.17,0.07321772639691715,0.24060150375939848,0.13541666666666666,0.10364145658263306,0.21714285714285714,0.12426900584795321,0.0908311910882605,0.12842105263157894,0.17435897435897435,0.17266187050359713,
-14,0.14987405541561713,0.10075566750629723,0.15053763440860216,0.11904761904761904,0.23780487804878048,0.09763313609467456,0.12136862491930278,0.1188118811881188,0.08771929824561403,0.09056603773584905,0.17400881057268722,0.09328683522231909,0.08108108108108109,0.15,0.02,0.09701492537313433,0.06340579710144928,0.0,0.13620386643233742,0.0,0.11428571428571428,0.1477832512315271,0.19575856443719414,0.042105263157894736,0.11842105263157894,0.10632183908045977,0.2814159292035398,0.0967741935483871,0.0798611111111111,0.1568627450980392,0.11295180722891567,0.07419712070874862,0.09488372093023256,0.24817518248175183,0.25,
-13,0.13947590870667795,0.10629067245119306,0.17,0.1243432574430823,0.2,0.08515406162464986,0.11293328363771897,0.09090909090909091,0.058823529411764705,0.13382649630127774,0.19672131147540983,0.14045681281176162,0.04316546762589928,0.13636363636363635,0.12048192771084337,0.12552301255230125,0.078125,0.058823529411764705,0.12396694214876033,0.0,0.02702702702702703,0.14482758620689656,0.17014270032930845,0.06432748538011696,0.11971197119711971,0.09689213893967093,0.2597984322508399,0.08196721311475409,0.10572687224669604,0.2568306010928962,0.1164021164021164,0.06890299184043518,0.12381771281169389,0.26436781609195403,0.2332155477031802,0.05762933857236411
-12,0.10914927768860354,0.10441558441558442,0.09482758620689655,0.15575221238938053,0.21829855537720708,0.08617698091382302,0.11275749909649439,0.13291139240506328,0.06027397260273973,0.13031914893617022,0.17289719626168223,0.15402969247083775,0.07476635514018691,0.14705882352941177,0.06578947368421052,0.12747252747252746,0.0867630700778643,0.058823529411764705,0.13884472708002119,0.18181818181818182,0.037037037037037035,0.13095238095238096,0.18692543411644535,0.07738095238095238,0.1399132321041215,0.0677361853832442,0.2693631669535284,0.09689922480620156,0.10822510822510822,0.23780487804878048,0.13577586206896552,0.08646288209606987,0.1205020920502092,0.2835820895522388,0.21993127147766323,0.06936416184971098
-11,0.13131313131313133,0.09626512361914781,0.1875,0.1468354430379747,0.2361111111111111,0.09143593045717965,0.0987460815047022,0.18324607329842932,0.07671957671957672,0.11426543647977289,0.17478510028653296,0.15645514223194748,0.06017925736235595,0.17647058823529413,0.1728395061728395,0.12669683257918551,0.08771929824561403,0.0,0.16124567474048443,0.058823529411764705,0.047872340425531915,0.16117216117216118,0.16580310880829016,0.08783783783783784,0.15565509518477044,0.09090909090909091,0.23948811700182815,0.1506849315068493,0.12205567451820129,0.25477707006369427,0.14352941176470588,0.07397504456327986,0.12145390070921985,0.23863636363636365,0.24621212121212122,0.06221198156682028
-10,0.1289031224979984,0.08352941176470588,0.08974358974358974,0.15625,0.21507352941176472,0.07318161535029005,0.1211734693877551,0.16990291262135923,0.10915492957746478,0.10689655172413794,0.1743119266055046,0.15329099307159352,0.07549668874172186,0.07894736842105263,0.05357142857142857,0.14065934065934066,0.10514018691588785,0.0,0.18482999128160418,0.16666666666666666,0.05161290322580645,0.2,0.20426487093153758,0.05673758865248227,0.13581599123767799,0.08167330677290836,0.2608294930875576,0.11004784688995216,0.10975609756097561,0.2608695652173913,0.10669975186104218,0.07234432234432235,0.11674449633088725,0.22153846153846155,0.1563517915309446,0.08345323741007195
