cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.02151394422310757,0.024594745667970933,0.06363636363636363,0.06382978723404255,0.054317548746518104,0.029214850882531954,0.01808066759388039,0.02072538860103627,0.08064516129032258,0.037089871611982884,0.021705426356589147,0.008639308855291577,0.021702838063439065,0.11428571428571428,0.0,0.03636363636363636,0.03081232492997199,0.0,0.02979970688812897,0.0,0.03773584905660377,0.08968609865470852,0.043478260869565216,0.006578947368421052,0.04276315789473684,0.056451612903225805,0.060829493087557605,0.01646090534979424,0.030303030303030304,0.09411764705882353,0.02733485193621868,0.0274858528698464,0.03215077605321508,0.03278688524590164,0.05442176870748299,
-18,0.024935511607910577,0.020975056689342405,0.046511627906976744,0.0625,0.04333868378812199,0.03873744619799139,0.024603608529250958,0.02617801047120419,0.04504504504504504,0.035479632063074903,0.0313588850174216,0.021377672209026127,0.03104575163398693,0.030303030303030304,0.15789473684210525,0.013986013986013986,0.04481792717086835,0.0,0.0326975476839237,0.0,0.03260869565217391,0.04081632653061224,0.05405405405405406,0.07692307692307693,0.011363636363636364,0.031746031746031744,0.05863192182410423,0.031914893617021274,0.027707808564231738,0.06040268456375839,0.017783857729138167,0.03763010408326661,0.045454545454545456,0.02564102564102564,0.03802281368821293,
-17,0.020282186948853614,0.01800720288115246,0.02912621359223301,0.07429718875502007,0.04599659284497445,0.03869047619047619,0.022478070175438597,0.06870229007633588,0.047058823529411764,0.0375,0.030874785591766724,0.029490616621983913,0.0345489443378119,0.05263157894736842,0.03571428571428571,0.041379310344827586,0.04271356783919598,0.0,0.031746031746031744,0.0,0.07216494845360824,0.04888888888888889,0.06935123042505593,0.06299212598425197,0.04780876494023904,0.023605150214592276,0.0425531914893617,0.02,0.012987012987012988,0.07741935483870968,0.03179650238473768,0.05190311418685121,0.024963289280469897,0.022988505747126436,0.04180064308681672,
-16,0.02761982128350934,0.024958402662229616,0.05504587155963303,0.05451127819548872,0.04576271186440678,0.044086773967809655,0.017084890549919914,0.013793103448275862,0.057971014492753624,0.04381846635367762,0.03664921465968586,0.0213903743315508,0.04411764705882353,0.03225806451612903,0.09090909090909091,0.023529411764705882,0.03125,0.0,0.03561935140882509,0.14285714285714285,0.044444444444444446,0.06280193236714976,0.061224489795918366,0.0273972602739726,0.03508771929824561,0.052313883299798795,0.05211726384364821,0.028985507246376812,0.027989821882951654,0.08241758241758242,0.043055555555555555,0.04487722269263336,0.03389830508474576,0.016216216216216217,0.02875399361022364,
-15,0.017485428809325562,0.0196078431372549,0.03669724770642202,0.051233396584440226,0.05169340463458111,0.036414565826330535,0.019576719576719578,0.006369426751592357,0.0703125,0.05023547880690738,0.028286189683860232,0.01440922190201729,0.04569420035149385,0.0,0.029411764705882353,0.02564102564102564,0.023809523809523808,0.0,0.028307022318998367,0.0,0.07865168539325842,0.07981220657276995,0.05096262740656852,0.025,0.04,0.04046242774566474,0.07518796992481203,0.026041666666666668,0.025210084033613446,0.09714285714285714,0.019005847953216373,0.04541559554413025,0.023157894736842106,0.020512820512820513,0.0539568345323741,
-14,0.018891687657430732,0.014273719563392108,0.03225806451612903,0.06613756613756613,0.027439024390243903,0.03550295857988166,0.018076178179470628,0.0297029702970297,0.05263157894736842,0.028679245283018868,0.024229074889867842,0.012205754141238012,0.02972972972972973,0.0,0.04,0.04477611940298507,0.019927536231884056,0.0,0.02899824253075571,0.0,0.02857142857142857,0.034482758620689655,0.04404567699836868,0.031578947368421054,0.021929824561403508,0.034482758620689655,0.06548672566371681,0.010752688172043012,0.03125,0.058823529411764705,0.01957831325301205,0.03986710963455149,0.03348837209302326,0.0072992700729927005,0.03,
-13,0.026204564666103127,0.02386117136659436,0.01,0.0647985989492119,0.0448,0.03081232492997199,0.023853894893775623,0.017045454545454544,0.06722689075630252,0.03765971755211836,0.028315946348733235,0.02179049619322657,0.019184652278177457,0.06818181818181818,0.024096385542168676,0.0502092050209205,0.029017857142857144,0.0,0.038223140495867766,0.0,0.060810810810810814,0.09655172413793103,0.06037321624588365,0.04093567251461988,0.032403240324032405,0.03656307129798903,0.055991041433370664,0.0273224043715847,0.019823788546255508,0.03825136612021858,0.031746031746031744,0.04170444242973708,0.04213241616509028,0.034482758620689655,0.038869257950530034,0.023575638506876228
-12,0.021669341894060994,0.02025974025974026,0.05172413793103448,0.06371681415929203,0.04173354735152488,0.025448235974551765,0.020238525478857967,0.03164556962025317,0.06301369863013699,0.03789893617021277,0.037383177570093455,0.024390243902439025,0.028037383177570093,0.029411764705882353,0.013157894736842105,0.05274725274725275,0.02335928809788654,0.0,0.033386327503974564,0.0,0.05092592592592592,0.07142857142857142,0.05209397344228805,0.005952380952380952,0.03579175704989154,0.030303030303030304,0.06970740103270223,0.023255813953488372,0.01948051948051948,0.08536585365853659,0.022629310344827586,0.03755458515283843,0.04100418410041841,0.01990049751243781,0.041237113402061855,0.028901734104046242
-11,0.020202020202020204,0.022093634928984744,0.010416666666666666,0.06582278481012659,0.03298611111111111,0.038634900193174504,0.022727272727272728,0.06282722513089005,0.09259259259259259,0.034066713981547196,0.024355300859598854,0.01723194748358862,0.012804097311139564,0.0,0.024691358024691357,0.033936651583710405,0.022222222222222223,0.0,0.03321799307958478,0.0,0.015957446808510637,0.047619047619047616,0.0538860103626943,0.0472972972972973,0.043673012318029114,0.03872053872053872,0.07221206581352833,0.0273972602739726,0.014989293361884369,0.08280254777070063,0.018823529411764704,0.03208556149732621,0.020390070921985817,0.022727272727272728,0.041666666666666664,0.029953917050691243
-10,0.018414731785428344,0.01647058823529412,0.02564102564102564,0.0625,0.06066176470588235,0.02186523873270861,0.01488095238095238,0.024271844660194174,0.09507042253521127,0.03379310344827586,0.04281345565749235,0.021362586605080832,0.031788079470198675,0.10526315789473684,0.05357142857142857,0.024175824175824177,0.02102803738317757,0.0,0.046207497820401046,0.0,0.025806451612903226,0.056,0.04489337822671156,0.02127659574468085,0.03614457831325301,0.045816733067729085,0.05069124423963134,0.009569377990430622,0.007317073170731708,0.04891304347826087,0.02729528535980149,0.031135531135531136,0.03402268178785857,0.03076923076923077,0.04234527687296417,0.02302158273381295
