cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.42992874109263657,0.554074074074074,0.15517241379310345,0.42105263157894735,0.67601246105919,0.5693739424703892,0.44494047619047616,0.7397260273972602,0.4180327868852459,0.4282655246252677,0.7625570776255708,0.6071428571428571,0.35560344827586204,,,0.7338709677419355,0.25301204819277107,,0.5547511312217195,0.5252525252525253,0.408,0.5060606060606061,0.726027397260274,0.6238095238095238,0.565,0.7373519913885899,0.2459016393442623,0.3475609756097561,0.304635761589404,0.57356608478803,0.6313755795981453,0.5066079295154186,0.6746031746031746,0.6140350877192983,
-18,0.46551724137931033,0.5914634146341463,0.3442622950819672,0.3333333333333333,0.7204301075268817,0.5896520963425513,0.477891156462585,0.8913043478260869,0.4484304932735426,0.4222488038277512,0.7371134020618557,0.6857142857142857,0.37259615384615385,,,0.7889908256880734,,,0.536,0.5629139072847682,0.3333333333333333,0.5043572984749455,0.6524822695035462,0.5598086124401914,0.5928571428571429,0.7073529411764706,0.4222222222222222,0.3870967741935484,0.3464566929133858,0.5537190082644629,0.6369747899159663,0.486646884272997,0.6953125,0.6842105263157895,
-17,0.487012987012987,0.557427258805513,0.40476190476190477,0.3712121212121212,0.72,0.5873925501432665,0.45517241379310347,0.8222222222222222,0.47058823529411764,0.441588785046729,0.774390243902439,0.7323943661971831,,,0.42857142857142855,0.7722772277227723,0.29411764705882354,,0.5793499043977055,0.5548387096774193,0.34375,0.4953560371517028,,0.6,0.5408805031446541,0.7,0.36363636363636365,0.38405797101449274,,0.6011080332409973,0.6413043478260869,0.4752186588921283,0.6067415730337079,0.64,
-16,0.3897849462365591,0.5529061102831595,0.3,0.4014778325123153,0.7278481012658228,0.5909090909090909,0.43316412859560066,0.8043478260869565,0.4595744680851064,0.4431554524361949,0.6906077348066298,0.7078651685393258,0.3948051948051948,,,0.6991869918699187,0.23293172690763053,,0.5135895032802249,0.515527950310559,0.31666666666666665,0.5103189493433395,0.7894736842105263,0.6126126126126126,0.5757575757575758,0.7276720351390923,0.30434782608695654,0.3357142857142857,0.265625,0.5640394088669951,0.6143617021276596,0.4754601226993865,0.75,0.6283185840707964,
-15,0.4040920716112532,0.5331230283911672,0.2459016393442623,0.31754874651810583,0.7195945945945946,0.5931758530183727,0.46869409660107336,,0.4605809128630705,0.42905405405405406,0.75,0.6575342465753424,0.37623762376237624,,0.35135135135135137,0.7168141592920354,0.2692307692307692,,0.5411985018726592,0.6158536585365854,0.32456140350877194,0.5240641711229946,0.7338709677419355,0.5497835497835498,0.6967741935483871,0.6692073170731707,0.30303030303030304,0.34057971014492755,0.3458646616541353,0.5926892950391645,0.6300675675675675,0.4448979591836735,0.7058823529411765,0.6822429906542056,
-14,0.45038167938931295,0.6050420168067226,0.20754716981132076,0.36477987421383645,0.7688172043010753,0.5857908847184986,0.4568421052631579,0.6470588235294118,0.42574257425742573,0.5052950075642966,0.7045454545454546,0.7960526315789473,0.37130801687763715,0.2647058823529412,,0.7158351409978309,0.35306553911205074,,0.564066852367688,0.5765765765765766,0.48484848484848486,0.530791788856305,0.7272727272727273,0.6428571428571429,0.5803571428571429,0.7364864864864865,0.4418604651162791,0.3490566037735849,0.26881720430107525,0.6896551724137931,0.6432481751824818,0.5558282208588957,0.7380952380952381,0.5857142857142857,
-13,0.4964200477326969,0.5876288659793815,0.3484848484848485,0.42376237623762375,0.7412140575079872,0.625,0.5005382131324004,,0.41472868217054265,0.5198300283286119,0.7612612612612613,0.7846938775510204,0.41690962099125367,0.5526315789473685,0.5,0.7479338842975206,0.3176229508196721,0.4,0.3702310585706609,0.21672167216721672,0.424,0.49229188078108943,0.6981132075471698,0.612621359223301,0.5618556701030928,0.6883509833585476,0.3103448275862069,0.3942857142857143,0.3356643356643357,0.5932539682539683,0.6396321070234113,0.5795644891122278,0.6739130434782609,0.6597938144329897,0.8273026315789473
-12,0.4975369458128079,0.6053691275167785,0.41935483870967744,0.42857142857142855,0.7530120481927711,0.6112877583465819,0.5366108786610879,,0.32526881720430106,0.5133189344852411,0.6107011070110702,0.7835820895522388,0.37375745526838966,,0.6727272727272727,0.7050359712230215,0.3572815533980582,0.6,0.4744469870327994,0.29259259259259257,0.42063492063492064,0.518974358974359,0.8057553956834532,0.6046511627906976,0.6384180790960452,0.7648283038501561,0.48484848484848486,0.410958904109589,0.35555555555555557,0.6438053097345132,0.6373147340889277,0.6007005253940455,0.7160493827160493,0.6518518518518519,0.8376623376623377
-11,0.5276243093922652,0.5967130214917825,0.4117647058823529,0.4068441064638783,0.7469135802469136,0.6374314800313234,0.516042780748663,0.7,0.392578125,0.5083532219570406,0.6866197183098591,0.8340757238307349,0.42788461538461536,,,0.7334801762114538,0.3888888888888889,,0.44274120829576197,0.27616926503340755,0.30578512396694213,0.5066258919469928,,0.6023054755043228,0.6410256410256411,0.7265160523186682,0.23728813559322035,0.37735849056603776,0.31543624161073824,0.6375545851528385,0.6033676333021516,0.5549738219895288,0.7532467532467533,0.5978260869565217,0.8439716312056738
-10,0.48894348894348894,0.5941807044410413,0.35,0.46153846153846156,0.7106227106227107,0.689673622257892,0.5,0.8235294117647058,0.367170626349892,0.5112316034082107,0.696113074204947,0.8056580565805658,0.4009111617312073,0.5384615384615384,,0.7209302325581395,0.3630705394190871,0.6666666666666666,0.41594827586206895,0.2789115646258503,0.4322033898305085,0.5010526315789474,0.7154471544715447,0.6025824964131994,0.5898876404494382,0.7035175879396985,0.4117647058823529,0.2953020134228188,0.34507042253521125,0.6210268948655256,0.6298701298701299,0.49812734082397003,0.6974789915966386,0.6916666666666667,0.8458049886621315
