cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.3589678796046721,0.3164178588706891,0.37009189640768586,0.38539620170268496,0.35115303983228513,0.38250030551142616,0.39716939407341884,0.24487179487179486,0.24121779859484777,0.3510211524434719,0.32230634189159535,0.45117710005350453,0.42867724867724866,0.37896825396825395,0.4336734693877551,0.3662354705661792,0.31125891652207444,0.4464285714285714,0.30100193923723334,0.32857142857142857,0.2816028473244968,0.15889016897081412,0.15744339084926678,0.5120957473898651,0.33265628526292035,0.3893407896966616,0.2951815341521224,0.5366900858704138,0.3134920634920635,0.20115786040443573,0.3538988095238095,0.37629646453175863,0.4506262822589353,0.22541887125220458,0.3828090869375273,
-18,0.24034839924670431,0.24585685337964971,0.2611241217798595,0.31684981684981683,0.28705627705627706,0.30869723903989005,0.34172218110041946,0.11876417233560091,0.19951298701298703,0.2860380246041556,0.2620281273131014,0.5501618122977346,0.303397212543554,0.548941798941799,0.26870748299319724,0.3352072310405643,0.25643069727891155,0.22916666666666666,0.204205069124424,0.47619047619047616,0.24519079154840745,0.20227272727272727,0.21397179561479765,0.4195752164502165,0.21012759170653905,0.3287501441254468,0.25728312473025466,0.5216450216450217,0.16829877112135178,0.24728158980127485,0.3159417398244214,0.2912326388888889,0.4057875457875458,0.11477115117891816,0.2963917525773196,
-17,0.24927964816499848,0.24028728257770174,0.26964285714285713,0.27802408319649696,0.3272719344147916,0.3017475955899601,0.3535923141186299,0.1525974025974026,0.2380452180872349,0.2756563245823389,0.2668154761904762,0.4362468671679198,0.349153719843375,0.39806547619047616,0.34794372294372294,0.31916666666666665,0.2531458179126573,0.5714285714285714,0.22999769956291694,0.5476190476190477,0.1968509984639017,0.17745535714285712,0.19444444444444445,0.4717664092664092,0.2087602973678923,0.30924759695061316,0.2368747183415953,0.5698260073260073,0.2186624649859944,0.2626763668430335,0.3480790043290043,0.2834937083641747,0.35272108843537414,0.15269151138716355,0.29919825072886297,
-16,0.2449436763952893,0.21460843373493976,0.3645617667356798,0.26967819091106765,0.2717857142857143,0.2791245354766226,0.3124320026780484,0.22700216450216448,0.22471509971509973,0.2977636984319852,0.2350686037126715,0.5366506153023006,0.4072968810165576,0.4809523809523809,0.4384920634920635,0.3305322128851541,0.2579035763683067,0.45476190476190476,0.22693096377306904,0.03571428571428571,0.1504671488848704,0.13508878127522195,0.1829767149150409,0.44015225137674113,0.24217074217074216,0.3310450038138825,0.2396873643074251,0.3740227434257285,0.17840013703323054,0.2024785323965652,0.3226250299114621,0.28168619002737755,0.3490107310529846,0.11724806201550388,0.31813350340136054,
-15,0.2154105736782902,0.2679540871723282,0.43664245359160614,0.31109022556390975,0.3031746031746032,0.3162343834872352,0.3313186813186813,0.1332815734989648,0.23293650793650794,0.30968177379516343,0.27721088435374147,0.3826777087646653,0.3824681066060376,0.5238095238095238,0.4125850340136054,0.33391690009337066,0.2645658263305322,0.2470238095238095,0.2257944273599851,0.03571428571428571,0.1723930078360458,0.21128364389233956,0.19367224367224367,0.4412065439672802,0.26095905651980417,0.33035714285714285,0.2592443729903537,0.4811827956989247,0.20596133190118152,0.20848091302636756,0.27864377795317025,0.3285073670723895,0.3958462172747887,0.11396631823461091,0.45888447971781304,
-14,0.3795078700936441,0.3747363747363747,0.47278911564625853,0.35928068410462777,0.37927256792287467,0.4836355594869527,0.4961882664898906,0.31746031746031744,0.27211779448621554,0.5975179334554335,0.3236657078938958,0.7312398042414355,0.5155677655677655,0.7213541666666666,0.5604222821203954,0.5761589403973509,0.5592867678044668,0.21428571428571427,0.3343979868370112,0.3869047619047619,0.35452961672473865,0.38279967159277506,0.3309675221439927,0.5778668610301263,0.4147321428571429,0.4907509157509158,0.3550618190721018,0.5888704318936877,0.4608516483516484,0.27998236331569665,0.5405317769130998,0.5512187088274045,0.6537184009406233,0.19013605442176873,0.4622710622710623,
-13,0.2954745408556032,0.21948105925662034,0.29815209665955933,0.2925299890948746,0.3286551042142096,0.4412644787644788,0.4499753269183321,0.1484126984126984,0.23471994161649334,0.3006328057169572,0.24232804232804234,0.34402967217037567,0.5773636489479513,0.5473057644110275,0.4084656084656084,0.3020174884112937,0.2901154401154401,0.37896825396825395,0.37431818758403734,0.06249999999999999,0.561985960500812,0.19671201814058956,0.21123774184998675,0.4929152148664344,0.347294276435109,0.4596687370600414,0.2570080193031013,0.4419129720853859,0.2709968602825746,0.2075892857142857,0.35292610194762836,0.4059633027522936,0.42300530861262975,0.14874551971326166,0.32732082732082735,0.6095216950012687
-12,0.2803914835164835,0.2408448540706605,0.32663690476190477,0.24988065401599235,0.26026518391787856,0.36787882215435663,0.36292306178669814,0.20674603174603176,0.45057283666154635,0.30828231292517005,0.5130241970205804,0.35206020231926966,0.4422677982083923,0.5316091954022988,0.34195402298850575,0.30341590317837347,0.23586596800882514,0.1142857142857143,0.2090147658760244,0.031746031746031744,0.21651234567901234,0.14276340457442818,0.2170553024211561,0.45627705627705634,0.21048301980505368,0.3569651741293532,0.2739794184748313,0.4200937950937951,0.2756595881595882,0.2507002801120448,0.27135466159856403,0.3515460729746444,0.42830597075880095,0.15949512335054503,0.33446298227320126,0.3301127214170692
-11,0.2544886807181889,0.24027169149868538,0.28939075630252103,0.3140096618357488,0.2795970695970696,0.3444345930769515,0.3389014367275237,0.2886178861788618,0.19413563090605893,0.32168186423505574,0.28417415917415917,0.3389874468305841,0.3619675688021011,0.5126984126984128,0.3276942355889724,0.367080523196403,0.2749391727493917,0.7103174603174603,0.2201742056393219,0.43452380952380953,0.21452328159645231,0.1997245179063361,0.21376522702104098,0.45724147647224567,0.22354316897290977,0.3757309941520468,0.24777927700005623,0.3238498789346247,0.2631463628396144,0.23222016079158936,0.27985189756248074,0.35623048850195665,0.4321857387895124,0.090625,0.36322188449848025,0.5025974025974026
-10,0.26960450051142176,0.26690821256038644,0.31507936507936507,0.375281214848144,0.3507591442374051,0.22286526550918873,0.3064490696941028,0.2129120879120879,0.2095898060716824,0.2896612703274265,0.28143664245359157,0.34772544283413853,0.36976993044408774,0.44505494505494503,0.3324175824175824,0.29133089133089135,0.2798356946084219,0.19444444444444445,0.25564176682387546,0.3392857142857143,0.21294810058855002,0.16444713478611783,0.2182690566720985,0.4708408679927667,0.1969504240052185,0.32699304440877475,0.2652825316759743,0.42787114845938373,0.2265696087352138,0.22232947232947234,0.31711273317112737,0.388994071524192,0.49981010809231663,0.32147776465958283,0.30042586140147115,0.35523055375996554
