cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.1351981351981352,0.1072961373390558,0.1864406779661017,0.185121107266436,0.17901234567901234,0.14080944350758853,0.08456973293768547,0.1232876712328767,0.17959183673469387,0.15036803364879076,0.21818181818181817,0.10989010989010989,0.10897435897435898,0.15789473684210525,0.21621621621621623,0.2109375,0.132,0.25,0.18491921005385997,0.2,0.175,0.184,0.20907617504051865,0.14358974358974358,0.12796208530805686,0.10824742268041238,0.2127659574468085,0.03278688524590164,0.15151515151515152,0.4342105263157895,0.20347394540942929,0.13394919168591224,0.10021786492374728,0.0703125,0.14655172413793102,
-18,0.12777777777777777,0.1099554234769688,0.25806451612903225,0.1978494623655914,0.1950354609929078,0.14323843416370108,0.11904761904761904,0.08695652173913043,0.19642857142857142,0.19103773584905662,0.2153846153846154,0.10377358490566038,0.07838479809976247,0.0,0.19047619047619047,0.15454545454545454,0.11403508771929824,0.0,0.20958083832335328,0.0,0.1390728476821192,0.14414414414414414,0.18290258449304175,0.14444444444444443,0.18571428571428572,0.14418604651162792,0.24390243902439024,0.022222222222222223,0.14285714285714285,0.3359375,0.17582417582417584,0.14725457570715475,0.11176470588235295,0.05263157894736842,0.12371134020618557,
-17,0.14596273291925466,0.08357771260997067,0.23809523809523808,0.15734989648033126,0.17562724014336917,0.12380952380952381,0.0976027397260274,0.19148936170212766,0.16597510373443983,0.18277066356228172,0.23030303030303031,0.175,0.13164556962025317,0.11764705882352941,0.18181818181818182,0.18627450980392157,0.16666666666666666,0.0,0.21062618595825428,0.0,0.1346153846153846,0.18556701030927836,0.17951127819548873,0.1568627450980392,0.16182572614107885,0.15151515151515152,0.2772727272727273,0.05454545454545454,0.09219858156028368,0.37719298245614036,0.13812154696132597,0.13383208645054032,0.11884057971014493,0.21739130434782608,0.13861386138613863,
-16,0.12919896640826872,0.08815028901734104,0.16901408450704225,0.17670682730923695,0.15141955835962145,0.11672473867595819,0.09595959595959595,0.15217391304347827,0.1518987341772152,0.1653179190751445,0.22950819672131148,0.10638297872340426,0.12953367875647667,0.0,0.2,0.18548387096774194,0.0796812749003984,0.0,0.18936567164179105,0.5,0.16149068322981366,0.225,0.1883445945945946,0.20496894409937888,0.14782608695652175,0.1206140350877193,0.23132183908045978,0.14492753623188406,0.1276595744680851,0.3515625,0.21549636803874092,0.13857016769638128,0.11926605504587157,0.3103448275862069,0.18803418803418803,
-15,0.17369727047146402,0.09327217125382263,0.09836065573770492,0.17400881057268722,0.16611295681063123,0.13426329555361813,0.11806797853309481,0.18518518518518517,0.18930041152263374,0.16517857142857142,0.21982758620689655,0.15584415584415584,0.13054187192118227,0.16666666666666666,0.10256410256410256,0.16666666666666666,0.10344827586206896,0.0,0.17979610750695088,0.0,0.1951219512195122,0.25862068965517243,0.1635012386457473,0.1329479768786127,0.17446808510638298,0.1431980906921241,0.2288261515601783,0.07575757575757576,0.1357142857142857,0.3851851851851852,0.18393782383419688,0.12887029288702928,0.1673469387755102,0.2247191011235955,0.12844036697247707,
-14,0.15467625899280577,0.10756972111553785,0.2222222222222222,0.18703241895261846,0.20212765957446807,0.1590909090909091,0.10187110187110188,0.14705882352941177,0.1323529411764706,0.16390977443609023,0.24157303370786518,0.09377526273241714,0.100418410041841,0.0,0.08771929824561403,0.10775862068965517,0.08860759493670886,0.6666666666666666,0.18862690707350901,0.5,0.13513513513513514,0.25757575757575757,0.17340286831812254,0.17142857142857143,0.16756756756756758,0.1490066225165563,0.28634361233480177,0.09302325581395349,0.08849557522123894,0.44086021505376344,0.15692307692307692,0.08212996389891697,0.08343265792610251,0.30434782608695654,0.136986301369863,
-13,0.10623556581986143,0.10918114143920596,0.23880597014925373,0.1821247892074199,0.1501597444089457,0.12348178137651822,0.09533678756476684,0.2222222222222222,0.12260536398467432,0.1649122807017544,0.19111111111111112,0.16666666666666666,0.07994186046511628,0.07894736842105263,0.17777777777777778,0.18480492813141683,0.13333333333333333,0.0,0.1622340425531915,0.25,0.0352035203520352,0.2777777777777778,0.18274582560296845,0.13658536585365855,0.15854738706820196,0.09565217391304348,0.23303834808259588,0.06896551724137931,0.13736263736263737,0.4305555555555556,0.130859375,0.10991735537190082,0.11980033277870217,0.1827956989247312,0.12121212121212122,0.08292282430213464
-12,0.13942307692307693,0.09884467265725289,0.15625,0.18840579710144928,0.16467065868263472,0.14161392405063292,0.09297520661157024,0.13333333333333333,0.11021505376344086,0.16,0.11211573236889692,0.14404145077720207,0.1188118811881188,0.10344827586206896,0.15517241379310345,0.18095238095238095,0.10404624277456648,0.0,0.21358490566037736,0.0,0.05185185185185185,0.2992125984251969,0.1848030018761726,0.14545454545454545,0.1590612777053455,0.11513859275053305,0.25275827482447344,0.16666666666666666,0.16216216216216217,0.41911764705882354,0.14977973568281938,0.111495246326707,0.1680960548885077,0.30120481927710846,0.12408759124087591,0.11255411255411256
-11,0.12568306010928962,0.1071863580998782,0.19117647058823528,0.2028985507246377,0.16307692307692306,0.14972847168347556,0.11462450592885376,0.15853658536585366,0.20038910505836577,0.15524034672970843,0.14685314685314685,0.1503267973856209,0.1606714628297362,0.13333333333333333,0.13157894736842105,0.148068669527897,0.12077294685990338,0.16666666666666666,0.17978533094812166,0.5,0.06651884700665188,0.24793388429752067,0.1925581395348837,0.14792899408284024,0.14870395634379263,0.12938596491228072,0.24452133794694347,0.15254237288135594,0.12269938650306748,0.3181818181818182,0.15835140997830802,0.10987996306555864,0.16123499142367068,0.275,0.1702127659574468,0.12056737588652482
-10,0.13126491646778043,0.11014492753623188,0.15,0.19291338582677164,0.2028985507246377,0.0943496801705757,0.09933774834437085,0.23076923076923078,0.17484008528784648,0.15926493108728942,0.12203389830508475,0.14389359129383314,0.14157303370786517,0.15384615384615385,0.07692307692307693,0.2076923076923077,0.12603305785123967,0.16666666666666666,0.16826411075612355,0.25,0.0449438202247191,0.2711864406779661,0.18536121673003803,0.13291139240506328,0.19041095890410958,0.1303370786516854,0.23264311814859928,0.058823529411764705,0.15286624203821655,0.43243243243243246,0.13975903614457832,0.10843373493975904,0.1312883435582822,0.18181818181818182,0.13821138211382114,0.10180995475113122
-9,0.10512129380053908,0.11409395973154363,0.18518518518518517,0.20209059233449478,0.1715210355987055,0.11544585987261147,0.09440993788819876,0.26153846153846155,0.16736401673640167,0.16124148372445118,0.1791530944625407,0.1437908496732026,0.1412037037037037,0.08333333333333333,0.16216216216216217,0.1628498727735369,0.12978723404255318,0.25,0.1819137749737119,0.0,0.0508130081300813,0.25471698113207547,0.18686868686868688,0.14634146341463414,0.18342391304347827,0.1066350710900474,0.2453488372093023,0.058823529411764705,0.10191082802547771,0.3884297520661157,0.16738197424892703,0.1244196843082637,0.1624203821656051,0.17679558011049723,0.23333333333333334,0.0985576923076923
-8,0.08684863523573201,0.10814814814814815,0.21568627450980393,0.12286689419795221,0.21428571428571427,0.13668430335097,0.09836065573770492,0.32558139534883723,0.24824355971896955,0.15730337078651685,0.10196078431372549,0.15828220858895706,0.11764705882352941,0.11538461538461539,0.1724137931034483,0.15443037974683543,0.14746543778801843,0.0,0.19579646017699115,0.0,0.054945054945054944,0.32,0.166289592760181,0.14465408805031446,0.15286624203821655,0.13445378151260504,0.26119402985074625,0.10204081632653061,0.07894736842105263,0.5158730158730159,0.1259259259259259,0.11736178467507274,0.13949579831932774,0.25142857142857145,0.2111111111111111,0.1111111111111111
