cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.002331002331002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.004545454545454545,0.0,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.003590664272890485,0.0,0.01,0.0,0.005942733657482442,0.005128205128205128,0.0,0.0,0.002127659574468085,0.0,0.0,0.006578947368421052,0.0,0.0023094688221709007,0.0,0.0078125,0.0,
-18,0.0,0.0,0.0,0.004301075268817204,0.0035460992907801418,0.0035587188612099642,0.0,0.0,0.0,0.007075471698113208,0.010256410256410256,0.0,0.004750593824228029,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.009009009009009009,0.0019880715705765406,0.005555555555555556,0.0,0.0,0.0014347202295552368,0.0,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,
-17,0.003105590062111801,0.002932551319648094,0.0,0.0,0.0035842293906810036,0.0009523809523809524,0.0017123287671232876,0.0,0.0,0.0011641443538998836,0.0,0.0,0.002531645569620253,0.0,0.0,0.0,0.0,0.0,0.0018975332068311196,0.0,0.00641025641025641,0.0,0.004699248120300752,0.006535947712418301,0.004149377593360996,0.0,0.004545454545454545,0.0,0.0070921985815602835,0.008771929824561403,0.0,0.0024937655860349127,0.0,0.0,0.0,
-16,0.002583979328165375,0.0,0.014084507042253521,0.002008032128514056,0.0,0.0,0.0016835016835016834,0.0,0.0,0.003468208092485549,0.00546448087431694,0.0,0.0051813471502590676,0.0,0.0,0.0,0.00398406374501992,0.0,0.0018656716417910447,0.0,0.0,0.0,0.002533783783783784,0.006211180124223602,0.004347826086956522,0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.00088261253309797,0.0,0.011494252873563218,0.0,
-15,0.0024813895781637717,0.0,0.0,0.004405286343612335,0.0033222591362126247,0.0,0.0,0.0,0.00823045267489712,0.002232142857142857,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0009267840593141798,0.0,0.006097560975609756,0.0,0.0016515276630883566,0.0,0.00425531914893617,0.0,0.0014858841010401188,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,
-14,0.007194244604316547,0.00199203187250996,0.0,0.0,0.0,0.001336898395721925,0.002079002079002079,0.0,0.004901960784313725,0.0007518796992481203,0.0056179775280898875,0.0008084074373484236,0.0,0.0,0.0,0.0021551724137931034,0.0,0.0,0.0013869625520110957,0.0,0.0,0.0,0.002607561929595828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-13,0.0,0.0,0.0,0.0016863406408094434,0.0,0.0,0.0010362694300518134,0.0,0.0,0.0007017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047872340425531915,0.0,0.0022002200220022,0.015873015873015872,0.00463821892393321,0.004878048780487805,0.001771479185119575,0.0017391304347826088,0.0014749262536873156,0.0,0.0,0.0,0.0,0.001652892561983471,0.0,0.010752688172043012,0.0,0.0008210180623973727
-12,0.0,0.0025673940949935813,0.015625,0.0,0.0,0.0007911392405063291,0.0,0.0,0.0013440860215053765,0.0014285714285714286,0.003616636528028933,0.002072538860103627,0.0019801980198019802,0.0,0.017241379310344827,0.004761904761904762,0.0038535645472061657,0.0,0.0030188679245283017,0.0,0.001851851851851852,0.0,0.00375234521575985,0.006060606060606061,0.002607561929595828,0.0,0.004012036108324975,0.0,0.0,0.0,0.0,0.000864304235090752,0.0,0.0,0.0,0.0
-11,0.00273224043715847,0.00243605359317905,0.0,0.0,0.0,0.0007757951900698216,0.0,0.0,0.0019455252918287938,0.0015760441292356187,0.006993006993006993,0.0010893246187363835,0.004796163069544364,0.0,0.0,0.0,0.0,0.0,0.0008944543828264759,0.0,0.0,0.008264462809917356,0.0009302325581395349,0.011834319526627219,0.002728512960436562,0.0,0.00461361014994233,0.0,0.012269938650306749,0.012987012987012988,0.0021691973969631237,0.006463527239150508,0.0,0.0125,0.0,0.0
-10,0.002386634844868735,0.002898550724637681,0.0,0.0,0.0,0.0005330490405117271,0.0013245033112582781,0.019230769230769232,0.0021321961620469083,0.0015313935681470138,0.003389830508474576,0.0,0.0022471910112359553,0.0,0.0,0.0,0.006198347107438017,0.0,0.002129925452609159,0.0,0.0,0.00847457627118644,0.004752851711026616,0.0,0.0013698630136986301,0.0,0.0048721071863581,0.0,0.006369426751592357,0.0,0.0,0.0024096385542168677,0.001226993865030675,0.0,0.0,0.0
-9,0.0,0.0026845637583892616,0.0,0.003484320557491289,0.0,0.0007961783439490446,0.0,0.0,0.006276150627615063,0.002271006813020439,0.0,0.002178649237472767,0.0,0.0,0.0,0.0,0.002127659574468085,0.0,0.0031545741324921135,0.0,0.0,0.0,0.00404040404040404,0.0,0.001358695652173913,0.002369668246445498,0.004651162790697674,0.0,0.0,0.0,0.0,0.0018570102135561746,0.0,0.0055248618784530384,0.0,0.004807692307692308
-8,0.0024813895781637717,0.0014814814814814814,0.0,0.0,0.003968253968253968,0.0008818342151675485,0.001366120218579235,0.0,0.0,0.006050129645635264,0.0,0.001226993865030675,0.0076726342710997444,0.0,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0,0.0,0.0022624434389140274,0.0,0.0031847133757961785,0.0056022408963585435,0.0012437810945273632,0.0,0.0,0.007936507936507936,0.0049382716049382715,0.0009699321047526673,0.0016806722689075631,0.005714285714285714,0.0,0.0
-7,0.002652519893899204,0.0013245033112582781,0.01818181818181818,0.002857142857142857,0.0,0.0,0.0,0.0,0.00425531914893617,0.002583979328165375,0.006993006993006993,0.0,0.005235602094240838,0.0,0.0,0.002652519893899204,0.0,0.0,0.0008771929824561404,0.0,0.0,0.008130081300813009,0.0029702970297029703,0.0,0.002894356005788712,0.004728132387706856,0.004801920768307323,0.0,0.0,0.0,0.002544529262086514,0.0018796992481203006,0.0,0.0,0.0,0.0
