cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.10722610722610723,0.09871244635193133,0.01694915254237288,0.09169550173010381,0.11728395061728394,0.09527824620573355,0.1142433234421365,0.1643835616438356,0.07346938775510205,0.03680336487907466,0.2,0.12087912087912088,0.0641025641025641,0.05263157894736842,0.16216216216216217,0.0703125,0.052,0.5,0.08527827648114901,0.0,0.05,0.12,0.09508373851971907,0.02564102564102564,0.06635071090047394,0.041237113402061855,0.08829787234042553,0.08196721311475409,0.11515151515151516,0.125,0.08933002481389578,0.04695919938414165,0.06318082788671024,0.0625,0.19827586206896552,
-18,0.09722222222222222,0.10846953937592868,0.11290322580645161,0.06881720430107527,0.13120567375886524,0.0791814946619217,0.09863945578231292,0.08695652173913043,0.04017857142857143,0.045990566037735846,0.13846153846153847,0.10377358490566038,0.05938242280285035,0.0,0.047619047619047616,0.09090909090909091,0.07456140350877193,0.25,0.0748502994011976,0.0,0.046357615894039736,0.12612612612612611,0.073558648111332,0.03888888888888889,0.08571428571428572,0.04883720930232558,0.09038737446197992,0.0,0.1746031746031746,0.1015625,0.07692307692307693,0.04742096505823627,0.07058823529411765,0.03007518796992481,0.13402061855670103,
-17,0.07453416149068323,0.08651026392961877,0.16666666666666666,0.06625258799171843,0.15412186379928317,0.09047619047619047,0.09246575342465753,0.10638297872340426,0.05394190871369295,0.05471478463329453,0.16363636363636364,0.1375,0.10886075949367088,0.058823529411764705,0.0,0.11764705882352941,0.10784313725490197,0.5,0.07874762808349146,0.0,0.057692307692307696,0.17525773195876287,0.07330827067669173,0.0392156862745098,0.04564315352697095,0.06060606060606061,0.10606060606060606,0.14545454545454545,0.05673758865248227,0.09649122807017543,0.06906077348066299,0.04156275976724855,0.0782608695652174,0.05434782608695652,0.16831683168316833,
-16,0.08010335917312661,0.0953757225433526,0.16901408450704225,0.08433734939759036,0.08832807570977919,0.07055749128919861,0.11784511784511785,0.13043478260869565,0.0379746835443038,0.048554913294797684,0.17486338797814208,0.09574468085106383,0.09326424870466321,0.0,0.04,0.03225806451612903,0.05179282868525897,0.0,0.06996268656716417,0.0,0.024844720496894408,0.24166666666666667,0.06841216216216216,0.031055900621118012,0.0391304347826087,0.05043859649122807,0.09913793103448276,0.15942028985507245,0.09219858156028368,0.1328125,0.07506053268765134,0.03795233892321271,0.09480122324159021,0.04597701149425287,0.17094017094017094,
-15,0.0967741935483871,0.06574923547400612,0.06557377049180328,0.08590308370044053,0.1362126245847176,0.08369659982563209,0.11627906976744186,0.18518518518518517,0.0205761316872428,0.044642857142857144,0.10775862068965517,0.14285714285714285,0.06157635467980296,0.16666666666666666,0.07692307692307693,0.05263157894736842,0.0842911877394636,0.2,0.07506950880444857,0.5,0.042682926829268296,0.16379310344827586,0.053674649050371594,0.057803468208092484,0.04680851063829787,0.059665871121718374,0.08320950965824665,0.10606060606060606,0.09285714285714286,0.1259259259259259,0.08290155440414508,0.03430962343096234,0.06938775510204082,0.0449438202247191,0.1559633027522936,
-14,0.10071942446043165,0.09760956175298804,0.16666666666666666,0.07231920199501247,0.10106382978723404,0.0748663101604278,0.09771309771309772,0.17647058823529413,0.029411764705882353,0.07368421052631578,0.16292134831460675,0.08488278092158448,0.100418410041841,0.058823529411764705,0.07017543859649122,0.04310344827586207,0.04430379746835443,0.3333333333333333,0.08044382801664356,0.5,0.07207207207207207,0.15151515151515152,0.0651890482398957,0.05714285714285714,0.10270270270270271,0.06291390728476821,0.11674008810572688,0.13953488372093023,0.05309734513274336,0.0967741935483871,0.11384615384615385,0.0388086642599278,0.07032181168057211,0.043478260869565216,0.136986301369863,
-13,0.06466512702078522,0.08188585607940446,0.05970149253731343,0.07925801011804384,0.12460063897763578,0.06950067476383266,0.10362694300518134,0.2222222222222222,0.04597701149425287,0.06596491228070175,0.13333333333333333,0.14156626506024098,0.04796511627906977,0.13157894736842105,0.1111111111111111,0.03285420944558522,0.050505050505050504,0.0,0.05638297872340425,0.0,0.005500550055005501,0.16666666666666666,0.05844155844155844,0.01951219512195122,0.07794508414526129,0.034782608695652174,0.09734513274336283,0.05172413793103448,0.07142857142857142,0.06944444444444445,0.083984375,0.03636363636363636,0.08485856905158069,0.06451612903225806,0.1414141414141414,0.042692939244663386
-12,0.08413461538461539,0.07830551989730423,0.046875,0.07867494824016563,0.09281437125748503,0.08544303797468354,0.13016528925619836,0.2,0.033602150537634407,0.07142857142857142,0.07775768535262206,0.11606217616580311,0.061386138613861385,0.13793103448275862,0.13793103448275862,0.05476190476190476,0.06936416184971098,0.0,0.07169811320754717,0.0,0.020370370370370372,0.2440944881889764,0.07035647279549719,0.030303030303030304,0.08604954367666232,0.03624733475479744,0.10230692076228685,0.16666666666666666,0.060810810810810814,0.08088235294117647,0.0881057268722467,0.04753673292999136,0.08404802744425385,0.0963855421686747,0.1678832116788321,0.06060606060606061
-11,0.09289617486338798,0.0876979293544458,0.11764705882352941,0.07971014492753623,0.08307692307692308,0.08921644685802949,0.11462450592885376,0.15853658536585366,0.07003891050583658,0.07801418439716312,0.1048951048951049,0.12527233115468409,0.08393285371702638,0.06666666666666667,0.10526315789473684,0.03648068669527897,0.06521739130434782,0.3333333333333333,0.0626118067978533,0.0,0.024390243902439025,0.14049586776859505,0.07255813953488371,0.029585798816568046,0.0572987721691678,0.04824561403508772,0.08996539792387544,0.06779661016949153,0.0736196319018405,0.07792207792207792,0.0737527114967462,0.04801477377654663,0.07204116638078903,0.075,0.0851063829787234,0.09219858156028368
-10,0.08591885441527446,0.06956521739130435,0.06666666666666667,0.09055118110236221,0.15217391304347827,0.0570362473347548,0.10198675496688742,0.15384615384615385,0.057569296375266525,0.07427258805513016,0.06779661016949153,0.11366384522370013,0.07415730337078652,0.11538461538461539,0.07692307692307693,0.028205128205128206,0.05371900826446281,0.3333333333333333,0.07454739084132056,0.0,0.02247191011235955,0.211864406779661,0.06463878326996197,0.056962025316455694,0.08767123287671233,0.0449438202247191,0.09500609013398295,0.07352941176470588,0.09554140127388536,0.16891891891891891,0.06746987951807229,0.0393574297188755,0.06257668711656442,0.11983471074380166,0.12195121951219512,0.04751131221719457
