cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.2644763343403827,0.2018832276938079,0.2491289198606272,0.21176615368671953,0.2218110041944239,0.275700493612079,0.25817094865748214,0.1440381708238851,0.1937229437229437,0.1810583822570124,0.1710694608421881,0.18790849673202614,0.36518661518661516,0.27310046275563515,0.44494047619047616,,0.22446930579460697,0.0994005994005994,0.16284013605442177,0.2457908163265306,0.2776151444184231,0.17806734549853817,0.1527777777777778,0.25892857142857145,0.22406204906204907,0.1923051343442405,0.11200883188479172,0.2770695970695971,0.16624358076563958,0.19069664902998237,0.10120579763436906,0.3919706180344478,0.1270104068117313,0.1062386980108499,0.24497416891284815,0.18580747367440126,0.26730486008836524,0.29448297914207006,0.12618760295751447,0.20025839793281652,,0.16326530612244897
-18,0.223955893832943,0.18057555683563747,0.13457207207207209,0.17709081119885142,0.1728937728937729,0.23048661555017486,0.19677724646343894,0.11420500403551252,0.12032312925170068,0.13154761904761905,0.14811152474018924,0.12888198757763975,0.4189814814814815,0.16132367023591887,0.08134920634920635,,0.22218710493046775,0.07032462107650078,0.15985782802329565,0.2040091821481956,0.17124542124542125,0.14238857307628935,0.07738095238095237,0.2514518002322881,0.19574438970990696,0.1252221037668799,0.1281275221953188,0.1737645229913271,0.1826985943118666,0.19882201132201133,0.09162216288384513,0.3482142857142857,0.09155549379284789,0.10102121417287294,0.22912289915966386,0.1722737040021488,0.26027568922305766,0.2705272108843537,0.08936853962364166,0.21251608751608753,,0.2704761904761905
-17,0.23763659567679668,0.18722204143616444,0.18434343434343434,0.15648224607762182,0.2162303841991342,0.2373833114278974,0.20029627842127842,0.10380507343124165,0.11497493734335838,0.13837129054520358,0.16138379780734788,0.1841889880952381,0.2286780383795309,0.20546548383807484,0.3948412698412698,,0.2417478354978355,0.07257703081232493,0.15023994093761533,0.2094155844155844,0.2899385560675883,0.14076190476190475,0.1255952380952381,0.29271094402673353,0.17888471177944862,0.15777625152625152,0.11951123332054397,0.25096585804132976,0.16326777087646652,0.19220509780675754,0.1015308901338313,0.3715538847117794,0.12930735930735932,0.11197916666666666,0.23814016172506738,0.16992349048800662,0.19374274099883854,0.271405358800902,0.09913701143539853,0.21754992319508448,,0.09722222222222222
-16,0.21361797924297923,0.1977721914008322,0.19032738095238094,0.1615511283878631,0.18511535048802127,0.2439812047552633,0.20708655083655084,0.10205453149001537,0.08154761904761905,0.10705057216685124,0.1704156223893066,0.1895109395109395,0.30395962732919257,0.21938131313131312,0.39047619047619053,,0.23484347442680775,0.06356641017062563,0.12898506860371267,0.2122790404040404,0.2837301587301587,0.15239478275671303,0.09858630952380952,0.23499503968253968,0.11471861471861472,0.1677271483305966,0.11507752451630003,0.2244435817805383,0.1464493960849646,0.18817277869002008,0.11914431837717036,0.3727954144620811,0.14279535343549182,0.0901580459770115,0.2054945054945055,0.1799150303248664,0.1814373897707231,0.2743958777540867,0.09015027665995977,0.146455223880597,,0.11458333333333333
-15,0.22005124919923127,0.18287545787545786,0.22657203907203907,0.17585187228044372,0.16729766111391553,0.25932744231713306,0.19466828352370522,0.085759209344115,0.14616402116402116,0.1214864417989418,0.1686544544016869,0.1143799246317232,0.43197278911564624,0.2643935223414992,0.027210884353741496,,0.28857816711590295,0.06685979476536377,0.19511167298777918,0.20724245873648264,0.227448021462106,0.1544280675233056,0.10851648351648352,0.3275,0.1723901098901099,0.12463924963924963,0.12010800647164283,0.25574063617541876,0.19164941338854383,0.18170176437108707,0.11951058201058201,0.3940826330532213,0.12981000481000482,0.1522454510259388,0.21805226239873543,0.17743004940071266,0.24714285714285716,0.28126659585767394,0.08413015028706518,0.16374007936507934,,0.2869674185463659
-14,0.31476011457214464,0.2976190476190476,0.30422247023809523,0.22743242033655567,0.24887292194984503,0.33969197813561824,0.30304974001094687,0.11227163821503446,0.19523809523809524,0.1670138888888889,0.40187682215743437,0.21516106442577032,0.5375675576979257,0.360639880952381,0.3658424908424908,,0.35735049833887045,0.10215053763440861,0.3403361344537815,0.37876948632762586,0.2912631154156578,0.20326037391700869,0.18724778046811943,0.3475274725274725,0.27678571428571425,0.38606366459627334,0.19946588430000753,0.3813813813813814,0.20563154339750087,0.24624658780709735,0.19454887218045114,0.4978070175438597,0.250870231133389,0.2117442482611022,0.372971452262497,0.2457997557997558,0.25892857142857145,0.4429876304876305,0.1395595238095238,0.27514214641080315,,0.31398809523809523
-13,0.23723622101901987,0.20107760937332042,0.23178427997705106,0.22247456754938053,0.21741375121477163,0.29460075651588163,0.26710421638822596,0.1271178883538434,0.06473214285714285,0.12851147653305925,0.2146263812496903,0.17417726252804788,0.2932609505190151,0.30496086556169427,0.3013392857142857,,0.24417701863354035,0.08772258903561424,0.13338957630296214,0.2073978123200921,0.1671899529042386,0.17611703772418058,0.1302166934189406,0.26082251082251084,0.32102591036414563,0.13530020703933748,0.1584664235412475,0.28346077334327985,0.18277176642469067,0.2506328680897646,0.11198121450415029,0.3969979296066253,0.14104981926764107,0.09523809523809523,0.24506130790190736,0.24995120999219358,0.2646294433266264,0.32469498315578627,0.11827563790021127,0.20781368102796674,0.44718146718146723,0.15683229813664595
-12,0.24140406162464986,0.1898714665148928,0.15854978354978355,0.3014240145819093,0.20084437283685402,0.2611028684470821,0.2035427512573899,0.13087440216261176,0.07619047619047618,0.21566642120765833,0.2027493217326223,0.23047854010025062,0.27042577675489066,0.2545279601539506,0.36123511904761907,0.41947933019361594,0.25919117647058826,0.0654901632014308,0.17717996289424862,0.19915508149568553,0.18073593073593072,0.12129733783277091,0.0444235588972431,0.2595427059712774,0.12793336759164098,0.1238226059654631,0.14714109056648217,0.2014170725108225,0.17048825866143713,0.1768796992481203,0.10280797101449275,0.27625152625152627,0.20423497267759563,0.1299029253574708,0.23187971835075494,0.20280763121430262,0.18693427784336877,0.26861702127659576,0.10413293151013554,0.16613863287250386,0.22955426356589145,0.20995670995670998
-11,0.22244536112317267,0.1947691197691198,0.10781166399143927,0.20188462520207606,0.1967312348668281,0.2536731464737794,0.19120879120879122,0.15881834215167548,0.045068027210884355,0.12618188069451605,0.19453463203463203,0.17685589519650655,0.2978512098230408,0.22986937830687829,0.25277777777777777,0.17520703933747414,0.1734817115251898,0.07324187953327027,0.18158822983384384,0.21053289967475605,0.20129288274449564,0.1402607331506414,0.08260332434860737,0.3044772256728779,0.13015729757607014,0.15778041074249605,0.14587991718426502,0.23094411375661375,0.14688517353639022,0.17358316566063042,0.09827402035194244,0.31444099378881984,0.13386456733230925,0.10564285714285714,0.23933862433862432,0.20792414710245002,0.1875504439063761,0.29625655698617076,0.10358124848924341,0.1877076411960133,0.3895198246662682,0.3241758241758242
-10,0.20529878618113911,0.1943874058863792,0.1835075493612079,0.19180015089521488,0.18783840066638902,0.18453194119177724,0.20095652474187642,0.11026959421901057,0.08648459383753501,0.10837438423645321,0.19773844299160756,0.15470627503337783,0.27417358380661133,0.2426046176046176,0.23596938775510207,0.2224702380952381,0.2667445482866044,0.07546166614794066,0.17682696841112683,0.22565110186469411,0.23445378151260501,0.16627720938065765,0.11116332497911445,0.24135944700460832,0.17134353741496597,0.12704451345755693,0.14379302016664655,0.23174713098535815,0.1625852319973391,0.16245039682539683,0.09496581351727476,0.2944862155388471,0.14341313448456305,0.10185185185185186,0.25093370681605975,0.19821301564722618,0.23377085877085876,0.30248784630703446,0.1086345996732026,0.166504329004329,0.22074212749615976,0.18485449735449733
