cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.37951926897099725,0.3183963889463166,0.38095238095238093,0.3728769653556787,0.34053103007037744,0.3559672992003819,0.38839704896042926,0.26907574053243344,0.3269230769230769,0.23956554733447163,0.3557020030234316,0.3112519201228879,0.45117710005350453,0.4416666666666667,0.37896825396825395,,0.42692712444093656,0.22478474784747846,0.35937019969278033,0.31952380952380954,0.22862001943634597,0.3161631965338789,0.1634920634920635,0.5107376283846872,0.346031746031746,0.23653807514567007,0.18241220306387815,0.4158496732026144,0.3105204872646733,0.38147186147186146,0.29149659863945576,0.544162826420891,0.2979052197802198,0.19093172983479104,0.36328663298116676,0.3682859196877889,0.4438914910226386,0.4173062639267145,0.2882500785422557,0.34665334665334663,,0.49523809523809526
-18,0.28640532730242496,0.2492795908075787,0.2611241217798595,0.31095729576234166,0.2561790247160989,0.2866580310880829,0.32861513936027975,0.2011111111111111,0.2738095238095238,0.19439290867862297,0.29163385310022577,0.25640161725067384,0.5501618122977346,0.3380196523053666,0.548941798941799,,0.30612244897959184,0.20306776556776554,0.3112244897959184,0.26625760436333124,0.18904761904761905,0.20336230664984345,0.09617794486215539,0.3032687651331719,0.28137400793650796,0.1843300110741971,0.2195135810887601,0.33886355960824044,0.2596125406684413,0.37205581157194056,0.2621052306933136,0.5424430641821946,0.1918348861283644,0.18018315018315018,0.34541611036938136,0.3145747263897949,0.3228676085818943,0.38291630297740276,0.21032161555721765,0.24400656814449917,,0.3769841269841269
-17,0.2832740709753887,0.2448093820861678,0.26964285714285713,0.29153810552298676,0.30759398496240603,0.27532718385367394,0.32157029478458055,0.1994301994301994,0.23015873015873015,0.23857142857142857,0.276123261465281,0.2601190476190476,0.4362468671679198,0.361547619047619,0.39806547619047616,,0.34413067552602433,0.17959770114942528,0.336783988957902,0.25699558173784975,0.166407867494824,0.23155972185547047,0.09024577572964669,0.39253539253539255,0.2222625090645395,0.17955386037910312,0.20553989139515458,0.3419029090235316,0.23947550034506557,0.32714072175955583,0.24605254946015104,0.6005527210884354,0.22600826044703598,0.1967219986586184,0.338457177742892,0.3047206723514756,0.3618777056277056,0.35097204019222367,0.21861814345991562,0.2409887566137566,,0.4114583333333333
-16,0.2824285714285714,0.21931137724550898,0.3645617667356798,0.29086879432624113,0.22874306839186692,0.2634218510995762,0.312354583527222,0.17451174017994295,0.28174603174603174,0.22698412698412698,0.3106989576946658,0.234413352970054,0.5366506153023006,0.4100425436632333,0.4809523809523809,,0.3909313725490196,0.17200692333671055,0.34226190476190477,0.2700194363459669,0.15744315744315743,0.23148749945838207,0.053791887125220456,0.32987012987012987,0.17218045112781954,0.18422753716871365,0.19564635411437942,0.3224657287157287,0.2371390323197552,0.3123405612244898,0.24401612496850592,0.409289067739772,0.1972361809045226,0.20639164756811815,0.3445744851994852,0.3068072278598594,0.3599656357388316,0.35674317688706175,0.1958176232369781,0.31132756132756134,,0.34782608695652173
-15,0.29933105066260857,0.2703308596165739,0.44603174603174606,0.3052617891816921,0.2727807172251617,0.2823259572028045,0.3291420926168633,0.12375886524822695,0.039115646258503396,0.23847926267281105,0.3153936067489963,0.27713059472716123,0.3826777087646653,0.387846536464048,0.5238095238095238,,0.34516637980493403,0.18111263736263736,0.35063244047619047,0.27028904947192883,0.2199961285327139,0.23766765685480243,0.05807200929152149,0.3254936120789779,0.2035007072135785,0.21898496240601506,0.20735710830050452,0.3367591640972936,0.2557004984621911,0.30958747135217723,0.25984996738421395,0.4811827956989247,0.22139212827988336,0.19722918407128934,0.3029982363315697,0.3245410759723737,0.4194139194139194,0.38272543059777103,0.19743889375791218,0.3778957528957529,,0.1865079365079365
-14,0.4291059280855199,0.38193987272328284,0.48333333333333334,0.41799881586737714,0.37286324786324787,0.4582476875642343,0.4802532123960695,0.30970695970695966,0.5535714285714286,0.27176527176527177,0.5957365913008212,0.3253715498938429,0.7344093910491563,0.518968253968254,0.7213541666666666,,0.5273809523809524,0.27013720742534303,0.580798290088478,0.5631526733500417,0.29435483870967744,0.3530075187969925,0.5267165005537099,0.5004578754578755,0.4010903426791277,0.4338735494197679,0.32872200263504614,0.5200708382526564,0.4019694297472075,0.5089523809523809,0.38197544642857145,0.6071428571428572,0.45336045810729353,0.26211361737677524,0.5214405661508936,0.45301234266161555,0.5325396825396825,0.6549102087040932,0.2875391032325339,0.3981625258799172,,0.37670068027210885
-13,0.28966773276474767,0.22238982549541556,0.29815209665955933,0.393559488692232,0.33098591549295775,0.38294736842105265,0.5246997047754265,0.16425736961451248,0.4428571428571429,0.2330873308733087,0.3087266821622266,0.23608661571624534,0.35218904806533674,0.5490994325191216,0.5473057644110275,,0.39611410601976643,0.21885133981908175,0.30020379759419424,0.2901154401154401,0.24742857142857141,0.3790198994884276,0.15914195867026057,0.31300813008130085,0.5751532296086752,0.24080569727891157,0.23150927037481658,0.4608479755538579,0.3766765340057742,0.5132978723404256,0.26344309551527245,0.4419129720853859,0.25500755857898716,0.21134085213032583,0.36168678739101273,0.4142122535288625,0.42221625492302184,0.4228121927236972,0.22989453933747414,0.3042738834664301,0.6209667487684729,0.6134453781512605
-12,0.30304621848739494,0.24377218753825436,0.32663690476190477,0.2946635456565943,0.2581710845257643,0.32369507652259777,0.3402190144350423,0.1728927203065134,0.26731601731601734,0.475210970464135,0.30448572035570126,0.5022219504240052,0.362842921368933,0.4362256101386536,0.5316091954022988,0.5762507534659433,0.3555594651653765,0.2096420128335022,0.30749128919860624,0.24461559432933477,0.19291338582677164,0.22485756938731988,0.2398921832884097,0.3055555555555556,0.25798227033811877,0.17781796262808922,0.22833019397904894,0.33808738016658807,0.28720649550142635,0.31233025529603475,0.2680163523563006,0.42874911158493245,0.40597587719298245,0.28819181993785165,0.29080866580866577,0.34134702988338195,0.31247269550021844,0.4210383698244093,0.20410307454103074,0.30446748591909883,0.33493205435651474,0.42063492063492064
-11,0.30022267899965743,0.2421314915194964,0.28939075630252103,0.32801822323462415,0.25943239424914816,0.31590810278940984,0.32913462835559154,0.24929971988795518,0.22727272727272727,0.1915113871635611,0.3235505430242272,0.2870910268869452,0.36136256482791135,0.37117814158630485,0.5126984126984128,0.32346109175377463,0.2622197026958932,0.18895323895323896,0.37650288743728105,0.2766990291262136,0.17295780100658148,0.23042977743668458,0.19863563402889245,0.3347457627118644,0.24957160894660893,0.2475282485875706,0.23372155020160618,0.33957280661460726,0.2609307359307359,0.37796394277875756,0.2565993788819876,0.3565668202764977,0.27999491611591254,0.18777814864263462,0.32834694928976227,0.35221577632745144,0.328821044546851,0.4467644200537358,0.20039539899352984,0.29261559696342304,0.5114795918367346,0.3148148148148148
-10,0.30182610816413635,0.273227969348659,0.337173579109063,0.3602805463270579,0.3154188457656666,0.23276895281027513,0.31410196004523183,0.24340062111801242,0.5833333333333334,0.21961805555555555,0.3005651350223164,0.28386422136422135,0.3632140217506071,0.37634078021452483,0.44505494505494503,0.39093701996927804,0.32209737827715357,0.20430839002267573,0.29875554040231844,0.2857386807181889,0.1444954128440367,0.2662636729994243,0.3108614232209738,0.3092469545957918,0.23236950090657504,0.21489479512735324,0.22896043902608457,0.3624295112781955,0.2602204869085898,0.3227313566936208,0.2691397688782626,0.44421768707482995,0.26022355507088335,0.20414783918433552,0.33491652274035694,0.36639140759930916,0.34558823529411764,0.4783297075175248,0.21887550200803213,0.2534496753246753,0.3595773140716961,0.38571428571428573
-9,0.27121059691482224,0.2554098257532868,0.23633156966490299,0.3442448321529337,0.2592101775775245,0.31076706544686844,0.3360172018708604,0.2253269183320997,0.10119047619047619,0.20942114011929208,0.30284591951258616,0.287332408691632,0.3386365863217715,0.3899647266313933,0.634920634920635,0.2261904761904762,0.3767361111111111,0.1926325247079964,0.3380002235636039,0.25862590799031476,0.2514757969303424,0.2601550088024389,0.1741666666666667,0.35208333333333336,0.22166034555415087,0.25256410256410255,0.22334754797441364,0.3667478354978355,0.2533995684680616,0.397028897028897,0.2574748168498168,0.40459882583170254,0.24017223910840932,0.20042935206869633,0.28973765432098764,0.3687861555054417,0.40678346810422283,0.43091359350757846,0.20200943335271693,0.28931339977851606,0.3216830675262979,0.2092731829573935
-8,0.28892195767195766,0.2584105913751932,0.22985347985347987,0.4835947880502336,0.27773025377815796,0.30759785589628524,0.33229963475983737,0.20120517342739563,0.1011904761904762,0.18387149380300066,0.30664523627910356,0.3353794642857143,0.3484271120479974,0.3789032006245121,0.5123626373626373,0.26526251526251526,0.34866071428571427,0.18866100895803864,0.3348072562358277,0.2709284627092846,0.2299196787148594,0.2611051883439943,0.24549941927990707,0.44684385382059805,0.22385162316400037,0.2802579365079365,0.22823660714285712,0.3685392306388748,0.2827161577161577,0.3259007306626354,0.26330532212885155,0.413265306122449,0.30060882800608824,0.2025467568643056,0.3234825620389001,0.3491017011586632,0.3194247996228194,0.4453297919433377,0.20445463093559005,0.25352380952380954,0.3359213250517598,0.5075187969924811
-7,0.27438903238625073,0.24245979600775922,0.3556547619047619,0.33745204242834576,0.2835657283171095,0.30851076583704984,0.32721762485482,0.2880061115355233,0.2693452380952381,0.16892832289492,0.31225384890798424,0.3335762876579203,0.3532015065913371,0.3435152922957801,0.5731922398589065,0.3449404761904762,0.38814616755793224,0.1778979840111227,0.3335690711928336,0.26680962239968453,0.3311467444120505,0.27126099706744866,0.1984126984126984,0.40199335548172754,0.22172917263097622,0.14479287650019357,0.24425876010781672,0.35341303903535665,0.25137109107208777,0.40186125211505924,0.2555136596471258,0.3028375733855186,0.2551452784503632,0.20301276935355148,0.3066590272472625,0.33975719000471477,0.36331038439472174,0.4309006211180124,0.1894345238095238,0.33664965986394557,0.3390983512048887,0.22959183673469388
