cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.041237113402061855,0.0,0.0,0.05063291139240506,0.05232558139534884,0.022498907820008737,0.017740429505135387,0.0,,0.05421686746987952,0.0,0.05128205128205128,0.0,0.10992578849721706,,,0.025,0.0074794315632011965,0.05,0.16777408637873756,0.05,0.04914285714285714,0.0,0.0,0.12414965986394558,0.06882440476190477,0.05128205128205128,0.32232142857142854,0.0,0.01818181818181818,0.0,0.12053571428571429,0.029411764705882353,0.12569573283858998,0.02628032345013477,0.011037527593818985,0.0,0.02197802197802198,0.003401360544217687,0.0,,0.0
-18,0.017543859649122806,0.0,0.0,0.034786641929499075,0.022727272727272728,0.008488612836438925,0.008985441310282075,0.0,,0.012658227848101266,0.011235955056179775,0.023255813953488372,0.041666666666666664,0.10869565217391304,0.0,,0.0,0.0022195318805488294,0.020737327188940093,0.250776397515528,0.05263157894736842,0.04132231404958678,0.0,0.0,0.024285714285714285,0.031015037593984964,0.0660377358490566,0.1,0.043478260869565216,0.0,0.022727272727272728,0.0,0.02531645569620253,0.06288819875776397,0.01282051282051282,0.016609637867122898,0.0,0.017365661861074706,0.007352941176470588,0.0,,0.0
-17,0.028645833333333332,0.025747508305647843,0.0,0.08770343580470163,0.0211864406779661,0.016593406593406593,0.009016393442622951,0.0,,0.013888888888888888,0.0,0.0,0.03134110787172011,0.1363324175824176,0.0,,0.18506493506493504,0.014367816091954023,0.0,0.05357142857142857,0.0,0.04827586206896552,0.0,0.2,0.022727272727272728,0.05233990147783251,0.0,0.21428571428571427,0.0,0.02,0.017857142857142856,0.42857142857142855,0.0,0.07527472527472527,0.0,0.01130722559293988,0.0,0.02608695652173913,0.006802721088435374,0.043478260869565216,,0.0
-16,0.023529411764705882,0.01354679802955665,0.0,0.03260869565217391,0.038461538461538464,0.014534883720930232,0.013975155279503106,0.0,,0.03278688524590164,0.03454968944099379,0.030303030303030304,0.0,0.0703125,0.0,,0.4415584415584416,0.020061728395061727,0.0,0.17857142857142858,0.0,0.059602649006622516,0.0,0.0,0.0,0.05194805194805195,0.026455026455026454,0.1810344827586207,0.016129032258064516,0.0,0.0,0.05714285714285714,0.0,0.05454545454545454,0.053571428571428575,0.00843644544431946,0.0,0.006993006993006993,0.0,0.0,,0.0
-15,0.01098901098901099,0.023809523809523808,0.0,0.05519480519480519,0.0851063829787234,0.03860294117647059,0.012903225806451613,0.0,,0.03636363636363636,0.022727272727272728,0.040293040293040296,0.0,0.11565934065934066,0.0,,0.0,0.005917159763313609,0.0,0.28125,0.0,0.031007751937984496,0.0,0.0,0.006578947368421052,0.04370300751879699,0.0392156862745098,0.2413793103448276,0.017241379310344827,0.014285714285714285,0.0,0.2222222222222222,0.0024213075060532684,0.17385444743935308,0.0045351473922902496,0.012135922330097087,0.1,0.009523809523809525,0.015384615384615385,0.08333333333333333,,0.0
-14,0.11764705882352941,0.0,0.0,0.10526315789473684,0.11764705882352941,0.03637976929902396,0.0196078431372549,0.0,0.0,0.017857142857142856,0.0632956152758133,0.0,0.13796992481203008,0.22776280323450135,0.0,,0.3,0.012195121951219513,0.05405405405405406,0.17216117216117216,0.08571428571428572,0.025921658986175117,0.0,,0.08333333333333333,0.026061776061776062,0.07711038961038962,0.3333333333333333,0.009453781512605043,0.06896551724137931,0.0,0.375,0.03571428571428571,0.15625,0.034482758620689655,0.018522036474164134,,0.2689075630252101,0.01838235294117647,0.0,,0.0
-13,0.041176470588235294,0.0,0.0,0.06611570247933884,0.04,0.014149102263856362,0.07109058134294727,0.0,,0.0,0.009554140127388535,0.02564102564102564,0.02912621359223301,0.0891304347826087,0.0,,0.0,0.0035516969218626674,0.0,0.09722222222222222,0.03333333333333333,0.02769679300291545,0.0,0.0,0.05764411027568922,0.04981203007518797,0.004578754578754579,0.15384615384615385,0.012422360248447204,0.014705882352941176,0.0,0.2,0.0,0.06478405315614617,0.014550264550264551,0.007653061224489796,0.0,0.07256596906278434,0.029084687767322495,0.0,0.1721938775510204,0.0
-12,0.015384615384615385,0.001728110599078341,0.0,0.0546975546975547,0.021205357142857144,0.03109452736318408,0.013782827342149376,0.0,0.0,0.01282051282051282,0.036679536679536676,0.012175324675324674,0.03755868544600939,0.09151785714285714,0.0,0.0,0.058823529411764705,0.007039835164835166,0.0,0.11290322580645161,0.0,0.05255102040816327,0.0,0.14285714285714285,0.019230769230769232,0.024096385542168676,0.02631578947368421,0.1891891891891892,0.009199134199134198,0.0,0.014925373134328358,0.2727272727272727,0.0,0.126890756302521,0.029411764705882353,0.020850147968792036,0.08333333333333333,0.06808688387635756,0.0018083182640144665,0.07692307692307693,0.15625,0.0
-11,0.02857142857142857,0.05555555555555555,0.0,0.05226480836236934,0.020186335403726708,0.02040816326530612,0.016142308395829523,0.0,,0.008928571428571428,0.014395043731778424,0.022222222222222223,0.03127136021872864,0.08860759493670886,0.0,0.0,0.11764705882352941,0.004651162790697674,0.0,0.11414565826330532,0.0,0.050724637681159424,0.0,0.0,0.02127659574468085,0.03896103896103896,0.029411764705882353,0.35787172011661805,0.0,0.022879464285714288,0.014705882352941176,0.14285714285714285,0.0,0.05631868131868131,0.013513513513513514,0.013128176171654434,0.0,0.037267080745341616,0.004761904761904762,0.045454545454545456,0.07692307692307693,0.0
-10,0.01371173469387755,0.02564102564102564,0.0,0.08045977011494253,0.09438775510204081,0.017223161453930685,0.016809461724715962,0.0,,0.018404907975460124,0.044797687861271675,0.025,0.03669008587041374,0.08141646489104117,0.0,0.0,0.0,0.005247122545700745,0.0,0.11764705882352941,0.03571428571428571,0.047193877551020405,0.0,0.0,0.037037037037037035,0.04411764705882353,0.05848214285714286,0.23660714285714288,0.0015873015873015873,0.0,0.0,0.14285714285714285,0.013862781954887219,0.08147321428571429,0.024175824175824177,0.025430794886047804,0.0,0.04145962732919255,0.011049723756906077,0.0,0.0415057915057915,0.0
