cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,0.0,0.0,0.011645962732919256,0.08903769841269842,0.014932266009852218,0.0,0.0,0.0,0.0,0.003989879330478786,0.0,0.0,0.015873015873015872,0.0,,0.04,0.006578947368421052,0.06060606060606061,0.0,0.0,0.003484320557491289,0.0,0.0,0.19285714285714287,0.013888888888888888,0.005291005291005291,0.06527093596059114,0.015151515151515152,0.05263157894736842,0.0106951871657754,0.04411764705882353,0.0,0.0,0.0,0.004962073324905183,0.06818181818181818,0.0035211267605633804,0.005988023952095809,0.06896551724137931,,0.0
-18,0.0,0.0,0.0,0.0,0.07881773399014778,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.007421150278293135,0.0,,0.10344827586206896,0.013071895424836602,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.023809523809523808,0.014925373134328358,0.0,0.06428571428571428,0.005102040816326531,0.03076923076923077,0.0,0.0,0.0,0.0,0.005494505494505495,0.0027939747327502427,0.00857142857142857,0.020618556701030927,0.0014323911382734913,0.01495016611295681,,0.0
-17,0.0,0.0,0.0,0.0051820728291316525,0.058941058941058944,0.008418367346938776,0.0040650406504065045,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.028985507246376812,0.0,,0.0,0.0,0.0,0.018867924528301886,0.0,0.021739130434782608,0.0,0.0,0.04365079365079365,0.0,0.005698005698005698,0.027777777777777776,0.0,0.011363636363636364,0.009411196911196911,0.07142857142857142,0.0,0.0,0.006802721088435374,0.0062629842356104115,0.03571428571428571,0.00980392156862745,0.005649717514124294,0.04411764705882353,,0.0
-16,0.0,0.0,0.023809523809523808,0.004595588235294118,0.026143790849673203,0.001736111111111111,0.0035971223021582736,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,,,0.038461538461538464,0.013422818791946308,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.005208333333333333,0.0,0.20512820512820512,0.004780652418447695,0.014084507042253521,0.0,0.08333333333333333,0.0,0.0,0.000835421888053467,0.004972155926809865,0.017857142857142856,0.0182648401826484,0.0028328611898017,0.03278688524590164,,0.0
-15,0.0,0.0,0.0,0.0010330578512396695,0.056,0.0029411764705882353,0.0019011406844106464,0.0,0.0,0.0,0.012560532687651333,0.0,0.0,0.012658227848101266,0.0,,0.0,0.0,0.0,0.00463821892393321,0.0,0.016877637130801686,0.0,0.0,0.0,0.006138392857142857,0.006892230576441103,0.08766233766233766,0.019873271889400922,0.011494252873563218,0.0,0.19419642857142858,0.0,0.0,0.0010757314974182445,0.004775922143457888,0.016666666666666666,0.0016611295681063123,0.007874015748031496,0.03017241379310345,,0.006493506493506493
-14,0.0,0.0367965367965368,0.0,0.016380236305048337,0.18483709273182958,0.0064285714285714285,0.0,0.0,0.0,0.0,0.022344322344322348,0.013975155279503106,0.010309278350515464,0.03333333333333333,0.0,,0.06451612903225806,0.0,0.057750759878419454,0.03773584905660377,0.0,0.03496503496503497,0.0,0.0,0.0,0.0,0.0078125,0.045454545454545456,0.004464285714285714,0.0,0.0,0.11904761904761904,0.022727272727272728,0.0,0.011764705882352941,0.011727078891257996,0.04107142857142857,0.03426248548199768,0.0,0.05,,0.0
-13,0.018867924528301886,0.0,0.0,0.00962360992301112,0.057422969187675074,0.01122104247104247,0.0015384615384615385,0.0,0.0,0.007554945054945055,0.01059322033898305,0.0,0.0028011204481792717,0.0,0.0,,0.02857142857142857,0.007692307692307693,0.010638297872340425,0.0,0.0,0.016666666666666666,0.0,0.0,0.004464285714285714,0.0,0.009591115598182737,0.07430875576036867,0.004273504273504274,0.017543859649122806,0.0,0.10476190476190476,0.0,0.0,0.006329113924050633,0.011595547309833025,0.0,0.007109788359788359,0.01138996138996139,0.008064516129032258,0.04105473965287049,0.0
-12,0.0,0.0,0.0,0.007936507936507936,0.07421150278293136,0.005681818181818182,0.0,0.0,0.0,0.0,0.004132231404958678,0.0,0.002770083102493075,0.02197802197802198,0.19642857142857142,,0.030952380952380953,0.0021572387344199425,0.01282051282051282,0.013953488372093023,0.0,0.01072840203274986,0.0,0.0,0.08928571428571429,0.013513513513513514,0.0,0.018867924528301886,0.006003694581280788,0.004807692307692308,0.0,0.09090909090909091,0.0,0.007666417352281228,0.0,0.007790684686697197,0.0,0.006787330316742082,0.004158004158004158,0.016281512605042018,0.018018018018018018,0.0
-11,0.0,0.0,0.0,0.00796812749003984,0.0765655577299413,0.006493506493506494,0.0014637002341920374,0.0,0.0,0.0,0.011395467277820218,0.0,0.007553151809026482,0.013888888888888888,0.1111111111111111,,0.0,0.0,0.01834862385321101,0.005639097744360902,0.0,0.011950027159152634,0.0,0.017857142857142856,0.0,0.017543859649122806,0.006097560975609756,0.08258928571428571,0.0045045045045045045,0.0,0.008803986710963455,0.0,0.0,0.0,0.005050505050505051,0.005981703026038001,0.0,0.003703703703703704,0.0,0.03614457831325301,0.125,0.0
-10,0.0,0.0,0.0,0.004017857142857143,0.047619047619047616,0.0,0.0,0.0,0.0,0.013333333333333334,0.006263048016701462,0.0,0.0030552043826380113,0.012195121951219513,0.0,0.0,0.011278195488721806,0.00625,0.0,0.0,0.0,0.0055248618784530384,0.0,0.029556650246305417,0.0,0.0,0.003048780487804878,0.027777777777777776,0.0008710801393728223,0.015789473684210527,0.000725163161711385,0.08928571428571429,0.0,0.0049261083743842365,0.0013089005235602095,0.012635488978199976,0.0,0.002457002457002457,0.0,0.05020703933747412,0.0,0.0
