cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.13088044885627967,0.0878839590443686,0.09451219512195122,0.0901989740401057,0.08743523316062177,0.14303135888501742,0.13056969095196722,0.01473922902494331,0.09740259740259741,0.0785225048923679,0.06262298307752853,0.07282913165266107,0.2313384813384813,0.17476489028213166,0.375,,0.09810671256454388,0.018814518814518812,0.05714285714285714,0.11849489795918368,0.16978922716627637,0.049022078838592595,0.0,0.125,0.12077922077922076,0.10734237829209897,0.029765420639608475,0.1331868131868132,0.04481792717086835,0.09248236331569665,0.020500091928663356,0.2712765957446808,0.056291390728476824,0.029535864978902954,0.13628706199460916,0.06926195135588482,0.08321060382916053,0.15931227863046046,0.02660613722560625,0.06616832779623477,,0.07142857142857142
-18,0.12470725995316159,0.09922235023041474,0.04633204633204634,0.07555635319454415,0.06373626373626375,0.13246569814366427,0.10770322773460848,0.01694915254237288,0.0,0.06428571428571428,0.06607724523033968,0.05035492457852707,0.29484126984126985,0.07456254896839906,0.0,,0.13685208596713022,0.002506265664160401,0.06115107913669065,0.12363869314541961,0.09230769230769231,0.04309812160158181,0.0,0.11411149825783973,0.12007389162561576,0.06849680170575694,0.04539951573849879,0.06946489936180658,0.06284733573063092,0.12087912087912087,0.013618157543391188,0.23529411764705882,0.042801556420233464,0.051286391333784695,0.13858981092436973,0.0740474271900541,0.13157894736842105,0.15642857142857142,0.01855287569573284,0.09652509652509654,,0.1957142857142857
-17,0.13795166307729123,0.10348193947282786,0.08062770562770562,0.05990916597853014,0.09862012987012987,0.14070872510362958,0.11603120978120979,0.01757899421450823,0.05263157894736842,0.051501035196687375,0.07500627667587247,0.10580357142857141,0.14072494669509594,0.12603242581829305,0.3333333333333333,,0.14650974025974026,0.008991596638655461,0.06561461794019934,0.12183868762816132,0.21370967741935484,0.04875,0.1,0.13972431077694236,0.11922663802363051,0.09752747252747253,0.04310014068295179,0.15,0.05734989648033126,0.09736218138707765,0.030695611577964518,0.281015037593985,0.08103896103896104,0.046396683673469385,0.145822102425876,0.08224034030485644,0.08928571428571429,0.16991643454038996,0.03014592933947773,0.1103110599078341,,0.0
-16,0.1130952380952381,0.10991678224687933,0.0875,0.06669096209912537,0.07065217391304347,0.1495566845985256,0.12487934362934362,0.024423963133640553,0.0,0.0429125138427464,0.08201754385964913,0.07094594594594594,0.2138975155279503,0.13372564935064934,0.2571428571428571,,0.10615079365079365,0.008280361324857812,0.0423728813559322,0.1314935064935065,0.1526610644257703,0.0508425890463424,0.0625,0.10416666666666667,0.030380333951762525,0.09770114942528736,0.04750861383514445,0.1265527950310559,0.039775093710953766,0.10358511220580185,0.03597215059308922,0.24735449735449735,0.08292140385565991,0.03848522167487685,0.11881868131868131,0.09065934065934066,0.058201058201058205,0.18081023454157782,0.024302062374245474,0.08315565031982942,,0.0625
-15,0.11814008114456546,0.09826007326007326,0.1195054945054945,0.07004964147821291,0.06246845027763756,0.15939932674100568,0.11645282428414959,0.01482479784366577,0.1111111111111111,0.029513888888888888,0.0852662098049552,0.0341726618705036,0.3489795918367347,0.18393889347646572,0.0,,0.1549865229110512,0.014527845036319613,0.09197218710493046,0.14100739897552647,0.16046277665995975,0.04591836734693878,0.07692307692307693,0.16714285714285715,0.10393772893772894,0.051731601731601726,0.04014167650531287,0.14892715979672502,0.06956521739130435,0.09319863403528741,0.03126984126984127,0.3151260504201681,0.06192881192881193,0.06533101045296168,0.12603734439834025,0.08852648202137998,0.12285714285714285,0.19158258098778544,0.02422112462006079,0.07470238095238095,,0.21052631578947367
-14,0.1774078052273541,0.18035714285714285,0.1411830357142857,0.09002416756176156,0.10333896872358411,0.19271679716353968,0.17379926108374383,0.016621743036837375,0.0,0.03898809523809524,0.23355502915451895,0.08298319327731092,0.37330192813321644,0.24051339285714285,0.1978021978021978,,0.1823089700996678,0.014208909370199693,0.1623482726423903,0.23070534117045746,0.1725181598062954,0.07416454954074653,0.036924939467312345,0.16483516483516483,0.17559523809523808,0.22864906832298135,0.07120288873843376,0.23326898326898327,0.04533941236068896,0.10532302092811646,0.06508458646616541,0.36466165413533835,0.12969924812030073,0.1063402889245586,0.22085998578535893,0.12952380952380954,0.05777310924369748,0.2879665379665379,0.044,0.15191897654584222,,0.2455357142857143
-13,0.12333402748854644,0.0918252176717188,0.1303786574870912,0.09915686973043582,0.09201895043731778,0.17519042437431992,0.15634589157858847,0.04012841091492777,0.0,0.04136690647482014,0.10855507655715772,0.08657442034405384,0.1860075408462505,0.19223559589581687,0.09821428571428571,,0.13198757763975155,0.027836134453781514,0.04077615298087739,0.0920305946212682,0.12087912087912088,0.07384044526901669,0.01926163723916533,0.11282467532467533,0.20357142857142854,0.06211180124223602,0.061934104627766606,0.17969041402461766,0.03906999041227229,0.14367816091954022,0.024115334207077326,0.26863354037267084,0.07779349363507779,0.022058823529411766,0.15083690151810042,0.13181183570527832,0.11393360160965793,0.1813029226987162,0.026401755241345685,0.09693877551020408,0.3096138996138996,0.059006211180124224
-12,0.1222689075630252,0.0928429140580535,0.05154220779220779,0.16437115516062883,0.07393483709273183,0.13855447223399747,0.11089296744021883,0.030255770430442922,0.0,0.08514359351988218,0.10142436149312377,0.10773026315789473,0.17187243136610225,0.1537808467285488,0.1875,0.2731554160125589,0.16544117647058823,0.009725016767270287,0.06934137291280149,0.09354026845637584,0.1198051948051948,0.04213109724920748,0.0,0.06349206349206349,0.0670606372045221,0.06299058084772372,0.0595041808974208,0.10044642857142856,0.04978126414240459,0.08270676691729324,0.019759316770186334,0.20512820512820512,0.10977751756440282,0.03581267217630854,0.13855618466898953,0.0992091655682855,0.08530106257378985,0.11822441742654509,0.024064411658870098,0.05731566820276498,0.11943521594684385,0.13636363636363635
-11,0.11626139817629179,0.09098124098124098,0.011235955056179775,0.0967412575512635,0.1021993543179984,0.1416365280289331,0.10639360639360639,0.06243386243386244,0.0,0.04809179989685405,0.09349173553719008,0.0801621958827199,0.19919517102615694,0.14763144841269843,0.0,0.10869565217391304,0.06521739130434782,0.012535477767265848,0.08249791144527986,0.11089567175381536,0.1685867895545315,0.05302037412129155,0.012466307277628033,0.15217391304347827,0.06833419288292934,0.08192281651997291,0.05136645962732919,0.13479662698412698,0.04341168680682007,0.07884808853118712,0.022600775847529092,0.2003105590062112,0.06653225806451613,0.03671428571428571,0.13518518518518519,0.1110429134059639,0.06628329297820823,0.15471081136317189,0.02603788977519942,0.1049280177187154,0.24506873879258817,0.3076923076923077
-10,0.09873949579831932,0.11073628630096803,0.09277003484320558,0.09293113954905545,0.05830903790087463,0.10262164975279729,0.11555992955557857,0.026264591439688716,0.0,0.048909218859957776,0.10648212546946724,0.07510013351134848,0.1830129605358963,0.15769034886681946,0.07908163265306123,0.12202380952380953,0.15320427236315087,0.011982570806100218,0.07277227722772277,0.12060795191863154,0.12563025210084033,0.0791019325502084,0.029135338345864664,0.07315668202764977,0.0817920918367347,0.05372670807453416,0.0566356720202874,0.1262366442421844,0.05101446865125561,0.05654761904761904,0.018379016155382105,0.23402255639097744,0.06907378335949764,0.0401077097505669,0.15151515151515152,0.10094492989229831,0.10012210012210011,0.1569583552978387,0.023787640056022408,0.06038961038961038,0.11218317972350231,0.1111111111111111
