cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,1.0,,,,,1.0,0.0,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,0.0030086917762424783,,,,,,
-18,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.004081632653061225,,,,,,
-17,,,,,1.0,1.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.001443001443001443,,,,,,
-16,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00243605359317905,,,,,,
-15,1.0,,,,1.0,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.005738880918220947,,,,,,
-14,1.0,,,,,1.0,0.0,,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.007281553398058253,,,,,,
-13,1.0,,,,0.9285714285714286,1.0,0.5,,,0.0,,,,,,,,,0.0,,,,,,,,1.0,,,,,1.0,,1.0,0.0056625141562853904,,,,,,
-12,1.0,,,,,1.0,0.0,,,0.0,,1.0,0.0,,,,,,0.17857142857142858,,,,,,,,0.0,1.0,,,,,,,0.0009191176470588235,,,,,,
-11,,,,1.0,1.0,1.0,0.0,,,0.0,,0.5,1.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.005323608316566063,,,,,,
-10,,,,,,0.7946428571428572,0.0,,,0.0,,1.0,,1.0,,,,,0.0,,,,0.7857142857142857,,,,,,,,,,,,0.004814022383146807,,,0.0,,,
-9,1.0,,,,0.0,0.6666666666666666,0.0,,,0.0,,1.0,1.0,,,,,,0.0,,,,0.42857142857142855,,,,0.0,,,,,1.0,,,0.007151632151632151,,,,,,
-8,0.08333333333333333,,,1.0,0.5803571428571428,0.0,0.3333333333333333,,,0.0,,0.6666666666666666,0.0,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,0.013481191563383345,,,,,,
-7,0.5,,,0.0,0.5,0.0,0.0,,,0.0,,,,0.48214285714285715,,,0.0,,,,,,,,,,,,1.0,,,0.375,,0.0,0.015086206896551725,,,,,0.0,
-6,0.3333333333333333,,,0.0,0.3979591836734694,0.6666666666666666,0.2,,,0.0,,0.0,,,,1.0,,,0.5,,,,,,,,0.0,,,,,1.0,,,0.028246753246753246,,,,,0.0,
-5,0.16666666666666666,,,,0.44780219780219777,0.32142857142857145,0.14285714285714285,,,0.0,,,0.0,1.0,,,,0.0,0.25,,,0.0,1.0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.012084148727984344,,0.0,,,0.3333333333333333,
-4,0.25,,,,0.0,0.07692307692307693,0.1111111111111111,0.0,,0.0,,0.25,0.0,0.0,,,0.0,0.0,0.2,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0039816602316602315,,0.0,0.0,,,
-3,0.05555555555555555,,,0.0,0.0,0.0,0.03968253968253968,,,0.0,,0.5,0.0,,,,0.0,0.0,0.19047619047619047,0.0,0.25,0.0,,,0.0,0.0,0.5,0.0,,,0.0,0.0,,0.2857142857142857,0.0067839195979899495,,0.0,0.0,,0.3333333333333333,
-2,0.0,0.0,,0.025,0.03669724770642202,0.00888133030990174,0.0,0.0,,0.0,0.0,0.0626984126984127,0.022817460317460316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.016955266955266956,0.0,0.01870748299319728,0.005957224224107869,,0.0,0.0,,0.09090909090909091,0.017857142857142856
-1,0.0,0.0,,0.012917933130699086,0.0042643923240938165,0.004,0.001564945226917058,0.0,,0.0,0.02857142857142857,0.0,0.00038402457757296467,0.043478260869565216,0.0,0.0,0.0,0.005242463958060288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005342303126236645,0.0,0.0007288629737609329,0.005584512285927029,0.0,0.0,0.0,0.0,0.015873015873015872,0.002976190476190476
0,0.0025,0.0,,0.0,0.011764705882352941,0.0,0.0016778523489932886,0.0,,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03225806451612903,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.003668378576669112,,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.012104506232023011,0.0019455252918287938,0.0017301038062283738,0.0,,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0024394255015897383,,0.0,0.0,0.0,0.0,0.0
2,0.00477326968973747,0.0,,0.0,0.007782101167315175,0.0015360983102918587,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.2,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.05263157894736842,0.0,0.0,0.0,0.0037505597850425437,,0.0,0.0,0.0,0.0,0.0
