cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.2890855457227139,0.25666666666666665,0.5,0.35443037974683544,0.34405940594059403,0.31275964391691397,0.2594142259414226,0.31592689295039167,0.2727272727272727,0.3972602739726027,0.32729624838292365,0.43478260869565216,0.33620689655172414,0.28091603053435116,0.375,,0.38372093023255816,0.36046511627906974,0.31690140845070425,0.22377622377622378,0.45901639344262296,0.36738978306508047,0.4444444444444444,0.4791666666666667,0.3493975903614458,0.4262295081967213,0.45481049562682213,0.3674698795180723,0.33170731707317075,0.2955223880597015,0.4656019656019656,0.2765957446808511,0.28338762214983715,0.491869918699187,0.4065934065934066,0.2990726429675425,0.25252525252525254,0.296078431372549,0.4872813990461049,0.40458015267175573,,0.35714285714285715
-18,0.3263327948303716,0.21739130434782608,0.36486486486486486,0.3804878048780488,0.3392857142857143,0.30901582931865107,0.24586776859504134,0.3286908077994429,0.35714285714285715,0.3617021276595745,0.3398203592814371,0.4121212121212121,0.22916666666666666,0.30198915009041594,0.0,,0.3706896551724138,0.385,0.3597122302158273,0.29333333333333333,0.4307692307692308,0.36208368915456873,0.2857142857142857,0.30952380952380953,0.36,0.4074074074074074,0.4666666666666667,0.44039735099337746,0.3870246085011186,0.30666666666666664,0.43392857142857144,0.3548387096774194,0.30038022813688214,0.47844827586206895,0.3745583038869258,0.281076801266825,0.32,0.29708222811671087,0.44594594594594594,0.3333333333333333,,0.46153846153846156
-17,0.32405891980360063,0.1786492374727669,0.463768115942029,0.35917030567685587,0.3278236914600551,0.3073270013568521,0.23034934497816595,0.364741641337386,0.3684210526315789,0.28776978417266186,0.3968531468531469,0.4567901234567901,0.22058823529411764,0.3094736842105263,0.3333333333333333,,0.38461538461538464,0.37155963302752293,0.3656716417910448,0.2986425339366516,0.4375,0.35818005808325265,0.5454545454545454,0.38596491228070173,0.3235294117647059,0.4409937888198758,0.460387323943662,0.3492647058823529,0.3081232492997199,0.27037037037037037,0.45741324921135645,0.3333333333333333,0.3344947735191638,0.5384615384615384,0.37294332723948814,0.3069466882067851,0.4166666666666667,0.2942643391521197,0.49823321554770317,0.46923076923076923,,0.2222222222222222
-16,0.3145038167938931,0.25462962962962965,0.4457831325301205,0.36766220391349125,0.3522388059701492,0.3166556945358789,0.2391304347826087,0.328125,0.5,0.37404580152671757,0.39622641509433965,0.48366013071895425,0.336734693877551,0.28623853211009176,0.4,,0.3274336283185841,0.448512585812357,0.3492063492063492,0.22826086956521738,0.49056603773584906,0.3487972508591065,0.7058823529411765,0.3333333333333333,0.37341772151898733,0.35195530726256985,0.4393013100436681,0.391156462585034,0.36033519553072624,0.2873134328358209,0.47952218430034127,0.35714285714285715,0.3122923588039867,0.6044776119402985,0.39416058394160586,0.288933601609658,0.3146067415730337,0.2531969309462916,0.4893797790994053,0.3546099290780142,,0.25
-15,0.33152909336941816,0.1957040572792363,0.32926829268292684,0.3705357142857143,0.3282208588957055,0.29580279813457694,0.25101214574898784,0.3424657534246575,0.3,0.39215686274509803,0.39792387543252594,0.39622641509433965,0.26582278481012656,0.26958105646630237,0.14285714285714285,,0.325,0.42951541850220265,0.344,0.21428571428571427,0.36363636363636365,0.3596244131455399,0.3333333333333333,0.3103448275862069,0.34375,0.4438202247191011,0.4406354515050167,0.39361702127659576,0.3468354430379747,0.33454545454545453,0.5091649694501018,0.3055555555555556,0.31290322580645163,0.5736434108527132,0.41869158878504675,0.2940471434278865,0.3125,0.2077922077922078,0.4817813765182186,0.5275590551181102,,0.3181818181818182
-14,0.3297644539614561,0.22,0.44594594594594594,0.35600578871201155,0.36492890995260663,0.30852017937219733,0.24494949494949494,0.4148936170212766,0.8333333333333334,0.38345864661654133,0.36,0.384,0.20061022120518687,0.2410958904109589,0.14285714285714285,,0.3163265306122449,0.3682170542635659,0.3438485804416404,0.27288428324697755,0.4057971014492754,0.4043280182232346,0.4461538461538462,0.32558139534883723,0.3469387755102041,0.3076923076923077,0.43391188251001334,0.3310344827586207,0.3611940298507463,0.2931937172774869,0.4768392370572207,0.2727272727272727,0.3106796116504854,0.6442307692307693,0.3860759493670886,0.27128157156220767,0.2653061224489796,0.22478386167146974,0.4827586206896552,0.38961038961038963,,0.3
-13,0.3519061583577713,0.2550335570469799,0.40963855421686746,0.3189992181391712,0.3086734693877551,0.2958963282937365,0.23863636363636365,0.3895131086142322,0.625,0.33093525179856115,0.3807531380753138,0.441025641025641,0.27902439024390246,0.3079056865464632,0.125,,0.3188405797101449,0.4125,0.26811594202898553,0.25989672977624784,0.27472527472527475,0.3728923476005188,0.6629213483146067,0.3181818181818182,0.15634218289085547,0.5043478260869565,0.41813380281690143,0.3994708994708995,0.3330134357005758,0.3160919540229885,0.5227686703096539,0.391304347826087,0.2838283828382838,0.6176470588235294,0.43579234972677594,0.26448362720403024,0.33098591549295775,0.30975143403441685,0.44533869885982563,0.42063492063492064,0.16367265469061876,0.21739130434782608
-12,0.34074074074074073,0.22574257425742575,0.4772727272727273,0.32085805568233683,0.32914572864321606,0.3256501182033097,0.26127239036442246,0.37554585152838427,0.4,0.327319587628866,0.36462450592885376,0.3562091503267974,0.30549199084668194,0.26825396825396824,0.4375,0.27472527472527475,0.3088235294117647,0.394919168591224,0.37365010799136067,0.23115577889447236,0.3063063063063063,0.39599714081486775,0.6526315789473685,0.2857142857142857,0.2589928057553957,0.43956043956043955,0.43646864686468645,0.39204545454545453,0.3590285110876452,0.2807017543859649,0.5240641711229946,0.23076923076923078,0.3397790055248619,0.5193370165745856,0.4070121951219512,0.28449804895352965,0.3140495867768595,0.3404255319148936,0.45835942391984974,0.43548387096774194,0.24948453608247423,0.5454545454545454
-11,0.29573170731707316,0.22535211267605634,0.42696629213483145,0.32359952324195473,0.3002832861189802,0.3372891942535915,0.21563154221912073,0.3925925925925926,0.47619047619047616,0.4151624548736462,0.38031088082901554,0.35714285714285715,0.31533477321814257,0.29895104895104896,0.26666666666666666,0.43478260869565216,0.34057971014492755,0.44052863436123346,0.3489278752436647,0.2708333333333333,0.28421052631578947,0.3925,0.5471698113207547,0.43478260869565216,0.23104693140794225,0.4597156398104265,0.4226086956521739,0.39372822299651566,0.35341830822711473,0.29577464788732394,0.505800464037123,0.3111111111111111,0.31536388140161725,0.612,0.3816568047337278,0.2855607309208169,0.3050847457627119,0.3074712643678161,0.47468354430379744,0.34108527131782945,0.20469798657718122,0.46153846153846156
-10,0.2883156297420334,0.20944558521560575,0.4024390243902439,0.3485958485958486,0.33819241982507287,0.2382882882882883,0.2478134110787172,0.45136186770428016,0.35294117647058826,0.39408866995073893,0.36007827788649704,0.3317757009345794,0.2892057026476578,0.28622540250447226,0.21428571428571427,0.3333333333333333,0.3177570093457944,0.39565217391304347,0.36852589641434264,0.25728155339805825,0.29411764705882354,0.411660777385159,0.43859649122807015,0.3548387096774194,0.22767857142857142,0.5478260869565217,0.4150464919695689,0.39335180055401664,0.3484848484848485,0.2534722222222222,0.543424317617866,0.13513513513513514,0.2853185595567867,0.5674603174603174,0.39572192513368987,0.28219764537995007,0.3418803418803419,0.33415536374845867,0.43906919779546844,0.42201834862385323,0.2157258064516129,0.2222222222222222
