cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.06455399061032864,0.06714285714285714,0.15254237288135594,0.07760141093474426,0.060218978102189784,0.06533665835411472,0.044343891402714934,0.15471698113207547,0.14285714285714285,0.07936507936507936,0.06238003838771593,0.13333333333333333,0.054945054945054944,0.04904632152588556,0.05263157894736842,,0.05945945945945946,0.11496350364963503,0.11612903225806452,0.06827309236947791,0.13725490196078433,0.1020066889632107,0.06666666666666667,0.0784313725490196,0.08677685950413223,0.07172995780590717,0.10852713178294573,0.06962025316455696,0.10161662817551963,0.03103448275862069,0.11962616822429907,0.01694915254237288,0.06280193236714976,0.19138755980861244,0.11219512195121951,0.0629642730810046,0.07258064516129033,0.07894736842105263,0.08226691042047532,0.10738255033557047,,0.0
-18,0.05620915032679739,0.052083333333333336,0.12903225806451613,0.08852459016393442,0.07858546168958742,0.05678884873515746,0.055378061767838126,0.13478260869565217,0.0,0.10212765957446808,0.09178228388473852,0.10599078341013825,0.04716981132075472,0.05642633228840126,0.0,,0.06535947712418301,0.1148936170212766,0.1103448275862069,0.07964601769911504,0.10891089108910891,0.12354085603112841,0.05128205128205128,0.0847457627118644,0.07368421052631578,0.0787037037037037,0.0904836193447738,0.08934707903780069,0.08401639344262295,0.054187192118226604,0.137546468401487,0.022727272727272728,0.06451612903225806,0.17002881844380405,0.10566037735849057,0.057206537890044575,0.043478260869565216,0.10721247563352826,0.11033099297893681,0.08275862068965517,,0.0
-17,0.06312769010043041,0.045454545454545456,0.07142857142857142,0.061037639877924724,0.06762295081967214,0.05417118093174431,0.04579339723109691,0.12601626016260162,0.0,0.09523809523809523,0.1007423117709438,0.11827956989247312,0.10126582278481013,0.08210180623973727,0.0,,0.06060606060606061,0.11235955056179775,0.10071942446043165,0.0784313725490196,0.10204081632653061,0.10329067641681901,0.06451612903225806,0.13513513513513514,0.06565656565656566,0.09569377990430622,0.08111988513998564,0.08955223880597014,0.09036144578313253,0.056,0.1372299872935197,0.0,0.04,0.10495626822157435,0.08592321755027423,0.05922715781870711,0.07526881720430108,0.06991525423728813,0.11122661122661123,0.07482993197278912,,0.125
-16,0.057766367137355584,0.04341534008683068,0.1267605633802817,0.06219151036525173,0.05663716814159292,0.05043301069791136,0.04672897196261682,0.12,0.08333333333333333,0.09053497942386832,0.08119218910585817,0.10891089108910891,0.043478260869565216,0.06998444790046657,0.0,,0.11724137931034483,0.12307692307692308,0.06993006993006994,0.04780876494023904,0.13392857142857142,0.10638297872340426,0.18518518518518517,0.14285714285714285,0.06701030927835051,0.09251101321585903,0.08248816768086545,0.0989399293286219,0.08610567514677103,0.05194805194805195,0.12015018773466833,0.08695652173913043,0.07179487179487179,0.18468468468468469,0.09882747068676717,0.06540385989992852,0.019801980198019802,0.0847457627118644,0.09772296015180265,0.0935672514619883,,0.08695652173913043
-15,0.0675,0.04580152671755725,0.03333333333333333,0.06673842841765339,0.06826568265682657,0.056402439024390245,0.05005324813631523,0.13385826771653545,0.0,0.099601593625498,0.08175473579262213,0.10236220472440945,0.1038961038961039,0.06379821958456973,0.0,,0.09090909090909091,0.09574468085106383,0.07194244604316546,0.05363984674329502,0.09230769230769231,0.10657193605683836,0.07142857142857142,0.09090909090909091,0.11538461538461539,0.1016949152542373,0.066711140760507,0.13114754098360656,0.08943089430894309,0.04455445544554455,0.12198221092757307,0.03076923076923077,0.04455445544554455,0.24193548387096775,0.11867364746945899,0.06538321830730112,0.08045977011494253,0.09090909090909091,0.11792905081495686,0.07333333333333333,,0.14285714285714285
-14,0.06630824372759857,0.05179282868525897,0.1320754716981132,0.07346938775510205,0.06785714285714285,0.05868544600938967,0.05135520684736091,0.12244897959183673,0.0,0.10697674418604651,0.06380120886501008,0.15463917525773196,0.04145454545454545,0.041401273885350316,0.0,,0.06321839080459771,0.09043927648578812,0.055441478439425054,0.04430379746835443,0.14492753623188406,0.11642949547218628,0.10112359550561797,0.12903225806451613,0.072992700729927,0.08450704225352113,0.08234019501625135,0.11194029850746269,0.07651715039577836,0.060810810810810814,0.12414965986394558,0.023255813953488372,0.06896551724137931,0.31007751937984496,0.10927835051546392,0.051024507834471676,0.04838709677419355,0.03466955579631636,0.11538461538461539,0.08571428571428572,,0.1875
-13,0.08260325406758448,0.0670807453416149,0.1044776119402985,0.06488011283497884,0.07760141093474426,0.0542832909245123,0.051593323216995446,0.16071428571428573,0.2,0.07011070110701106,0.08075709779179811,0.11740890688259109,0.09813084112149532,0.039790575916230364,0.02631578947368421,,0.08490566037735849,0.11229946524064172,0.10505836575875487,0.06464646464646465,0.0873015873015873,0.07867298578199051,0.1320754716981132,0.0975609756097561,0.01791044776119403,0.11659192825112108,0.10189739985945186,0.08130081300813008,0.08064516129032258,0.047872340425531915,0.12037037037037036,0.03508771929824561,0.04819277108433735,0.2789473684210526,0.08600583090379009,0.06045704367949089,0.06766917293233082,0.06518518518518518,0.11274182788525684,0.0875,0.037539936102236424,0.0
-12,0.08032128514056225,0.056555269922879174,0.046875,0.07247706422018349,0.08717105263157894,0.05663969538315088,0.046701692936368944,0.14942528735632185,0.09090909090909091,0.04430379746835443,0.09154929577464789,0.05964912280701754,0.07328833172613308,0.06125166444740346,0.0,0.0759493670886076,0.0945273631840796,0.11795774647887323,0.116331096196868,0.057803468208092484,0.12307692307692308,0.09923175416133162,0.16981132075471697,0.1111111111111111,0.03166666666666667,0.13983050847457626,0.08025122121423586,0.10231023102310231,0.08387096774193549,0.049429657794676805,0.13515825491873396,0.09090909090909091,0.09,0.20707964601769913,0.09785932721712538,0.05904883498244494,0.07339449541284404,0.07469512195121951,0.13086582947785855,0.07027027027027027,0.06236559139784946,0.0
-11,0.06222865412445731,0.049939098660170524,0.11940298507462686,0.08247422680412371,0.06830122591943957,0.06349975763451285,0.05675287356321839,0.13574660633484162,0.0,0.10227272727272728,0.07279151943462897,0.09180327868852459,0.07128712871287128,0.07631160572337042,0.0,0.07317073170731707,0.10215053763440861,0.11711711711711711,0.08080808080808081,0.04578313253012048,0.0967741935483871,0.07350689127105667,0.15217391304347827,0.11864406779661017,0.03231939163498099,0.10638297872340426,0.08848314606741572,0.11935483870967742,0.08383838383838384,0.06584362139917696,0.13618677042801555,0.03389830508474576,0.06115107913669065,0.17096018735362997,0.07532051282051282,0.06218144750254842,0.0967741935483871,0.07376058041112454,0.1095890410958904,0.06569343065693431,0.04895104895104895,0.07407407407407407
-10,0.06314432989690721,0.06095791001451379,0.08333333333333333,0.07012987012987013,0.08477842003853564,0.040377358490566034,0.04704301075268817,0.12568306010928962,0.25,0.09812108559498957,0.07535641547861507,0.06440677966101695,0.07103218645948946,0.07205882352941176,0.07692307692307693,0.0967741935483871,0.09550561797752809,0.09596928982725528,0.12949640287769784,0.06611570247933884,0.06422018348623854,0.078397212543554,0.14606741573033707,0.06976744186046512,0.028112449799196786,0.07009345794392523,0.07494489346069066,0.10963455149501661,0.09012875536480687,0.045454545454545456,0.14285714285714285,0.029411764705882353,0.10038610038610038,0.26034063260340634,0.08041958041958042,0.05799475753604194,0.10784313725490197,0.07019328585961343,0.11399620012666245,0.09195402298850575,0.04044943820224719,0.1
-9,0.06205923836389281,0.05906040268456376,0.07407407407407407,0.05703883495145631,0.0686456400742115,0.04461152882205514,0.041891891891891894,0.13471502590673576,0.0,0.10472279260780287,0.08111792774369461,0.10749185667752444,0.07010309278350516,0.061746987951807226,0.041666666666666664,0.09090909090909091,0.07368421052631578,0.09943714821763602,0.07380952380952381,0.07006369426751592,0.0743801652892562,0.10282074613284804,0.12,0.075,0.030249110320284697,0.1134020618556701,0.07351837959489872,0.08461538461538462,0.08324552160168598,0.021367521367521368,0.14175506268081003,0.015151515151515152,0.06837606837606838,0.23770491803278687,0.09907120743034056,0.060082872928176795,0.0660377358490566,0.08354430379746836,0.12108843537414966,0.125,0.047505938242280284,0.10526315789473684
