cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.2121130684978394,0.19444040345262342,0.19246994914470644,0.2092609514315778,0.1640213330412666,0.23947842053594154,0.20126684764490166,0.12714086919289233,0.20829731287371225,0.14527151615728578,0.18919717874671704,0.16495267269603553,0.23282602813852812,0.3070877139519529,0.28213928213928213,,0.21395405669599216,0.10540574998406324,0.1750998179789795,0.18867513755294305,0.15085451358457494,0.16684839741439084,0.11616347569955816,0.2186682365253794,0.2101368986063919,0.19115108868826342,0.11102112017942807,0.28903797420477323,0.16345124174071543,0.16061115040075435,0.12931662513446898,0.29694822373393803,0.1520432506118908,0.11082766439909296,0.2216952520393223,0.166862385021143,0.27637342815914245,0.23391751437417072,0.12709106741830514,0.1712014192863775,,0.2018566493955095
-18,0.1626763401854091,0.1532948598372973,0.15098133848133846,0.1697421789825748,0.12846209912536444,0.19901338725421838,0.1680448703183305,0.09545329045670109,0.20045014166895164,0.10954381752701081,0.17399119776873673,0.12992931547619047,0.24673623815067355,0.23197186564238587,0.19510951494191717,,0.17554916703523513,0.08541865268509692,0.14821117742136017,0.14646448641568427,0.1216907722236319,0.1296114660375191,0.08558066083576286,0.1802307206068268,0.15547782686957945,0.13145928069450186,0.11922015182884749,0.2174031007751938,0.1577134782779944,0.1388052666788299,0.11005077658303465,0.2860192464082407,0.11062108117268259,0.09508918774883224,0.1989629238584894,0.14926777426777427,0.2473011874775099,0.2195356555451128,0.09478803716608594,0.14573849266565503,,0.15502729754322112
-17,0.16721733416085574,0.1558539780056116,0.15253748558246827,0.16325520557146392,0.14329920787169348,0.1980764401849798,0.1638231049995756,0.10681265849535079,0.2214992927864215,0.11701026977314531,0.1580444005559213,0.13325825825825827,0.17504349507055866,0.2659319866030222,0.24860457003314146,,0.17207450803665314,0.07999717458868531,0.14446218866950575,0.1316510172143975,0.13581821617535902,0.13453700165584,0.10920589826839827,0.1814930100480559,0.13076341647770218,0.14909380174357134,0.11448550428746428,0.24050080558539205,0.14078735022328337,0.13450043411473986,0.10674849650004929,0.31392645815722736,0.1212406015037594,0.10357300640600839,0.19798251158870628,0.14057092478205635,0.21833158691349402,0.21234118902143342,0.1027608861176277,0.1528188084687346,,0.1375704887218045
-16,0.16415942128595484,0.14497818172259244,0.1616068252274229,0.16218825843166793,0.15467425039282143,0.20272313129455985,0.16353514666175747,0.09977732100034259,0.1939607896901563,0.12229325886733294,0.1686008292880259,0.14000345901072295,0.20289290298918025,0.26724436630563114,0.2500676406926407,,0.18225295898706304,0.07823358350973977,0.14019130379424496,0.14740518412453646,0.12350928025531199,0.13747812179371113,0.10063752276867031,0.15733282674772037,0.12185343077547707,0.14102731890801923,0.11098220347202017,0.2351504360133315,0.13473751291010175,0.14215660993639334,0.10936373071578095,0.2504905808477237,0.12376658584225769,0.10445808531746031,0.19612607024154147,0.14211287451794719,0.22165313153685245,0.22068349398582962,0.0921930114638448,0.14138831791709489,,0.1434870244394054
-15,0.17234402502259644,0.15844494047619048,0.1715321794246709,0.17661912849684128,0.2568787801345941,0.2124859294405973,0.17244971264367817,0.09590630934796371,0.21055668130136215,0.11673764694162184,0.17556852515069787,0.12815067400494537,0.22847206888937957,0.27522489258861443,0.2173277982779828,,0.17983245149911817,0.0767427081278899,0.1618472673160173,0.15264399829793818,0.14347144551770885,0.1447374676707744,0.08472894807640571,0.1934021801491681,0.14461205661566673,0.13744101244101242,0.11719502695611175,0.2471717654557043,0.15606155125805782,0.14751015702207093,0.11391836176407369,0.2763317191283293,0.11608807858807858,0.12715953201027827,0.1890094206155024,0.15254364669714468,0.2835684891240447,0.23029546325572484,0.09086213807776511,0.16616358585318944,,0.15881883479648842
-14,0.26567152149589424,0.2534717582074925,0.25234826589595377,0.24589114940825965,0.2936751387671633,0.308543643472149,0.25988834883065653,0.14418375284769683,0.26775766016713093,0.1482782220301131,0.392905923112799,0.19795605238643213,0.488889172436868,0.3608044223030085,0.38017088673543814,,0.3046004541906181,0.13052486187845305,0.33409041747782825,0.34586511789181695,0.19115696131825163,0.2147291114682419,0.23131127450980393,0.29326477672781176,0.22309903460245145,0.2521371318013109,0.1910497751732272,0.3683626228269085,0.22024224613136748,0.20843323343323342,0.18272459198271582,0.40617577197149646,0.241221354565406,0.17331560283687944,0.3315973419788002,0.2151713864347316,0.3397468142186452,0.41701532189870383,0.14268867924528303,0.22421993911719937,,0.16666666666666666
-13,0.18231892115820686,0.1502908583928271,0.235509009683538,0.22250365278607956,0.18574418292972092,0.29464308515101434,0.251273123396065,0.12028745357965497,0.1842345349354695,0.1291154443973435,0.20198352606461087,0.133211589371507,0.21104640711618305,0.3293726825494146,0.2597127739984883,,0.1790526090675791,0.1057740034124399,0.12680445183679337,0.14602477194744332,0.14458888089240735,0.19812530326202452,0.1017848771013328,0.1771384479717813,0.3842893217893218,0.14749286811498794,0.1415501417519581,0.29777898813846526,0.18695073557878436,0.21524976532968007,0.11414089997948135,0.4118775215713991,0.12292391704156409,0.11519944192854856,0.22589522546419097,0.19725628783623542,0.30048302983671027,0.23170876085240727,0.13913918292362873,0.23372059667240389,0.40640780805413856,0.19360036832412522
-12,0.17054847898527356,0.1485070538282427,0.16926731782207047,0.1990498459711242,0.1387434322635615,0.21844392376956503,0.18060737834599944,0.10186154506898588,0.17292402826855124,0.22809829059829062,0.1776441313426463,0.2201335299161386,0.20458395548119762,0.27854007909713513,0.25842115534738486,0.36411023947151117,0.18240015758112965,0.08646972664023816,0.1540654705052986,0.14473759107468123,0.11759126486228116,0.14151239916546038,0.0794629510997224,0.16839071780932244,0.1545240566387427,0.13054997920170727,0.1310257834873657,0.2239145658263305,0.15152393486457974,0.15270643074581433,0.11374029534406893,0.2751322751322751,0.1725731659570303,0.14126671795478757,0.19974594488958375,0.1656613484722426,0.21485486624928857,0.22936813690803784,0.1050565458673169,0.14138226585631916,0.21483108307293203,0.1362796260056534
-11,0.1684648098912738,0.16400992159855685,0.19438293127277295,0.18342791863207547,0.1458214063076473,0.21624546319985719,0.16652615308954227,0.11467095957716071,0.16664506092818251,0.10190732206861239,0.1783001195833247,0.14689612555466214,0.21088882979048595,0.30463805292572416,0.24990383875682748,0.2075006168270417,0.15440400843881857,0.07832823868430688,0.16305624986647868,0.14025922640787505,0.10575319622012228,0.13936187141947803,0.11428983358049101,0.17977558839627805,0.15753006388575722,0.13283983534474694,0.12895440316906284,0.2437855956336023,0.14211720599842148,0.14643959435626103,0.10600317293101069,0.26517944081235223,0.13101368250698836,0.1059922237792982,0.2068835888929347,0.16444943186746463,0.19833935519733184,0.2596998772371907,0.10310952454975461,0.15749662523856073,0.348525641025641,0.13355293573740176
-10,0.17503909519404431,0.1576486427479805,0.1946464483229189,0.1820444934730649,0.13777457547904656,0.1658575001880689,0.17142287839684228,0.10247072806817895,0.1535042067828953,0.1030396112231799,0.17828518042413896,0.14955555555555555,0.21009296718954745,0.2668317910332983,0.23401045116655625,0.18818681318681318,0.17740333501203068,0.08389873650126016,0.1351266371758175,0.15526915113871637,0.11244164332399625,0.14904626623376624,0.11961943342151676,0.18142054574638844,0.16495405179615705,0.13119951420663165,0.1337473910018553,0.24442422819579765,0.14212749615975423,0.12745761183261184,0.11059530493837064,0.24597321721215526,0.120658983680099,0.10939625850340136,0.22147458920714735,0.16923541108154364,0.22109897678079496,0.2555964208381098,0.10953936102549047,0.14094943341848432,0.23150314597683017,0.2884447356924421
