cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-19,0.20608460095853304,0.15082482325216026,0.2485933503836317,0.2436572522738152,0.21321029626032054,0.19340072477589165,0.17992719708788352,0.29700446144040793,0.25667655786350146,0.23210161662817552,0.21735994229382063,0.30106809078771696,0.19,0.14667960626646334,0.2062314540059347,,0.26187050359712233,0.25355871886120995,0.21793534932221065,0.14057142857142857,0.3156297420333839,0.2879519836041575,0.38626609442060084,0.32532751091703055,0.21770091556459817,0.31000366434591425,0.26206203331418726,0.21373456790123457,0.26129666011787817,0.21582234559333796,0.31945975744211685,0.18385650224215247,0.22737955346650998,0.3940066592674806,0.2684057971014493,0.17685223943072415,0.267102615694165,0.21115419027736357,0.3063440655362926,0.33407572383073497,0.2237442922374429
-18,0.21769177608845888,0.15603424468378901,0.21508379888268156,0.25816748028539244,0.21681175190424373,0.19222349629938495,0.1827252419955324,0.2901907356948229,0.2617702448210923,0.2391304347826087,0.2226193515445494,0.2931297709923664,0.21892816419612315,0.1532024460894754,0.20255474452554745,,0.24545454545454545,0.2532066508313539,0.25190839694656486,0.1172680412371134,0.26362038664323373,0.3028770706190061,0.2742616033755274,0.29694323144104806,0.20182440136830102,0.3189233278955954,0.2673010380622837,0.29290206648697215,0.25553235908141964,0.20841959972394755,0.3289336575199722,0.1895910780669145,0.2182642487046632,0.40198511166253104,0.2555205047318612,0.1761641505422071,0.29113218070273283,0.21342646488164532,0.29963275005400736,0.2947454844006568,0.2
-17,0.22216867469879517,0.14353932584269663,0.22354856212696692,0.24375995751460436,0.2021018593371059,0.1927347202759513,0.1767176717671767,0.29025270758122745,0.26476190476190475,0.22433460076045628,0.23979591836734693,0.29383506805444354,0.21108179419525067,0.16289592760180996,0.18650088809946713,,0.23148148148148148,0.2517985611510791,0.23672055427251731,0.16832917705735662,0.25076452599388377,0.2937943262411348,0.3397129186602871,0.29596412556053814,0.20647321428571427,0.3314191960623462,0.2607737021447184,0.23427529626253418,0.24790697674418605,0.20341499628804752,0.33277423683327745,0.1970705725699068,0.20012626262626262,0.386144578313253,0.25066489361702127,0.17709807336453684,0.2827313769751693,0.19711902956785443,0.3150537634408602,0.3116679718089272,0.23976608187134502
-16,0.22277339346110483,0.1586908690869087,0.22288261515601784,0.23684210526315788,0.1888241525423729,0.19318992761749415,0.18542274052478133,0.3088339222614841,0.23345588235294118,0.22732626619552415,0.23774795799299883,0.2966432474629196,0.20097442143727162,0.16020671834625322,0.18181818181818182,,0.25864453665283543,0.27217125382262997,0.23986856516976998,0.12278978388998035,0.3099315068493151,0.28604806408544725,0.3593073593073593,0.28542094455852157,0.2140309155766944,0.30376766091051804,0.24668745128604833,0.2644927536231884,0.25875397908140063,0.16822429906542055,0.34522560335781743,0.21281741233373638,0.23014383989993747,0.4408014571948998,0.26405716060888473,0.17823042647994908,0.287986834887548,0.202217125382263,0.33876288659793813,0.3103448275862069,0.1956521739130435
-15,0.2074468085106383,0.1503972758229285,0.19825819672131148,0.24688832054560955,0.16515026192445548,0.18581780538302278,0.17218736319859915,0.3035589672016748,0.3094736842105263,0.24092009685230023,0.24364161849710983,0.2724481964696853,0.18131101813110181,0.1601917672342536,0.2089041095890411,,0.24217687074829933,0.25908507909362977,0.21283783783783783,0.1318918918918919,0.2582781456953642,0.29357007412515085,0.41919191919191917,0.289760348583878,0.24249422632794457,0.3110087902888238,0.24392156862745099,0.26256499133448874,0.24778761061946902,0.1796042617960426,0.3605003790750569,0.17496962332928312,0.20783132530120482,0.4466950959488273,0.25561257216164207,0.17263626251390435,0.27780706378492354,0.177390527256479,0.31534434152235197,0.30362537764350456,0.20276497695852536
-14,0.19754723235001656,0.1463610776035384,0.22140608604407136,0.2372340425531915,0.18307522123893805,0.18848322944493914,0.18092909535452323,0.3092369477911647,0.23002421307506055,0.22163120567375885,0.20165989758078756,0.26512968299711814,0.14637514384349828,0.1472611464968153,0.16865079365079366,,0.2046070460704607,0.24772568229531142,0.21839080459770116,0.13201820940819423,0.27294117647058824,0.30586256607400286,0.31592689295039167,0.2679738562091503,0.21016949152542372,0.30764119601328904,0.25457463884430176,0.2145214521452145,0.24193548387096775,0.20350877192982456,0.3730964467005076,0.17857142857142858,0.20654911838790932,0.47218045112781953,0.24237494916632776,0.1485877403846154,0.27163781624500666,0.14236197078484775,0.3224250775060282,0.28886554621848737,0.2645161290322581
-13,0.20097604259094942,0.1556836902800659,0.20262096774193547,0.2450381679389313,0.16995020567222344,0.17889705231477385,0.16493397021635292,0.3121597096188748,0.1925233644859813,0.2514220705346985,0.21342031686859272,0.25756556825823806,0.22015632401705354,0.14469314079422382,0.20476190476190476,,0.218562874251497,0.2542921930677033,0.2311446317657498,0.14444886589733386,0.2339622641509434,0.2860631716053403,0.4,0.3148148148148148,0.19489795918367347,0.32565284178187404,0.25443548387096776,0.2549019607843137,0.24608904933814682,0.19238613188307274,0.3557312252964427,0.16310160427807488,0.20286659316427783,0.4409221902017291,0.2515223722531109,0.16320260256641966,0.2580348943985308,0.21574585635359117,0.3111246943765281,0.3110028420625254,0.2048780487804878
-12,0.20415674388395758,0.14604722792607802,0.20941558441558442,0.25249532127261387,0.1955765407554672,0.19170271333071176,0.17158551345312353,0.30628803245436104,0.22084805653710246,0.17363896848137536,0.21841106290672452,0.21784322217410135,0.22892156862745097,0.15740443302280757,0.1918032786885246,0.2138728323699422,0.2140641158221303,0.264812975835816,0.24696356275303644,0.1420678768745067,0.24659231722428748,0.29974811083123426,0.42857142857142855,0.2938689217758985,0.21351616062683643,0.3124762988244217,0.2573807721423164,0.2526395173453997,0.2589858793324775,0.1718235681369322,0.37173652694610776,0.20592705167173253,0.2174411933448078,0.39229494614747307,0.25034087810199074,0.17469467513434295,0.2802992518703242,0.22096862960924601,0.32254232254232257,0.323400097703957,0.23628691983122363
-11,0.19228210246174318,0.14737128847725414,0.21501272264631044,0.24918860439956725,0.20331285065455518,0.1951294069696352,0.15929113924050634,0.2994350282485876,0.16152450090744103,0.2156398104265403,0.21547116736990155,0.21958637469586376,0.22995253559830128,0.1563258232235702,0.15508885298869143,0.24352331606217617,0.23523206751054854,0.2686116700201207,0.24532710280373832,0.15091210613598674,0.2570694087403599,0.2856890146824695,0.3844984802431611,0.3264367816091954,0.21593291404612158,0.31634653077224617,0.2549323017408124,0.2574750830564784,0.2590439276485788,0.20525568181818182,0.3545289384894887,0.2127831715210356,0.21444082519001087,0.44835545297172535,0.2509881422924901,0.17056619062088524,0.2608695652173913,0.21867933061962913,0.31952291274325173,0.3221993833504625,0.20689655172413793
-10,0.19491525423728814,0.20848153214774282,0.22415039768618944,0.24475659034058111,0.21646673936750271,0.15565553713789565,0.16261429758935994,0.3206487835308796,0.1493624772313297,0.2239089184060721,0.2046458600541542,0.22133333333333333,0.2261920228660517,0.16353257219610476,0.1839258114374034,0.26153846153846155,0.23854289071680376,0.2521156558533145,0.2745940783190067,0.14830841856805665,0.21818181818181817,0.29036501150937194,0.3525073746312684,0.30337078651685395,0.20385050962627407,0.3283464566929134,0.2514679084834987,0.2563681183237469,0.2529658060013957,0.17136659436008678,0.35451322607035723,0.2077175697865353,0.2023945267958951,0.4604395604395604,0.23595505617977527,0.1658173265386123,0.25920084121976866,0.22693409742120343,0.3172750110831979,0.30836575875486383,0.15057915057915058
