cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.017016116413706775,0.00974113393337949,0.006215823650034176,0.010881134572234049,0.004972875226039783,0.014005238836582893,0.011536900322196005,0.0016287609571191662,0.002136752136752137,0.008434155421126105,0.011441402908468776,0.008415781853281854,0.00790722192936215,0.03386645140132691,0.0,0.016346451812829253,0.0,0.0012428717648779062,0.011258767072720562,0.020421860019175453,0.008267195767195768,0.01128871128871129,0.004545454545454545,0.0035714285714285713,0.02074829931972789,0.0051347636863403835,0.0027272946685009533,0.014557823129251699,0.002977443609022556,0.007168458781362007,0.002486678507992895,0.020444671607462307,0.011777574277574277,0.0013192612137203166,0.03377648329966646,0.005744296733957,0.025018129079042786,0.014248382279741165,0.0023395144859974445,0.003671071953010279,0.0,0.0
-11,0.012406695735717982,0.009003677943264994,0.004167337735545176,0.008865875966247714,0.010475774770842427,0.017090649395424432,0.010138129708967351,0.0027100271002710027,0.002839210998206814,0.007680491551459293,0.011653128056819633,0.004895599858440486,0.01708261617900172,0.03752716039686903,0.0,0.005548608940293842,0.0059670059670059675,0.0018867924528301887,0.013566120089654358,0.02937625754527163,0.016933497536945813,0.010036890980791247,0.004329004329004329,0.00967741935483871,0.017241379310344827,0.0022218984483135425,0.0026491612486080674,0.006889379955803978,0.002990033222591362,0.010559006211180125,0.0057574667146455556,0.03819926028663893,0.012262737262737262,0.0021691498685363717,0.026992257577188178,0.006649659863945579,0.004576659038901602,0.013821318000884564,0.004540962377317339,0.003003003003003003,0.0,0.0
-10,0.016324878575283325,0.00933587171413927,0.006854051415554832,0.011667209643264375,0.008592910848549946,0.013473821922376422,0.010308412181376351,0.0028571428571428567,0.0028571428571428567,0.0028396679772826564,0.010150837498903796,0.006402209389907105,0.020905923344947737,0.04226058494351177,0.0,0.006046436633344083,0.0024449877750611247,0.0008735385028893967,0.015666082383873795,0.027171195199199867,0.0035714285714285713,0.008960278003246754,0.008888888888888889,0.0,0.009333780460541024,0.005993086345532426,0.0035376970414980093,0.014556533513879486,0.0008695652173913044,0.009449171518137036,0.005440372435446327,0.03395496129486277,0.012177065250689267,0.0024390243902439024,0.030632045832563296,0.006138996138996139,0.00969787392763894,0.007486558225005105,0.00350450831220062,0.004335260115606936,0.0,0.0
-9,0.016277238120241535,0.013278506745518387,0.005611961608630127,0.012480914931005676,0.005419490983501727,0.01538723597547127,0.008976973514378647,0.001841620626151013,0.00437636761487965,0.011419249592169658,0.010488499354896116,0.006809927360774819,0.01021133915870758,0.042003979611306454,0.0,0.004301075268817204,0.004282655246252677,0.001413094677343382,0.015764161026006415,0.019136036377415688,0.007078507078507079,0.011192511192511191,0.0,0.0,0.015493278651173387,0.0037017451084082496,0.0053896892900538096,0.008624287105299763,0.003168854685377999,0.008148757133185029,0.005246083703530512,0.018511904761904764,0.018096514745308313,0.0,0.030495326659391753,0.005683910162002945,0.012929475587703437,0.012726861962497176,0.001771362965392816,0.005840745900760905,0.0,0.00510204081632653
-8,0.02302405498281787,0.012954429083461342,0.00881057268722467,0.01560096063642163,0.005006876396768094,0.015211486866947104,0.010368663594470046,0.00016289297931259162,0.0,0.005597014925373134,0.010865902964959569,0.006541913890156701,0.019193857965451054,0.04311761415285644,0.0,0.014423076923076924,0.008522727272727272,0.0012539476128552852,0.0200445434298441,0.016793551276309895,0.0,0.012569121688095803,0.0,0.0,0.02636916835699797,0.005451713395638629,0.004166666666666667,0.01238881829733164,0.0011351215000420416,0.008736109251573169,0.004093327875562832,0.038998357963875206,0.01623686723973257,0.0,0.03364582638286515,0.00717990515708358,0.006329113924050633,0.012740770465489566,0.002848667482813824,0.0036231884057971015,0.0,0.0
-7,0.024362364964812408,0.013496677740863787,0.008604522890237176,0.01631744544115678,0.00481811611659841,0.02039274924471299,0.023804004680221647,0.0010111223458038423,0.0024154589371980675,0.008264462809917356,0.02383068059759789,0.00625,0.030040696630558382,0.027641604944850004,0.0,0.005916305916305917,0.0026644804263168684,0.005116807938805045,0.014825036714437636,0.02277143853704719,0.0076599004212945234,0.02999239385977043,0.0027046963363658717,0.004517221908526256,0.11114660533265185,0.005167275523937705,0.004979449889345558,0.03407567406524654,0.012700805756854002,0.009577150615847154,0.006331312365795125,0.04766705069124424,0.027482642541552704,0.0012515644555694619,0.042692702980472765,0.011762997386000581,0.014141205615194052,0.013577645025320679,0.008046529513555086,0.006698384875422562,0.05702818586718075,0.0
-6,0.019744120481067773,0.011461370262390672,0.0068345907357832405,0.014627855563743552,0.006732315112540193,0.02750207903966446,0.010237842035077058,0.0008271298593879239,0.0006989097008666481,0.06149619611158073,0.011852294906503809,0.021558059774620286,0.012336706003863588,0.03459841354860101,0.10615883306320907,0.01160541586073501,0.0027063599458728013,0.0009596695821185616,0.007037977478472069,0.010199977014136306,0.0174193144858644,0.011287271150700589,0.0019157088122605363,0.010169491525423728,0.018732692620948035,0.005852489070652941,0.0049203373945641985,0.012490537471612415,0.0022789425706472195,0.006910019528316058,0.005950694247662227,0.019487179487179488,0.024121657052962767,0.006456520200948136,0.030939792835563227,0.007979537799232668,0.004028509451502944,0.0075351569199108214,0.003037159088114502,0.011094437775110043,0.01635180640374408,0.008
-5,0.016760651629072684,0.010279092947919262,0.005431502715751358,0.007899848103787445,0.0040037813490518825,0.01825863890146371,0.007518081461743434,0.0017050298380221654,0.004445761707172495,0.006956521739130435,0.008470464352817293,0.007671636615811373,0.013218401680449635,0.03087055221201563,0.033582089552238806,0.006616135662898252,0.0071633237822349575,0.00034494653328734045,0.008233369683751364,0.008247453210139777,0.0023952095808383233,0.007343263938741325,0.0033222591362126247,0.0031446540880503146,0.017142857142857144,0.004462072384729797,0.003689050470487596,0.005247122545700744,0.0021509159837461126,0.004319126395566784,0.0035762744717968598,0.021307626636311895,0.012114621489621488,0.002143643801132788,0.020709491850431447,0.006781314561175301,0.005309734513274336,0.013070831977437901,0.00340755815329279,0.0043106274175572015,0.018389346861128725,0.0
-4,0.019424154917615084,0.011415157612340712,0.009706158174429508,0.01132024373730535,0.004582607127832201,0.014776672559585934,0.009768091538785351,0.0044943820224719105,0.0,0.013569937369519834,0.011054164868364264,0.005751829033500192,0.011829181219968739,0.03973112771433569,0.05871943371943372,0.0036363636363636364,0.004552352048558422,0.0020964360587002098,0.008335592301436705,0.008573282254078102,0.004819277108433735,0.010824550141842504,0.0004953437685753913,0.0013426423200859291,0.013245621833051826,0.002026578073089701,0.004667824576639166,0.011137702503681885,0.006746785629473827,0.0017990023714122168,0.01502841800620663,0.01639344262295082,0.018573661877465945,0.0010887316276537834,0.027205075027449066,0.01218749407683997,0.004329004329004329,0.020330096012838604,0.002999000333222259,0.003026634382566586,0.019972202078801064,0.16221198156682026
-3,0.016395592864637987,0.01244475459409165,0.007926829268292683,0.013010204081632653,0.005292138268583665,0.011916175866319682,0.014237226901941395,0.0024154589371980675,0.0,0.014492753623188406,0.010575315225742307,0.00985672453461619,0.014664718862373326,0.03684231729917009,0.03633540372670808,0.0018018018018018018,0.005208333333333333,0.0030103995621237004,0.006303381303381303,0.011697065820777161,0.008873114463176575,0.011270513168046375,0.0,0.0034602076124567475,0.013123359580052493,0.00804289544235925,0.0033532547794492174,0.012153775428111711,0.0032225341721827164,0.0065973103273280894,0.0065402339595887985,0.03321226795803067,0.013609145345672292,0.0019005847953216374,0.024580557611645692,0.0080466472303207,0.003284072249589491,0.011044914387937645,0.001279975233967566,0.0018775033377837116,0.014245510586974002,0.012188208616780044
