cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.018301909942333647,0.01131309978934228,0.006578947368421052,0.008425553319919517,0.007430380564708922,0.014057283429977157,0.013733130583539251,0.003472222222222222,0.0,0.010801393728222997,0.008293484757919904,0.00788091068301226,0.01458213807611398,0.02473356742438243,0.0,0.0,0.0016313213703099511,0.011055900621118013,0.021781789638932497,0.009619637328615658,0.011552630153312747,0.015873015873015872,0.0,0.025,0.009171075837742505,0.0024540695137912644,0.019248361030644916,0.003962948815889992,0.007653061224489796,0.0033382789317507417,0.04182646212847555,0.010765673175745118,0.0028308563340410475,0.03652889727319499,0.0069565450499959785,0.007340052585451358,0.02281835811247576,0.0033210409420441687,0.004478050212890912,0.0,0.0
-11,0.013915286451262558,0.010840357787021018,0.0,0.007190239279791518,0.009957394616228778,0.01698323602375523,0.012571065133303912,0.0028328611898017,0.0,0.011554621848739496,0.008715360530865928,0.006065857885615251,0.024166511454647047,0.03554796177573485,0.0,0.0049261083743842365,0.0019792182088075212,0.013605442176870748,0.0248772154601751,0.017241379310344827,0.011091652072387624,0.012048192771084338,0.008547008547008548,0.02164021164021164,0.0024016114037806015,0.003208247719981255,0.01008003624282694,0.004041935076417835,0.014467988152198678,0.006152003484320557,0.06595788604459125,0.01278409090909091,0.003915202444614209,0.027002409355350532,0.010632448468109049,0.007712082262210797,0.020320767195767198,0.003918722786647315,0.0,0.0,0.0
-10,0.01552271175549219,0.010594315245478035,0.0,0.007088800432453683,0.008084087629542176,0.016947494718172095,0.013265306122448979,0.003992015968063872,0.0,0.008379433778067037,0.010056730273336771,0.005541871921182266,0.02437641723356009,0.030512704174228675,0.0,0.0024449877750611247,0.0004940711462450593,0.0144253140995812,0.018117831074035452,0.013214285714285715,0.009836937256292096,0.014492753623188406,0.0,0.013201320132013201,0.015873015873015876,0.004145334434351775,0.015693832599118943,0.0010034875304336382,0.011958751754670122,0.005978477481068154,0.056107354184277265,0.008075440241742211,0.0019143861410996737,0.03872350419822676,0.007398627573300062,0.0029585798816568047,0.011521877429843782,0.004606906053560665,0.003033367037411527,0.0,0.0
-9,0.012503435009618027,0.01418287210172027,0.006622516556291391,0.006627918833486286,0.009741768454593734,0.016763456815390914,0.012870074840413822,0.002034587995930824,0.0,0.011990407673860911,0.010985352862849533,0.007453416149068323,0.016964285714285716,0.042742832427088484,0.0,0.0065004588559192415,0.0013109410430839,0.014652014652014652,0.018024928092042185,0.01215576592082616,0.01326214022549101,0.0,0.0,0.018363939899833055,0.005988023952095809,0.006425437069025562,0.010718197465185418,0.0035387892530749677,0.012132473494370969,0.004930935788949726,0.041595380667236954,0.019102427700938195,0.0010781671159029648,0.029497957492155585,0.00643995552260934,0.005952380952380952,0.012774725274725274,0.0013861935126143609,0.008349779869439806,0.0,0.00909090909090909
-8,0.01975821003247925,0.014774313634248488,0.015384615384615385,0.006350723845943731,0.008838383838383838,0.015886174460309942,0.013618712020423572,0.001314060446780552,0.0,0.011702986279257466,0.01019977065604442,0.007811285558837246,0.02041847041847042,0.04072537583175881,0.0,0.003163265306122449,0.001389854065323141,0.005300065231572081,0.019291338582677165,0.019345238095238096,0.01073768957124134,0.0,0.0,0.031072177298592393,0.008928571428571428,0.005041341295360588,0.014244722279155565,0.0016061390202551974,0.011307657859381997,0.006469662528414058,0.0707070707070707,0.01171875,0.0025134440028057045,0.02862627626360645,0.009691313711414214,0.008551307847082495,0.01676065162907268,0.003128666405944466,0.003663003663003663,0.0,0.0
-7,0.019715791454921888,0.013255269320843092,0.009375,0.013369056685888368,0.007533154272284707,0.01846911553457829,0.028443980998725527,0.0036159323542501115,0.0,0.008226867982965543,0.024889739628808742,0.006776221029199947,0.03840419187185823,0.048317191283292975,0.0,0.0028694404591104736,0.002572347266881029,0.009255027422303474,0.02129822732012513,0.018325307651150344,0.03701496745092009,0.002061855670103093,0.022727272727272728,0.12107950401167031,0.009394409937888199,0.004776997962417931,0.029682346814789096,0.017896606156274666,0.014061624649859944,0.008521988030184752,0.05289757412398921,0.022847432024169185,0.0014005602240896359,0.04364315504835235,0.01829658037711729,0.017064846416382253,0.01582501280081925,0.004611675924955455,0.005906238464377999,0.07645701742597322,0.0
-6,0.014965808452598931,0.008064516129032258,0.005952380952380952,0.004664723032069971,0.010035668943836527,0.027110264059219978,0.012421198846030558,0.002561376377343901,0.0,0.04316150757673876,0.012073477852945535,0.03119143722070059,0.01636782686823704,0.0293234481292517,0.0,0.0018873403019744482,0.0009975143903715334,0.005343082114735658,0.009104522312069482,0.0010660980810234541,0.009723057058260424,0.0019157088122605363,0.0,0.023083932368127974,0.005555555555555556,0.004074671505864167,0.01952745383867833,0.0026771653543307085,0.006589438139011351,0.0069650266745702434,0.04257884972170686,0.020495564392780666,0.006464037830829075,0.027414561664190193,0.011031379977762221,0.00888543823326432,0.008267505690186102,0.001930704970250616,0.004143034384969869,0.025166744222118814,0.008403361344537815
-5,0.013851376012847654,0.010685086502664427,0.0009566326530612246,0.006921638387155628,0.004286872900011586,0.016227750942896843,0.009345301961986512,0.002699055330634278,0.0,0.004459308807134894,0.008423813590337928,0.0057251908396946565,0.01683070292935764,0.023423740753786546,0.0,0.007942201270752203,0.0002799183297108608,0.004103343465045593,0.011465923703386198,0.0031496062992125984,0.009548590943939781,0.002188183807439825,0.0,0.02661671924290221,0.008896797153024912,0.004409644467621706,0.005494505494505495,0.003064435978134835,0.004631535611362701,0.004235217462127383,0.030588624338624335,0.010780207848611757,0.0036452004860267314,0.016043392685494574,0.008121973591586852,0.00404040404040404,0.0128261534929987,0.002980967667966063,0.002981902933918289,0.03217418546365915,0.0
-4,0.01648623788296894,0.012151267327881212,0.006872852233676976,0.010244026436197253,0.005233443288505456,0.013252436668330909,0.011776663093384035,0.007709251101321586,0.0,0.012125805229253505,0.010488084618325474,0.005424313089323735,0.014342230506861267,0.019733744834440552,0.0,0.0015267175572519084,0.003163927908825868,0.00584854087949192,0.007672800572208856,0.0,0.014113648644805323,0.0018656716417910447,0.01020408163265306,0.014047807862240852,0.0033222591362126247,0.005158264947245018,0.011005187158278425,0.006607472759491762,0.002886002886002886,0.011110909881193856,0.024146162320969517,0.01323596531264263,0.001182033096926714,0.025395746333883654,0.010237527668993699,0.007444168734491315,0.02421490457960335,0.0025129608294930873,0.002183406113537118,0.02639037213505299,0.0962962962962963
-3,0.01136986301369863,0.010845175766641735,0.0035335689045936395,0.008416905444126075,0.005027044225262489,0.010395146618975672,0.014886786414369723,0.0025157232704402514,0.0,0.011813186813186813,0.009402713965167219,0.011593406593406594,0.01749926318891836,0.01990174733433819,0.0,0.0037954206072672975,0.003484320557491289,0.0069131041273488136,0.011006011315417256,0.002649769585253456,0.01344392710678055,0.0,0.0,0.016564454064454063,0.005190311418685121,0.003074119490428503,0.01922077922077922,0.0035232043571995914,0.007287053249562262,0.005685993533215756,0.044195250659630606,0.010483099489795918,0.003870967741935484,0.021823340735257834,0.009296548403335596,0.005970149253731343,0.013470007339694402,0.0015784534000739456,0.0006863417982155113,0.019448737764039156,0.01652892561983471
