cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.06093460111317254,0.08062179630042345,0.08418367346938775,0.08421814671814672,0.07309746328437917,0.09370280881908788,0.0930479016532429,0.0,0.0,0.06153846153846154,0.07183518568717809,0.030303030303030304,0.23478260869565218,0.07325422181652214,0.0,0.08603896103896104,0.016233766233766232,0.04270186335403727,0.05504587155963303,0.11224489795918367,0.03362398471094123,0.0,0.2,0.06206088992974239,0.12631578947368421,0.022118136872235232,0.14652014652014653,0.0466879489225858,0.05586734693877551,0.045454545454545456,0.13636363636363635,0.08411214953271028,0.01754748142031379,0.14513677811550152,0.04118474523288528,0.09090909090909091,0.14757412398921832,0.011494252873563218,0.03674948240165631,0.0,0.047619047619047616
-11,0.06716954022988506,0.07101207830070803,0.03125,0.06474654377880185,0.04716466739367503,0.10500381970970206,0.09526842584167426,0.017609126984126984,0.0,0.013333333333333334,0.08526053864168617,0.1061576354679803,0.18406593406593405,0.10725732600732601,0.0,0.0,0.04446064139941691,0.029293739967897272,0.12424012158054712,0.1345083487940631,0.05671242438343415,0.13333333333333333,0.038177339901477834,0.06060606060606061,0.06779661016949153,0.023206419131529262,0.10912698412698413,0.03298800436205017,0.04510467980295567,0.10386631716906947,0.27067669172932335,0.068,0.037698412698412696,0.14642857142857144,0.04985855728429985,0.1,0.19479166666666667,0.044444444444444446,0.07327188940092166,0.0,0.1111111111111111
-10,0.06460674157303371,0.06434515553794334,0.06818181818181818,0.04319236719958741,0.06212484993997599,0.10215240409651102,0.11184597295708408,0.028732545649838882,0.0,0.018315018315018316,0.10005964807634954,0.0628997867803838,0.26883116883116887,0.09213075060532687,0.0,0.10058309037900875,0.020737327188940093,0.02702702702702703,0.06224489795918367,0.10300207039337474,0.05151217113351365,0.14906832298136646,0.09523809523809523,0.052995391705069124,0.048757763975155285,0.03141671606401897,0.17069327731092437,0.044854881266490766,0.06436279547790338,0.06422569027611044,0.4166666666666667,0.05275562001450326,0.026471930625285255,0.15520833333333334,0.03764106798788879,0.06377551020408163,0.2250268528464017,0.044642857142857144,0.04319498069498069,0.0,0.16666666666666666
-9,0.07107596211968568,0.0782925782925783,0.10452961672473868,0.09249743062692703,0.05796252927400468,0.12831549557933922,0.11231343283582089,0.04156908665105386,0.0,0.015625,0.09686588921282799,0.02458592132505176,0.2142857142857143,0.11109779482262702,0.0,0.09973045822102426,0.008043758043758044,0.05952380952380952,0.051094890510948905,0.08799171842650103,0.041033434650455926,0.07142857142857142,0.07589285714285715,0.05263157894736842,0.039786967418546364,0.03373015873015873,0.15419501133786848,0.037037037037037035,0.056791569086651054,0.0625,0.22857142857142856,0.10257142857142856,0.02013677811550152,0.18548387096774194,0.047710824417872874,0.09836065573770492,0.2300556586270872,0.03710575139146568,0.04954728370221328,0.0,0.0625
-8,0.0809651817716334,0.06077188940092166,0.17575187969924813,0.07449494949494949,0.13723916532905298,0.1327823359073359,0.11143931256713212,0.0125,0.0,0.04795918367346939,0.10542857142857143,0.05997304582210243,0.2914285714285714,0.11381149970361588,0.0,0.045168067226890755,0.017938682322243965,0.03326810176125245,0.11187607573149742,0.10504201680672268,0.04914736164736165,0.15384615384615385,0.3660714285714286,0.05,0.06896551724137931,0.029928793947485537,0.14583333333333334,0.03653217011995638,0.1056469708302169,0.04247104247104247,0.31168831168831174,0.0718864468864469,0.03571428571428571,0.17158818834796488,0.06429576049829215,0.09270516717325229,0.22775175644028103,0.03125,0.02992957746478873,0.0,0.05
-7,0.07425742574257425,0.08151735270379339,0.1293800539083558,0.1056769722814499,0.08653846153846154,0.12552858981430412,0.17194264069264067,0.044642857142857144,0.0,0.043478260869565216,0.19067460317460316,0.08942632170978627,0.2784338454482917,0.1671912832929782,0.3333333333333333,0.12375415282392026,0.020204894706886738,0.12124711316397228,0.16092943201376936,0.054315476190476185,0.07937806873977087,0.01881377551020408,0.2357142857142857,0.37526652452025583,0.06363636363636363,0.034660421545667446,0.13636363636363635,0.07307759069605972,0.13392857142857142,0.03571428571428571,0.18857142857142858,0.118735976065819,0.03164556962025317,0.23544973544973544,0.12706688514821987,0.09523809523809523,0.21487267473361027,0.08646616541353383,0.10101279317697227,0.26312154696132595,0.0
-6,0.08762397130196244,0.060504201680672276,0.06834975369458128,0.06336405529953917,0.10590277777777778,0.13578780680918448,0.10146969235455376,0.036585365853658534,0.0,0.05109126984126984,0.11595394736842106,0.11283068783068784,0.14331797235023042,0.11380597014925373,0.0,0.11741682974559686,0.009057225195553726,0.05373525557011796,0.07150776053215077,0.09342478713339641,0.04572859186593092,0.022058823529411766,0.0,0.1,0.04611923509561305,0.02749169435215947,0.15569823434991975,0.04416201538693619,0.0470679012345679,0.04583333333333333,0.3125,0.078125,0.02376063361689645,0.13688845401174168,0.07842445620223398,0.02564102564102564,0.13098045822102425,0.011494252873563218,0.1493280238924838,0.07797164667393676,0.04497354497354498
-5,0.05148730579765062,0.08101291364003228,0.021739130434782608,0.052079322294955724,0.06277056277056277,0.11883658572918218,0.09537765868363758,0.06031746031746032,0.0,0.02,0.09800059461870075,0.05419956927494615,0.14836075275180496,0.108712715855573,0.75,0.08306581059390047,0.017350557244174263,0.03201970443349754,0.04433760683760684,0.038379530916844345,0.04701558042571868,0.0392156862745098,0.09586466165413533,0.058823529411764705,0.0546875,0.019312169312169312,0.16923076923076924,0.0380952380952381,0.047256925583921784,0.07257142857142856,0.2222222222222222,0.055944055944055944,0.01980108499095841,0.1956663763066202,0.0634954667973536,0.06451612903225806,0.16472159730033747,0.019957983193277313,0.06999041227229147,0.07900432900432901,0.0
-4,0.08379989163807117,0.10831738298242562,0.03951367781155015,0.05777576853526221,0.06668331668331669,0.11159801343850423,0.114484126984127,0.051428571428571435,0.0,0.012106537530266344,0.09275740371336505,0.07487091222030981,0.15811634018155757,0.10128805620608898,0.0,0.03406593406593407,0.02921040620721132,0.04897959183673469,0.08087557603686635,0.03074141048824593,0.06668331668331669,0.019617706237424547,0.0,0.11896551724137931,0.07534246575342465,0.03542094455852156,0.11235955056179775,0.04626902307314678,0.042312105565117615,0.1048454469507101,0.1736111111111111,0.06404849762783342,0.018250087320991967,0.17971611721611722,0.06498575145582952,0.03896103896103896,0.19493549928332538,0.015546218487394958,0.09207077326343382,0.12342709104367136,0.0818452380952381
-3,0.0669575522516699,0.07338394294916034,0.03853383458646616,0.047619047619047616,0.053156146179401995,0.07705882352941176,0.10582298136645964,0.022988505747126436,0.0,0.01079734219269103,0.09137172198789657,0.07142857142857142,0.14282373379660562,0.10583224115334205,0.0,0.23285714285714285,0.024406627854903717,0.054223149113660066,0.08247950819672131,0.059082892416225746,0.06623873258672494,0.02107142857142857,0.2222222222222222,0.042626728110599074,0.03494347379239466,0.028319327731092435,0.12399678972712681,0.029482785480604453,0.022715336134453784,0.04035512510088781,0.11675824175824176,0.042332667332667336,0.018867924528301886,0.16179290508149569,0.06136950904392765,0.09036796536796537,0.1354521625163827,0.023677248677248675,0.05731566820276497,0.07185543540125212,0.045454545454545456
