cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.008787346221441126,0.0,0.0,0.0027548209366391185,0.0,0.004310344827586207,0.0036003972852176793,0.0,0.0,0.0,0.0015479876160990713,0.0,0.0,0.0048449612403100775,0.0,0.0,0.0,0.0,0.0,0.0,0.0047360895984749195,0.0,0.0,0.006993006993006993,0.015625,0.0013540961408259986,0.0,0.0,0.009202453987730062,0.0,0.0,0.006316812439261419,0.0,0.012035583464154892,0.00015043928270550006,0.0,0.008645533141210375,0.0,0.008695652173913044,0.0,0.0
-11,0.003418803418803419,0.00071285999429712,0.0,0.003514437689969605,0.0,0.004067545913965241,0.007447333772218565,0.0013736263736263737,0.0,0.0,0.0,0.0,0.0,0.009464655427388346,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0012908777969018932,0.0009930486593843098,0.0,0.0,0.022532672374943667,0.0,0.0,0.003787878787878788,0.0,0.007575757575757576,0.0008944543828264759,0.0,0.010416666666666666,0.000980392156862745,0.0,0.0,0.0
-10,0.004028379028379029,0.0,0.0,0.002789400278940028,0.0035211267605633804,0.006944444444444444,0.004826254826254826,0.0,0.0,0.0,0.001718213058419244,0.0,0.0,0.00875426092345832,0.0,0.0,0.0,0.008333333333333333,0.011695906432748537,0.0,0.0002493143854400399,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.022813688212927757,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0
-9,0.0015600624024961,0.0024271844660194173,0.0,0.0016135972461273666,0.0,0.006200396825396825,0.0057405281285878304,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.018260486946318568,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.003727865796831314,0.0,0.0,0.0058823529411764705,0.0,0.001006036217303823,0.003442340791738382,0.0,0.0,0.0,0.0,0.003367003367003367,0.0,0.009765625,0.0,0.0,0.0019768054823405376,0.0,0.0,0.0,0.0
-8,0.01621240601503759,0.00538707102952913,0.0,0.0,0.0,0.00898849472674976,0.0066445182724252485,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.03170028818443804,0.0,0.0,0.0,0.011235955056179775,0.007462686567164179,0.0,0.002544529262086514,0.0,0.0,0.009009009009009009,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.07242063492063493,0.004830917874396135,0.0,0.02099686028257457,0.0006747031306225261,0.0,0.0,0.002551020408163265,0.0,0.0,0.0
-7,0.005747126436781609,0.002544529262086514,0.0,0.0015015015015015015,0.0040650406504065045,0.003827751196172249,0.011708466121657197,0.0,0.0,0.0,0.005946481665014866,0.0026908023483365948,0.01300975731798849,0.005922469490308686,0.0,0.0,0.0,0.00117820324005891,0.0029239766081871343,0.023399014778325126,0.0034257660768234784,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0016537336216766315,0.0,0.0,0.0,0.008630952380952382,0.0,0.008877551020408164,0.004242848394716123,0.0,0.003740193395365809,0.002551020408163265,0.0,0.013075722092115534,0.0
-6,0.003189792663476874,0.0,0.0,0.0,0.0035714285714285713,0.007199754901960784,0.00546021840873635,0.0,0.0,0.012436224489795918,0.0,0.007326007326007326,0.006119020956646936,0.0070773263433813885,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,0.0027266530334014998,0.0,0.0,0.0,0.0,0.000573859033216311,0.008,2.5473812920317912e-05,0.0,0.002628120893561104,0.0,0.011299435028248588,0.0035714285714285713,0.013440860215053764,0.0006289308176100629,0.0,0.005917159763313609,0.002053388090349076,0.0,0.0024509803921568627,0.0
-5,0.006220839813374806,0.0,0.0,0.001349527665317139,0.0,0.005171881432688349,0.0016835016835016834,0.0,0.0,0.0,0.0020898641588296763,0.0,0.0035755862298353564,0.013582342954159592,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.004159601526070369,0.0,0.0,0.0034078516902944387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.005900621118012422,0.0,0.0,0.0031496062992125984,0.0,0.0,0.00530035335689046,0.0
-4,0.004478458049886621,0.0,0.0,0.00744047619047619,0.0,0.0015317639471138342,0.0036730945821854912,0.0,0.0,0.0,0.0010224948875255625,0.0,0.007957459647005581,0.004876120189773326,0.0,0.0,0.0,0.002331002331002331,0.006342494714587738,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.00010541406645302749,0.0,0.002171552660152009,0.020833333333333332,0.015957446808510637,0.0,0.007836990595611285,0.0018564356435643563,0.0,0.0055011174144748145,0.0006863417982155113,0.0,0.00234192037470726,0.0
-3,0.008787346221441126,0.0030959752321981426,0.0,0.0,0.0,0.0014396456256921372,0.0039174719247845385,0.0,0.0,0.012987012987012988,0.0005411255411255411,0.0,0.011719418306244655,0.00597609561752988,0.0,0.0,0.0,0.004975124378109453,0.003669724770642202,0.0,0.0027100271002710027,0.0,0.0,0.010656682027649769,0.0,0.0,0.0,0.0007042253521126761,0.0,0.0,0.02857142857142857,0.0,0.0,0.007763975155279503,0.0019144862795149968,0.0,0.002840909090909091,0.0007168458781362007,0.0,0.0,0.0
