cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.3366733466933868,0.23320589841616604,0.4342105263157895,0.3647887323943662,0.33469018543645407,0.3210332103321033,0.3007032883482228,0.3967013888888889,0.3333333333333333,0.32926829268292684,0.3311416616855947,0.4159369527145359,0.30522088353413657,0.3165157395429064,0.0,0.393048128342246,0.3958673191952148,0.391304347826087,0.25,0.35294117647058826,0.4076602199469094,0.20634920634920634,0.45121951219512196,0.3566666666666667,0.3358024691358025,0.41075670173057344,0.45144076840981856,0.3627450980392157,0.27583586626139817,0.4617952522255193,0.30201342281879195,0.34388489208633094,0.5421089879688605,0.36494597839135656,0.2644023268905986,0.3098159509202454,0.2990950226244344,0.4423584628923438,0.4265159301130524,0.0,0.2765957446808511
-11,0.3407548194406734,0.22494202525122392,0.4180602006688963,0.36218905472636814,0.32670582919114327,0.3204700929661463,0.29565691441032166,0.4060434372049103,0.45454545454545453,0.32805429864253394,0.37912986588158326,0.3856152512998267,0.32333767926988266,0.31202370872142254,0.0,0.39901477832512317,0.3701138050470064,0.38945578231292516,0.26905829596412556,0.2959770114942529,0.3866510994356879,0.3373493975903614,0.3418803418803419,0.3274074074074074,0.3579175704989154,0.397930860459248,0.4164904862579281,0.3885941644562334,0.2926634768740032,0.45503048780487804,0.31213872832369943,0.35298295454545453,0.5474598930481284,0.3414232825997532,0.26763336913712854,0.3033419023136247,0.3074074074074074,0.46037735849056605,0.44025157232704404,0.0,0.4215686274509804
-10,0.3429856620747821,0.20852713178294574,0.5031055900621118,0.35122119023047815,0.30165289256198347,0.3078327551579332,0.3030888030888031,0.4181636726546906,0.4117647058823529,0.3348519362186788,0.4013784049885133,0.40834845735027225,0.3189033189033189,0.34936479128856623,0.0,0.3863080684596577,0.3942687747035573,0.3469055374592834,0.2664233576642336,0.2733333333333333,0.36361901126169116,0.36231884057971014,0.46601941747572817,0.38283828382838286,0.39351851851851855,0.387514450867052,0.3964757709251101,0.353754030400737,0.2887377173091459,0.4814667198086887,0.35798816568047337,0.35521517140773157,0.5711775043936731,0.3547061241265927,0.2611353711790393,0.3136094674556213,0.30578921326076197,0.474080771549126,0.40950455005055614,0.0,0.34513274336283184
-9,0.32261610332508933,0.2238219895287958,0.3675496688741722,0.35653104925053536,0.2913568773234201,0.3044412607449857,0.3081664098613251,0.41098677517802645,0.3076923076923077,0.34292565947242204,0.3924766977363515,0.39217391304347826,0.3375,0.31920415224913495,0.0,0.4025695931477516,0.41617063492063494,0.35714285714285715,0.23355704697986576,0.29819277108433734,0.3641652123327516,0.32075471698113206,0.5533980582524272,0.4023372287145242,0.3393213572854291,0.38347147732813264,0.42825848849945236,0.37325637325637323,0.2815608263198164,0.5104529616724739,0.3413173652694611,0.3378469871360867,0.6025157232704402,0.37132200580190633,0.2663083765752409,0.3392857142857143,0.2802197802197802,0.46104796229553646,0.4293304994686504,0.0,0.34545454545454546
-8,0.30891374954889933,0.22258414766558088,0.4461538461538462,0.3408221797323136,0.3207070707070707,0.28990999526290856,0.28920211427133147,0.4178712220762155,0.3333333333333333,0.3220338983050847,0.38318546683565696,0.34276387377584333,0.301010101010101,0.32489936745255893,0.0,0.3942857142857143,0.3627519110493398,0.3378995433789954,0.22677165354330708,0.25462962962962965,0.36775884665792924,0.36363636363636365,0.38571428571428573,0.37945492662473795,0.35714285714285715,0.35916398713826364,0.381635581061693,0.3372891942535915,0.2612330198537095,0.4975520195838433,0.2996632996632997,0.3662109375,0.6121112929623568,0.33786178381571175,0.2548456568557071,0.2887323943661972,0.23391812865497075,0.4372311302307392,0.45384615384615384,0.0,0.38202247191011235
-7,0.3168642951251647,0.23442622950819672,0.475,0.35224676313785225,0.30552291421856637,0.31418017648265956,0.29910786699107866,0.46261682242990654,0.3333333333333333,0.3956639566395664,0.36922112521548345,0.3363886342804766,0.28797818863423363,0.2928813559322034,0.21839080459770116,0.3945480631276901,0.3948553054662379,0.37294332723948814,0.2708029197080292,0.23220973782771537,0.3720846788661643,0.4742268041237113,0.4090909090909091,0.1422319474835886,0.4326086956521739,0.41711568938193344,0.38517618469015796,0.34825046040515656,0.2815686274509804,0.5150273224043715,0.29245283018867924,0.31722054380664655,0.6078431372549019,0.383702277831248,0.2641418983700863,0.2696245733788396,0.31294802867383514,0.4574468085106383,0.4186046511627907,0.1636876763875823,0.43529411764705883
-6,0.31362804080565,0.22684703433922998,0.47023809523809523,0.3205282112845138,0.31062209056284384,0.3067800979633926,0.31949638494141114,0.4709066305818674,0.3125,0.28921124206708976,0.3850674040788109,0.35267406659939454,0.35056056877221764,0.31845238095238093,0.2647058823529412,0.37669376693766937,0.38965201465201466,0.3732283464566929,0.2511530398322851,0.2484008528784648,0.3822658563191523,0.553639846743295,0.3764705882352941,0.19773210489014884,0.3611111111111111,0.39120207010115265,0.4268707482993197,0.378740157480315,0.27183191070256074,0.5168938944872555,0.3090909090909091,0.3217344753747323,0.5216230646022424,0.36315007429420504,0.26981839146728165,0.2608695652173913,0.36144954701655735,0.4633992427429533,0.3467741935483871,0.24647122692725298,0.31092436974789917
-5,0.3114460909555442,0.21870209504343383,0.44047619047619047,0.33492975734355046,0.29521492295214924,0.3199011888219855,0.30244098712446355,0.4574898785425101,0.3157894736842105,0.3188405797101449,0.37198975234842013,0.32188295165394404,0.3471939122163337,0.3117294822120465,0.36363636363636365,0.3945480631276901,0.38543107422775474,0.3819148936170213,0.267038148306901,0.2566929133858268,0.3691657180029273,0.5426695842450766,0.4065040650406504,0.20504731861198738,0.3790035587188612,0.39231264762722784,0.4139194139194139,0.3780023190326321,0.2478386167146974,0.4991448118586089,0.3287037037037037,0.30998914223669927,0.5886998784933172,0.37103492470362065,0.27639241451396146,0.24646464646464647,0.3527048741296197,0.4654895666131621,0.42226487523992323,0.2535087719298246,0.29927007299270075
-4,0.3028727092620109,0.22066585464880228,0.4261168384879725,0.3402135231316726,0.3174955595026643,0.31454186293876313,0.2898201897210817,0.4845814977973568,0.25,0.3076923076923077,0.3805530776092774,0.32292405961674947,0.3446696279844531,0.3251556206517759,0.3235294117647059,0.3801526717557252,0.39888682745825604,0.38491840180078785,0.25671370050068276,0.2534775888717156,0.4318136571769859,0.5242537313432836,0.37755102040816324,0.20697858842188738,0.3953488372093023,0.3803048065650645,0.4239450441609421,0.36144101346001584,0.23304473304473305,0.49315415821501013,0.3444730077120823,0.31576144834930775,0.5803782505910166,0.35622025832766824,0.27279499404052443,0.2655086848635236,0.34152730203505943,0.4491935483870968,0.3558951965065502,0.28637147786083955,0.26666666666666666
-3,0.30082191780821915,0.23322227510709187,0.4204946996466431,0.34742120343839544,0.3305122494432071,0.22631124541333908,0.2884346121534584,0.44025157232704404,0.5,0.3261538461538461,0.37621540762902017,0.3223076923076923,0.31859711170056,0.30754200859710823,0.3783783783783784,0.38501742160278746,0.39273270283723244,0.3641585295807008,0.2698019801980198,0.18870967741935485,0.40621627455212606,0.5155555555555555,0.41836734693877553,0.1776094276094276,0.3892733564013841,0.3669527896995708,0.37545454545454543,0.3776012708498809,0.24080749819754865,0.5077160493827161,0.28232189973614774,0.31919642857142855,0.5806451612903226,0.3457685664939551,0.276390378428068,0.24477611940298508,0.3657169546940682,0.44395779414692416,0.3713109128345916,0.2879958784131891,0.3305785123966942
-2,0.280067283431455,0.23894491854150504,0.453416149068323,0.3340909090909091,0.3291984732824427,0.3029139766183912,0.28444638440273534,0.4573643410852713,0.35,0.2901849217638691,0.3844907876088277,0.30345911949685533,0.34485479797979796,0.33611342785654713,0.28125,0.41044776119402987,0.3815178110480124,0.36310904872389793,0.2555762081784387,0.20795660036166366,0.42490494296577946,0.5303983228511531,0.41346153846153844,0.1864555848724714,0.44112478031634444,0.3801940781288878,0.3796192609182531,0.36314760508308896,0.24006908462867013,0.5170836696260425,0.32608695652173914,0.30652680652680653,0.6100917431192661,0.3738147337709701,0.2731384267485059,0.23311546840958605,0.375766494971793,0.4588870431893688,0.3751814223512337,0.26261398176291795,0.36363636363636365
-1,0.2772129186602871,0.23014872699773128,0.436426116838488,0.3545858374706036,0.29746532759445243,0.30173883395840434,0.2895807259073842,0.4669365721997301,0.42857142857142855,0.38055555555555554,0.384343853820598,0.2855939342881213,0.33534595300261094,0.32346896835182903,0.21951219512195122,0.4538087520259319,0.4065989847715736,0.334290637564618,0.2668488160291439,0.23783783783783785,0.4196451529956287,0.4835443037974684,0.38095238095238093,0.21547502448579825,0.39593908629441626,0.35823559408465067,0.42773892773892774,0.37132542547705005,0.2251264755480607,0.5089024714323678,0.32344213649851633,0.2927504150525733,0.5982562038900067,0.3575337468077344,0.2677100494233937,0.2523364485981308,0.36617492096944154,0.4443979933110368,0.32901751713632904,0.27365269461077846,0.3627450980392157
0,0.2741038318912237,0.21311033180469383,0.43769968051118213,0.34579155271953815,0.3293226381461676,0.2998948791109776,0.27003962206644316,0.4551451187335092,0.5555555555555556,0.31800766283524906,0.3624581939799331,0.27209302325581397,0.34644078333851414,0.3281505728314239,0.26666666666666666,0.36568457538994803,0.38506981740064444,0.3380952380952381,0.26609848484848486,0.3008595988538682,0.402848876029379,0.5042372881355932,0.3076923076923077,0.17804878048780487,0.4394904458598726,0.3700677095493813,0.3917727717923604,0.36956878176750285,0.23478260869565218,0.5102591792656588,0.2959770114942529,0.31215161649944256,0.5936692506459949,0.3227222832052689,0.25955414012738853,0.24605678233438485,0.38328880252611125,0.46611909650924027,0.3048090523338048,0.2645739910313901,0.35714285714285715
1,0.27744165946413135,0.20860440713536202,0.46355685131195334,0.3431076178960097,0.3500905797101449,0.28603401969561326,0.28897849462365593,0.4547244094488189,0.0,0.3289315726290516,0.381013587954462,0.26187335092348285,0.32820442368457203,0.32558139534883723,0.23529411764705882,0.3497191011235955,0.3844660194174757,0.3656716417910448,0.27770700636942675,0.2932098765432099,0.42043882190156157,0.47578947368421054,0.33766233766233766,0.19874312647289866,0.4176285414480588,0.3693652253909844,0.3989071038251366,0.35579963388250957,0.21798780487804878,0.5093390804597702,0.3548387096774194,0.28880675818373813,0.6143302180685358,0.313477537437604,0.27223837209302326,0.222,0.37178899082568806,0.4498337570897712,0.2680344142951688,0.27217125382262997,0.3125
