cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.002290294875465216,0.0016384489350081922,0.006578947368421052,0.0017605633802816902,0.005427408412483039,0.002635740643120717,0.004181714502946208,0.010416666666666666,0.0,0.014634146341463415,0.0008965929468021519,0.005253940455341506,0.01740294511378849,0.004743423889607589,0.0,0.0,0.0076128330614464385,0.006956521739130435,0.0,0.0,0.00360257868790292,0.015873015873015872,0.0,0.006666666666666667,0.0024691358024691358,0.00033932813030200206,0.004268943436499467,0.004901960784313725,0.005319148936170213,0.00185459940652819,0.0,0.004316546762589928,0.006369426751592357,0.0024009603841536613,0.003377744417339088,0.003067484662576687,0.008144796380090498,0.0035200938691698444,0.0010277492291880781,0.0,0.0
-11,0.0008145533532446375,0.001030662200463798,0.0033444816053511705,0.0009950248756218905,0.0018075011296882061,0.0026311173478337133,0.002362347810285299,0.0028328611898017,0.0,0.011312217194570135,0.0,0.0017331022530329288,0.01955671447196871,0.004233700254022015,0.0,0.0024630541871921183,0.006927263730826323,0.00510204081632653,0.0,0.005747126436781609,0.0027242654212881884,0.024096385542168676,0.0,0.0014814814814814814,0.0021691973969631237,0.0017663386323492304,0.0010570824524312897,0.0022104332449160036,0.0007974481658692185,0.00038109756097560977,0.002890173410404624,0.004971590909090909,0.006016042780748663,0.0024681201151789387,0.0017901897601145722,0.0,0.006481481481481481,0.006095791001451379,0.0,0.0,0.0
-10,0.002249086308687096,0.00025839793281653745,0.0,0.0017199862401100791,0.005509641873278237,0.002921307285010042,0.002702702702702703,0.003992015968063872,0.0,0.01366742596810934,0.0009845749917952085,0.0027223230490018148,0.030303030303030304,0.008166969147005444,0.0,0.0,0.006422924901185771,0.0016286644951140066,0.0,0.0033333333333333335,0.003054017942355411,0.014492753623188406,0.0,0.0016501650165016502,0.004629629629629629,0.0013872832369942196,0.0022026431718061676,0.0032243205895900505,0.008314436885865457,0.0023913909924272616,0.0,0.010211524434719184,0.006151142355008787,0.002877106452938759,0.0019213973799126639,0.0,0.009401286491835725,0.0030138637733574444,0.0,0.0,0.008849557522123894
-9,0.0019236053860950811,0.0013089005235602095,0.0033112582781456954,0.0007137758743754461,0.0023234200743494425,0.0035816618911174787,0.004622496147919877,0.00508646998982706,0.0,0.009592326139088728,0.0009986684420772304,0.004347826086956522,0.0234375,0.005190311418685121,0.0,0.0021413276231263384,0.009424603174603174,0.0018315018315018315,0.0,0.0,0.0025208454527826255,0.018867924528301886,0.0,0.001669449081803005,0.003992015968063872,0.0014627011214041932,0.004381161007667032,0.001443001443001443,0.0022953328232593728,0.0013066202090592336,0.0029940119760479044,0.002708192281651997,0.00880503144654088,0.0016576875259013675,0.0009266123054114158,0.0,0.008791208791208791,0.0019406709176601053,0.0010626992561105207,0.0,0.0
-8,0.001443522194153735,0.002171552660152009,0.0,0.0009560229445506692,0.004419191919191919,0.0023685457129322598,0.003020387616410773,0.006570302233902759,0.0,0.00847457627118644,0.0012674271229404308,0.003264417845484222,0.012121212121212121,0.005750431282346176,0.0,0.0,0.0034746351633078527,0.0045662100456621,0.0,0.0,0.00235910878112713,0.0,0.0,0.008385744234800839,0.005952380952380952,0.0012861736334405145,0.0028694404591104736,0.0024984384759525295,0.0020898641588296763,0.0024479804161566705,0.0,0.009765625,0.009819967266775777,0.0035440047253396337,0.0016750418760469012,0.0,0.0021929824561403508,0.0019554165037152915,0.0,0.0,0.0
-7,0.0013175230566534915,0.0003278688524590164,0.003125,0.0026656511805026656,0.002937720329024677,0.004514672686230248,0.0025952960259529602,0.009345794392523364,0.0,0.013550135501355014,0.0018805829807240243,0.005499541704857928,0.0038340291386214534,0.002711864406779661,0.0,0.0,0.010289389067524116,0.005027422303473492,0.0,0.003745318352059925,0.0030498744169357734,0.012371134020618556,0.0,0.002188183807439825,0.004347826086956522,0.001584786053882726,0.0036452004860267314,0.0011049723756906078,0.00392156862745098,0.00273224043715847,0.0,0.0075528700906344415,0.025210084033613446,0.0009624639076034649,0.0009587727708533077,0.0,0.0013440860215053765,0.003301540719002201,0.0,0.00031357792411414236,0.011764705882352941
-6,0.0013078733978550876,0.0015608740894901144,0.0,0.0019207683073229293,0.0016927634363097758,0.0037380768239236918,0.0032410870107205184,0.008119079837618403,0.0,0.001813236627379873,0.0019011406844106464,0.0030272452068617556,0.00587913590374624,0.004836309523809524,0.0,0.0013550135501355014,0.004578754578754579,0.005249343832020997,0.0016771488469601676,0.023454157782515993,0.002805049088359046,0.017241379310344827,0.0,0.002834868887313962,0.0,0.0018819101387908728,0.003401360544217687,0.002362204724409449,0.0026263952724885093,0.002074688796680498,0.0,0.004817987152034261,0.008542445274959957,0.0017830609212481426,0.0011530700490054772,0.0,0.002499218994064355,0.003155237694572991,0.0,0.0010857763300760044,0.008403361344537815
-5,0.002043944813490036,0.001021972406745018,0.0,0.0015964240102171138,0.0016220600162206002,0.003087849312953528,0.0034871244635193135,0.004048582995951417,0.0,0.006688963210702341,0.0023911187019641333,0.005089058524173028,0.004891969017529555,0.006692497358224727,0.0,0.0014347202295552368,0.011526048870447211,0.005319148936170213,0.0021431633090441492,0.02204724409448819,0.0027646771832818343,0.010940919037199124,0.0,0.0015772870662460567,0.005338078291814947,0.0012883830792355595,0.0009157509157509158,0.002981613384131191,0.002161383285302594,0.002280501710376283,0.0023148148148148147,0.011400651465798045,0.007897934386391251,0.001281640499839795,0.0019411676870240407,0.0,0.0048205677557579,0.0034109149277688606,0.0009596928982725527,0.0017543859649122807,0.014598540145985401
-4,0.0004952947003467063,0.0014210312626877792,0.0,0.0014234875444839859,0.003552397868561279,0.004254672542166844,0.0038227382132238427,0.003303964757709251,0.0,0.010610079575596816,0.0021409455842997323,0.0035486160397444995,0.005136035535813437,0.004393994873672647,0.0,0.0061068702290076335,0.006493506493506494,0.0039392234102419805,0.0013654984069185253,0.023183925811437404,0.0031853474019510252,0.005597014925373134,0.0,0.0031720856463124504,0.0049833887043189366,0.0016412661195779601,0.001962708537782139,0.0022433359725521247,0.001443001443001443,0.002535496957403651,0.002570694087403599,0.004792332268370607,0.0070921985815602835,0.0013596193065941536,0.0017878426698450535,0.004962779156327543,0.004432802740278058,0.0030241935483870967,0.000727802037845706,0.0005750431282346176,0.014814814814814815
-3,0.001095890410958904,0.0011899095668729176,0.0,0.0007163323782234957,0.0017817371937639199,0.0025901143967191884,0.004900588070568469,0.0037735849056603774,0.0,0.009230769230769232,0.0016828721017202693,0.004615384615384616,0.006041850869437077,0.0023446658851113715,0.0,0.0,0.011448481831757094,0.006318207926479035,0.0012376237623762376,0.02258064516129032,0.004316857327865314,0.011111111111111112,0.0,0.003367003367003367,0.0017301038062283738,0.001430615164520744,0.0018181818181818182,0.003177124702144559,0.002883922134102379,0.00360082304526749,0.0,0.005580357142857143,0.00967741935483871,0.002763385146804836,0.0018385169296767274,0.0,0.006539000467071462,0.003981684252438782,0.0006863417982155113,0.0010303967027305513,0.008264462809917356
