cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.03549957056971085,0.015292190060076462,0.04276315789473684,0.05880281690140845,0.023518769787426504,0.03619750483219118,0.027561300133054554,0.058159722222222224,0.0,0.04878048780487805,0.03795576808129109,0.042907180385288964,0.01740294511378849,0.046140577835273824,0.0,0.0481283422459893,0.052202283849918436,0.05391304347826087,0.03159340659340659,0.04024767801857585,0.06560485400075844,0.015873015873015872,0.024390243902439025,0.058333333333333334,0.05432098765432099,0.07821513403461147,0.09071504802561366,0.044563279857397504,0.041033434650455926,0.07566765578635015,0.026845637583892617,0.034532374100719423,0.05732484076433121,0.05682272909163665,0.035653968849690375,0.049079754601226995,0.034389140271493215,0.09856262833675565,0.03597122302158273,0.0,0.02127659574468085
-11,0.031496062992125984,0.014686936356609122,0.0802675585284281,0.058374792703150914,0.028016267510167194,0.03771268198561656,0.02344175904052335,0.061378659112370164,0.0,0.033936651583710405,0.04546941445861956,0.047660311958405546,0.02216427640156454,0.04233700254022015,0.0,0.0665024630541872,0.0475012370113805,0.04251700680272109,0.03886397608370702,0.03735632183908046,0.06207433352792372,0.024096385542168676,0.08547008547008547,0.057777777777777775,0.0455531453362256,0.0928589452435024,0.07399577167019028,0.04111405835543767,0.0430622009569378,0.0625,0.023121387283236993,0.04261363636363636,0.04879679144385027,0.05265322912381736,0.038131041890440386,0.06426735218508997,0.03148148148148148,0.10624092888243832,0.03563941299790356,0.0,0.029411764705882353
-10,0.03851560303626652,0.014470284237726097,0.07453416149068323,0.06226350189198487,0.022497704315886134,0.04290670074858499,0.019884169884169883,0.043912175648702596,0.0,0.02050113895216401,0.04988513291762389,0.05172413793103448,0.01875901875901876,0.03856624319419238,0.0,0.06356968215158924,0.06175889328063241,0.043973941368078175,0.0364963503649635,0.03,0.0578354647833556,0.028985507246376812,0.10679611650485436,0.056105610561056105,0.046296296296296294,0.07884393063583815,0.07929515418502203,0.03638876093965914,0.037037037037037035,0.07174172977281786,0.023668639053254437,0.046681254558716266,0.058875219683655534,0.05795314426633785,0.03563318777292576,0.05621301775147929,0.03166749134092034,0.12417118746232671,0.03741152679474216,0.0,0.02654867256637168
-9,0.03022808463863699,0.014659685863874346,0.056291390728476824,0.048893647394718055,0.020446096654275093,0.038144699140401146,0.026771956856702618,0.04069175991861648,0.0,0.03357314148681055,0.05226364846870839,0.03739130434782609,0.0265625,0.03676470588235294,0.0,0.05139186295503212,0.06299603174603174,0.05128205128205128,0.02953020134228188,0.024096385542168676,0.05332557688578631,0.03773584905660377,0.10679611650485436,0.07679465776293823,0.05588822355289421,0.07679180887372014,0.08543263964950712,0.04040404040404041,0.03519510328997705,0.07709059233449478,0.011976047904191617,0.03859174001354096,0.07169811320754717,0.05843348528802321,0.039288361749444035,0.08928571428571429,0.03021978021978022,0.10257831993346271,0.040382571732199786,0.0,0.00909090909090909
-8,0.03356189101407434,0.018458197611292075,0.05384615384615385,0.05688336520076482,0.027777777777777776,0.039317858834675506,0.020639315378806946,0.04730617608409987,0.1111111111111111,0.02824858757062147,0.05534431770173215,0.03917301414581066,0.022222222222222223,0.0425531914893617,0.0,0.03142857142857143,0.04794996525364837,0.05251141552511415,0.026771653543307086,0.018518518518518517,0.05923984272608126,0.0,0.07142857142857142,0.07756813417190776,0.0625,0.06945337620578779,0.0703012912482066,0.042473454091193005,0.04806687565308255,0.0795593635250918,0.02356902356902357,0.03515625,0.06873977086743044,0.05906674542232723,0.03254367073462551,0.03169014084507042,0.02850877192982456,0.10481032459913962,0.035897435897435895,0.0,0.033707865168539325
-7,0.036231884057971016,0.021967213114754098,0.06875,0.06473724295506474,0.0199764982373678,0.04104247896572953,0.021248986212489863,0.07476635514018691,0.0,0.051490514905149054,0.037768374862874154,0.0384967919340055,0.01780693533270853,0.031864406779661014,0.022988505747126436,0.040172166427546625,0.06173633440514469,0.054844606946983544,0.03394160583941606,0.026217228464419477,0.06315034086831718,0.05154639175257732,0.09090909090909091,0.018964259664478483,0.034782608695652174,0.08082408874801902,0.060753341433778855,0.04843462246777164,0.05019607843137255,0.07422586520947176,0.015723270440251572,0.0377643504531722,0.06162464985994398,0.05838947706127687,0.03435602428891019,0.05460750853242321,0.023969534050179212,0.0979457079970653,0.031007751937984496,0.016306052053935403,0.023529411764705882
-6,0.03949777661522365,0.01716961498439126,0.08035714285714286,0.05282112845138055,0.02496826068556919,0.03763856664088683,0.02256295188232361,0.06495263870094722,0.0625,0.02629193109700816,0.04096094020048393,0.03077699293642785,0.024747060432048128,0.04241071428571429,0.058823529411764705,0.032520325203252036,0.05311355311355311,0.06404199475065617,0.03270440251572327,0.019189765458422176,0.0695028829671186,0.10153256704980843,0.058823529411764705,0.03401842664776754,0.04814814814814815,0.08068689720065866,0.09183673469387756,0.056220472440944885,0.048588312541037425,0.0912863070539419,0.02077922077922078,0.04336188436830835,0.06139882541377469,0.06359583952451708,0.04626693571634477,0.04106280193236715,0.03498906591690097,0.11421960454354228,0.04156327543424317,0.04017372421281216,0.01680672268907563
-5,0.03474706182933061,0.021461420541645376,0.07142857142857142,0.05363984674329502,0.029602595296025953,0.047707271885132005,0.022934549356223174,0.04723346828609987,0.0,0.0379041248606466,0.04150298889837745,0.04198473282442748,0.027857045794265525,0.042972877773864035,0.06818181818181818,0.03730272596843615,0.056708160442600276,0.06861702127659575,0.035147878268324044,0.01732283464566929,0.063750203285087,0.11816192560175055,0.06504065040650407,0.03627760252365931,0.0498220640569395,0.08202705604466394,0.08424908424908426,0.05118436309425211,0.05259365994236311,0.08779931584948689,0.023148148148148147,0.04288816503800217,0.07229647630619684,0.06151874399231016,0.046588024488576976,0.06060606060606061,0.033743974290305304,0.09510433386837881,0.03550863723608445,0.035964912280701755,0.021897810218978103
-4,0.03442298167409609,0.02293950466910272,0.06529209621993128,0.0597864768683274,0.034191829484902306,0.041179152104543384,0.01854735947897494,0.05286343612334802,0.0,0.042440318302387266,0.043710972346119537,0.0397444996451384,0.025402554136590785,0.03771512266569022,0.0,0.03816793893129771,0.06957328385899815,0.07259425998874508,0.036868456986800184,0.03245749613601236,0.07565200079633685,0.08768656716417911,0.09183673469387756,0.030927835051546393,0.054817275747508304,0.07479484173505276,0.08635917566241413,0.05423594615993666,0.03535353535353535,0.09330628803245436,0.033419023136246784,0.045260915867944625,0.06560283687943262,0.05540448674371176,0.04961263408820024,0.07444168734491315,0.03989522466250252,0.10826612903225806,0.04148471615720524,0.02875215641173088,0.014814814814814815
-3,0.03452054794520548,0.02831984769157544,0.06007067137809187,0.05873925501432665,0.026726057906458798,0.03000215842866393,0.02016241949033884,0.0440251572327044,0.0,0.03538461538461538,0.041884816753926704,0.03538461538461538,0.02431476569407604,0.041031652989449004,0.02702702702702703,0.04529616724738676,0.04430064708810354,0.06892590465249857,0.03217821782178218,0.017741935483870968,0.07403410317289014,0.08,0.11224489795918367,0.03282828282828283,0.06401384083044982,0.08059132093466857,0.09090909090909091,0.0562351072279587,0.03965392934390771,0.09233539094650206,0.018469656992084433,0.04408482142857143,0.06903225806451613,0.05768566493955095,0.04948674735713191,0.06865671641791045,0.04460532461466604,0.09177782201871391,0.04667124227865477,0.03503348789283874,0.024793388429752067
