cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.061265387918694535,0.06062261059530311,0.06578947368421052,0.04823943661971831,0.08322026232473993,0.04111755403268318,0.0515111195590192,0.07378472222222222,0.08333333333333333,0.026829268292682926,0.03765690376569038,0.1330998248686515,0.07228915662650602,0.039241052177662786,0.0,0.05614973262032086,0.046220772158781946,0.06260869565217392,0.03021978021978022,0.09907120743034056,0.0919605612438377,0.06349206349206349,0.06097560975609756,0.035,0.024691358024691357,0.05632846963013234,0.044823906083244394,0.06060606060606061,0.029635258358662615,0.08716617210682492,0.053691275167785234,0.06546762589928058,0.07430997876857749,0.04841936774709884,0.025520735597673108,0.015337423312883436,0.052941176470588235,0.08330888823701965,0.10894141829393628,0.0,0.07446808510638298
-11,0.05538962802063535,0.05797474877608864,0.08695652173913043,0.049087893864013264,0.08721192950745595,0.03473074899140502,0.05451571869889151,0.07932011331444759,0.09090909090909091,0.033936651583710405,0.04906771344455348,0.12391681109185441,0.07692307692307693,0.04741744284504657,0.0,0.03940886699507389,0.042058386937159825,0.06292517006802721,0.02391629297458894,0.06609195402298851,0.08853862619186612,0.08433734939759036,0.05982905982905983,0.02666666666666667,0.015184381778741865,0.05021448397678526,0.04334038054968287,0.06896551724137931,0.03827751196172249,0.09108231707317073,0.03468208092485549,0.07315340909090909,0.08021390374331551,0.05676676264911559,0.02756892230576441,0.015424164524421594,0.04259259259259259,0.06705370101596517,0.1069182389937107,0.0,0.049019607843137254
-10,0.06325555243182457,0.05400516795865633,0.06832298136645963,0.03990368077055383,0.08494031221303948,0.03724666788387804,0.056563706563706566,0.08183632734530938,0.17647058823529413,0.029612756264236904,0.05743354118805382,0.14519056261343014,0.06637806637806638,0.04219600725952813,0.0,0.08312958435207823,0.045454545454545456,0.06677524429967427,0.027980535279805353,0.07333333333333333,0.08322198892918496,0.11594202898550725,0.0970873786407767,0.033003300330033,0.018518518518518517,0.04971098265895954,0.04185022026431718,0.06080147397512667,0.039304610733182165,0.09924272618573136,0.05029585798816568,0.06345733041575492,0.070298769771529,0.05959720509658857,0.019912663755458516,0.011834319526627219,0.04849084611578427,0.08167570825798674,0.12032355915065723,0.0,0.061946902654867256
-9,0.06402857928002198,0.06335078534031413,0.06291390728476821,0.048179871520342615,0.08224907063197026,0.037070200573065905,0.057203389830508475,0.06917599186164802,0.15384615384615385,0.023980815347721823,0.043275632490013316,0.12608695652173912,0.0703125,0.041089965397923874,0.0,0.042826552462526764,0.04117063492063492,0.038461538461538464,0.022818791946308724,0.10542168674698796,0.08454527826255576,0.05660377358490566,0.06796116504854369,0.041736227045075125,0.011976047904191617,0.04802535348610434,0.0624315443592552,0.0658970658970659,0.035960214231063506,0.10104529616724739,0.06287425149700598,0.06838185511171294,0.09056603773584905,0.06464981351015334,0.025018532246108227,0.008928571428571428,0.04395604395604396,0.07291377876351539,0.11689691817215728,0.0,0.07272727272727272
-8,0.06098881270299531,0.05573651827723489,0.07307692307692308,0.033938814531548754,0.08712121212121213,0.03860729512079583,0.04832620186257237,0.0735873850197109,0.1111111111111111,0.022598870056497175,0.044359949302915085,0.1088139281828074,0.08686868686868687,0.03622771707878091,0.0,0.045714285714285714,0.04447533009034051,0.03881278538812785,0.03464566929133858,0.09259259259259259,0.07916120576671036,0.11363636363636363,0.05714285714285714,0.033542976939203356,0.005952380952380952,0.05498392282958199,0.04878048780487805,0.051842598376014994,0.03761755485893417,0.0966952264381885,0.06734006734006734,0.0654296875,0.09165302782324058,0.050797401063201415,0.027039961713328547,0.01056338028169014,0.03728070175438596,0.058271411810715684,0.13076923076923078,0.0,0.10112359550561797
-7,0.06521739130434782,0.061967213114754095,0.046875,0.0376999238385377,0.0846063454759107,0.045557151651959775,0.054987834549878344,0.11526479750778816,0.16666666666666666,0.02981029810298103,0.048895157498824636,0.10907424381301559,0.06142966686546818,0.029830508474576273,0.0,0.047345767575322814,0.047588424437299034,0.031992687385740404,0.02335766423357664,0.10112359550561797,0.062432723358449946,0.0865979381443299,0.022727272727272728,0.010211524434719184,0.034782608695652174,0.06624405705229794,0.03523693803159174,0.05009208103130755,0.02980392156862745,0.12568306010928962,0.0660377358490566,0.04682779456193353,0.09523809523809523,0.06544754571703561,0.019175455417066157,0.010238907849829351,0.04345878136200717,0.07556859867938372,0.14728682170542637,0.01724678582627783,0.08235294117647059
-6,0.07140988752288778,0.06659729448491156,0.07142857142857142,0.04513805522208884,0.09521794329242489,0.03531838102603764,0.06532036898529045,0.12178619756427606,0.25,0.012692656391659111,0.0611821638437608,0.09434914228052473,0.09502324309543342,0.03869047619047619,0.029411764705882353,0.06504065040650407,0.05402930402930403,0.050393700787401574,0.029769392033542976,0.05223880597014925,0.07168458781362007,0.11494252873563218,0.09411764705882353,0.021970233876683204,0.016666666666666666,0.06069160197600565,0.061224489795918366,0.0615748031496063,0.038739330269205514,0.11588618850029639,0.06233766233766234,0.059421841541755886,0.07261078483715963,0.061218424962852895,0.02334966849236091,0.024154589371980676,0.06435488909715714,0.07278081615481699,0.08560794044665013,0.031487513572204126,0.058823529411764705
-5,0.06821665815022994,0.06310679611650485,0.08035714285714286,0.0421455938697318,0.0908353609083536,0.03798054654932839,0.058610515021459225,0.11336032388663968,0.21052631578947367,0.016722408026755852,0.05619128949615713,0.08651399491094147,0.08751189020247316,0.04508629799225079,0.09090909090909091,0.07173601147776183,0.052097740894421395,0.04414893617021277,0.030861551650235748,0.07401574803149606,0.0601723857537811,0.08315098468271334,0.032520325203252036,0.017350157728706624,0.021352313167259787,0.06012454369765944,0.054945054945054944,0.06476726851084975,0.03818443804034582,0.10746864310148233,0.0787037037037037,0.051031487513572206,0.09234507897934387,0.06984940724126883,0.026131103479169776,0.012121212121212121,0.05731119442956615,0.07804975922953451,0.1276391554702495,0.03684210526315789,0.08029197080291971
-4,0.05968301139177811,0.05602923264311815,0.061855670103092786,0.040569395017793594,0.09591474245115453,0.043458440966418474,0.05422624946906414,0.10792951541850221,0.2,0.03183023872679045,0.05691347011596789,0.0965223562810504,0.09230982787340367,0.047967777370926404,0.0,0.06717557251908397,0.046846011131725415,0.051209904333145755,0.03732362312243969,0.06800618238021638,0.07525383237109297,0.08395522388059702,0.02040816326530612,0.01506740681998414,0.03488372093023256,0.0548651817116061,0.053974484789008834,0.05080496173132753,0.02958152958152958,0.0973630831643002,0.07455012853470437,0.06070287539936102,0.10401891252955082,0.06220258327668253,0.02205005959475566,0.017369727047146403,0.054402579085230704,0.07379032258064516,0.09388646288209607,0.0425531914893617,0.02962962962962963
-3,0.06657534246575343,0.06568300809138505,0.06007067137809187,0.04978510028653295,0.10111358574610245,0.026656593999568313,0.053346401568188186,0.1119496855345912,0.2857142857142857,0.023076923076923078,0.04768137621540763,0.09230769230769231,0.08045977011494253,0.0492379835873388,0.02702702702702703,0.05749128919860627,0.05973120955699353,0.040781160252728314,0.030115511551155116,0.05,0.06993308871141808,0.1111111111111111,0.061224489795918366,0.022727272727272728,0.02249134948096886,0.055317119694802096,0.03636363636363636,0.059412231930103254,0.028118240807498196,0.12139917695473251,0.04221635883905013,0.05747767857142857,0.10387096774193548,0.052504317789291884,0.025739237015474183,0.008955223880597015,0.062354040168145726,0.07306390603225164,0.1262868908716541,0.0401854714064915,0.0743801652892562
-2,0.059153350154191195,0.06878717351952418,0.08695652173913043,0.042045454545454546,0.10734732824427481,0.04100506019891816,0.05310635821329841,0.09689922480620156,0.05,0.02844950213371266,0.04839036242154282,0.08411949685534591,0.09138257575757576,0.05421184320266889,0.0625,0.08208955223880597,0.05007743933918431,0.04234338747099768,0.03020446096654275,0.0650994575045208,0.07438212927756654,0.11530398322851153,0.04807692307692308,0.014951627088830254,0.028119507908611598,0.06195571037571535,0.06606942889137737,0.0516454871293581,0.03195164075993091,0.10357815442561205,0.062111801242236024,0.06118881118881119,0.0910878112712975,0.06309263311451495,0.0247132934905508,0.013071895424836602,0.07014961981849399,0.07682724252491695,0.12336719883889695,0.03829787234042553,0.05454545454545454
