cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.047237331806470086,0.02403058438012015,0.06578947368421052,0.0630281690140845,0.036635006784260515,0.047619047619047616,0.03022239118038396,0.0546875,0.0,0.05609756097560976,0.07770472205618649,0.05516637478108581,0.014725568942436412,0.05260888313928418,0.0,0.07754010695187166,0.0734094616639478,0.06086956521739131,0.046703296703296704,0.05572755417956656,0.05100492984452029,0.015873015873015872,0.08536585365853659,0.07,0.056790123456790124,0.08042076688157448,0.08858057630736393,0.05481283422459893,0.04635258358662614,0.103486646884273,0.03691275167785235,0.031654676258992806,0.09978768577494693,0.05322128851540616,0.04747607431037718,0.08895705521472393,0.048868778280542986,0.06688178351422705,0.044193216855087356,0.0,0.0425531914893617
-11,0.04670105891935922,0.027570213862406597,0.06688963210702341,0.06434494195688226,0.039313149570718485,0.04753552008419575,0.032164274032345994,0.06326723323890462,0.0,0.07239819004524888,0.0866862937520445,0.0415944540727903,0.03129074315514994,0.05249788314987299,0.0,0.06896551724137931,0.06877783275606135,0.061224489795918366,0.05680119581464873,0.04885057471264368,0.0476746448725433,0.012048192771084338,0.07692307692307693,0.08444444444444445,0.04338394793926247,0.07898057027504415,0.08985200845665962,0.0649867374005305,0.05422647527910686,0.10861280487804878,0.02023121387283237,0.02556818181818182,0.0875668449197861,0.052241875771287534,0.05639097744360902,0.05912596401028278,0.049074074074074076,0.07692307692307693,0.04821802935010482,0.0,0.0196078431372549
-10,0.04779308405960079,0.025839793281653745,0.052795031055900624,0.05572755417956656,0.03305785123966942,0.0522183677195545,0.029343629343629343,0.05588822355289421,0.0,0.07061503416856492,0.08697079094191007,0.0499092558983666,0.020202020202020204,0.0662431941923775,0.0,0.07090464547677261,0.07312252964426877,0.057003257328990226,0.0535279805352798,0.03333333333333333,0.04981866768467265,0.028985507246376812,0.08737864077669903,0.08745874587458746,0.03935185185185185,0.08485549132947977,0.09361233480176212,0.060340856748042376,0.03854875283446712,0.10203268234356318,0.023668639053254437,0.027716994894237783,0.09402460456942004,0.06041923551171394,0.05554585152838428,0.08284023668639054,0.03958436417615042,0.07715491259795057,0.032355915065722954,0.0,0.04424778761061947
-9,0.04149491618576532,0.025916230366492148,0.029801324503311258,0.07173447537473233,0.03810408921933085,0.0460243553008596,0.02754237288135593,0.07019328585961343,0.0,0.0815347721822542,0.085219707057257,0.04695652173913043,0.0234375,0.05968858131487889,0.0,0.07708779443254818,0.08482142857142858,0.054945054945054944,0.05100671140939597,0.05120481927710843,0.04944735311227458,0.05660377358490566,0.0970873786407767,0.09181969949916527,0.0499001996007984,0.07606045831301804,0.09200438116100766,0.06060606060606061,0.04361132364192808,0.12369337979094076,0.05089820359281437,0.026404874746106973,0.11949685534591195,0.06174886033982594,0.04744255003706449,0.041666666666666664,0.035164835164835165,0.07901303021901858,0.04144527098831031,0.0,0.02727272727272727
-8,0.03789245759653555,0.029677886355410785,0.057692307692307696,0.058795411089866155,0.03851010101010101,0.04263382283278067,0.03045557513214196,0.06438896189224705,0.0,0.07627118644067797,0.09590198563582594,0.05331882480957562,0.026262626262626262,0.06152961472110408,0.0,0.09714285714285714,0.06393328700486449,0.0502283105022831,0.03937007874015748,0.046296296296296294,0.05294888597640891,0.06818181818181818,0.07142857142857142,0.09014675052410902,0.05357142857142857,0.07106109324758843,0.08321377331420372,0.0655840099937539,0.04179728317659352,0.1266829865361077,0.020202020202020204,0.0283203125,0.09656301145662848,0.05493207324276432,0.04522613065326633,0.06690140845070422,0.03435672514619883,0.0825185764567853,0.046153846153846156,0.0,0.056179775280898875
-7,0.038537549407114624,0.03081967213114754,0.034375,0.06435643564356436,0.04230317273795535,0.045146726862302484,0.0332522303325223,0.059190031152647975,0.0,0.08672086720867209,0.07005171603196991,0.02841429880843263,0.02530459231490159,0.04711864406779661,0.04597701149425287,0.07317073170731707,0.0797427652733119,0.090036563071298,0.04525547445255475,0.02247191011235955,0.06530319339791892,0.061855670103092786,0.09090909090909091,0.04011670313639679,0.06086956521739131,0.07987321711568938,0.08748481166464156,0.056721915285451195,0.05019607843137255,0.11156648451730419,0.015723270440251572,0.03927492447129909,0.11624649859943978,0.04170676932948348,0.0634387983381272,0.06143344709897611,0.04457885304659498,0.08950843727072634,0.037467700258397935,0.025713389777359673,0.07058823529411765
-6,0.038713052576510594,0.030176899063475548,0.05357142857142857,0.0617046818727491,0.03766398645789251,0.048723897911832945,0.03415607080528547,0.07307171853856563,0.0,0.07071622846781506,0.07397165572070515,0.040867810292633706,0.028985507246376812,0.05580357142857143,0.08823529411764706,0.058265582655826556,0.06639194139194139,0.07191601049868766,0.033542976939203356,0.039445628997867806,0.05859435873461119,0.04980842911877394,0.03529411764705882,0.0517363571934798,0.07222222222222222,0.0788049870618678,0.07738095238095238,0.06299212598425197,0.05252790544977019,0.1040308239478364,0.03636363636363636,0.030513918629550323,0.0998398291510945,0.049925705794948,0.05246468722974921,0.043478260869565216,0.05373320837238363,0.08750525872949096,0.04528535980148883,0.03040173724212812,0.01680672268907563
-5,0.03551354113438937,0.027593254982115484,0.05357142857142857,0.06577266922094509,0.031630170316301706,0.04909680407596109,0.03017703862660944,0.06612685560053981,0.0,0.07692307692307693,0.06387702818104185,0.03816793893129771,0.027721157766000815,0.05353997886579782,0.06818181818181818,0.05738880918220947,0.06869525126786538,0.06436170212765957,0.033433347621088724,0.03779527559055118,0.06147341031061961,0.087527352297593,0.08130081300813008,0.0528391167192429,0.06583629893238434,0.07494094910886837,0.09798534798534798,0.062448235878747725,0.03314121037463977,0.10205245153933866,0.037037037037037035,0.024429967426710098,0.11360874848116646,0.04229413649471323,0.05375541287143497,0.044444444444444446,0.05115158007498661,0.07945425361155699,0.04894433781190019,0.03070175438596491,0.029197080291970802
-4,0.03665180782565627,0.025172553796183515,0.048109965635738834,0.06441281138790035,0.03197158081705151,0.0455857772375019,0.026759167492566897,0.07488986784140969,0.05,0.0636604774535809,0.06690454950936664,0.0454222853087296,0.0279011660188784,0.05712193335774442,0.11764705882352941,0.06412213740458016,0.07884972170686456,0.07597073719752391,0.027765134274010013,0.02627511591962906,0.07186940075652001,0.06529850746268656,0.07142857142857142,0.05392545598731166,0.061461794019933555,0.07080890973036343,0.08537782139352307,0.07139086830298232,0.051226551226551224,0.09609533468559837,0.028277634961439587,0.026091586794462194,0.09929078014184398,0.04758667573079538,0.0516984505363528,0.05955334987593052,0.045133991537376586,0.07641129032258065,0.0487627365356623,0.03335250143760782,0.022222222222222223
-3,0.04136986301369863,0.023322227510709188,0.04946996466431095,0.05945558739255014,0.044097995545657014,0.03377940859054608,0.026323158779053488,0.05911949685534591,0.0,0.07538461538461538,0.07292445774121167,0.040769230769230766,0.025346301208370173,0.05861664712778429,0.08108108108108109,0.059233449477351915,0.070681931309109,0.07294658242389432,0.041666666666666664,0.01935483870967742,0.06475285991797972,0.042222222222222223,0.04081632653061224,0.04292929292929293,0.06747404844290658,0.0670004768717215,0.07727272727272727,0.06783161239078633,0.05263157894736842,0.10725308641975309,0.0316622691292876,0.030133928571428572,0.09548387096774194,0.048013816925734025,0.050559215566110004,0.05970149253731343,0.04997664642690332,0.08421262193908023,0.045298558682223745,0.03503348789283874,0.01652892561983471
-2,0.03728623493131483,0.02560124127230411,0.06832298136645963,0.05795454545454545,0.03148854961832061,0.045367300645611584,0.026189436927106065,0.06847545219638243,0.05,0.05832147937411095,0.07896335290544644,0.03773584905660377,0.032039141414141416,0.060050041701417846,0.125,0.06902985074626866,0.07072792978833248,0.07134570765661252,0.04321561338289963,0.027124773960216998,0.07200570342205323,0.0649895178197065,0.0673076923076923,0.04133685136323659,0.06678383128295255,0.07091316247822842,0.07838745800671892,0.06647116324535679,0.03540587219343696,0.10815173527037934,0.021739130434782608,0.02564102564102564,0.13237221494102228,0.05105762217359591,0.05944112421256663,0.05228758169934641,0.04660289428501349,0.08824750830564784,0.054426705370101594,0.03100303951367781,0.02727272727272727
