cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.030927835051546393,0.02,0.0,0.016129032258064516,0.025,0.033707865168539325,0.06188925081433225,0.175,0.0,0.16216216216216217,0.01098901098901099,0.05555555555555555,0.3125,0.09022556390977443,0.0,0.0,0.08641975308641975,0.125,0.0,0.0,0.05925925925925926,0.0,0.0,0.10869565217391304,0.0,0.05194805194805195,0.08,0.1388888888888889,0.06578947368421052,0.041666666666666664,0.0,0.045454545454545456,0.17857142857142858,0.04477611940298507,0.04477611940298507,0.0,0.09848484848484848,0.07920792079207921,0.03125,0.0,0.0
-11,0.04672897196261682,0.0,0.0,0.027777777777777776,0.046511627906976744,0.041811846689895474,0.037900874635568516,0.05172413793103448,0.0,0.16666666666666666,0.0125,0.0,0.18,0.056,0.0,0.0,0.06097560975609756,0.08333333333333333,0.0,0.0,0.10204081632653061,0.15384615384615385,0.0,0.0,0.0,0.09615384615384616,0.0967741935483871,0.0273972602739726,0.034482758620689655,0.02857142857142857,0.0,0.021505376344086023,0.2,0.056338028169014086,0.029069767441860465,0.0,0.11538461538461539,0.04065040650406504,0.038461538461538464,0.0,0.0
-10,0.038461538461538464,0.0,0.0,0.02666666666666667,0.05454545454545454,0.05555555555555555,0.022364217252396165,0.06060606060606061,0.0,0.1,0.02,0.0,0.2692307692307692,0.0873015873015873,0.0,0.0,0.10062893081761007,0.029411764705882353,0.0,0.3333333333333333,0.06329113924050633,0.0,0.0,0.05,0.034482758620689655,0.046153846153846156,0.0,0.06451612903225806,0.014705882352941176,0.09375,0.0,0.03488372093023256,0.14754098360655737,0.09090909090909091,0.03048780487804878,0.25,0.14754098360655737,0.08163265306122448,0.0,0.0,0.3333333333333333
-9,0.05434782608695652,0.0,0.2,0.012658227848101266,0.0,0.04819277108433735,0.04220779220779221,0.043478260869565216,0.0,0.16666666666666666,0.033707865168539325,0.0,0.24444444444444444,0.06611570247933884,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.02531645569620253,0.2,0.0,0.0,0.017857142857142856,0.01818181818181818,0.08571428571428572,0.04918032786885246,0.022727272727272728,0.02564102564102564,0.0,0.031578947368421054,0.23809523809523808,0.06349206349206349,0.029850746268656716,0.1111111111111111,0.12903225806451613,0.058823529411764705,0.0,0.0,0.0
-8,0.0,0.03333333333333333,0.0,0.03508771929824561,0.10344827586206896,0.047058823529411764,0.02040816326530612,0.06896551724137931,0.0,0.1,0.029850746268656716,0.02857142857142857,0.10344827586206896,0.09803921568627451,0.0,0.0,0.06722689075630252,0.034482758620689655,0.0,0.0,0.07368421052631578,0.0,0.0,0.08695652173913043,0.030303030303030304,0.0,0.14285714285714285,0.01694915254237288,0.02040816326530612,0.0,0.0,0.05813953488372093,0.19047619047619047,0.06521739130434782,0.01834862385321101,0.0,0.06493506493506493,0.07142857142857142,0.0,0.0,0.0
-7,0.022727272727272728,0.0,0.0,0.10126582278481013,0.06666666666666667,0.08292682926829269,0.032846715328467155,0.14285714285714285,0.0,0.10256410256410256,0.04929577464788732,0.0,0.09883720930232558,0.1038961038961039,0.0,0.0,0.08029197080291971,0.15625,0.0,0.0,0.030303030303030304,0.0,0.0,0.04,0.0,0.014925373134328358,0.09090909090909091,0.005865102639296188,0.061224489795918366,0.058823529411764705,0.0,0.053763440860215055,0.3050847457627119,0.04081632653061224,0.03816793893129771,0.0,0.032679738562091505,0.03333333333333333,0.0,0.02631578947368421,0.5
-6,0.009523809523809525,0.0,0.0,0.017699115044247787,0.022222222222222223,0.07692307692307693,0.03271028037383177,0.12,0.0,0.06172839506172839,0.03636363636363636,0.024390243902439025,0.10849056603773585,0.10101010101010101,0.0,0.10526315789473684,0.07428571428571429,0.04504504504504504,0.0,0.4,0.05555555555555555,0.11764705882352941,0.0,0.03125,0.0,0.038461538461538464,0.18421052631578946,0.05102040816326531,0.041666666666666664,0.11538461538461539,0.0,0.01935483870967742,0.25688073394495414,0.022988505747126436,0.02727272727272727,0.0,0.042682926829268296,0.09243697478991597,0.0,0.0,0.3333333333333333
-5,0.020202020202020204,0.0,0.0,0.02631578947368421,0.013157894736842105,0.059375,0.04563492063492063,0.08333333333333333,0.0,0.06481481481481481,0.026041666666666668,0.022727272727272728,0.09345794392523364,0.13043478260869565,0.0,0.0,0.11442786069651742,0.056179775280898875,0.03225806451612903,0.36,0.037037037037037035,0.06060606060606061,0.0,0.06666666666666667,0.05555555555555555,0.04878048780487805,0.018867924528301886,0.04950495049504951,0.017241379310344827,0.14516129032258066,0.0,0.062111801242236024,0.2786885245901639,0.056338028169014086,0.0392156862745098,0.0,0.0650887573964497,0.11290322580645161,0.07142857142857142,0.045454545454545456,0.0
-4,0.018018018018018018,0.0,0.0,0.0273972602739726,0.038461538461538464,0.06,0.0351288056206089,0.125,0.0,0.056179775280898875,0.04591836734693878,0.05660377358490566,0.0979381443298969,0.06329113924050633,0.0,0.07142857142857142,0.096045197740113,0.08163265306122448,0.038461538461538464,0.39285714285714285,0.07971014492753623,0.0,0.0,0.018518518518518517,0.0,0.022727272727272728,0.07692307692307693,0.02909090909090909,0.023809523809523808,0.10294117647058823,0.0,0.02976190476190476,0.3010752688172043,0.01282051282051282,0.027777777777777776,0.2,0.09345794392523364,0.042735042735042736,0.0,0.0,0.2857142857142857
-3,0.08333333333333333,0.0,0.0,0.028169014084507043,0.037037037037037035,0.046822742474916385,0.045351473922902494,0.08,0.0,0.06896551724137931,0.02654867256637168,0.05714285714285714,0.11764705882352941,0.04597701149425287,0.0,0.0,0.0855614973262032,0.06837606837606838,0.022222222222222223,0.3684210526315789,0.04,0.05,0.0,0.08333333333333333,0.018867924528301886,0.014285714285714285,0.10714285714285714,0.05747126436781609,0.044444444444444446,0.19148936170212766,0.0,0.030534351145038167,0.21839080459770116,0.06578947368421052,0.0379746835443038,0.0,0.12745098039215685,0.07058823529411765,0.047619047619047616,0.030303030303030304,0.125
