cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.003246753246753247,0.0046801872074883,0.023809523809523808,0.016891891891891893,0.018691588785046728,0.008456659619450317,0.002967359050445104,0.0375,0.0,0.015384615384615385,0.0056925996204933585,0.0,0.017391304347826087,0.0,0.0,0.045454545454545456,0.020202020202020204,0.043478260869565216,0.009174311926605505,0.0,0.016722408026755852,0.0,0.06666666666666667,0.01639344262295082,0.010526315789473684,0.01092896174863388,0.01282051282051282,0.025139664804469275,0.010714285714285714,0.0,0.0,0.004672897196261682,0.06069364161849711,0.01702127659574468,0.005470459518599562,0.0,0.011320754716981131,0.0,0.014492753623188406,0.0,0.047619047619047616
-11,0.005747126436781609,0.007288629737609329,0.03125,0.0064516129032258064,0.007633587786259542,0.013903743315508022,0.007643312101910828,0.006944444444444444,0.0,0.0,0.004098360655737705,0.013793103448275862,0.009615384615384616,0.00641025641025641,0.0,0.02127659574468085,0.023323615160349854,0.033707865168539325,0.0,0.0,0.026058631921824105,0.0,0.034482758620689655,0.0,0.00847457627118644,0.011013215859030838,0.027777777777777776,0.020356234096692113,0.004310344827586207,0.03669724770642202,0.0,0.008,0.04292929292929293,0.02608695652173913,0.007920792079207921,0.014285714285714285,0.029166666666666667,0.0,0.01935483870967742,0.0,0.0
-10,0.008025682182985553,0.0027739251040221915,0.022727272727272728,0.0036101083032490976,0.0,0.00850546780072904,0.010973936899862825,0.022556390977443608,0.0,0.0,0.008350730688935281,0.022388059701492536,0.0,0.006779661016949152,0.0,0.0,0.026392961876832845,0.013513513513513514,0.0,0.043478260869565216,0.010327022375215147,0.0,0.047619047619047616,0.0,0.02608695652173913,0.014522821576763486,0.0,0.026385224274406333,0.007194244604316547,0.03361344537815126,0.0,0.005076142131979695,0.06070287539936102,0.029166666666666667,0.007707129094412331,0.0,0.022556390977443608,0.0,0.0,0.0,0.0
-9,0.005641748942172073,0.0015015015015015015,0.024390243902439025,0.0035971223021582736,0.0,0.014115092290988056,0.007462686567164179,0.00819672131147541,0.0,0.015625,0.006122448979591836,0.014492753623188406,0.0,0.006711409395973154,0.0,0.0,0.015015015015015015,0.023809523809523808,0.014598540145985401,0.0,0.008865248226950355,0.0,0.0,0.017543859649122806,0.0,0.015555555555555555,0.0,0.012345679012345678,0.012295081967213115,0.0,0.02857142857142857,0.012,0.047872340425531915,0.020161290322580645,0.00881057268722467,0.03278688524590164,0.004329004329004329,0.012987012987012988,0.028169014084507043,0.0,0.0
-8,0.0017921146953405018,0.0,0.02631578947368421,0.0,0.0,0.0016891891891891893,0.007518796992481203,0.0,0.0,0.014285714285714285,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.007633587786259542,0.0,0.0,0.0,0.01282051282051282,0.006993006993006993,0.027932960893854747,0.0014064697609001407,0.0,0.0,0.0,0.014084507042253521,0.0,0.0
-7,0.0033003300330033004,0.007532956685499058,0.018867924528301886,0.011194029850746268,0.009615384615384616,0.003861003861003861,0.007575757575757576,0.029411764705882353,0.0,0.0,0.006481481481481481,0.0,0.004414125200642055,0.0,0.0,0.011627906976744186,0.00796812749003984,0.013856812933025405,0.0017211703958691911,0.0,0.019639934533551555,0.017857142857142856,0.0,0.0,0.0,0.01639344262295082,0.0,0.010935601458080195,0.012096774193548387,0.011904761904761904,0.0,0.010471204188481676,0.08860759493670886,0.018518518518518517,0.005213764337851929,0.023809523809523808,0.006321112515802781,0.013157894736842105,0.007462686567164179,0.0027624309392265192,0.0
-6,0.011816838995568686,0.0058823529411764705,0.017241379310344827,0.009216589861751152,0.0,0.001583531274742676,0.005330490405117271,0.0,0.0,0.006944444444444444,0.005482456140350877,0.007407407407407408,0.00967741935483871,0.0024875621890547263,0.0,0.0136986301369863,0.01729106628242075,0.012232415902140673,0.0,0.0,0.011444921316165951,0.007352941176470588,0.125,0.006666666666666667,0.015748031496062992,0.018604651162790697,0.011235955056179775,0.025343189017951427,0.0030864197530864196,0.016666666666666666,0.041666666666666664,0.011029411764705883,0.03490759753593429,0.0136986301369863,0.005761316872427984,0.01282051282051282,0.01650943396226415,0.022988505747126436,0.0,0.003816793893129771,0.0
-5,0.017241379310344827,0.014124293785310734,0.0,0.016172506738544475,0.0,0.009384775808133473,0.008206330597889801,0.0,0.0,0.0,0.014568158168574402,0.010050251256281407,0.0033140016570008283,0.002197802197802198,0.0,0.033707865168539325,0.0035460992907801418,0.010344827586206896,0.004273504273504274,0.0,0.010752688172043012,0.0196078431372549,0.0,0.007352941176470588,0.0,0.016666666666666666,0.0,0.022598870056497175,0.022813688212927757,0.024,0.022222222222222223,0.0,0.05063291139240506,0.01524390243902439,0.002572898799313894,0.0,0.011811023622047244,0.01838235294117647,0.020134228187919462,0.0,0.0
-4,0.006321112515802781,0.0048721071863581,0.0425531914893617,0.002531645569620253,0.013986013986013986,0.012269938650306749,0.005555555555555556,0.03,0.0,0.03389830508474576,0.007518796992481203,0.0,0.005016722408026756,0.00819672131147541,0.0,0.0,0.012779552715654952,0.03571428571428571,0.008602150537634409,0.0,0.02097902097902098,0.04929577464788732,0.0625,0.0,0.00684931506849315,0.014373716632443531,0.011235955056179775,0.019759450171821305,0.004016064257028112,0.005847953216374269,0.0,0.007380073800738007,0.08068459657701711,0.02564102564102564,0.007805724197745013,0.0,0.011705685618729096,0.0,0.013761467889908258,0.0,0.0
-3,0.004524886877828055,0.0,0.0,0.0024691358024691358,0.015503875968992248,0.000784313725490196,0.005434782608695652,0.011494252873563218,0.0,0.03488372093023256,0.010269576379974325,0.011111111111111112,0.00841908325537886,0.0061162079510703364,0.0,0.0,0.012539184952978056,0.0072992700729927005,0.004098360655737705,0.012345679012345678,0.0076481835564053535,0.02,0.0,0.0,0.014388489208633094,0.021176470588235293,0.033707865168539325,0.018538713195201745,0.0,0.0,0.038461538461538464,0.006993006993006993,0.08086253369272237,0.016778523489932886,0.00516795865633075,0.0,0.012844036697247707,0.014814814814814815,0.016129032258064516,0.00796812749003984,0.045454545454545456
-2,0.005891016200294551,0.005366726296958855,0.0,0.002680965147453083,0.007575757575757576,0.008293838862559242,0.008149010477299184,0.018867924528301886,0.0,0.0425531914893617,0.005284015852047556,0.006329113924050633,0.005865102639296188,0.0,0.0,0.0,0.014598540145985401,0.006779661016949152,0.0022988505747126436,0.0,0.018907563025210083,0.02877697841726619,0.0,0.0,0.006756756756756757,0.004545454545454545,0.01694915254237288,0.021321961620469083,0.008130081300813009,0.011428571428571429,0.0,0.02100840336134454,0.08888888888888889,0.013289036544850499,0.005499541704857928,0.011494252873563218,0.014705882352941176,0.007575757575757576,0.017857142857142856,0.008968609865470852,0.0
