cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.06678383128295255,0.04633204633204633,0.046153846153846156,0.1046831955922865,0.05755395683453238,0.07586206896551724,0.05214368482039398,0.13333333333333333,0.0,0.1388888888888889,0.10526315789473684,0.08588957055214724,0.046511627906976744,0.11046511627906977,0.0,0.08108108108108109,0.1320754716981132,0.13076923076923078,0.06451612903225806,0.16,0.11592994161801501,0.1,0.0,0.14685314685314685,0.0625,0.15098171970209884,0.17006802721088435,0.09808102345415778,0.0736196319018405,0.16530278232405893,0.06896551724137931,0.07482993197278912,0.13106796116504854,0.0989010989010989,0.061499578770008424,0.06896551724137931,0.13256484149855907,0.2199383350462487,0.09565217391304348,0.0,0.06666666666666667
-11,0.08376068376068375,0.03592814371257485,0.1686746987951807,0.125,0.045112781954887216,0.090595340811044,0.04723502304147465,0.20085470085470086,0.0,0.06666666666666667,0.12780656303972365,0.13013698630136986,0.03614457831325301,0.08902691511387163,0.0,0.1782178217821782,0.12655086848635236,0.1015625,0.10810810810810811,0.125,0.13934426229508196,0.0,0.038461538461538464,0.11904761904761904,0.060240963855421686,0.1916583912611718,0.12903225806451613,0.13333333333333333,0.08517350157728706,0.1446886446886447,0.075,0.10227272727272728,0.10655737704918032,0.11742424242424243,0.08765652951699464,0.14705882352941177,0.14583333333333334,0.20588235294117646,0.059322033898305086,0.0,0.17647058823529413
-10,0.10606060606060606,0.032989690721649485,0.11267605633802817,0.12552301255230125,0.04929577464788732,0.09722222222222222,0.045454545454545456,0.11374407582938388,0.0,0.08108108108108109,0.140893470790378,0.145985401459854,0.03488372093023256,0.07592190889370933,0.0,0.1348314606741573,0.15012106537530268,0.15,0.06432748538011696,0.043478260869565216,0.12303664921465969,0.0,0.14814814814814814,0.13970588235294118,0.046511627906976744,0.17129186602870813,0.13357400722021662,0.08418367346938775,0.05244755244755245,0.15834767641996558,0.09375,0.07168458781362007,0.20121951219512196,0.13498098859315588,0.07672634271099744,0.1282051282051282,0.09740259740259741,0.2368951612903226,0.1328125,0.0,0.21428571428571427
-9,0.06708268330733229,0.050970873786407765,0.1076923076923077,0.10090361445783133,0.03409090909090909,0.0876736111111111,0.05166475315729047,0.10679611650485436,0.0,0.11864406779661017,0.15879017013232513,0.06666666666666667,0.0967741935483871,0.06776180698151951,0.0,0.09278350515463918,0.16326530612244897,0.0782608695652174,0.08187134502923976,0.10344827586206896,0.12208760484622554,0.16666666666666666,0.2,0.13529411764705881,0.06611570247933884,0.1790744466800805,0.12048192771084337,0.11077844311377245,0.1,0.16417910447761194,0.04,0.07744107744107744,0.23423423423423423,0.150390625,0.07877664504170528,0.18888888888888888,0.12546125461254612,0.20645792563600782,0.1391304347826087,0.0,0.06666666666666667
-8,0.06578947368421052,0.0446927374301676,0.0821917808219178,0.10588235294117647,0.05314009661835749,0.0738255033557047,0.04215116279069767,0.14685314685314685,0.0,0.015384615384615385,0.1337719298245614,0.08108108108108109,0.045454545454545456,0.08645533141210375,0.0,0.04477611940298507,0.1423487544483986,0.11235955056179775,0.05970149253731343,0.06060606060606061,0.1297709923664122,0.0,0.10344827586206896,0.16216216216216217,0.08571428571428572,0.15844155844155844,0.12871287128712872,0.10927152317880795,0.10434782608695652,0.18152866242038215,0.05555555555555555,0.06763285024154589,0.15151515151515152,0.12087912087912088,0.07178841309823678,0.05714285714285714,0.02843601895734597,0.2183288409703504,0.1523809523809524,0.0,0.0
-7,0.09578544061302682,0.08651399491094147,0.11363636363636363,0.0990990990990991,0.056910569105691054,0.08803827751196172,0.0475266731328807,0.1968503937007874,0.0,0.14864864864864866,0.11000991080277503,0.0821917808219178,0.04786923525977817,0.07705192629815745,0.0,0.1271186440677966,0.1815068493150685,0.14432989690721648,0.05847953216374269,0.10344827586206896,0.15332326283987915,0.2127659574468085,0.19230769230769232,0.030303030303030304,0.07547169811320754,0.18686868686868688,0.1232876712328767,0.11308993766696349,0.1076388888888889,0.17675544794188863,0.0425531914893617,0.07083333333333333,0.20535714285714285,0.12428571428571429,0.05939987752602572,0.0989010989010989,0.0561941251596424,0.1875,0.09,0.023224043715846996,0.0
-6,0.11323763955342903,0.057777777777777775,0.1111111111111111,0.10299625468164794,0.06428571428571428,0.09436274509803921,0.0390015600624025,0.20149253731343283,0.0,0.049107142857142856,0.12932790224032586,0.08058608058608059,0.07054871220604703,0.08440366972477065,0.0,0.072,0.1585081585081585,0.13695652173913042,0.05805243445692884,0.031496062992125984,0.1683708248125426,0.4,0.08,0.0821917808219178,0.0891089108910891,0.16446124763705103,0.16,0.12838801711840228,0.10493827160493827,0.2352168199737188,0.05263157894736842,0.096045197740113,0.17857142857142858,0.15456989247311828,0.09119496855345911,0.09565217391304348,0.09072978303747535,0.20944558521560575,0.12,0.0784313725490196,0.0
-5,0.07153965785381027,0.07575757575757576,0.10638297872340426,0.10121457489878542,0.05214723926380368,0.10518731988472622,0.05218855218855219,0.15714285714285714,0.0,0.10256410256410256,0.12121212121212122,0.10084033613445378,0.08498253783469151,0.0730050933786078,0.3333333333333333,0.09154929577464789,0.16834170854271358,0.16258351893095768,0.058823529411764705,0.05970149253731343,0.1394658753709199,0.19318181818181818,0.18181818181818182,0.10687022900763359,0.026785714285714284,0.1811722912966252,0.1518987341772152,0.12657232704402516,0.115625,0.2096569250317662,0.06818181818181818,0.13068181818181818,0.23591549295774647,0.12173913043478261,0.09795134443021766,0.13138686131386862,0.09763779527559055,0.19832985386221294,0.08633093525179857,0.053003533568904596,0.058823529411764705
-4,0.07301587301587302,0.0598669623059867,0.09859154929577464,0.08482142857142858,0.05723905723905724,0.1053423626787058,0.03213957759412305,0.10588235294117647,0.0,0.125,0.12474437627811862,0.09905660377358491,0.06969376979936642,0.08302583025830258,0.0,0.1346153846153846,0.19230769230769232,0.15384615384615385,0.080338266384778,0.07575757575757576,0.14444444444444443,0.17355371900826447,0.2,0.08712121212121213,0.06666666666666667,0.15,0.15755627009646303,0.1192443919716647,0.06369426751592357,0.2247557003257329,0.0625,0.09574468085106383,0.18490566037735848,0.12852664576802508,0.10396039603960396,0.15306122448979592,0.11070998796630566,0.21482498284145504,0.13106796116504854,0.05152224824355972,0.125
-3,0.07205623901581722,0.04953560371517028,0.13636363636363635,0.10898379970544919,0.04966887417218543,0.059431524547803614,0.048446069469835464,0.11403508771929824,0.0,0.08080808080808081,0.12012987012987013,0.11538461538461539,0.0718562874251497,0.099601593625498,0.14285714285714285,0.12244897959183673,0.13784461152882205,0.13681592039800994,0.05688073394495413,0.0625,0.15447154471544716,0.13402061855670103,0.1282051282051282,0.10887096774193548,0.1111111111111111,0.18088097469540768,0.16184971098265896,0.12746478873239436,0.08860759493670886,0.23653395784543327,0.02857142857142857,0.07670454545454546,0.22727272727272727,0.13198757763975155,0.09572431397574985,0.1134020618556701,0.12215909090909091,0.18566308243727597,0.17613636363636365,0.04157043879907621,0.16666666666666666
-2,0.06902654867256637,0.06965174129353234,0.125,0.11290322580645161,0.026119402985074626,0.09787234042553192,0.04155374887082204,0.1267605633802817,0.0,0.2169811320754717,0.13578826237054084,0.10047846889952153,0.06982543640897755,0.10121457489878542,0.3333333333333333,0.06976744186046512,0.17757009345794392,0.14690721649484537,0.054187192118226604,0.013513513513513514,0.15865384615384615,0.24390243902439024,0.15151515151515152,0.06324110671936758,0.05084745762711865,0.16650049850448653,0.12222222222222222,0.1319796954314721,0.09278350515463918,0.22787610619469026,0.06976744186046512,0.06,0.16141732283464566,0.1439873417721519,0.10282131661442007,0.12962962962962962,0.1445945945945946,0.19716206123973115,0.14814814814814814,0.04859335038363171,0.0
