cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.16642958748221906,0.07890743550834597,0.22033898305084745,0.1556372549019608,0.1525,0.13725490196078433,0.11190476190476191,0.22613065326633167,0.0,0.1889763779527559,0.2829324169530355,0.14634146341463414,0.056179775280898875,0.12545454545454546,0.0,0.22608695652173913,0.26097560975609757,0.19858156028368795,0.1348314606741573,0.21875,0.20079129574678536,0.0,0.23809523809523808,0.20526315789473684,0.18947368421052632,0.20644511581067473,0.22988505747126436,0.20378151260504201,0.16,0.31389578163771714,0.0975609756097561,0.12,0.3342618384401114,0.19298245614035087,0.15833973866256726,0.27586206896551724,0.15690866510538642,0.21559633027522937,0.1232876712328767,0.0,0.125
-11,0.17422096317280453,0.07329842931937172,0.1875,0.15384615384615385,0.1056701030927835,0.13478818998716302,0.12385321100917432,0.23232323232323232,0.0,0.2073170731707317,0.2611174458380844,0.13861386138613863,0.10112359550561797,0.13921901528013583,0.0,0.16037735849056603,0.2866666666666667,0.22727272727272727,0.16,0.11475409836065574,0.1865234375,0.1,0.34615384615384615,0.20707070707070707,0.15178571428571427,0.20155038759689922,0.2127659574468085,0.21673003802281368,0.2692307692307692,0.3193717277486911,0.038461538461538464,0.08522727272727272,0.3487654320987654,0.15858208955223882,0.16976917349218168,0.15151515151515152,0.18021978021978022,0.26948775055679286,0.1347517730496454,0.0,0.0
-10,0.17709923664122137,0.07816711590296496,0.125,0.16359447004608296,0.10952380952380952,0.13872452333990795,0.09876543209876543,0.21256038647342995,0.0,0.208955223880597,0.2831196581196581,0.16853932584269662,0.09090909090909091,0.177007299270073,0.0,0.21238938053097345,0.24793388429752067,0.2052980132450331,0.2159090909090909,0.08196721311475409,0.17124542124542125,0.1111111111111111,0.3888888888888889,0.20689655172413793,0.19811320754716982,0.20874904067536454,0.2767527675276753,0.1925343811394892,0.15510204081632653,0.318118948824343,0.10294117647058823,0.1,0.35964912280701755,0.19618055555555555,0.16571834992887624,0.2222222222222222,0.15384615384615385,0.28329297820823246,0.12903225806451613,0.0,0.1
-9,0.17647058823529413,0.07520891364902507,0.04838709677419355,0.17094017094017094,0.09024390243902439,0.11620185922974767,0.10714285714285714,0.2358974358974359,0.0,0.24817518248175183,0.26241900647948163,0.12435233160621761,0.08045977011494253,0.1602787456445993,0.0,0.24,0.32,0.2196969696969697,0.16091954022988506,0.06976744186046512,0.14814814814814814,0.16666666666666666,0.4375,0.2542372881355932,0.1553398058252427,0.19471153846153846,0.3107569721115538,0.19760479041916168,0.144,0.358187134502924,0.1076923076923077,0.10900473933649289,0.425531914893617,0.2,0.14317507418397626,0.21212121212121213,0.13069908814589665,0.26715945089757126,0.12883435582822086,0.0,0.3
-8,0.14113597246127366,0.09330985915492958,0.21052631578947367,0.17217391304347826,0.10542168674698796,0.10988074957410562,0.11424100156494522,0.2641509433962264,0.0,0.2,0.2836676217765043,0.16759776536312848,0.10909090909090909,0.14166666666666666,0.0,0.24786324786324787,0.20168067226890757,0.14285714285714285,0.14285714285714285,0.09433962264150944,0.18757062146892656,0.375,0.23076923076923078,0.23636363636363636,0.2,0.20570866141732283,0.24644549763033174,0.21842105263157896,0.16339869281045752,0.33273056057866185,0.044444444444444446,0.10204081632653061,0.35537190082644626,0.20984455958549222,0.1303964757709251,0.2289156626506024,0.11743772241992882,0.22657342657342658,0.15384615384615385,0.0,0.45454545454545453
-7,0.15348101265822786,0.0987460815047022,0.16363636363636364,0.15508684863523572,0.14195583596214512,0.1312,0.10982142857142857,0.2767857142857143,0.0,0.25,0.23175279701651572,0.08866995073891626,0.12851627137341423,0.1746905089408528,0.17142857142857143,0.2569832402234637,0.2627551020408163,0.27835051546391754,0.19370860927152317,0.05,0.19658119658119658,0.21138211382113822,0.3157894736842105,0.0625,0.18888888888888888,0.21630094043887146,0.2490272373540856,0.18703071672354948,0.15428571428571428,0.30823863636363635,0.07407407407407407,0.12272727272727273,0.40540540540540543,0.17027863777089783,0.17899637868598034,0.17857142857142858,0.18725868725868725,0.27183271832718325,0.08771929824561403,0.08008658008658008,0.125
-6,0.16305916305916307,0.07628294036061026,0.15714285714285714,0.14606741573033707,0.1392931392931393,0.1412940057088487,0.131171702284451,0.25,0.0,0.17688679245283018,0.229126213592233,0.12704918032786885,0.13236814891416754,0.15211267605633802,0.0625,0.208955223880597,0.24691358024691357,0.2727272727272727,0.11161731207289294,0.07380073800738007,0.19662556781310836,0.1875,0.3333333333333333,0.09983633387888707,0.19642857142857142,0.21152328334648776,0.2553846153846154,0.1949526813880126,0.16891891891891891,0.3126873126873127,0.1388888888888889,0.14426229508196722,0.38940092165898615,0.15459610027855153,0.1625923820352473,0.14814814814814814,0.1926605504587156,0.2593167701863354,0.11764705882352941,0.09411764705882353,0.1
-5,0.14868804664723032,0.07554417413572344,0.25,0.1750841750841751,0.0707070707070707,0.137951450562463,0.09457236842105263,0.2534246575342466,0.0,0.23107569721115537,0.23633879781420766,0.10299003322259136,0.11618257261410789,0.16202945990180032,0.26666666666666666,0.23353293413173654,0.2553606237816764,0.21651785714285715,0.12612612612612611,0.06976744186046512,0.18861892583120204,0.29411764705882354,0.3181818181818182,0.1063063063063063,0.1271186440677966,0.19465081723625557,0.2751677852348993,0.20187793427230047,0.12355212355212356,0.29732408325074333,0.07272727272727272,0.09274193548387097,0.3761467889908257,0.14153846153846153,0.17080378250591016,0.17073170731707318,0.17857142857142858,0.2449133383571967,0.16111111111111112,0.10646387832699619,0.11538461538461539
-4,0.16178521617852162,0.0846233230134159,0.2,0.1829608938547486,0.10722610722610723,0.13474770642201836,0.10685663401602849,0.21808510638297873,0.0,0.20297029702970298,0.22466335931963147,0.09574468085106383,0.13291139240506328,0.1669266770670827,0.2,0.2077922077922078,0.296,0.2668213457076566,0.13920454545454544,0.06395348837209303,0.22355769230769232,0.17857142857142858,0.3125,0.10204081632653061,0.17272727272727273,0.20307443365695793,0.23588039867109634,0.21402383134738773,0.16271186440677965,0.27797202797202797,0.16666666666666666,0.1223021582733813,0.3386363636363636,0.1634920634920635,0.17103694874851014,0.16964285714285715,0.18242597898758356,0.2460377358490566,0.14522821576763487,0.11928934010152284,0.17647058823529413
-3,0.16178521617852162,0.08513189448441247,0.18518518518518517,0.1723202170963365,0.15299334811529933,0.09857328145265888,0.1109229466553768,0.2046783625730994,0.0,0.2168141592920354,0.23986013986013985,0.10231023102310231,0.12272727272727273,0.16451612903225807,0.23076923076923078,0.26,0.2565217391304348,0.23209876543209876,0.17494600431965443,0.03428571428571429,0.19898391193903472,0.15789473684210525,0.2222222222222222,0.0914396887159533,0.17894736842105263,0.19281045751633988,0.25252525252525254,0.21694088970140157,0.16333333333333333,0.30106571936056836,0.0945945945945946,0.09482758620689655,0.38046272493573263,0.14761904761904762,0.16494845360824742,0.1348314606741573,0.2071156289707751,0.2625090645395214,0.17857142857142858,0.12471131639722864,0.125
-2,0.15053763440860216,0.089058524173028,0.16666666666666666,0.18584070796460178,0.111358574610245,0.12475884244372991,0.11737523105360444,0.2357142857142857,0.0,0.13761467889908258,0.2547966231772832,0.11328125,0.13333333333333333,0.1314475873544093,0.2,0.25735294117647056,0.29767441860465116,0.23869346733668342,0.16831683168316833,0.07407407407407407,0.2404115996258185,0.2125,0.26666666666666666,0.08333333333333333,0.25688073394495414,0.1968365553602812,0.22540983606557377,0.20566037735849058,0.11659192825112108,0.3223062381852552,0.037037037037037035,0.11206896551724138,0.40896358543417366,0.17005545286506468,0.1846553966189857,0.13178294573643412,0.18789407313997478,0.2734375,0.18859649122807018,0.1171875,0.16666666666666666
