cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.008802104411169567,0.0033464112624048,0.0,0.006329113924050633,0.0,0.003766478342749529,0.008022774327122152,0.0,0.0,0.002331002331002331,0.0,0.0,0.00847457627118644,0.0,0.0,0.01282051282051282,0.0,0.0,0.002198968759478314,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.005747126436781609,0.0,0.038461538461538464,0.001607717041800643,0.014925373134328358,0.0,0.0,0.0
-11,0.007556675062972292,0.003003003003003003,0.0,0.0,0.02040816326530612,0.0057251908396946565,0.004210526315789474,0.0,0.0,0.0028534609720176733,0.0,0.0,0.038614163614163616,0.0,0.0,0.0,0.021505376344086023,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.00966183574879227,0.0,0.017214799588900306,0.0,0.006241331484049931,0.0,0.0,0.0
-10,0.002688172043010753,0.0005213764337851929,0.0,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.021551724137931036,0.0,0.0,0.015625,0.007246376811594203,0.0,0.0042643923240938165,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.018867924528301886,0.25,0.006329113924050633,0.0,0.006329113924050633,0.0,0.0006265664160401002,0.0,0.011111111111111112,0.0
-9,0.0015744116672190918,0.002859385512446737,0.0,0.0,0.0,0.0019083969465648854,0.0024752475247524753,0.0,0.0,0.0,0.008620689655172414,0.0,0.04265402843601896,0.0,0.0,0.0,0.007352941176470588,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.09090909090909091,0.01990049751243781,0.0,0.026490066225165563,0.0,0.008403361344537815,0.0,0.0,0.0
-8,0.0030303030303030303,0.004219409282700422,0.0,0.006462585034013606,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0031645569620253164,0.0,0.020918367346938777,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0029917726252804786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.007936507936507936,0.0,0.010444743935309973,0.0,0.011363636363636364,0.0,0.0,0.0
-7,0.0028011204481792717,0.0019120458891013384,0.0,0.0016515276630883566,0.0,0.004807692307692308,0.005791505791505791,0.0,0.0,0.008188331627430911,0.0,0.0155500184569952,0.003816793893129771,0.0,0.0,0.002421307506053269,0.0046102778460781904,0.0,0.005859375,0.0,0.0,0.0,0.0,0.002183406113537118,0.0,0.0,0.0,0.013333333333333334,0.0,0.02214022140221402,0.0016313213703099511,0.004651643580731859,0.0,0.010638297872340425,0.013812154696132596
-6,0.009345794392523364,0.0015151515151515152,0.0,0.005714285714285714,0.0,0.008,0.003129890453834116,0.0,0.014598540145985401,0.0027124773960217,0.0012857142857142859,0.006126847290640394,0.011661807580174927,0.0,0.0,0.0,0.0022371364653243847,0.0,0.003395585738539898,0.0,0.0,0.0,0.0,0.0019569471624266144,0.0014744429882044563,0.0,0.0,0.005405405405405406,0.0,0.02608695652173913,0.0,0.0032091097308488614,0.0,0.0,0.0
-5,0.0041928721174004195,0.003956530913694873,0.0,0.00980392156862745,0.0,0.005154639175257732,0.0,0.0,0.0072992700729927005,0.0024067388688327317,0.0,0.006354855109303508,0.008288988948014735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0010768126346015793,0.00625,0.0,0.0,0.0
-4,0.008264462809917356,0.0038119440914866584,0.0,0.004545454545454545,0.0,0.0021924763443341797,0.0064010528834649435,0.0,0.0,0.0024600246002460025,0.0,0.003879913497010559,0.010416666666666666,0.0,0.0,0.0037174721189591076,0.0021645021645021645,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.002688172043010753,0.0,0.0,0.0,0.005128205128205128,0.0,0.020078999341672153,0.0,0.013157894736842105,0.0,0.0,0.0
-3,0.004866180048661801,0.0016666666666666668,0.0,0.0017857142857142857,0.0,0.004843918191603875,0.006299121590383726,0.0,0.0,0.001483679525222552,0.011764705882352941,0.0058823529411764705,0.019305019305019305,0.0,0.0,0.0038314176245210726,0.004123711340206186,0.0,0.002352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.01015228426395939,0.0,0.0058823529411764705,0.0,0.00990916597853014,0.0,0.0,0.004
