cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.0028222013170272815,0.0005878894767783657,0.0,0.0,0.0,0.0017574692442882249,0.002366863905325444,0.0,0.014925373134328358,0.0,0.002207505518763797,0.0027397260273972603,0.007704493087557603,0.0,0.0,0.0,0.0,0.0,0.002280501710376283,0.0,0.0,0.0,0.0,0.0,0.0,0.001098901098901099,0.14285714285714285,0.01092896174863388,0.0,0.00558659217877095,0.0016638935108153079,0.0,0.0,0.0,0.0
-11,0.0008598452278589854,0.0031660885698152784,0.0,0.0,0.0022727272727272726,0.0019175455417066154,0.0,0.0,0.01639344262295082,0.0,0.0,0.0026041666666666665,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.002277904328018223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.01268308214816387,0.0,0.0,0.0,0.0,0.0
-10,0.0020390509144834405,0.0014536057498182992,0.0,0.002325581395348837,0.0,0.001996007984031936,0.0006540222367560497,0.0,0.0,0.0,0.0021551724137931034,0.0,0.004282655246252677,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0006291418505158963,0.0,0.0,0.0,0.0,0.0,0.0,0.0023952095808383233,0.0,0.0028011204481792717,0.0,0.012054272258353892,0.0,0.0,0.0,0.0,0.0
-9,0.000942507068803016,0.0016942626107046591,0.0,0.0,0.0,0.0009487666034155598,0.0012987012987012987,0.0,0.024691358024691357,0.0,0.0,0.0033333333333333335,0.02689075630252101,0.0,0.030303030303030304,0.006944444444444444,0.0,0.0,0.000578368999421631,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.15384615384615385,0.008130081300813009,0.0,0.010438745231030097,0.00322061191626409,0.003367003367003367,0.0,0.0,0.0
-8,0.002544529262086514,0.003971498656698984,0.0,0.003048780487804878,0.0,0.0012738853503184713,0.0015527950310559005,0.0,0.0,0.0,0.0,0.00425531914893617,0.026575630252100843,0.0,0.0,0.0,0.0,0.0,5.821399464431249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0091324200913242,0.0,0.004434589800443459,0.0,0.004405286343612335,0.0,0.0,0.0
-7,0.004242081447963801,0.005741181338574532,0.0,0.0,0.0031746031746031746,0.002727406752174554,0.0005393743257820927,0.0,0.017241379310344827,0.0028625954198473282,0.0,0.006483885533668228,0.0051209197832694595,0.0,0.0,0.001960450051142175,0.002329192546583851,0.0,0.000700770847932726,0.0,0.0,0.0,0.0,0.0014927601134497686,0.0,0.0,0.05128205128205128,0.003401360544217687,0.0,0.014002333722287048,0.0,0.0011107313738892685,0.0,0.0,0.00785848047084002
-6,0.0008319467554076539,0.0033277870216306157,0.0,0.0,0.0,0.003629319558247239,0.0013720432468031392,0.0,0.0,0.0014641288433382138,0.0,0.0019852581853722104,0.01762114537444934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.034482758620689655,0.004819277108433735,0.0,0.004464285714285715,0.0,0.0,0.0,0.0,0.001658374792703151
-5,0.0016012810248198558,0.0016997167138810198,0.0,0.0025,0.0,0.0015071590052750565,0.000674432863274065,0.0,0.0,0.0005896831094246743,0.0,0.001243980738362761,0.003963011889035667,0.0,0.0,0.0,0.0013850415512465374,0.0,0.0,0.0,0.0,0.002421307506053269,0.008264462809917356,0.0,0.0,0.0,0.125,0.00963855421686747,0.0,0.0013289036544850497,0.0015873015873015873,0.0013462976813762152,0.0,0.0,0.008310249307479225
-4,0.002304147465437788,0.0019221528111484864,0.0,0.0,0.0,0.001444043321299639,0.0004553734061930783,0.0,0.0,0.0019733185102834908,0.0,0.002630809704764689,0.0028530670470756064,0.0,0.0,0.0,0.0014265335235378032,0.0,0.0011426227587015118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03188775510204082,0.007957559681697613,0.0,0.0032973621103117505,0.0,0.00202020202020202,0.0,0.0,0.00641025641025641
-3,0.0,0.0010351966873706005,0.0,0.0,0.0,0.001477961535583327,0.0004610419548178884,0.0,0.0,0.0,0.0,0.0021177422101140817,0.005747126436781609,0.0,0.0,0.0,0.001392757660167131,0.0,0.0,0.0,0.0,0.0,0.0,0.0009033423667570009,0.0,0.0,0.08823529411764706,0.005420054200542005,0.0,0.005208333333333333,0.0018050541516245488,0.0,0.0,0.0,0.0036465036465036468
-2,0.0008928571428571428,0.0011467889908256881,0.0,0.0,0.0,0.0017123287671232876,0.001430615164520744,0.0,0.0007002801120448179,0.0,0.0,0.0015548592318283246,0.0034904013961605585,0.0,0.0,0.0,0.001443001443001443,0.0,0.0009407337723424271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15848214285714285,0.0,0.0,0.008035714285714285,0.0,0.0,0.0,0.0,0.002308802308802309
-1,0.0,0.0,0.0,0.0,0.0,0.0031512605042016808,0.0,0.0,0.0,0.000946073793755913,0.0022371364653243847,0.00134582793340644,0.0,0.0,0.0,0.002785515320334262,0.0014124293785310734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.002854988149105796,0.0,0.0,0.0,0.0,0.0016021361815754338
0,0.0010298661174047373,0.0006142506142506142,0.0,0.0,0.0,0.001808972503617945,0.0010193679918450561,0.0,0.0,0.0014518002322880372,0.0,0.0006485084306095979,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0008620689655172414,0.0,0.0,0.0,0.0,0.0009587727708533077,0.005555555555555556,0.0,0.041666666666666664,0.0,0.0,0.004087193460490463,0.0,0.0,0.0,0.0,0.0020920502092050207
1,0.0009950248756218905,0.00179168657429527,0.0,0.0017612524461839531,0.0,0.0027739251040221915,0.000445632798573975,0.0,0.0,0.0007942811755361397,0.0,0.0004804154060021261,0.004189944134078212,0.0,0.0,0.0,0.0,0.0,0.0015710919088766694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0025662959794696323,0.0,0.0,0.0,0.0,0.0
2,0.0017520215633423178,0.0,0.0,0.0,0.0,0.0015483071841453345,0.0008237232289950577,0.0,0.0,0.0,0.0,0.0008923558193631188,0.0057306590257879654,0.0,0.0,0.0,0.0003940886699507389,0.0,0.0006779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.002824858757062147,0.0,0.004919633468529368,0.0016778523489932886,0.0,0.0,0.0,0.0033112582781456954
3,0.0009910802775024777,0.0,0.0,0.0,0.0,0.00033766233766233767,0.0013651877133105802,0.0,0.0,0.0,0.0,0.0023438503360589066,0.0029069767441860465,0.0,0.0,0.0,0.0,0.0,0.001125665165779779,0.0,0.0,0.0,0.0,0.00089126559714795,0.0,0.0,0.0548469387755102,0.0,0.0,0.00776914539400666,0.0,0.0011235955056179776,0.0,0.0,0.0017211703958691911
4,0.000851063829787234,0.0008938286957873464,0.0,0.0,0.0,7.224737501204122e-05,0.00029014560033762397,0.0,0.0,0.0,0.0,0.0006413221750283865,0.001447178002894356,0.0,0.0,0.0,0.0,0.0,0.0005205622071837585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0010905125408942203,0.0015748031496062992,0.0,0.0,0.004098360655737705,0.002364066193853428
5,0.0008748906386701663,0.0,0.0,0.0,0.0,0.0,0.0003875968992248062,0.0,0.004169688179840464,0.00014459224985540774,0.0,0.000527381655556493,0.001310615989515072,0.0,0.0,0.002680965147453083,0.0013175230566534915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003972804718217563,0.0,0.0,0.0,0.0,0.0
