cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.03804347826086957,0.018188854489164085,0.017543859649122806,0.008595988538681949,0.013254786450662737,0.032138442521631644,0.06010452961672474,0.0,0.020581113801452788,0.021874419468697753,0.038461538461538464,0.022534013605442178,0.06267806267806268,0.0,0.0,0.028037383177570093,0.05142857142857143,0.0,0.03347619047619048,0.017857142857142856,0.0,0.004405286343612335,0.07406323185011711,0.013953488372093023,0.02158273381294964,0.011095700416088766,0.0,0.016260162601626018,0.0,0.07838983050847458,0.0224170393033655,0.0507202881152461,0.01228878648233487,0.020202020202020204,0.0
-11,0.03593406593406594,0.015389082462253194,0.0,0.01090436174469788,0.024096385542168676,0.03674493636852482,0.043116883116883116,0.0,0.020714285714285716,0.01737943585077343,0.022598870056497175,0.1445993031358885,0.08067000385059683,0.0,0.05,0.04950495049504951,0.05595238095238095,0.0,0.026684636118598386,0.013198757763975154,0.0,0.008998875140607425,0.06050106609808103,0.011904761904761904,0.0354573484069887,0.018154311649016642,0.3,0.03389830508474576,0.027714285714285716,0.07391563867886987,0.029713824140318486,0.04477611940298507,0.01020408163265306,0.0,0.0
-10,0.05901639344262295,0.021206931291557523,0.0,0.006933890577507599,0.024752475247524754,0.03098739495798319,0.04583689763330482,0.0,0.024793388429752067,0.016430300933932895,0.02589285714285714,0.08108108108108109,0.10207231040564373,0.0,0.03571428571428571,0.03214285714285715,0.03409090909090909,0.0,0.025017253278122844,0.0,0.0,0.004715601696154408,0.027401477832512317,0.00423728813559322,0.049689440993788817,0.011093502377179081,0.25,0.028169014084507043,0.020833333333333332,0.0876130198915009,0.023403217942467087,0.018518518518518517,0.0,0.0,0.0
-9,0.05089285714285715,0.03346938775510204,0.03225806451612903,0.003466386554621849,0.061507936507936505,0.03630498000727008,0.031018518518518518,0.0,0.023255813953488372,0.021548763736263736,0.03712671509281679,0.07056798623063684,0.1092436974789916,0.0,0.08,0.04504504504504504,0.04093567251461988,0.0,0.04498462064251538,0.0,0.0,0.009268795056642637,0.007142857142857143,0.009882108183079056,0.05542671614100185,0.015381895332390382,0.0,0.051739926739926737,0.006349206349206349,0.06557377049180328,0.017015706806282723,0.04504504504504504,0.0,0.03451380552220888,0.0
-8,0.056338028169014086,0.023787437052743176,0.05357142857142857,0.006050767414403779,0.03109951845906902,0.037335121842164094,0.04727169382341796,0.0,0.029649595687331536,0.023376623376623377,0.03790534618755478,0.038461538461538464,0.06530612244897958,0.0,0.0,0.01761252446183953,0.04316546762589928,0.0,0.03920634920634921,0.023376623376623374,0.0,0.009831717578196451,0.06593406593406594,0.005235602094240838,0.07947232947232948,0.019258407588387465,0.3333333333333333,0.03260869565217391,0.0,0.05859375,0.023736933797909407,0.040584415584415584,0.0,0.0,0.0
-7,0.05726600985221674,0.016474464579901153,0.0,0.020151133501259445,0.012422360248447204,0.04199903311578439,0.09042759961127307,0.0,0.011494252873563218,0.044380094380094375,0.005822981366459627,0.07957057823129252,0.12426263144396,0.0,0.03389830508474576,0.022058823529411766,0.06092785951589939,0.0,0.1131952781112445,0.03571428571428571,0.0,0.011793798744531103,0.0364963503649635,0.023538035510669488,0.05521472392638037,0.019522921108742007,0.28035714285714286,0.05921052631578947,0.0,0.10219399538106236,0.026774539603075274,0.040132965785633204,0.0,0.014705882352941176,0.16705318491032778
-6,0.04052969502407705,0.013457556935817804,0.029411764705882353,0.00997506234413965,0.02201166180758017,0.07647341447789878,0.033989883507050886,0.09090909090909091,0.09347976478727084,0.022807381297947335,0.09541577825159915,0.05113814756671899,0.057291666666666664,0.0,0.022833723653395782,0.01699029126213592,0.02940694626474443,0.0,0.028588462411991825,0.04938271604938271,0.0,0.00876304720361427,0.03307766059443912,0.0023501762632197414,0.023739495798319327,0.02313213420961605,0.08333333333333333,0.048051948051948054,0.02684407096171802,0.04830210772833724,0.025729078613693997,0.021035108958837773,0.0,0.04792429792429793,0.04919137466307278
-5,0.0483841351450606,0.016586768935762226,0.0047268907563025216,0.0034639273769708555,0.0,0.035115931189229614,0.035544014983824285,0.0,0.012605042016806723,0.019084390512961943,0.02527075812274368,0.04657142857142857,0.04773434797647873,0.0,0.0975609756097561,0.01845522898154477,0.03183581124757595,0.0,0.025206752010875723,0.0,0.0,0.01232741617357002,0.014925373134328358,0.006430209698558323,0.01764705882352941,0.011327134404057481,0.125,0.026490066225165563,0.02142857142857143,0.0423661704149509,0.019400352733686066,0.016717325227963525,0.0,0.0,0.0655893536121673
-4,0.050728500355366024,0.025772407464056284,0.03076923076923077,0.012244897959183673,0.012806637806637806,0.026425691244239633,0.04379310344827586,0.0,0.04219096965210955,0.019043760129659644,0.02074579831932773,0.03144321509925155,0.05625227190112687,0.0,0.0,0.013687454677302391,0.014245014245014245,0.0,0.03571428571428572,0.0,0.0,0.009879253567508232,0.02530933633295838,0.018240924688459455,0.018633540372670808,0.03571428571428571,0.11764705882352941,0.03087557603686636,0.0,0.03926955397543633,0.02526799387442573,0.027777777777777776,0.022138680033416874,0.00909090909090909,0.05801305293691081
-3,0.026856388993592162,0.023899711399711396,0.018518518518518517,0.010269773145309627,0.022222222222222223,0.02007686191359661,0.04900542495479204,0.0,0.02604849279161206,0.018253968253968255,0.032389162561576354,0.04140479021572957,0.0509440684004275,0.0,0.038461538461538464,0.02160138248847926,0.027442795299938157,0.0,0.038532818532818536,0.016129032258064516,0.0,0.00659894416893297,0.050616649537512846,0.013388641575610415,0.04395604395604396,0.018789144050104383,0.18518518518518517,0.02040816326530612,0.03355704697986577,0.05996988959518234,0.02071789930137316,0.039996574169236035,0.013693560325684678,0.010416666666666666,0.04387990762124711
