cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.1320754716981132,0.08888888888888889,0.17647058823529413,0.15789473684210525,0.8378378378378378,0.2248062015503876,0.06557377049180328,0.20833333333333334,0.41935483870967744,0.29545454545454547,0.21052631578947367,0.29411764705882354,0.14893617021276595,0.0,0.6666666666666666,0.47368421052631576,0.23684210526315788,0.0,0.385,0.0,0.0,0.14285714285714285,0.7777777777777778,0.6818181818181818,0.3076923076923077,0.4,0.0,0.03636363636363636,0.2,0.296,0.28350515463917525,0.2916666666666667,0.15789473684210525,0.7283950617283951,0.0
-11,0.12280701754385964,0.09259259259259259,0.15789473684210525,0.22857142857142856,0.6764705882352942,0.24324324324324326,0.1323529411764706,0.08,0.34375,0.26455026455026454,0.1111111111111111,0.125,0.10526315789473684,0.0,0.6,0.65,0.2,1.0,0.3230769230769231,0.5,0.0,0.13744075829383887,0.6923076923076923,0.56,0.3783783783783784,0.42105263157894735,0.0,0.021739130434782608,0.22857142857142856,0.2641509433962264,0.3502824858757062,0.19148936170212766,0.07142857142857142,0.7631578947368421,0.0
-10,0.09433962264150944,0.09090909090909091,0.175,0.1557377049180328,0.7368421052631579,0.1888111888111888,0.1652892561983471,0.1111111111111111,0.4090909090909091,0.24561403508771928,0.3333333333333333,0.3333333333333333,0.20689655172413793,0.0,0.6,0.4090909090909091,0.3333333333333333,0.0,0.32323232323232326,0.0,0.0,0.132,0.52,0.4727272727272727,0.35714285714285715,0.42718446601941745,0.0,0.06666666666666667,0.23076923076923078,0.27358490566037735,0.31313131313131315,0.47692307692307695,0.15,0.6981132075471698,0.0
-9,0.06666666666666667,0.016129032258064516,0.14814814814814814,0.168141592920354,0.7954545454545454,0.1568627450980392,0.14864864864864866,0.0,0.37037037037037035,0.2849162011173184,0.125,0.21428571428571427,0.08,0.0,0.42857142857142855,0.4444444444444444,0.23255813953488372,0.0,0.2717948717948718,0.0,0.0,0.16289592760180996,0.5909090909090909,0.5384615384615384,0.46774193548387094,0.45098039215686275,0.3333333333333333,0.03773584905660377,0.39285714285714285,0.232,0.2328042328042328,0.5230769230769231,0.15789473684210525,0.6862745098039216,0.0
-8,0.0,0.0625,0.07692307692307693,0.1518987341772152,0.6666666666666666,0.1056338028169014,0.0425531914893617,0.0,0.125,0.22137404580152673,0.05263157894736842,0.3333333333333333,0.15625,0.0,0.0,0.5,0.1111111111111111,0.0,0.2585034013605442,0.0,0.0,0.09248554913294797,0.5333333333333333,0.47058823529411764,0.3448275862068966,0.4,0.4,0.075,0.23076923076923078,0.26,0.18620689655172415,0.16666666666666666,0.0,0.5952380952380952,0.0
-7,0.14705882352941177,0.07692307692307693,0.16666666666666666,0.3106796116504854,0.7407407407407407,0.31958762886597936,0.1865671641791045,0.0,0.5416666666666666,0.3582089552238806,0.23076923076923078,0.3319672131147541,0.10526315789473684,1.0,0.18181818181818182,0.5853658536585366,0.19607843137254902,0.0,0.39655172413793105,0.0,0.0,0.22807017543859648,0.7674418604651163,0.5897435897435898,0.3488372093023256,0.5714285714285714,0.0,0.17391304347826086,0.44,0.42528735632183906,0.4846153846153846,0.625,0.7272727272727273,0.6388888888888888,0.7538461538461538
-6,0.0547945205479452,0.043478260869565216,0.35714285714285715,0.2740740740740741,0.6842105263157895,0.1956521739130435,0.15841584158415842,0.0,0.4489795918367347,0.2526595744680851,0.10526315789473684,0.16666666666666666,0.13513513513513514,1.0,0.25,0.379746835443038,0.10119047619047619,0.0,0.31797235023041476,0.0,0.0,0.24022346368715083,0.631578947368421,0.4855072463768116,0.35064935064935066,0.4017094017094017,0.25,0.044444444444444446,0.1724137931034483,0.36153846153846153,0.2857142857142857,0.34074074074074073,0.3333333333333333,0.6170212765957447,0.21929824561403508
-5,0.078125,0.06172839506172839,0.5,0.1724137931034483,0.8823529411764706,0.12307692307692308,0.12658227848101267,0.0,0.42105263157894735,0.22682926829268293,0.21212121212121213,0.2616279069767442,0.2,1.0,0.23529411764705882,0.3894736842105263,0.17365269461077845,0.0,0.24,0.0,0.0,0.19545454545454546,0.5,0.47619047619047616,0.2692307692307692,0.3611111111111111,0.05555555555555555,0.028985507246376812,0.2,0.22916666666666666,0.22282608695652173,0.3308270676691729,0.42857142857142855,0.6458333333333334,0.2826086956521739
-4,0.07042253521126761,0.16071428571428573,0.2857142857142857,0.2777777777777778,0.7741935483870968,0.1527777777777778,0.12972972972972974,0.13636363636363635,0.43902439024390244,0.2152230971128609,0.0,0.18125,0.17391304347826086,1.0,0.3333333333333333,0.4567901234567901,0.10982658959537572,0.0,0.28415300546448086,0.0,0.0,0.12980769230769232,0.6333333333333333,0.5422535211267606,0.2857142857142857,0.425531914893617,0.0,0.014285714285714285,0.375,0.2462686567164179,0.3375796178343949,0.33783783783783783,0.25,0.625,0.38235294117647056
-3,0.08955223880597014,0.08064516129032258,0.10526315789473684,0.30337078651685395,0.65,0.05238828967642527,0.1320754716981132,0.11538461538461539,0.5,0.26344086021505375,0.09090909090909091,0.19682539682539682,0.12,1.0,0.5,0.3974358974358974,0.17391304347826086,0.0,0.24,1.0,0.0,0.1759656652360515,0.5806451612903226,0.5447154471544715,0.21052631578947367,0.4028776978417266,0.0,0.01818181818181818,0.34782608695652173,0.25984251968503935,0.3032258064516129,0.36363636363636365,0.13636363636363635,0.5510204081632653,0.256
