cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.04363472784525416,0.03396014594442885,0.08305647840531562,0.04,0.023758099352051837,0.04683357879234168,0.02663230240549828,0.02577319587628866,0.04838709677419355,0.0472741136103698,0.026595744680851064,0.040697674418604654,0.03426395939086294,0.0,0.02857142857142857,0.054945054945054944,0.02920723226703755,0.0,0.0376228133237479,0.01910828025477707,0.0,0.03724011880283299,0.06209850107066381,0.05240174672489083,0.04854368932038835,0.013136288998357963,0.0,0.04890219560878244,0.1574539363484087,0.02474108170310702,0.04204421891989851,0.06513409961685823,0.004291845493562232,0.046104928457869634,0.0
-11,0.05142610198789974,0.038329368226275445,0.0576271186440678,0.04284727021423635,0.02711864406779661,0.054694621695533276,0.022632020117351215,0.019230769230769232,0.03116883116883117,0.04695794201714986,0.042708333333333334,0.04,0.03413400758533502,0.0,0.01098901098901099,0.06652360515021459,0.0256797583081571,0.0,0.03664302600472813,0.031055900621118012,0.0,0.03835521769177609,0.04680851063829787,0.04432432432432432,0.055970149253731345,0.017189514396218308,0.0,0.042884990253411304,0.14508580343213728,0.02315661182205972,0.045205978855267955,0.04249667994687915,0.002506265664160401,0.05873015873015873,0.0
-10,0.049664429530201344,0.03421336206896552,0.08832807570977919,0.040383299110198494,0.010477299185098952,0.041048310704136406,0.027051671732522795,0.019417475728155338,0.041025641025641026,0.05279872965462485,0.033707865168539325,0.030911901081916538,0.040110650069156296,0.0,0.01904761904761905,0.05030181086519115,0.029339853300733496,0.0,0.029601336834566724,0.04054054054054054,0.0,0.039568345323741004,0.048723897911832945,0.04472843450479233,0.05542986425339366,0.016757246376811596,0.0,0.037037037037037035,0.16666666666666666,0.024875621890547265,0.0444186944766319,0.05084745762711865,0.007462686567164179,0.046153846153846156,0.0
-9,0.03947939262472885,0.02922077922077922,0.06711409395973154,0.041811846689895474,0.014268727705112961,0.04699420201403723,0.026199587871651456,0.08181818181818182,0.06199460916442048,0.04746580852775543,0.03987408184679958,0.03350083752093802,0.02945205479452055,0.0,0.05263157894736842,0.06531531531531531,0.03382949932341001,0.0,0.0346144664597756,0.05755395683453238,0.0,0.03856562922868741,0.05543710021321962,0.06571087216248507,0.0550561797752809,0.012954658694569009,0.0,0.05392620624408704,0.17990275526742303,0.02175226586102719,0.04644808743169399,0.05555555555555555,0.0072992700729927005,0.04472843450479233,0.0
-8,0.04566744730679157,0.026741996233521657,0.08949416342412451,0.04697986577181208,0.014144271570014143,0.037758830694275276,0.018153727307840865,0.020618556701030927,0.035830618892508145,0.036885245901639344,0.037227214377406934,0.017316017316017316,0.02743362831858407,0.0,0.04878048780487805,0.036827195467422094,0.01584786053882726,0.0,0.03262955854126679,0.014705882352941176,0.0,0.03702031602708804,0.04395604395604396,0.05270655270655271,0.03479576399394856,0.013085399449035813,0.0,0.06351550960118169,0.15575620767494355,0.022804054054054054,0.044926804644119134,0.04736842105263158,0.004098360655737705,0.07042253521126761,0.0
-7,0.04592363261093911,0.03875968992248062,0.10658307210031348,0.044928522804629,0.022566995768688293,0.04259927797833935,0.024152232251768723,0.02608695652173913,0.06042296072507553,0.04912344777209642,0.030467899891186073,0.04093620097596241,0.027519222986645085,0.0,0.028985507246376812,0.06301106301106302,0.05238095238095238,0.0,0.031681905166914735,0.032467532467532464,0.04225352112676056,0.036440677966101696,0.037578288100208766,0.04519774011299435,0.06791907514450866,0.011076923076923076,0.0,0.034924330616996506,0.17830882352941177,0.03315713599231139,0.04028776978417266,0.040463987051524146,0.0031545741324921135,0.05112474437627812,0.012856694888679836
-6,0.04860267314702309,0.02910266774454325,0.0755287009063444,0.046811000585137506,0.020161290322580645,0.04469168395247973,0.023809523809523808,0.03333333333333333,0.03317535545023697,0.04257932446264074,0.045146726862302484,0.0449616885933208,0.03751233958538993,0.0,0.05454545454545454,0.0496054114994363,0.03634826711749789,0.0,0.028426204819277108,0.04225352112676056,0.017857142857142856,0.035921997947314405,0.057096247960848286,0.054329840044125756,0.05130890052356021,0.009985207100591717,0.0,0.03753351206434316,0.15688949522510232,0.029347349978098992,0.04883081155433287,0.04688154039347007,0.009195402298850575,0.06259780907668232,0.01955458989679522
-5,0.0444104134762634,0.031931878658861094,0.07228915662650602,0.06493506493506493,0.022058823529411766,0.04186046511627907,0.02413390424289607,0.024193548387096774,0.04529201430274136,0.049344799344799344,0.03997144896502498,0.04879814653924124,0.03323836657169991,0.022727272727272728,0.037037037037037035,0.05501432664756447,0.041001294777729826,0.034482758620689655,0.031990521327014215,0.03626943005181347,0.021739130434782608,0.040690505548705305,0.05384615384615385,0.04914285714285714,0.047409040793825796,0.010515247108307046,0.0,0.0408695652173913,0.1726844583987441,0.027332704995287466,0.04357378249725375,0.05701943844492441,0.00684931506849315,0.056666666666666664,0.012280701754385965
-4,0.04518297236743839,0.025088856366297305,0.07931034482758621,0.06130268199233716,0.027745664739884393,0.045871559633027525,0.024962978633382694,0.02142857142857143,0.04207573632538569,0.047639393292031616,0.031635802469135804,0.04373990899750477,0.03664921465968586,0.029411764705882353,0.02097902097902098,0.05842970176506391,0.03576341127922971,0.034482758620689655,0.03558441558441559,0.031914893617021274,0.0425531914893617,0.045819397993311035,0.06792452830188679,0.04422848076160254,0.042735042735042736,0.016791604197901048,0.013333333333333334,0.047285464098073555,0.1681159420289855,0.02506024096385542,0.048616305160807775,0.045474045474045474,0.018439716312056736,0.05572755417956656,0.024151811385853938
-3,0.03746877601998335,0.024612355402412012,0.053763440860215055,0.048799380325329204,0.018518518518518517,0.02979942693409742,0.029637305699481864,0.041666666666666664,0.048465266558966075,0.047449320561372244,0.03666666666666667,0.040982348426707595,0.03097826086956522,0.02702702702702703,0.047619047619047616,0.057001239157372985,0.04154549231408392,0.038461538461538464,0.039415656008820285,0.04430379746835443,0.03571428571428571,0.04365482233502538,0.04325259515570934,0.049073610415623435,0.042105263157894736,0.017246689251616876,0.012195121951219513,0.03780718336483932,0.15336463223787167,0.029518384256861728,0.045472061657032756,0.05171645118145341,0.01977401129943503,0.05865102639296188,0.02577319587628866
