cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.001799370220422852,0.0008419870895312938,0.009966777408637873,0.0036363636363636364,0.01079913606911447,0.005301914580265096,0.004868270332187858,0.005154639175257732,0.01881720430107527,0.010293556995806329,0.002127659574468085,0.0029069767441860465,0.0025380710659898475,0.0,0.02857142857142857,0.01098901098901099,0.008344923504867872,0.02857142857142857,0.012700694943685599,0.0,0.0,0.012108750285583733,0.021413276231263382,0.008733624454148471,0.0048543689320388345,0.008620689655172414,0.0,0.005988023952095809,0.02680067001675042,0.01093210586881473,0.010873504893077202,0.011494252873563218,0.002145922746781116,0.022257551669316374,0.0
-11,0.0025929127052722557,0.00105736188210415,0.006779661016949152,0.006910850034554251,0.013559322033898305,0.003342449103615922,0.004749930148086058,0.0,0.01818181818181818,0.007758268681094325,0.003125,0.002857142857142857,0.0037926675094816687,0.0,0.02197802197802198,0.01072961373390558,0.010574018126888218,0.0,0.011111111111111112,0.0,0.0,0.0110573600552868,0.019148936170212766,0.011891891891891892,0.007462686567164179,0.009454232917920068,0.02631578947368421,0.004873294346978557,0.0421216848673947,0.007921998781230956,0.005833029529711994,0.017264276228419653,0.0,0.014285714285714285,0.0
-10,0.0008948545861297539,0.00026939655172413793,0.022082018927444796,0.009582477754962354,0.01979045401629802,0.004104831070413641,0.0024316109422492403,0.009708737864077669,0.010256410256410256,0.013894402540690751,0.0011235955056179776,0.0015455950540958269,0.0013831258644536654,0.0,0.009523809523809525,0.006036217303822937,0.0024449877750611247,0.0,0.011936022917164,0.0,0.0,0.013734466971877043,0.004640371229698376,0.01810436634717785,0.007918552036199095,0.011322463768115942,0.0,0.01131687242798354,0.035842293906810034,0.010572139303482588,0.00656624179219776,0.010430247718383311,0.0024875621890547263,0.018461538461538463,0.0
-9,0.0013015184381778742,0.0010822510822510823,0.013422818791946308,0.004181184668989547,0.008323424494649227,0.003967043027158987,0.003532528701795702,0.00909090909090909,0.016172506738544475,0.014883346741753822,0.002098635886673662,0.008375209380234505,0.0027397260273972603,0.0,0.008771929824561403,0.013513513513513514,0.0040595399188092015,0.0,0.00978753879207448,0.0,0.0,0.013531799729364006,0.023454157782515993,0.008363201911589008,0.012359550561797753,0.015944195316392625,0.0,0.001892147587511826,0.029173419773095625,0.013293051359516616,0.00468384074941452,0.015277777777777777,0.0024330900243309003,0.011182108626198083,0.0
-8,0.002927400468384075,0.0011299435028248588,0.0038910505836575876,0.004793863854266539,0.009900990099009901,0.004466098254161592,0.004248744689069139,0.010309278350515464,0.009771986970684038,0.011270491803278689,0.0025673940949935813,0.0021645021645021645,0.002654867256637168,0.0,0.024390243902439025,0.0113314447592068,0.009508716323296355,0.0,0.007677543186180422,0.0,0.0,0.010835214446952596,0.016483516483516484,0.007122507122507123,0.006051437216338881,0.01584022038567493,0.0,0.005908419497784343,0.01580135440180587,0.013513513513513514,0.005552751135790005,0.008771929824561403,0.012295081967213115,0.02012072434607646,0.0
-7,0.0005159958720330237,0.0020222446916076846,0.009404388714733543,0.0006807351940095302,0.009873060648801129,0.0021660649819494585,0.005123200780678214,0.0,0.01812688821752266,0.008765522279035792,0.0,0.004156876920296404,0.0012140833670578712,0.0,0.004830917874396135,0.008658008658008658,0.003663003663003663,0.0,0.008079948968743355,0.0,0.014084507042253521,0.010169491525423728,0.016701461377870562,0.0044603033006244425,0.011560693641618497,0.008,0.0,0.004656577415599534,0.027573529411764705,0.009610764055742432,0.005035971223021582,0.005934718100890208,0.00946372239747634,0.012269938650306749,0.002508623392913139
-6,0.002025111381125962,0.00026946914578280785,0.01812688821752266,0.008191925102399064,0.014112903225806451,0.003017160098057703,0.006313131313131313,0.016666666666666666,0.013270142180094787,0.014124872057318322,0.0028216704288939053,0.0062165678762469275,0.0014807502467917078,0.0,0.004545454545454545,0.007328072153325817,0.01014370245139476,0.03225806451612903,0.008847891566265061,0.0,0.0,0.009921313718782073,0.02773246329526917,0.008549365692222834,0.0062827225130890054,0.011834319526627219,0.0,0.004468275245755138,0.023192360163710776,0.012702584318878668,0.008940852819807428,0.01506906655504395,0.011494252873563218,0.009389671361502348,0.009234111895708854
-5,0.0015313935681470138,0.0005321979776476849,0.006024096385542169,0.006493506493506494,0.01050420168067227,0.005140758873929009,0.005449591280653951,0.008064516129032258,0.010727056019070322,0.014946764946764947,0.004282655246252677,0.0076744859542426875,0.004748338081671415,0.0,0.0,0.009169054441260744,0.008631851532153647,0.0,0.007701421800947867,0.0,0.021739130434782608,0.015413070283600493,0.028846153846153848,0.006,0.006615214994487321,0.01331931300385559,0.023529411764705882,0.00608695652173913,0.02040816326530612,0.013195098963242224,0.003661662394727206,0.009935205183585313,0.0045662100456621,0.013333333333333334,0.005263157894736842
-4,0.0014936519790888724,0.0006272214091574326,0.010344827586206896,0.006130268199233717,0.015028901734104046,0.004940014114326041,0.0033848106621535857,0.03214285714285714,0.009817671809256662,0.01281777397991882,0.0023148148148148147,0.008072801996183767,0.002617801047120419,0.0,0.027972027972027972,0.011564211807668898,0.00871160018340211,0.0,0.008311688311688312,0.0,0.02127659574468085,0.014381270903010033,0.007547169811320755,0.0053550178500595,0.01221001221001221,0.011394302848575712,0.0,0.0035026269702276708,0.013043478260869565,0.016867469879518072,0.0048616305160807775,0.011154011154011155,0.005673758865248227,0.02476780185758514,0.006900517538815411
-3,0.003746877601998335,0.0012306177701206006,0.014336917562724014,0.003098373353989156,0.016339869281045753,0.004441260744985674,0.003523316062176166,0.03125,0.011308562197092083,0.014702606371129428,0.005833333333333334,0.007674597083653108,0.0016304347826086956,0.0,0.015873015873015872,0.012391573729863693,0.006647278770253427,0.038461538461538464,0.007166482910694598,0.0,0.0,0.009137055837563452,0.006920415224913495,0.004757135703555333,0.010526315789473684,0.008315368032029567,0.012195121951219513,0.003780718336483932,0.026604068857589983,0.013982392542723977,0.008477842003853564,0.00980829246544806,0.009887005649717515,0.02346041055718475,0.011855670103092783
