cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.06162843004948268,0.026101599775470108,0.08637873754152824,0.12145454545454545,0.08315334773218143,0.06539027982326952,0.04896907216494845,0.03608247422680412,0.09946236559139784,0.08044224170796797,0.07021276595744681,0.03924418604651163,0.10152284263959391,0.0,0.08571428571428572,0.11648351648351649,0.0737134909596662,0.0,0.09777138749101366,0.10828025477707007,0.0,0.13228238519533927,0.16059957173447537,0.07969432314410481,0.09466019417475728,0.13382594417077176,0.0,0.05688622754491018,0.10050251256281408,0.07652474108170311,0.05690467560710402,0.05236270753512133,0.09012875536480687,0.0397456279809221,0.0
-11,0.05315471045808125,0.025112344699973567,0.1288135593220339,0.09744298548721493,0.09378531073446328,0.07079914919477362,0.03632299525006985,0.07692307692307693,0.06493506493506493,0.08901592486729278,0.06666666666666667,0.03,0.0922882427307206,0.0,0.15384615384615385,0.09012875536480687,0.07250755287009064,0.0,0.09598108747044917,0.07453416149068323,0.0,0.15411195577055978,0.12340425531914893,0.07567567567567568,0.08333333333333333,0.11087236785560808,0.02631578947368421,0.06335282651072124,0.11544461778471139,0.06459475929311395,0.06343419613561793,0.04780876494023904,0.09523809523809523,0.046031746031746035,0.0
-10,0.06263982102908278,0.021551724137931036,0.13249211356466878,0.10061601642710473,0.08381839348079162,0.07262393432270288,0.0364741641337386,0.038834951456310676,0.05128205128205128,0.08733624454148471,0.07752808988764046,0.03554868624420402,0.10096818810511757,0.0,0.10476190476190476,0.08048289738430583,0.07334963325183375,0.0,0.08617808546192408,0.08783783783783784,0.0,0.1419228253760628,0.13225058004640372,0.07348242811501597,0.09728506787330317,0.13768115942028986,0.0,0.07098765432098765,0.11469534050179211,0.0640547263681592,0.055619930475086905,0.04563233376792699,0.14427860696517414,0.052307692307692305,0.0
-9,0.04815618221258135,0.025432900432900432,0.10738255033557047,0.09477351916376307,0.07728894173602854,0.07598413182789136,0.044745363556078895,0.01818181818181818,0.06199460916442048,0.10740144810941271,0.05666316894018888,0.05025125628140704,0.0910958904109589,0.0,0.12280701754385964,0.10135135135135136,0.05953991880920163,0.0,0.08021007400334208,0.11510791366906475,0.0,0.13870094722598106,0.1279317697228145,0.08482676224611709,0.08764044943820225,0.13452914798206278,0.0,0.065279091769158,0.10372771474878444,0.07190332326283988,0.07181889149102264,0.034722222222222224,0.1362530413625304,0.05750798722044728,0.0
-8,0.04742388758782201,0.03239171374764595,0.10116731517509728,0.09683604985618409,0.08486562942008487,0.07145757206658547,0.04171494785631518,0.010309278350515464,0.09120521172638436,0.10450819672131148,0.059050064184852376,0.04329004329004329,0.10176991150442478,0.0,0.08536585365853659,0.09631728045325778,0.06656101426307448,0.06666666666666667,0.09404990403071017,0.10294117647058823,0.0,0.12595936794582394,0.10989010989010989,0.08831908831908832,0.10136157337367625,0.12396694214876033,0.0,0.07976366322008863,0.11738148984198646,0.07263513513513513,0.05199394245330641,0.06315789473684211,0.14344262295081966,0.04024144869215292,0.0
-7,0.06191950464396285,0.030333670374115267,0.11598746081504702,0.10483321987746766,0.07898448519040903,0.07292418772563176,0.043181263722859235,0.06086956521739131,0.1027190332326284,0.07030679327976626,0.058759521218716,0.033887583589372855,0.08741400242816673,0.04597701149425287,0.0821256038647343,0.10245310245310245,0.073992673992674,0.0,0.10333829470550712,0.09090909090909091,0.07042253521126761,0.1440677966101695,0.11899791231732777,0.07939339875111508,0.09393063583815028,0.12553846153846154,0.0,0.05587892898719441,0.09558823529411764,0.08217203267659778,0.05827338129496403,0.04990558403021311,0.15141955835962145,0.049079754601226995,0.04390090937597993
-6,0.05589307411907655,0.023713284828887092,0.13293051359516617,0.07665301345816267,0.08064516129032258,0.07712615500660004,0.04292929292929293,0.016666666666666666,0.06540284360189573,0.07717502558853634,0.055869074492099324,0.042793118403932344,0.09970384995064166,0.11764705882352941,0.09090909090909091,0.10653889515219842,0.07227387996618766,0.03225806451612903,0.10711596385542169,0.07981220657276995,0.05357142857142857,0.14505644885391722,0.1468189233278956,0.09128516271373414,0.08167539267015707,0.14644970414201183,0.02564102564102564,0.07059874888293119,0.12551159618008187,0.08147174770039421,0.06327372764786796,0.06906655504395144,0.16551724137931034,0.04225352112676056,0.07495926127104835
-5,0.057044410413476264,0.030601383714741883,0.12048192771084337,0.08946608946608947,0.0861344537815126,0.08225214198286414,0.04028804982483457,0.03225806451612903,0.06912991656734208,0.07882882882882883,0.057815845824411134,0.04619171734723429,0.0835707502374169,0.11363636363636363,0.08994708994708994,0.12206303724928366,0.06171773845489858,0.0,0.10584518167456557,0.10362694300518134,0.043478260869565216,0.14303329223181258,0.10576923076923077,0.09542857142857143,0.08489525909592062,0.1507185418857343,0.023529411764705882,0.06695652173913043,0.0847723704866562,0.0768143261074458,0.05822043207616258,0.058315334773218146,0.11643835616438356,0.055,0.07543859649122807
-4,0.04854368932038835,0.04014217018607569,0.10689655172413794,0.09118773946360154,0.10289017341040463,0.07057163020465773,0.037021366617304846,0.03571428571428571,0.0729312762973352,0.08032471694082462,0.05401234567901234,0.041831792162043156,0.09005235602094241,0.029411764705882353,0.06993006993006994,0.11746804625684723,0.06923429619440624,0.034482758620689655,0.132987012987013,0.10638297872340426,0.0425531914893617,0.13377926421404682,0.13584905660377358,0.10015866719555731,0.07326007326007326,0.15352323838080958,0.05333333333333334,0.07530647985989491,0.11594202898550725,0.0708433734939759,0.05871353777112939,0.06177606177606178,0.13049645390070921,0.058823529411764705,0.07475560667050028
-3,0.052872606161532054,0.042087127738124536,0.12903225806451613,0.10689388071262587,0.08061002178649238,0.04656160458452722,0.040829015544041454,0.015625,0.06623586429725363,0.08086433504121185,0.04833333333333333,0.04313123561013047,0.08315217391304348,0.10810810810810811,0.06349206349206349,0.11214374225526642,0.06605733277939344,0.038461538461538464,0.11962513781697905,0.08227848101265822,0.05357142857142857,0.14247038917089677,0.12975778546712802,0.09889834752128192,0.07719298245614035,0.14474899907607022,0.012195121951219513,0.06994328922495274,0.12519561815336464,0.08182288969445883,0.06088631984585742,0.06553722692822113,0.12005649717514125,0.04398826979472141,0.07680412371134021
