cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.18128654970760233,0.11619421835531855,0.14950166112956811,0.11709090909090909,0.2473002159827214,0.12989690721649486,0.12915234822451319,0.18556701030927836,0.056451612903225805,0.068242470453679,0.2372340425531915,0.1511627906976744,0.09898477157360407,0.0,0.08571428571428572,0.11428571428571428,0.05702364394993046,0.2,0.15648214713635275,0.03821656050955414,0.0,0.12611377655928718,0.04068522483940043,0.10589519650655022,0.06796116504854369,0.16954022988505746,0.0,0.1317365269461078,0.1457286432160804,0.13981588032220943,0.04784342152953969,0.140485312899106,0.16523605150214593,0.19395866454689983,0.0
-11,0.17847882454624028,0.1091726143272535,0.1288135593220339,0.1050449205252246,0.20564971751412428,0.11759343664539654,0.12964515227717238,0.14102564102564102,0.06233766233766234,0.08860759493670886,0.22395833333333334,0.17,0.0979772439949431,0.0,0.054945054945054944,0.13733905579399142,0.06948640483383686,0.09090909090909091,0.14822695035460992,0.024844720496894408,0.0,0.11230131306150656,0.04042553191489362,0.1318918918918919,0.08333333333333333,0.17447357112161582,0.02631578947368421,0.1364522417153996,0.18252730109204368,0.125533211456429,0.05650747356908494,0.11686586985391766,0.20300751879699247,0.19206349206349208,0.0
-10,0.18344519015659955,0.1058728448275862,0.13564668769716087,0.08966461327857632,0.2060535506402794,0.10830438901168297,0.13495440729483282,0.3300970873786408,0.06153846153846154,0.09408495434696308,0.24831460674157305,0.16383307573415765,0.10442600276625173,0.0,0.0761904761904762,0.12474849094567404,0.06723716381418093,0.09090909090909091,0.14323227500596802,0.04054054054054054,0.0,0.11249182472204054,0.058004640371229696,0.10649627263045794,0.06900452488687783,0.1766304347826087,0.024390243902439025,0.11934156378600823,0.16487455197132617,0.13246268656716417,0.0444186944766319,0.14471968709256844,0.1890547263681592,0.18461538461538463,0.0
-9,0.1718004338394794,0.11634199134199134,0.12751677852348994,0.09965156794425087,0.22829964328180738,0.11138236191638694,0.14424492198999117,0.21818181818181817,0.04043126684636118,0.07602574416733708,0.24763903462749212,0.1574539363484087,0.08698630136986302,0.0,0.05263157894736842,0.11261261261261261,0.05277401894451962,0.07692307692307693,0.14729052279780377,0.03597122302158273,0.0,0.10791610284167795,0.05970149253731343,0.11708482676224612,0.06629213483146068,0.17787742899850523,0.0196078431372549,0.12677388836329234,0.16369529983792544,0.14380664652567976,0.04800936768149883,0.10416666666666667,0.16058394160583941,0.19808306709265175,0.0
-8,0.16217798594847777,0.103954802259887,0.14007782101167315,0.087248322147651,0.2263083451202263,0.10678034916768168,0.13595983005021245,0.23711340206185566,0.035830618892508145,0.08401639344262295,0.19127086007702182,0.17532467532467533,0.0920353982300885,0.0,0.04878048780487805,0.1048158640226629,0.07290015847860538,0.26666666666666666,0.13947536788227768,0.029411764705882353,0.0,0.1038374717832957,0.04945054945054945,0.09544159544159544,0.06505295007564296,0.17424242424242425,0.022222222222222223,0.11078286558345643,0.15124153498871332,0.11233108108108109,0.05350832912670368,0.10701754385964912,0.12704918032786885,0.20321931589537223,0.0
-7,0.14602683178534573,0.11290866194809572,0.15673981191222572,0.08713410483321987,0.22002820874471085,0.12454873646209386,0.12856794340082947,0.28695652173913044,0.04229607250755287,0.10080350620891161,0.22415669205658323,0.1358214350262064,0.0687980574666127,0.08045977011494253,0.1111111111111111,0.06541606541606541,0.05787545787545788,0.09523809523809523,0.1135445460344461,0.01948051948051948,0.30985915492957744,0.13305084745762713,0.06263048016701461,0.10853404698186143,0.06213872832369942,0.2073846153846154,0.10714285714285714,0.10593713620488941,0.15073529411764705,0.154252763094666,0.038489208633093526,0.11896412193148098,0.1892744479495268,0.23517382413087934,0.05236751332706178
-6,0.15390846496557312,0.11856642414443547,0.15709969788519637,0.09596255119953188,0.2247983870967742,0.09786913068074675,0.15386002886002886,0.275,0.03601895734597156,0.11586489252814738,0.18284424379232506,0.18461760878993783,0.0824284304047384,0.08823529411764706,0.12727272727272726,0.08680947012401354,0.0646661031276416,0.0967741935483871,0.1278237951807229,0.028169014084507043,0.26785714285714285,0.12760862127950737,0.03099510603588907,0.1205184776613348,0.06492146596858639,0.1989644970414201,0.08974358974358974,0.11796246648793565,0.1377899045020464,0.12921594393342092,0.047111416781292985,0.1452490581833403,0.18850574712643678,0.19718309859154928,0.07658881042911461
-5,0.15581929555895865,0.11442256519425226,0.14759036144578314,0.10028860028860029,0.22899159663865545,0.11529987760097919,0.14519268197742313,0.3387096774193548,0.04529201430274136,0.1083128583128583,0.16345467523197715,0.17767158992180712,0.08547008547008547,0.1590909090909091,0.12169312169312169,0.09054441260744986,0.07768666378938283,0.20689655172413793,0.12322274881516587,0.05181347150259067,0.2608695652173913,0.12854500616522813,0.057692307692307696,0.12171428571428572,0.07497243660418963,0.18892393971258326,0.08235294117647059,0.10347826086956521,0.16169544740973313,0.1470311027332705,0.049798608568290006,0.12397408207343412,0.2237442922374429,0.21,0.07894736842105263
-4,0.13330843913368184,0.10830022998118335,0.1413793103448276,0.09195402298850575,0.20578034682080926,0.11856033874382499,0.1421620478104506,0.2642857142857143,0.047685834502103785,0.1130100405896176,0.1697530864197531,0.18273888154997797,0.10471204188481675,0.08823529411764706,0.13986013986013987,0.08886183810103469,0.08436497019715727,0.2413793103448276,0.14649350649350648,0.026595744680851064,0.2553191489361702,0.12207357859531773,0.052830188679245285,0.08944863149543832,0.05860805860805861,0.17481259370314842,0.09333333333333334,0.11821366024518389,0.17681159420289855,0.13012048192771083,0.04712041884816754,0.12955812955812956,0.17446808510638298,0.17182662538699692,0.10063254744105808
-3,0.15070774354704414,0.12256952990401182,0.13978494623655913,0.12083656080557707,0.238562091503268,0.06346704871060171,0.13181347150259068,0.25,0.05331179321486268,0.10336377812430385,0.15833333333333333,0.1602455871066769,0.09728260869565217,0.10810810810810811,0.07142857142857142,0.07930607187112763,0.0772746157041961,0.038461538461538464,0.13754134509371554,0.04430379746835443,0.25,0.1143824027072758,0.04844290657439446,0.10791186780170256,0.05497076023391813,0.19895287958115182,0.08536585365853659,0.10586011342155009,0.162754303599374,0.12066286897980322,0.04816955684007707,0.1386535889433794,0.1906779661016949,0.20967741935483872,0.08350515463917525
