cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.08196721311475409,0.02,0.0,0.025,0.03333333333333333,0.075,0.09644670050761421,0.0,0.19444444444444445,0.03636363636363636,0.125,0.3548387096774194,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.07446808510638298,0.18181818181818182,0.0,0.09375,0.2,0.2558139534883721,0.125,0.045454545454545456,0.0,0.0847457627118644,0.38636363636363635,0.058823529411764705,0.06796116504854369,0.05263157894736842,0.2727272727272727,0.07142857142857142,0.0
-11,0.10606060606060606,0.0,0.0,0.04878048780487805,0.030303030303030304,0.04736842105263158,0.05241935483870968,0.0,0.16129032258064516,0.08108108108108109,0.0,0.2,0.1509433962264151,0.0,0.0,0.1724137931034483,0.06666666666666667,0.0,0.10752688172043011,0.07692307692307693,0.0,0.11904761904761904,0.125,0.05714285714285714,0.0,0.1,0.0,0.0547945205479452,0.4318181818181818,0.14035087719298245,0.06451612903225806,0.13793103448275862,0.0,0.047619047619047616,0.0
-10,0.0851063829787234,0.0,0.2,0.022222222222222223,0.09090909090909091,0.10857142857142857,0.04807692307692308,0.0,0.10810810810810811,0.09803921568627451,0.0,0.29411764705882354,0.2702702702702703,0.0,0.0,0.06896551724137931,0.0,0.0,0.07476635514018691,0.1,0.0,0.07547169811320754,0.0,0.0625,0.06666666666666667,0.13793103448275862,0.0,0.06349206349206349,0.32608695652173914,0.1111111111111111,0.09,0.08163265306122448,0.14285714285714285,0.0,0.0
-9,0.1111111111111111,0.0,0.4,0.0,0.047619047619047616,0.06535947712418301,0.1,0.3333333333333333,0.1724137931034483,0.043478260869565216,0.0,0.32558139534883723,0.17073170731707318,0.0,0.0,0.0,0.1111111111111111,0.0,0.028037383177570093,0.0,0.0,0.06521739130434782,0.18518518518518517,0.08571428571428572,0.078125,0.06060606060606061,0.0,0.015873015873015872,0.3783783783783784,0.12244897959183673,0.07692307692307693,0.08571428571428572,0.09090909090909091,0.11764705882352941,0.0
-8,0.05263157894736842,0.03333333333333333,0.0,0.02857142857142857,0.125,0.09009009009009009,0.044585987261146494,0.0,0.1,0.06818181818181818,0.0,0.13793103448275862,0.16666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.07936507936507936,0.1,0.0,0.0,0.25,0.029411764705882353,0.02564102564102564,0.0,0.0,0.12244897959183673,0.4444444444444444,0.1111111111111111,0.034482758620689655,0.125,0.0,0.0,0.0
-7,0.12903225806451613,0.0,0.0,0.10638297872340426,0.08695652173913043,0.08396946564885496,0.07692307692307693,0.0,0.17647058823529413,0.09565217391304348,0.0,0.1165644171779141,0.13157894736842105,0.0,0.0,0.23728813559322035,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.29411764705882354,0.0472972972972973,0.13793103448275862,0.05263157894736842,0.0,0.05454545454545454,0.46153846153846156,0.12121212121212122,0.07792207792207792,0.0875,0.2,0.0,0.05263157894736842
-6,0.027777777777777776,0.0,0.0,0.015625,0.12903225806451613,0.1092436974789916,0.04113924050632911,0.2,0.0945945945945946,0.12396694214876033,0.02857142857142857,0.145,0.17142857142857143,0.5,0.0,0.09615384615384616,0.021739130434782608,0.0,0.07092198581560284,0.07142857142857142,0.0,0.06976744186046512,0.24242424242424243,0.06521739130434782,0.023255813953488372,0.1891891891891892,0.0,0.031914893617021274,0.46511627906976744,0.03278688524590164,0.1,0.0851063829787234,0.0,0.18181818181818182,0.0
-5,0.03125,0.0,0.0,0.04878048780487805,0.03389830508474576,0.08597285067873303,0.06702412868632708,0.25,0.12121212121212122,0.05223880597014925,0.05128205128205128,0.12935323383084577,0.2830188679245283,0.0,0.0,0.14457831325301204,0.06451612903225806,0.0,0.0763888888888889,0.18181818181818182,0.0,0.0847457627118644,0.04878048780487805,0.08270676691729323,0.0,0.19148936170212766,0.0,0.12087912087912088,0.5217391304347826,0.10869565217391304,0.08888888888888889,0.030612244897959183,0.2222222222222222,0.16666666666666666,0.045454545454545456
-4,0.11392405063291139,0.0,0.0,0.06818181818181818,0.047619047619047616,0.07575757575757576,0.05844155844155844,0.25,0.1566265060240964,0.11538461538461539,0.0784313725490196,0.12698412698412698,0.1232876712328767,0.0,0.0,0.10989010989010989,0.041666666666666664,0.0,0.0625,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07653061224489796,0.023255813953488372,0.18518518518518517,0.0,0.046296296296296294,0.4931506849315068,0.0392156862745098,0.0970873786407767,0.039603960396039604,0.0,0.0,0.09090909090909091
-3,0.17857142857142858,0.0,0.0,0.02564102564102564,0.07317073170731707,0.05846774193548387,0.06542056074766354,0.125,0.13253012048192772,0.0625,0.0625,0.14285714285714285,0.125,0.0,0.0,0.08181818181818182,0.046511627906976744,0.0,0.05555555555555555,0.0,0.0,0.05,0.2,0.07407407407407407,0.20833333333333334,0.2727272727272727,0.0,0.02631578947368421,0.4307692307692308,0.08695652173913043,0.08571428571428572,0.10588235294117647,0.0,0.07692307692307693,0.09090909090909091
