cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.14461538461538462,0.09163346613545817,0.140625,0.19090909090909092,0.1907514450867052,0.17346938775510204,0.10261194029850747,0.08,0.30303030303030304,0.23563218390804597,0.20394736842105263,0.1,0.24685138539042822,0.0,0.13333333333333333,0.3402061855670103,0.18181818181818182,0.0,0.2168141592920354,0.2222222222222222,0.0,0.31355181576616475,0.3237410071942446,0.22110552763819097,0.23469387755102042,0.3333333333333333,0.0,0.13777777777777778,0.3978494623655914,0.20238095238095238,0.14082278481012658,0.09433962264150944,0.25217391304347825,0.1388888888888889,0.0
-11,0.16013071895424835,0.06854838709677419,0.2839506172839506,0.20466321243523317,0.147239263803681,0.21222410865874364,0.0916030534351145,0.23076923076923078,0.25,0.2926315789473684,0.20454545454545456,0.06493506493506493,0.23372781065088757,0.0,0.30434782608695654,0.28865979381443296,0.2222222222222222,0.0,0.2186421173762946,0.14285714285714285,0.0,0.391304347826087,0.28888888888888886,0.2792207792207792,0.208955223880597,0.3305785123966942,0.2,0.13756613756613756,0.4036697247706422,0.1986970684039088,0.196113074204947,0.14035087719298245,0.2916666666666667,0.08333333333333333,0.0
-10,0.2251655629139073,0.057569296375266525,0.21428571428571427,0.23249299719887956,0.2125,0.21777003484320556,0.09839357429718876,0.2,0.1791044776119403,0.26785714285714285,0.26229508196721313,0.10256410256410256,0.20448179271708683,0.0,0.3,0.28421052631578947,0.18823529411764706,0.0,0.20361990950226244,0.20930232558139536,0.0,0.34699103713188223,0.25735294117647056,0.20430107526881722,0.22564102564102564,0.3194444444444444,0.0,0.1497584541062802,0.4659090909090909,0.20652173913043478,0.15245009074410162,0.11224489795918367,0.33884297520661155,0.20512820512820512,0.0
-9,0.14749262536873156,0.09476309226932668,0.2,0.20612813370473537,0.1103448275862069,0.19934102141680396,0.11171171171171171,0.1,0.29411764705882354,0.32967032967032966,0.21008403361344538,0.13559322033898305,0.16374269005847952,0.0,0.15625,0.2926829268292683,0.12352941176470589,0.0,0.18728323699421964,0.2,0.0,0.3665768194070081,0.2890625,0.25165562913907286,0.24509803921568626,0.3934010152284264,0.0,0.11627906976744186,0.3829787234042553,0.18620689655172415,0.17472118959107807,0.10752688172043011,0.34408602150537637,0.2077922077922078,0.0
-8,0.12719298245614036,0.08211143695014662,0.1527777777777778,0.1889763779527559,0.15625,0.2234513274336283,0.08928571428571429,0.25,0.22413793103448276,0.30445544554455445,0.15384615384615385,0.140625,0.1950207468879668,0.0,0.2222222222222222,0.2459016393442623,0.15037593984962405,0.0,0.2120253164556962,0.2647058823529412,0.0,0.31956912028725315,0.2127659574468085,0.26666666666666666,0.2484472049689441,0.36531365313653136,0.0,0.1390728476821192,0.3614457831325301,0.17446808510638298,0.1507537688442211,0.18309859154929578,0.3170731707317073,0.13333333333333333,0.0
-7,0.20422535211267606,0.1211340206185567,0.17045454545454544,0.2020997375328084,0.14189189189189189,0.21201413427561838,0.13609467455621302,0.375,0.2898550724637681,0.21160409556313994,0.18382352941176472,0.10407523510971786,0.21595330739299612,0.0,0.25806451612903225,0.3065217391304348,0.19558823529411765,0.0,0.24089635854341737,0.1935483870967742,0.08333333333333333,0.34838709677419355,0.25984251968503935,0.21664275466284075,0.225,0.3238434163701068,0.0,0.11728395061728394,0.36470588235294116,0.2325,0.1526479750778816,0.1354642313546423,0.3950617283950617,0.16666666666666666,0.07513661202185792
-6,0.21005917159763313,0.09403669724770643,0.2125,0.167816091954023,0.19186046511627908,0.21334586466165414,0.11384976525821597,0.0,0.18779342723004694,0.2681498829039813,0.1568627450980392,0.15114873035066506,0.2222222222222222,0.16666666666666666,0.12195121951219512,0.3069544364508393,0.18026565464895636,0.0,0.2658008658008658,0.13793103448275862,0.0,0.33505154639175255,0.2631578947368421,0.24154589371980675,0.22885572139303484,0.42483660130718953,0.1111111111111111,0.16744186046511628,0.4036697247706422,0.2557077625570776,0.162754303599374,0.20155038759689922,0.3310810810810811,0.1076923076923077,0.13970588235294118
-5,0.15447154471544716,0.11845102505694761,0.1935483870967742,0.2392638036809816,0.17318435754189945,0.23850931677018633,0.1232876712328767,0.5,0.2328767123287671,0.2630937880633374,0.1471861471861472,0.16209476309226933,0.1896551724137931,0.5555555555555556,0.3888888888888889,0.3325301204819277,0.14081632653061224,0.0,0.26149684400360684,0.2641509433962264,0.25,0.38373570520965694,0.2283464566929134,0.2583668005354752,0.2383177570093458,0.426517571884984,0.1,0.17272727272727273,0.4205607476635514,0.22871046228710462,0.14604810996563575,0.17875647668393782,0.3008130081300813,0.17073170731707318,0.13780918727915195
-4,0.13823529411764707,0.1244343891402715,0.22535211267605634,0.18862275449101795,0.16875,0.23096774193548386,0.08379888268156424,0.10810810810810811,0.28225806451612906,0.2494033412887828,0.17733990147783252,0.1689342403628118,0.2469437652811736,0.0,0.14285714285714285,0.3160621761658031,0.17659574468085107,0.0,0.3106295149638803,0.1774193548387097,0.0,0.3375,0.2692307692307692,0.24595744680851064,0.15625,0.4012903225806452,0.14285714285714285,0.17721518987341772,0.32142857142857145,0.20151133501259447,0.16045380875202594,0.1853932584269663,0.32547169811320753,0.21951219512195122,0.13348946135831383
-3,0.16819571865443425,0.10492845786963434,0.27586206896551724,0.26548672566371684,0.16766467065868262,0.12246376811594203,0.11888111888111888,0.0,0.23404255319148937,0.24567901234567902,0.17045454545454544,0.1373283395755306,0.21065989847715735,0.42857142857142855,0.2222222222222222,0.3027027027027027,0.16356877323420074,0.0,0.2911242603550296,0.075,0.0,0.3506666666666667,0.2857142857142857,0.2393617021276596,0.2193877551020408,0.42323651452282157,0.0,0.14485981308411214,0.38,0.21119592875318066,0.14211438474870017,0.20294117647058824,0.3271604938271605,0.17391304347826086,0.11547344110854503
-2,0.13666666666666666,0.14554794520547945,0.23863636363636365,0.23780487804878048,0.18571428571428572,0.21331316187594554,0.08831908831908832,0.16666666666666666,0.2857142857142857,0.2779255319148936,0.12254901960784313,0.14966887417218544,0.22888283378746593,0.3333333333333333,0.0,0.32954545454545453,0.14925373134328357,0.0,0.2622549019607843,0.2553191489361702,0.4,0.3447802197802198,0.23577235772357724,0.24805339265850945,0.1839080459770115,0.41222366710013003,0.1,0.09375,0.33653846153846156,0.23214285714285715,0.13109243697478992,0.25705329153605017,0.29411764705882354,0.14285714285714285,0.10230179028132992
-1,0.1676470588235294,0.10666666666666667,0.20930232558139536,0.2222222222222222,0.14743589743589744,0.23646723646723647,0.08759124087591241,0.125,0.3813559322033898,0.3064295485636115,0.10614525139664804,0.12125534950071326,0.2205128205128205,0.2,0.21428571428571427,0.3103448275862069,0.175,0.0,0.25060827250608275,0.18181818181818182,0.25,0.3575757575757576,0.2847222222222222,0.2824858757062147,0.22093023255813954,0.43005181347150256,0.0,0.16216216216216217,0.4536082474226804,0.1883289124668435,0.13285457809694792,0.1761194029850746,0.34146341463414637,0.18181818181818182,0.11616161616161616
