cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.13846153846153847,0.08964143426294821,0.140625,0.19090909090909092,0.1907514450867052,0.1683673469387755,0.10074626865671642,0.08,0.30303030303030304,0.22988505747126436,0.20394736842105263,0.075,0.24685138539042822,0.0,0.13333333333333333,0.31958762886597936,0.18181818181818182,0.0,0.21238938053097345,0.2222222222222222,0.0,0.30646589902568644,0.2949640287769784,0.22110552763819097,0.2193877551020408,0.32604735883424407,0.0,0.13333333333333333,0.3978494623655914,0.19345238095238096,0.13449367088607594,0.08490566037735849,0.24347826086956523,0.125,0.0
-11,0.1568627450980392,0.06653225806451613,0.2839506172839506,0.20207253886010362,0.147239263803681,0.20203735144312393,0.08587786259541985,0.23076923076923078,0.25,0.28421052631578947,0.20454545454545456,0.06493506493506493,0.22781065088757396,0.0,0.30434782608695654,0.28865979381443296,0.2222222222222222,0.0,0.21518987341772153,0.14285714285714285,0.0,0.38735177865612647,0.2740740740740741,0.2727272727272727,0.1890547263681592,0.3202479338842975,0.2,0.13756613756613756,0.3669724770642202,0.18566775244299674,0.19081272084805653,0.13157894736842105,0.2916666666666667,0.07142857142857142,0.0
-10,0.2185430463576159,0.057569296375266525,0.21428571428571427,0.22128851540616246,0.20625,0.21254355400696864,0.0963855421686747,0.2,0.1791044776119403,0.2638888888888889,0.2540983606557377,0.08974358974358974,0.20168067226890757,0.0,0.3,0.28421052631578947,0.17647058823529413,0.0,0.19909502262443438,0.20930232558139536,0.0,0.33674775928297057,0.2426470588235294,0.1935483870967742,0.19487179487179487,0.3115079365079365,0.0,0.1497584541062802,0.4659090909090909,0.20652173913043478,0.14882032667876588,0.11224489795918367,0.3305785123966942,0.19230769230769232,0.0
-9,0.14749262536873156,0.09226932668329177,0.18461538461538463,0.20612813370473537,0.10344827586206896,0.1927512355848435,0.10990990990990991,0.1,0.27450980392156865,0.3142857142857143,0.21008403361344538,0.13559322033898305,0.1608187134502924,0.0,0.125,0.2804878048780488,0.12352941176470589,0.0,0.18034682080924855,0.2,0.0,0.35175202156334234,0.2890625,0.23841059602649006,0.23039215686274508,0.37817258883248733,0.0,0.10697674418604651,0.3617021276595745,0.18275862068965518,0.16171003717472118,0.10752688172043011,0.3333333333333333,0.2077922077922078,0.0
-8,0.12280701754385964,0.07917888563049853,0.1527777777777778,0.18110236220472442,0.15625,0.21238938053097345,0.08482142857142858,0.25,0.1724137931034483,0.29455445544554454,0.15384615384615385,0.140625,0.1908713692946058,0.0,0.16666666666666666,0.21311475409836064,0.15037593984962405,0.0,0.20569620253164558,0.2647058823529412,0.0,0.3123877917414722,0.19148936170212766,0.25925925925925924,0.2360248447204969,0.36162361623616235,0.0,0.13245033112582782,0.3373493975903614,0.1702127659574468,0.14321608040201006,0.16901408450704225,0.3048780487804878,0.13333333333333333,0.0
-7,0.20422535211267606,0.1211340206185567,0.17045454545454544,0.2020997375328084,0.13513513513513514,0.2049469964664311,0.13165680473372782,0.375,0.2753623188405797,0.20022753128555176,0.18382352941176472,0.09780564263322884,0.19649805447470817,0.0,0.25806451612903225,0.3,0.19264705882352942,0.0,0.2315592903828198,0.16129032258064516,0.08333333333333333,0.3403225806451613,0.2440944881889764,0.20946915351506457,0.21875,0.31316725978647686,0.0,0.11728395061728394,0.3411764705882353,0.225,0.14641744548286603,0.1263318112633181,0.38271604938271603,0.16666666666666666,0.07240437158469945
-6,0.20118343195266272,0.09174311926605505,0.2125,0.1632183908045977,0.18023255813953487,0.20770676691729323,0.11267605633802817,0.0,0.1784037558685446,0.2611241217798595,0.1568627450980392,0.14510278113663846,0.2111111111111111,0.16666666666666666,0.12195121951219512,0.290167865707434,0.16888045540796964,0.0,0.2545454545454545,0.13793103448275862,0.0,0.327319587628866,0.25263157894736843,0.23792270531400966,0.22388059701492538,0.4133986928104575,0.1111111111111111,0.16744186046511628,0.4036697247706422,0.23972602739726026,0.15805946791862285,0.19896640826873385,0.3310810810810811,0.1076923076923077,0.1323529411764706
-5,0.14905149051490515,0.11845102505694761,0.1935483870967742,0.2331288343558282,0.16201117318435754,0.23229813664596274,0.11830635118306351,0.375,0.22602739726027396,0.2545676004872107,0.1471861471861472,0.1596009975062344,0.1896551724137931,0.5555555555555556,0.3888888888888889,0.3108433734939759,0.14081632653061224,0.0,0.2560865644724977,0.2641509433962264,0.25,0.3735705209656925,0.2125984251968504,0.2463186077643909,0.2336448598130841,0.41533546325878595,0.1,0.16818181818181818,0.4205607476635514,0.21897810218978103,0.14604810996563575,0.17098445595854922,0.3008130081300813,0.15853658536585366,0.13427561837455831
-4,0.1323529411764706,0.11877828054298642,0.22535211267605634,0.18562874251497005,0.16875,0.2232258064516129,0.0824022346368715,0.10810810810810811,0.27419354838709675,0.24343675417661098,0.1724137931034483,0.16099773242630386,0.2396088019559902,0.0,0.14285714285714285,0.3005181347150259,0.17446808510638298,0.0,0.30546955624355004,0.16129032258064516,0.0,0.32916666666666666,0.2692307692307692,0.23574468085106384,0.15104166666666666,0.3896774193548387,0.14285714285714285,0.17721518987341772,0.3125,0.19395465994962216,0.1507293354943274,0.17696629213483145,0.3160377358490566,0.21951219512195122,0.1288056206088993
-3,0.16819571865443425,0.10174880763116058,0.27586206896551724,0.2536873156342183,0.15568862275449102,0.11811594202898551,0.11468531468531469,0.0,0.23404255319148937,0.23950617283950618,0.16477272727272727,0.12983770287141075,0.21065989847715735,0.42857142857142855,0.2222222222222222,0.2972972972972973,0.15985130111524162,0.0,0.2875739644970414,0.075,0.0,0.344,0.28,0.23085106382978723,0.21428571428571427,0.4024896265560166,0.0,0.13551401869158877,0.38,0.20610687022900764,0.1369150779896014,0.19117647058823528,0.3148148148148148,0.17391304347826086,0.10623556581986143
