cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-12,0.30103480714957664,0.19576719576719576,0.2708333333333333,0.2555831265508685,0.42444444444444446,0.23725834797891038,0.2562130177514793,0.2755102040816326,0.23880597014925373,0.2054794520547945,0.3818984547461369,0.2328767123287671,0.20161290322580644,0.0,0.17647058823529413,0.32857142857142857,0.13247863247863248,0.125,0.30273660205245156,0.07142857142857142,0.0,0.29518072289156627,0.1797752808988764,0.2785234899328859,0.1932367149758454,0.38571428571428573,0.0,0.23224043715846995,0.41007194244604317,0.24720670391061453,0.1480865224625624,0.28106508875739644,0.35096153846153844,0.3764705882352941,0.0
-11,0.294067067927773,0.16770186335403728,0.25,0.2715736040609137,0.4068181818181818,0.21668264621284755,0.244228432563791,0.24615384615384617,0.21311475409836064,0.27304347826086955,0.3651452282157676,0.2578125,0.17518248175182483,0.0,0.07692307692307693,0.3082191780821918,0.14782608695652175,0.10526315789473684,0.29100227790432803,0.09090909090909091,0.0,0.32336182336182334,0.17582417582417584,0.3108108108108108,0.17117117117117117,0.3780617678381257,0.09090909090909091,0.26717557251908397,0.5534591194968553,0.2362555720653789,0.14832535885167464,0.24539877300613497,0.46153846153846156,0.391304347826087,0.0
-10,0.28546712802768165,0.1656302996042962,0.2524271844660194,0.23255813953488372,0.38235294117647056,0.21357285429141717,0.2616088947024199,0.49056603773584906,0.15584415584415584,0.3148479427549195,0.3706896551724138,0.2950310559006211,0.2012847965738758,0.0,0.16,0.281437125748503,0.13829787234042554,0.12,0.26834997064004695,0.11538461538461539,0.0,0.34532374100719426,0.20930232558139536,0.24567474048442905,0.17889908256880735,0.4023952095808383,0.1111111111111111,0.24649859943977592,0.43312101910828027,0.24803767660910517,0.10714285714285714,0.27627627627627627,0.4550898203592814,0.3538961038961039,0.0
-9,0.29688972667295005,0.1778975741239892,0.23469387755102042,0.25485436893203883,0.4381443298969072,0.22675521821631878,0.2720779220779221,0.24193548387096775,0.14814814814814814,0.26666666666666666,0.36585365853658536,0.25,0.17647058823529413,0.0,0.09090909090909091,0.3194444444444444,0.11904761904761904,0.0,0.25216888374783114,0.0,0.0,0.3096590909090909,0.18,0.30357142857142855,0.1271186440677966,0.39900249376558605,0.07692307692307693,0.23848238482384823,0.4476744186046512,0.2551928783382789,0.14170692431561996,0.24242424242424243,0.3671497584541063,0.34701492537313433,0.0
-8,0.2582697201017812,0.17988552739165986,0.3466666666666667,0.17378048780487804,0.4158730158730159,0.18343949044585986,0.2514919011082694,0.32142857142857145,0.1935483870967742,0.2323008849557522,0.33064516129032256,0.2978723404255319,0.19411764705882353,0.0,0.05263157894736842,0.24166666666666667,0.1350210970464135,0.2,0.2665036674816626,0.13636363636363635,0.0,0.33047210300429186,0.11494252873563218,0.2336448598130841,0.1712707182320442,0.39365671641791045,0.0,0.2237442922374429,0.3893805309734513,0.1973392461197339,0.1697674418604651,0.2687224669603524,0.3707865168539326,0.4009433962264151,0.0
-7,0.24660633484162897,0.17523533671252717,0.2403846153846154,0.2391304347826087,0.3968253968253968,0.19711042311661506,0.24110032362459546,0.2916666666666667,0.1206896551724138,0.22900763358778625,0.31221719457013575,0.22797313314895298,0.14708603145235893,0.21875,0.2125,0.22195704057279236,0.14266304347826086,0.07692307692307693,0.255781359495445,0.10344827586206896,0.425531914893617,0.3225806451612903,0.16666666666666666,0.2361546499477534,0.22151898734177214,0.445468509984639,0.23076923076923078,0.25170068027210885,0.4,0.2613768961493582,0.13680154142581888,0.22647527910685805,0.4230769230769231,0.42201834862385323,0.10299625468164794
-6,0.23294509151414308,0.1769273433166944,0.2523364485981308,0.24048096192384769,0.40611353711790393,0.17331670822942644,0.269688820591625,0.2857142857142857,0.11834319526627218,0.2869692532942899,0.3296551724137931,0.2870581527936146,0.17474302496328928,0.125,0.3132530120481928,0.26490066225165565,0.14690026954177898,0.0,0.2489754098360656,0.05263157894736842,0.4375,0.35294117647058826,0.10084033613445378,0.25775862068965516,0.18292682926829268,0.4235294117647059,0.20689655172413793,0.19759036144578312,0.4666666666666667,0.22756410256410256,0.12082670906200318,0.25627615062761505,0.430939226519337,0.3415492957746479,0.14593698175787728
-5,0.24579663730984788,0.17393767705382437,0.29292929292929293,0.27,0.4166666666666667,0.19517709118311982,0.248068669527897,0.44594594594594594,0.12154696132596685,0.24192390524048815,0.2890262751159196,0.28286516853932586,0.15587846763540292,0.38461538461538464,0.2923076923076923,0.25379609544468545,0.18559556786703602,0.17647058823529413,0.265375854214123,0.09523809523809523,0.42105263157894735,0.33171912832929784,0.11570247933884298,0.26619343389529726,0.17063492063492064,0.41051660516605165,0.1875,0.22409638554216868,0.4506172839506173,0.26395348837209304,0.14444444444444443,0.23664921465968586,0.4873096446700508,0.37969924812030076,0.1523545706371191
-4,0.2350230414746544,0.16626621816434406,0.25301204819277107,0.260752688172043,0.4088541666666667,0.21010830324909746,0.24681238615664844,0.35555555555555557,0.10975609756097561,0.2536964980544747,0.30185497470489037,0.2861736334405145,0.1768901569186876,0.2222222222222222,0.2222222222222222,0.27014218009478674,0.16690442225392296,0.07142857142857142,0.31829368334700575,0.13513513513513514,0.30303030303030304,0.34554973821989526,0.2,0.2485453034081463,0.17535545023696683,0.42122448979591837,0.17857142857142858,0.259946949602122,0.4685714285714286,0.22661870503597123,0.12248628884826325,0.24141414141414141,0.38022813688212925,0.373134328358209,0.16666666666666666
-3,0.24096385542168675,0.18478260869565216,0.31645569620253167,0.2884097035040431,0.41625615763546797,0.13514929282346777,0.24204702627939143,0.37,0.18803418803418803,0.2374323279195669,0.3,0.25744934445768775,0.19540229885057472,0.14285714285714285,0.20634920634920634,0.24349881796690306,0.17409470752089137,0.05,0.308936170212766,0.16666666666666666,0.23529411764705882,0.32887700534759357,0.125,0.24480578139114725,0.10679611650485436,0.42062852538275586,0.17647058823529413,0.2222222222222222,0.43312101910828027,0.22526041666666666,0.13898916967509026,0.24195338512763595,0.43636363636363634,0.32926829268292684,0.17567567567567569
