cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.037204336399474375,0.030140826417093414,0.0193843984962406,0.02730907259333879,0.019448213478064226,0.03821307764693914,0.03554322603677039,0.0066326530612244895,0.02195121951219512,0.03051924844276524,0.015899725274725274,0.04996175176898068,0.050367488110678774,0.013655462184873951,0.007603156337333552,0.028819875776397517,0.04558652729384437,0.022335249889429455,0.021829616576532783,0.015873015873015872,0.04630952380952381,0.033862433862433865,0.007834844151437297,0.04101234944351273,0.013604635402548115,0.030011405759908755,0.00921474358974359,0.10342761265580058,0.03627954779033916,0.015873015873015876,0.06236780426456297,0.022360835885426047,0.0425531914893617,0.04457911665489919,0.009538598047914819,0.013909343806251022,0.031914893617021274
-11,0.03901844918579999,0.030317552925487583,0.016722408026755852,0.025329280648429583,0.02057646375314699,0.04055700830181015,0.03319467321812446,0.010298661174047374,0.021008403361344536,0.029569631320736384,0.02037952692770279,0.04605140622089774,0.06400447562598281,0.02806122448979592,0.007791173794358508,0.02824344023323615,0.06163723916532905,0.024117405582922823,0.01966805240614764,0.012048192771084338,0.047724867724867726,0.02161450263402541,0.008768609639162251,0.04220779220779221,0.010483213266277014,0.04111209701271813,0.014236716027874564,0.12056151940545004,0.0252637987012987,0.015254965622612682,0.06058647235117823,0.024437962435970406,0.016034985422740525,0.04571590540978296,0.010216143194866599,0.020808909730363423,0.0196078431372549
-10,0.03466317854807063,0.028583811450035086,0.012089618456078083,0.025222462722462723,0.02592483274301456,0.03996378344083747,0.035990561811176484,0.009451659451659452,0.016433452652131468,0.0337451357306953,0.015518913676042677,0.05478251906823336,0.0606040964480166,0.022528815927348938,0.003550653471330362,0.033387622149837134,0.046856179233919534,0.03214285714285714,0.01826526212037208,0.028985507246376812,0.02587223008015087,0.0496031746031746,0.01245251857968621,0.05050346129641284,0.012862076256254844,0.03996674766594194,0.014775380060354153,0.13482671174978866,0.022350734604563927,0.014750188300276173,0.07179554929246668,0.0197706522333388,0.0,0.042554062909567494,0.01001033324722294,0.02249134948096886,0.004740834386852086
-9,0.0401856824284349,0.033156442368923796,0.040799432355723746,0.03035148930671319,0.02794742432288901,0.04411230238051972,0.03592227240313763,0.004703115814226925,0.027235354573484073,0.03139861137530911,0.022914179599416367,0.04252232142857143,0.08109861591695501,0.017360048944631386,0.005273628105998049,0.030546834118262686,0.04908393166625403,0.0387263339070568,0.02990341174637794,0.0,0.03332935845456714,0.02773025377815797,0.013617050915929511,0.04146455953684869,0.014351783879019232,0.029341241797072187,0.015461672473867595,0.10393498716852011,0.034698713608666214,0.016531895777178795,0.0628589189509206,0.023575091575091574,0.043478260869565216,0.04899425287356322,0.006970573092003643,0.029436715303698676,0.025324675324675323
-8,0.05338440361481836,0.03699390384172993,0.03901098901098901,0.028077663402795213,0.032309704184704184,0.046056328135974156,0.04282939590930712,0.005298013245033113,0.022296206618240517,0.03503530689842477,0.018544757459576594,0.0564935064935065,0.08052657520742626,0.03163265306122449,0.0037372354984735235,0.0364481409001957,0.0665024630541872,0.04183201058201059,0.023617511520737326,0.022727272727272728,0.05615453728661276,0.04974489795918367,0.016456132292145154,0.04785816765730682,0.015494579295788161,0.025148445686342998,0.014054030424899458,0.12794612794612795,0.025948660714285716,0.016366612111292964,0.06896042528056705,0.030233002291825822,0.029859484777517563,0.07101086048454469,0.01011229677635622,0.01886499896630143,0.007223113964686999
-7,0.049055352999668546,0.043359904136709385,0.03962053571428571,0.040865384615384616,0.027299815343293603,0.04815297363580625,0.04301624518506113,0.012574644005512172,0.022841656987998452,0.03686865807775624,0.019166666666666665,0.05253623188405797,0.07852755842705592,0.0166854143232096,0.00889759095865966,0.025843158760625172,0.061142198815009874,0.05952380952380952,0.03337221114413635,0.0,0.07838682192558932,0.04761904761904762,0.014817749603803486,0.0824249378466246,0.01072267920094007,0.03898707249222713,0.022544405647487477,0.14420485175202158,0.04350474480636061,0.017857142857142856,0.08081347293015567,0.03496129634649559,0.08860759493670886,0.07106195771721863,0.012496680828465214,0.03148496240601504,0.011764705882352941
-6,0.03458387428929579,0.02394264946683174,0.0194515306122449,0.023105208276164867,0.028504927150716404,0.04635060885060885,0.027613719487415676,0.006966248037676609,0.015473887814313346,0.03169310528181496,0.019414539736300956,0.03723809523809524,0.07135979090721509,0.025187969924812034,0.0049558284852402506,0.02514285714285714,0.024177522631927576,0.030581693755346452,0.021609384647046717,0.012345679012345678,0.03926676771504358,0.026619343389529725,0.011787142521087474,0.0508436944937833,0.013561320754716982,0.029426341221657788,0.016857365029993333,0.0953722334004024,0.028527577470278696,0.018171764167492943,0.05610163204747774,0.02800690828478631,0.0673076923076923,0.041803452292703595,0.007941644169964129,0.024070021881838075,0.0273109243697479
-5,0.03133350856441933,0.03204447068083432,0.013286564625850341,0.02127016129032258,0.02402676399026764,0.03717746450201028,0.028861535124583143,0.009811616954474097,0.010040160642570281,0.024789029535864978,0.021126297805230648,0.04615814994405072,0.055924227799227795,0.017278617710583154,0.00488259820057055,0.020521541950113378,0.05975407571152252,0.024565903709550117,0.02421579318750401,0.028985507246376812,0.04816926770708284,0.022644674308079395,0.012277983987238873,0.03499589490968801,0.01212712096332786,0.01340149212489638,0.017351500958058333,0.07800982800982802,0.022635484173945713,0.013669501822600244,0.0517217127102909,0.02628941133588482,0.04939919893190921,0.06477934133942385,0.0070321419921807425,0.0161072693540226,0.014859228362877997
-4,0.033153145298400105,0.034294898555564834,0.01485027000490918,0.025738228252194732,0.019458893681806647,0.03218258106162173,0.03188573688969259,0.018198672911787665,0.01418673705047839,0.028238943187396795,0.017784256559766762,0.05332814324639938,0.049649234693877546,0.01394324853228963,0.008378556761513641,0.019772614928324272,0.03966114747785907,0.023054755043227664,0.027309205656628616,0.011764705882352941,0.03235294117647059,0.02516821946169772,0.01079383687824485,0.030869182205256203,0.013983281228761723,0.022445081184336198,0.012484924898585681,0.0468187274909964,0.021234240212342402,0.01072272880783519,0.0627085228996057,0.02619979759241504,0.061576354679802964,0.02922077922077922,0.008119449044106579,0.012145262145262145,0.12275132275132276
-3,0.031244039671943544,0.033577346249945204,0.014134275618374558,0.020704156179016515,0.018565065224307988,0.025193175861894054,0.031346621439077835,0.009964338158170757,0.004102946661693398,0.027724134601458023,0.02827207716614003,0.046685931009571975,0.05560123329907503,0.015345268542199489,0.010593051911916685,0.02258064516129032,0.05351545006717421,0.01801242236024845,0.03031760280413781,0.0,0.04642313546423135,0.017583470169677068,0.00935009196811772,0.05276735459662289,0.007153977314849137,0.023483827493261455,0.017569237683276222,0.11588921282798834,0.021051307847082496,0.013847926267281107,0.05989695148132246,0.027673861556679943,0.06349206349206349,0.021206618240516544,0.005212809685736706,0.013217097862767153,0.024793388429752067
