cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.0,0.0,0.0,0.005681818181818182,0.04358830146231721,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.001680672268907563,0.0,0.008064516129032258,0.04,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0028089887640449437,0.03185328185328185,0.003539253539253539,0.0410958904109589,0.0,0.0,0.0,0.0,0.00546448087431694,0.004329004329004329,0.0,0.02631578947368421,0.0035211267605633804,0.002354788069073783,0.0
-11,0.0,0.0,0.0,0.0,0.07990314769975787,0.008777239709443099,0.005,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.01785714285714286,0.007462686567164179,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.003663003663003663,0.029411764705882353,0.0011806375442739079,0.0,0.00586734693877551,0.07692307692307693,0.0,0.0,0.0064516129032258064,0.0,0.0,0.011976047904191617,0.0031746031746031746,0.05425824175824175,0.0
-10,0.0,0.0,0.0,0.00546448087431694,0.04697986577181208,0.008124576844955992,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.007042253521126761,0.0,0.015873015873015872,0.0,0.02109704641350211,0.0,0.0,0.0,0.0029940119760479044,0.1,0.0002645502645502645,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.001192684866154254,0.0,0.012048192771084338,0.0,0.029850746268656716,0.0
-9,0.0,0.0,0.034482758620689655,0.005813953488372093,0.048,0.0,0.00047831632653061223,0.0,0.0,0.00423728813559322,0.0,0.0,0.036585365853658534,0.037037037037037035,0.007575757575757576,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.11607142857142856,0.008849557522123894,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005416384563303994,0.008064516129032258,0.004098360655737705,0.0
-8,0.0,0.014824797843665768,0.0,0.0,0.09473684210526316,0.0045871559633027525,0.0,0.0,0.0,0.00645682001614205,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.017142857142857144,0.0,0.0,0.0,0.0,0.05987394957983193,0.011627906976744186,0.0136986301369863,0.0,0.14661654135338345,0.013888888888888888,0.0,0.007874015748031496,0.0036084381939304223,0.0,0.0,0.0040650406504065045,0.04,0.0
-7,0.0,0.0,0.0,0.0072992700729927005,0.09426910299003323,0.011976047904191617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.03867403314917127,0.0,0.0,0.0,0.0004826254826254826,0.08078231292517006,0.010309278350515464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.013614323013800821,0.0,0.0,0.012658227848101266,0.021739130434782608,0.0
-6,0.0007518796992481202,0.0,0.0,0.0,0.048726467331118496,0.004310344827586207,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.041666666666666664,0.0027010804321728693,0.0,0.0,0.0,0.01053324555628703,0.0,0.0,0.0,0.0,0.02631578947368421,0.0017605633802816902,0.0036115569823434997,0.0,0.08333333333333333,0.0,0.0007849293563579277,0.006172839506172839,0.0037243947858473,0.0,0.0,0.0031645569620253164,0.01639344262295082,0.0
-5,0.0,0.0,0.0,0.005736491487786825,0.10298434442270057,0.004132231404958678,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.007142857142857143,0.0,0.02040816326530612,0.03125,0.0,0.01702127659574468,0.0,0.0,0.0,0.003236245954692557,0.03571428571428571,0.008333333333333333,0.0,0.005747126436781609,0.0,0.0,0.0004012841091492777,0.005319148936170213,0.006122448979591836,0.0,0.006622516556291391,0.002849002849002849,0.0,0.0
-4,0.0,0.0,0.0,0.00023969319271332693,0.064,0.0037174721189591076,0.0,0.0,0.0,0.013559322033898305,0.0,0.0,0.030303030303030304,0.0,0.0,0.045454545454545456,0.05,0.0,0.013157894736842105,0.0,0.0,0.0,0.0035587188612099642,0.11071428571428571,0.0,0.014285714285714285,0.0002685284640171858,0.0,0.0,0.0026455026455026454,0.00043554006968641115,0.0020161290322580645,0.0,0.0,0.0,0.06314699792960664,0.0
-3,0.0,0.0,0.0,0.0,0.022232734153263954,0.0014388489208633094,0.0,0.0,0.0,0.0005952380952380952,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.027777777777777776,0.0003434065934065934,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0026846729580214776,0.0,0.005988023952095809,0.0,0.028985507246376812,0.0
