cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.2622026377418957,0.20906432748538012,0.2771577380952381,0.22264808362369337,0.20671167593328038,0.3071114895142499,0.2778510323535087,0.12176274018379282,0.2050092764378479,0.30096308186195825,0.20715643671917436,0.27413366336633666,0.24831816383062918,0.22154471544715448,0.14018250471994967,0.15789473684210525,0.13782696177062376,0.21705426356589147,0.2166985722262104,0.14795918367346939,0.1587038789025544,0.09223300970873786,0.16903283052351376,0.3090318772136954,0.3119792725055883,0.1361003861003861,0.16358588163699986,0.3867063492063492,0.2231000261164795,0.15476190476190477,0.3446148092744951,0.20869377162629757,0.40977443609022557,0.25795383655645665,0.13010728982951206,0.2098874032371569,0.1279761904761905
-11,0.27061122956645345,0.2241456232711698,0.3159937888198758,0.1906916612798966,0.16783177359341525,0.35094411596414266,0.2719947735191638,0.1529968454258675,0.24710424710424708,0.2604049493813273,0.20884665792922674,0.24863294600136707,0.2736578707916288,0.21512935883014625,0.13486463133640553,0.23007103393843728,0.1830357142857143,0.2245254745254745,0.20319080012957566,0.14661654135338345,0.14036098310291859,0.11827956989247312,0.24015748031496062,0.2963709677419355,0.30082227065583517,0.1478466386554622,0.14885575589459085,0.41672740524781343,0.21121702794463307,0.1344246031746032,0.34843970519052847,0.18441906219258936,0.36224489795918363,0.27088241593488965,0.1415292144254962,0.2115984743411928,0.2361111111111111
-10,0.2776325172331828,0.22059984214680345,0.2789757412398922,0.22318681318681322,0.18030904803276654,0.3324701973812781,0.264713567182703,0.1357361963190184,0.24206349206349206,0.24389416553595658,0.18034762750570923,0.2288205980066445,0.2212190742218675,0.17365424430641824,0.12874487543361715,0.15578231292517009,0.17020408163265305,0.2145909645909646,0.1966424904245783,0.07142857142857144,0.15925426774483378,0.1120820668693009,0.21881517205422316,0.3489010989010989,0.2564728594140359,0.13954344624447715,0.14238721804511278,0.39230199851961506,0.20902394106813996,0.13263546798029557,0.31034902597402597,0.1577754142409315,0.23529411764705882,0.27557915057915056,0.11774282943051129,0.18924982053122757,0.10256410256410256
-9,0.2258896338318721,0.20537830060934328,0.2675,0.17570951585976627,0.1734952864394489,0.3173717762967256,0.2397051941974731,0.10782097649186256,0.21753246753246752,0.2488808875048657,0.19696022016512382,0.21832678025338575,0.2640952380952381,0.16628753412192904,0.11164403778040141,0.14029202841357538,0.17907092907092909,0.17506377551020408,0.1746077384375257,0.22932330827067668,0.11710398445092324,0.10537482319660536,0.18726235741444866,0.27982878544676293,0.24193715112673142,0.12351684859990508,0.13181600765306123,0.30254300673148843,0.16355820105820104,0.14005924950625412,0.29725212002609264,0.15073950928686083,0.22916666666666666,0.26005547850208044,0.0967585403726708,0.15732600732600732,0.12346938775510204
-8,0.3221957040572792,0.25161904761904763,0.36666666666666664,0.21162613981762918,0.24738152472527475,0.3990893825884784,0.3422581230713378,0.0851458230350964,0.21428571428571427,0.3430735930735931,0.23281990521327015,0.32675070028011205,0.3355742296918767,0.2975067385444744,0.12300450266066312,0.171583850931677,0.13857998289136014,0.18907563025210083,0.2272594752186589,0.2785714285714286,0.27363445378151263,0.17759295499021527,0.2976190476190476,0.3344514601420679,0.3526785714285714,0.13151658767772512,0.16044049647116088,0.45194805194805193,0.22762841091492778,0.2234268707482993,0.3729755861735557,0.20538628944504897,0.25255102040816324,0.32332021791767557,0.13187980574666128,0.23197492163009403,0.075
-7,0.37839154549542797,0.33105035492457857,0.4625686813186813,0.2635009310986965,0.32053474273278404,0.48952558635394455,0.3742559523809524,0.1589422028353326,0.3,0.3879894990155327,0.30787337662337666,0.36971334586466165,0.3324802233597022,0.24938423645320196,0.20304232804232805,0.19783834586466165,0.16915836101882614,0.19169096209912537,0.2933124862848365,0.3142857142857143,0.28860294117647056,0.21880650994575043,0.3544421154466301,0.4729591836734694,0.37626331603387053,0.21103896103896103,0.23981005144440046,0.4848024316109423,0.27120800814387513,0.2912391475927388,0.43070973612374885,0.29221435793731043,0.6329365079365079,0.32916801031925186,0.22413793103448276,0.2531576655052265,0.35044642857142855
-6,0.28661701647483634,0.21251425313568986,0.3650793650793651,0.18513227513227512,0.18819537160658656,0.3785072437190537,0.2811281816097225,0.12523041474654378,0.1952887537993921,0.28233175188894744,0.19417142857142858,0.23011684885035807,0.2837953091684435,0.2082066869300912,0.13689418929205785,0.20894698085419736,0.14034749034749036,0.22601668404588113,0.1768862504787438,0.26863354037267084,0.22072901325478644,0.06512605042016806,0.27727760553303127,0.3307291666666667,0.28357890241298317,0.13425704730052557,0.16278493557978196,0.41723087339201087,0.241973618715779,0.24934383202099739,0.3436726372506189,0.19048534094652467,0.5238095238095238,0.2400869092884302,0.13418276563294357,0.16520950181458266,0.11196911196911195
-5,0.2650652366209642,0.22030097250167674,0.31966053748231965,0.22538305543037404,0.2029014308426073,0.35635179153094465,0.2882920688208141,0.10378297660527626,0.14992559523809523,0.29116586538461536,0.1906876427302715,0.266336461591936,0.31877968578735844,0.26960257787325453,0.12339414182939364,0.1583522297808012,0.22823660714285715,0.1588345864661654,0.15613825983313467,0.13198757763975155,0.18070652173913043,0.1447802197802198,0.2385509227614491,0.34188988095238093,0.282617671345995,0.15538194444444445,0.1525594658506051,0.397112462006079,0.2579505300353357,0.16338582677165353,0.3363796267971857,0.2063161875945537,0.36666666666666664,0.3533026113671275,0.1266726943942134,0.192966472303207,0.1227106227106227
-4,0.30070406540994776,0.23023853051275353,0.3102409638554217,0.19199236298292902,0.20522388059701493,0.36564517595707924,0.30124755381604695,0.15122377622377622,0.22051495016611297,0.30877883068120865,0.25683890577507595,0.31507936507936507,0.2851488880512627,0.23095238095238096,0.16664313946922643,0.1843984962406015,0.15925058548009366,0.19369134515119915,0.2181189936291977,0.4268707482993197,0.2929447852760736,0.12142857142857143,0.2407074711931607,0.3321718931475029,0.2625754527162978,0.14825282631038028,0.14950738916256157,0.34207589285714285,0.22605893186003684,0.17618458274398868,0.3423976608187134,0.21125440917107582,0.3076923076923077,0.2668803846924464,0.13776983363123882,0.19792737238780403,0.4318181818181818
-3,0.27753102944755415,0.2135940237941529,0.40446428571428567,0.20540216086434573,0.1980940044411547,0.24507273580478647,0.2980392807378409,0.14677266255339347,0.25255102040816324,0.3203631647211414,0.27064063035286057,0.30916149068322984,0.28274215552523874,0.1857675906183369,0.1709127852453892,0.16613361762615492,0.18158627087198517,0.18171428571428572,0.22674486461251167,0.32539682539682535,0.2582908163265306,0.09123649459783914,0.25740378343118064,0.3776206728425158,0.2924616100511866,0.13368538076709283,0.15422237860661506,0.3851010101010101,0.22680890538033396,0.13720316622691292,0.34555288461538464,0.22010962658444672,0.16666666666666666,0.2822513954930742,0.12929046262379595,0.27125850340136054,0.1538961038961039
