cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.005913272010512484,0.002781211372064277,0.006578947368421052,0.003085059497576025,0.012663952962460425,0.010147765711233755,0.00895460224906289,0.018095238095238095,0.02195121951219512,0.007505360972122945,0.011538461538461539,0.022757697456492636,0.01340250756593169,0.00267379679144385,0.023014959723820484,0.010434782608695653,0.0,0.0030959752321981426,0.0076563164610803916,0.031746031746031744,0.013333333333333334,0.009876543209876543,0.0040719375636240245,0.008537886872998933,0.010436432637571158,0.011976047904191617,0.003605769230769231,0.0,0.01870503597122302,0.019815994338287332,0.006402561024409764,0.007986548970155528,0.0,0.012081274025260845,0.010248447204968944,0.004581901489117984,0.010638297872340425
-11,0.00473634354278497,0.002333722287047841,0.0033444816053511705,0.004171881518564873,0.00903750564844103,0.012440021325750844,0.009185069376587845,0.013388259526261586,0.029411764705882353,0.0051003060183611015,0.007483629560336763,0.024771838331160364,0.01693480101608806,0.009852216748768473,0.022292993630573247,0.015306122448979591,0.0044943820224719105,0.008620689655172414,0.009038800705467372,0.024096385542168676,0.011851851851851851,0.010845986984815618,0.0055513499873832955,0.007399577167019027,0.009514747859181731,0.004140786749482402,0.003048780487804878,0.011560693641618497,0.024857954545454544,0.02406417112299465,0.009461127108185932,0.006374501992031873,0.0,0.013605442176870748,0.012115839243498818,0.004689331770222743,0.00980392156862745
-10,0.004905166775670372,0.0002889338341519792,0.003105590062111801,0.0021043771043771043,0.012396694214876033,0.011843079200592153,0.012126280577043697,0.012121212121212121,0.022779043280182234,0.007548408270429931,0.002909796314258002,0.04040404040404041,0.022686025408348458,0.0024449877750611247,0.022739291380222106,0.008143322475570033,0.0,0.0033333333333333335,0.007761966364812419,0.028985507246376812,0.0231023102310231,0.018518518518518517,0.005780346820809248,0.004405286343612335,0.006413418845584608,0.01611459265890779,0.004782781984854523,0.0,0.023340627279358133,0.026362038664323375,0.006165228113440197,0.004975124378109453,0.011111111111111112,0.014908256880733946,0.009041591320072333,0.0011534025374855825,0.035398230088495575
-9,0.00541573749601784,0.0029717682020802376,0.009933774834437087,0.0027137042062415195,0.008828996282527882,0.011993458113756133,0.011647254575707155,0.013374485596707819,0.02158273381294964,0.004327563249001331,0.011142061281337047,0.0296875,0.01384083044982699,0.0021413276231263384,0.023646873357856018,0.005494505494505495,0.0,0.0,0.0061068702290076335,0.018867924528301886,0.00333889816360601,0.015968063872255488,0.007313505607020965,0.007667031763417305,0.0035971223021582736,0.009717314487632508,0.004355400696864111,0.0029940119760479044,0.01963439404197698,0.03018867924528302,0.00663075010360547,0.004923076923076923,0.0,0.015517241379310345,0.010535070695869144,0.004750593824228029,0.0
-8,0.0025136154168412233,0.002012882447665056,0.0038461538461538464,0.0035149384885764497,0.006313131313131313,0.012536873156342183,0.008879023307436182,0.02119205298013245,0.022598870056497175,0.008027038445289396,0.007001166861143524,0.01818181818181818,0.020126509488211614,0.008571428571428572,0.018422991893883568,0.0136986301369863,0.004056795131845842,0.009259259259259259,0.005077658303464755,0.022727272727272728,0.014675052410901468,0.017857142857142856,0.0045016077170418,0.005738880918220947,0.006715916722632639,0.012224938875305624,0.004283965728274173,0.006734006734006734,0.0234375,0.0425531914893617,0.00767867690490254,0.0037433155080213902,0.0,0.00804093567251462,0.01368791552600704,0.001447178002894356,0.0
-7,0.004640371229698376,0.002188183807439825,0.003125,0.0038461538461538464,0.00881316098707403,0.010300429184549357,0.010316529894490035,0.022508038585209004,0.032520325203252036,0.007182761372705506,0.008888888888888889,0.025362318840579712,0.01340033500837521,0.0026246719160104987,0.025676613462873005,0.015355086372360844,0.0,0.003745318352059925,0.006057413747695549,0.023255813953488372,0.017892644135188866,0.007751937984496124,0.006656101426307449,0.014725568942436412,0.004700352526439483,0.010309278350515464,0.0037194473963868225,0.007547169811320755,0.017953321364452424,0.04481792717086835,0.003857280617164899,0.004638414505587181,0.0,0.009409751924721984,0.007899628252788104,0.0014619883040935672,0.023529411764705882
-6,0.004700720777185835,0.0027956388034665923,0.002976190476190476,0.004610065309258548,0.00973338975878121,0.014206514206514207,0.009292622795372654,0.017857142857142856,0.025145067698259187,0.008374689826302729,0.00846740050804403,0.014666666666666666,0.016851227732306212,0.00631578947368421,0.023629964806435394,0.0128,0.0,0.008982035928143712,0.006791520889071825,0.024691358024691357,0.01989389920424403,0.004140786749482402,0.0056457304163726185,0.013321492007104795,0.005188679245283019,0.009540329575021683,0.005443234836702955,0.008450704225352112,0.018417462482946793,0.027229044313934865,0.006305637982195846,0.00577408877661494,0.0,0.009636767976278725,0.009319181982914834,0.00437636761487965,0.01680672268907563
-5,0.007359705611775529,0.0022038567493112946,0.005952380952380952,0.00282258064516129,0.0072992700729927005,0.01086569291058069,0.009869045359650788,0.013736263736263736,0.02610441767068273,0.007534659433393611,0.00827966881324747,0.009138381201044387,0.019425675675675675,0.004319654427645789,0.024065540194572452,0.007936507936507936,0.0038684719535783366,0.0027624309392265192,0.005388414907947912,0.043478260869565216,0.015406162464985995,0.009784735812133072,0.0070861069357955764,0.004789272030651341,0.005747126436781609,0.008704061895551257,0.004098360655737705,0.009828009828009828,0.03418803418803419,0.024301336573511544,0.005120126033871603,0.0063787133223983964,0.0,0.010830324909747292,0.011140712036812788,0.0023612750885478157,0.014598540145985401
-4,0.0042722001830942935,0.0020455873758036236,0.0,0.005156854318865492,0.009325044404973356,0.012860618700034758,0.00870253164556962,0.017759562841530054,0.03233256351039261,0.00718525460793502,0.00816326530612245,0.014986376021798364,0.016517857142857143,0.0136986301369863,0.019507186858316223,0.01384083044982699,0.0,0.0,0.008999181892555223,0.03529411764705882,0.016176470588235296,0.005434782608695652,0.005392731535756155,0.006166495375128468,0.007611798287345386,0.007640878701050621,0.00422102839600921,0.008403361344537815,0.021897810218978103,0.031323877068557916,0.006794055201698514,0.005779269202087994,0.0,0.013528138528138528,0.010010537407797681,0.002244668911335578,0.014814814814814815
-3,0.005674232309746329,0.0015342129487572874,0.0,0.007735281478298238,0.005345211581291759,0.009823647768966742,0.010506408909434755,0.014684287812041116,0.028720626631853787,0.006421088205474822,0.004656577415599534,0.011378002528445006,0.011031175059952039,0.005115089514066497,0.02337228714524207,0.012903225806451613,0.009404388714733543,0.0,0.010472770795930581,0.0,0.0167427701674277,0.017241379310344827,0.005722460658082976,0.008442776735459663,0.00467047223663726,0.008490566037735849,0.005505308690523005,0.008746355685131196,0.01971830985915493,0.025161290322580646,0.0047230571060541005,0.005086661642803316,0.0,0.01638418079096045,0.010986136541982735,0.0022497187851518562,0.01652892561983471
-2,0.005661005661005661,0.002018842530282638,0.006211180124223602,0.0009345794392523365,0.0057251908396946565,0.011802360472094419,0.0096051227321238,0.01664145234493192,0.027848101265822784,0.007089684509039348,0.0022988505747126436,0.0057306590257879654,0.01624815361890694,0.015197568389057751,0.02054794520547945,0.012867647058823529,0.001736111111111111,0.0,0.006521030322791001,0.0,0.01487603305785124,0.013671875,0.006220452848967405,0.004634994206257242,0.009766684753119913,0.0045871559633027525,0.00432050274941084,0.006557377049180328,0.029850746268656716,0.02490170380078637,0.005032021957913998,0.004683363877010792,0.0,0.02177751618599176,0.010655737704918032,0.0,0.05454545454545454
-1,0.0035714285714285713,0.001954397394136808,0.003436426116838488,0.004201680672268907,0.008130081300813009,0.011046511627906977,0.01009405827024547,0.007451564828614009,0.02743142144638404,0.0113555713271824,0.0063371356147021544,0.01661631419939577,0.012133468149646108,0.014527845036319613,0.026830631637786474,0.010101010101010102,0.0018484288354898336,0.0,0.009771986970684038,0.04081632653061224,0.02356902356902357,0.013071895424836602,0.005099439061703213,0.004866180048661801,0.004514672686230248,0.011061946902654867,0.005642885933091495,0.01910828025477707,0.020380434782608696,0.018108651911468814,0.008659981768459436,0.006622516556291391,0.0,0.014145141451414513,0.012222222222222223,0.006329113924050633,0.00980392156862745
