cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.04007884362680683,0.032756489493201486,0.07894736842105263,0.03129131776112825,0.01854364540931705,0.04023500089015489,0.02603082049146189,0.04,0.041463414634146344,0.046104360257326664,0.025961538461538463,0.038821954484605084,0.02421098140942499,0.040106951871657755,0.05811277330264672,0.04521739130434783,0.016260162601626018,0.06191950464396285,0.03509145044661846,0.015873015873015872,0.02666666666666667,0.03950617283950617,0.03240583644384119,0.030949839914621132,0.05977229601518026,0.03792415169660679,0.01201923076923077,0.026845637583892617,0.04388489208633094,0.13234253361641896,0.025610244097639057,0.030685161832702815,0.10638297872340426,0.037342119714442616,0.012111801242236025,0.043528064146620846,0.031914893617021274
-11,0.04799494790022103,0.0338389731621937,0.05351170568561873,0.03170629954109303,0.02078626299141437,0.04425093300159943,0.02345124096150088,0.028836251287332648,0.02262443438914027,0.03876232573954437,0.03274087932647334,0.03650586701434159,0.024132091447925486,0.03694581280788178,0.05201698513800425,0.05782312925170068,0.020224719101123594,0.03735632183908046,0.033950617283950615,0.08433734939759036,0.017777777777777778,0.09327548806941431,0.029523088569265707,0.0200845665961945,0.05090390104662226,0.049689440993788817,0.015625,0.04046242774566474,0.033380681818181816,0.11363636363636363,0.023447141094199916,0.03127490039840637,0.07142857142857142,0.027777777777777776,0.014775413711583925,0.05627198124267292,0.0196078431372549
-10,0.04251144538914323,0.031204854088413753,0.08385093167701864,0.03367003367003367,0.010560146923783287,0.03478904515173945,0.027179594396822077,0.03232323232323232,0.04100227790432802,0.04364949130292091,0.028128031037827354,0.025974025974025976,0.02631578947368421,0.02689486552567237,0.04706504494976203,0.048859934853420196,0.025295109612141653,0.04666666666666667,0.028029322984044848,0.043478260869565216,0.033003300330033,0.10416666666666667,0.03398843930635838,0.02092511013215859,0.04045387271830291,0.048343777976723366,0.01634117178158629,0.014792899408284023,0.03282275711159737,0.1265377855887522,0.027538018906699546,0.03539992345962495,0.03333333333333333,0.03669724770642202,0.013863773357444244,0.04498269896193772,0.05309734513274336
-9,0.03950302644154189,0.025854383358098067,0.06622516556291391,0.03889642695612845,0.010687732342007435,0.038342722151553696,0.02558236272878536,0.037037037037037035,0.06235011990407674,0.03994673768308921,0.033426183844011144,0.0265625,0.02162629757785467,0.055674518201284794,0.05675249605885444,0.05128205128205128,0.02079722703639515,0.0572289156626506,0.03576881134133043,0.03773584905660377,0.03672787979966611,0.05588822355289421,0.03339834227206241,0.03066812705366922,0.05806783144912641,0.04946996466431095,0.013066202090592335,0.029940119760479042,0.03656059580230196,0.1459119496855346,0.02818068794032325,0.035487179487179485,0.07246376811594203,0.0339080459770115,0.017466038258940948,0.047505938242280284,0.08181818181818182
-8,0.04021784666945957,0.027375201288244767,0.08846153846153847,0.03866432337434095,0.010732323232323232,0.03220255653883972,0.018035516093229745,0.02781456953642384,0.0480225988700565,0.030418250950570342,0.03150525087514586,0.012121212121212121,0.020701552616446232,0.03142857142857143,0.050110537951363304,0.02968036529680365,0.012170385395537525,0.037037037037037035,0.03016726403823178,0.06818181818181818,0.03773584905660377,0.06547619047619048,0.028938906752411574,0.020086083213773313,0.05104096709200806,0.029339853300733496,0.012851897184822521,0.026936026936026935,0.046875,0.13584288052373159,0.02362669816893089,0.031283422459893045,0.06557377049180328,0.029239766081871343,0.016816581931951506,0.05209840810419682,0.0449438202247191
-7,0.042923433874709975,0.03172866520787746,0.103125,0.03798076923076923,0.018213866039952998,0.038841201716738195,0.02391559202813599,0.03376205787781351,0.051490514905149054,0.04309656823623304,0.02666666666666667,0.025362318840579712,0.02568397543271915,0.028871391076115485,0.04302567661346287,0.04030710172744722,0.01152073732718894,0.04119850187265917,0.037134579931524886,0.046511627906976744,0.02584493041749503,0.09819121447028424,0.03232963549920761,0.025435073627844713,0.058166862514688604,0.056128293241695305,0.011689691817215728,0.033962264150943396,0.03680430879712747,0.1400560224089636,0.03230472516875603,0.0320472274931478,0.012658227848101266,0.030795551753635585,0.019516728624535316,0.04532163742690058,0.03529411764705882
-6,0.042306486994672515,0.02795638803466592,0.07142857142857142,0.03880138301959278,0.01396529834955565,0.04435204435204435,0.022947088943675326,0.03708791208791209,0.058027079303675046,0.03784119106699752,0.04233700254022015,0.021333333333333333,0.02262879152623977,0.035789473684210524,0.06033182503770739,0.0384,0.021638330757341576,0.05389221556886228,0.030870549495781024,0.12345679012345678,0.022546419098143235,0.07453416149068323,0.030345800988002825,0.03108348134991119,0.05188679245283019,0.04336513443191674,0.01088646967340591,0.01971830985915493,0.03615279672578445,0.11265349706353443,0.024851632047477746,0.035185853482497295,0.009615384615384616,0.04002965159377316,0.02640434895159203,0.05470459518599562,0.08403361344537816
-5,0.04017172646427476,0.02672176308539945,0.07142857142857142,0.04596774193548387,0.01662611516626115,0.03794086213038832,0.023723666729929777,0.034340659340659344,0.06224899598393574,0.037371910789632305,0.03035878564857406,0.03263707571801567,0.02153716216216216,0.04535637149028078,0.05632360471070148,0.05714285714285714,0.025145067698259187,0.027624309392265192,0.032555006735518636,0.14492753623188406,0.023809523809523808,0.05675146771037182,0.033068499033712694,0.02490421455938697,0.04837164750957854,0.04061895551257253,0.010804769001490314,0.019656019656019656,0.03353057199211045,0.1445929526123937,0.026388341866876722,0.03444505194095134,0.0,0.0407426508509541,0.03511746185517074,0.05076741440377804,0.051094890510948905
-4,0.039975587427525175,0.022793687901811806,0.07903780068728522,0.04383326171035668,0.021314387211367674,0.040145985401459854,0.023140822784810125,0.045081967213114756,0.057736720554272515,0.03905029678225554,0.019387755102040816,0.027247956403269755,0.022767857142857142,0.02511415525114155,0.047741273100616016,0.05363321799307959,0.01078167115902965,0.01440922190201729,0.03926915734933188,0.047058823529411764,0.039705882352941174,0.09057971014492754,0.03962485345838218,0.03391572456320658,0.05090390104662226,0.03724928366762178,0.014965464313123561,0.011204481792717087,0.0411413404114134,0.1347517730496454,0.024203821656050957,0.037285607755406416,0.0,0.036255411255411256,0.030821917808219176,0.04489337822671156,0.037037037037037035
-3,0.037383177570093455,0.024854249769868057,0.053003533568904596,0.041684572410829394,0.020489977728285078,0.027932299680435556,0.025635637739020802,0.03524229074889868,0.06788511749347259,0.03548496113551876,0.025611175785797437,0.02781289506953224,0.02014388489208633,0.02557544757033248,0.053978853644963826,0.04516129032258064,0.02821316614420063,0.008695652173913044,0.0409934171154997,0.046511627906976744,0.0350076103500761,0.09003831417624521,0.0340963280877444,0.028142589118198873,0.0508562532433835,0.03773584905660377,0.009830908375933936,0.023323615160349854,0.03380281690140845,0.1367741935483871,0.0249033920137398,0.03824415975885456,0.0,0.03559322033898305,0.034004708344232276,0.049493813273340834,0.06611570247933884
