cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.0009855453350854138,0.0006180469715698393,0.009868421052631578,0.004847950639048039,0.004975124378109453,0.002670464660850988,0.004373177842565598,0.010476190476190476,0.012195121951219513,0.008577555396711936,0.0038461538461538464,0.0013386880856760374,0.0008646779074794639,0.0106951871657754,0.009205983889528193,0.008695652173913044,0.01016260162601626,0.04024767801857585,0.011909825606125054,0.047619047619047616,0.0,0.0,0.006277570410587038,0.0096051227321238,0.006641366223908918,0.0029940119760479044,0.008012820512820512,0.0,0.0028776978417266188,0.024062278839348902,0.010004001600640256,0.008406893652795292,0.0,0.028555738605161998,0.011801242236024845,0.014891179839633447,0.031914893617021274
-11,0.0022102936532996525,0.0008751458576429405,0.0033444816053511705,0.005423445974134335,0.006778129236330773,0.001954860494046561,0.0037131131522376393,0.012358393408856848,0.013574660633484163,0.005440326419585175,0.005612722170252572,0.002607561929595828,0.002540220152413209,0.009852216748768473,0.004246284501061571,0.008503401360544218,0.006741573033707865,0.017241379310344827,0.012125220458553791,0.0,0.0014814814814814814,0.0,0.0047943477163764825,0.008456659619450317,0.009039010466222646,0.004140786749482402,0.009908536585365854,0.005780346820809248,0.002840909090909091,0.029411764705882353,0.009461127108185932,0.005577689243027889,0.01020408163265306,0.04081632653061224,0.012115839243498818,0.005861664712778429,0.08823529411764706
-10,0.0009810333551340746,0.0005778676683039584,0.018633540372670808,0.008417508417508417,0.005968778696051423,0.0024056254626202813,0.003972402257997073,0.013131313131313131,0.00683371298405467,0.007876599934361668,0.0019398642095053346,0.001443001443001443,0.0009074410163339383,0.012224938875305624,0.007403490216816499,0.006514657980456026,0.0016863406408094434,0.016666666666666666,0.01207416990081932,0.014492753623188406,0.0,0.0,0.007167630057803468,0.0011013215859030838,0.012826837691169216,0.004476275738585497,0.010362694300518135,0.011834319526627219,0.00437636761487965,0.02460456942003515,0.009042334566378957,0.004783773440489858,0.0,0.02522935779816514,0.0108499095840868,0.010380622837370242,0.008849557522123894
-9,0.0006371455877668047,0.00029717682020802375,0.009933774834437087,0.004522840343735866,0.0032527881040892194,0.002362347810285299,0.0029118136439267887,0.012345679012345678,0.007194244604316547,0.008322237017310254,0.002785515320334262,0.003125,0.0025951557093425604,0.006423982869379015,0.009984235417761429,0.007326007326007326,0.0017331022530329288,0.02108433734939759,0.010032715376226827,0.0,0.0,0.001996007984031936,0.008044856167723062,0.008762322015334063,0.009763617677286743,0.007067137809187279,0.012630662020905924,0.0,0.0006770480704129993,0.025157232704402517,0.012018234562784915,0.006153846153846154,0.014492753623188406,0.045402298850574715,0.011644025505960632,0.0059382422802850355,0.01818181818181818
-8,0.0008378718056137411,0.0012077294685990338,0.0,0.0046865846514352666,0.008207070707070708,0.0019665683382497543,0.00388457269700333,0.005298013245033113,0.00847457627118644,0.005914659907055344,0.004667444574095682,0.0,0.0017251293847038527,0.014285714285714285,0.0058953574060427415,0.00684931506849315,0.006085192697768763,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.008681672025723473,0.005738880918220947,0.008059100067159167,0.0012224938875305623,0.016523867809057527,0.003367003367003367,0.00390625,0.014729950900163666,0.011813349084465446,0.0042780748663101605,0.03278688524590164,0.007309941520467836,0.010950332420805632,0.011577424023154847,0.011235955056179775
-7,0.0,0.002188183807439825,0.00625,0.0014423076923076924,0.002937720329024677,0.0015021459227467812,0.00492379835873388,0.00964630225080386,0.01084010840108401,0.00558659217877095,0.0011111111111111111,0.0018115942028985507,0.0,0.015748031496062992,0.004163775156141568,0.007677543186180422,0.004608294930875576,0.003745318352059925,0.010797998419805109,0.023255813953488372,0.0,0.002583979328165375,0.007290015847860539,0.008032128514056224,0.007050528789659225,0.004581901489117984,0.009564293304994687,0.0,0.0026929982046678637,0.02100840336134454,0.012054001928640309,0.005481762597512123,0.0,0.0051325919589392645,0.010223048327137546,0.0029239766081871343,0.011764705882352941
-6,0.000940144155437167,0.0002795638803466592,0.01488095238095238,0.006530925854782943,0.006771053745239103,0.002945252945252945,0.003603261900246539,0.012362637362637362,0.01160541586073501,0.00620347394540943,0.003386960203217612,0.0026666666666666666,0.00048146364949446316,0.00631578947368421,0.004022121669180492,0.0048,0.010819165378670788,0.008982035928143712,0.009261164848734307,0.0,0.0,0.002070393374741201,0.005880969183721477,0.008880994671403197,0.013679245283018868,0.004336513443191674,0.012052877138413685,0.005633802816901409,0.002728512960436562,0.013881473571809931,0.010014836795252226,0.006676290147961025,0.0,0.02223869532987398,0.009319181982914834,0.00437636761487965,0.03361344537815126
-5,0.0009199632014719411,0.0005509641873278236,0.005952380952380952,0.004435483870967742,0.0040551500405515,0.004453152832205202,0.004365154678307079,0.012362637362637362,0.010040160642570281,0.006027727546714889,0.004599816007359705,0.0026109660574412533,0.001266891891891892,0.0064794816414686825,0.010240655401945725,0.009523809523809525,0.0,0.016574585635359115,0.007633587786259542,0.0,0.0,0.0019569471624266144,0.008803951041442989,0.011494252873563218,0.012452107279693486,0.0029013539651837525,0.011922503725782414,0.007371007371007371,0.0039447731755424065,0.0212636695018226,0.012209531311539977,0.005285219609987243,0.0,0.022692109334708613,0.011382901428917413,0.0070838252656434475,0.0
-4,0.0021361000915471468,0.0002922267679719462,0.006872852233676976,0.00558659217877095,0.007104795737122558,0.0033020507473062216,0.0025712025316455694,0.006830601092896175,0.004618937644341801,0.00937207122774133,0.0020408163265306124,0.004087193460490463,0.002232142857142857,0.00684931506849315,0.007186858316221766,0.012110726643598616,0.005390835579514825,0.011527377521613832,0.006272157076629398,0.011764705882352941,0.0014705882352941176,0.0018115942028985507,0.008440797186400938,0.0041109969167523125,0.009990485252140819,0.0066857688634192934,0.008825786646201074,0.0028011204481792717,0.0026542800265428003,0.014775413711583925,0.01613588110403397,0.004287844891871738,0.0,0.030844155844155844,0.010800842992623814,0.013468013468013467,0.007407407407407408
-3,0.002336448598130841,0.0003068425897514575,0.007067137809187279,0.0030081650193382035,0.008017817371937639,0.003077287252929341,0.002521538138264341,0.004405286343612335,0.010443864229765013,0.00777289624873268,0.0011641443538998836,0.0037926675094816687,0.0009592326139088729,0.010230179028132993,0.008347245409015025,0.012903225806451613,0.003134796238244514,0.008695652173913044,0.008677438659485339,0.0,0.0,0.0,0.005484024797329518,0.001876172607879925,0.011935651271406332,0.008490566037735849,0.006685017695635077,0.0029154518950437317,0.0035211267605633804,0.023225806451612905,0.012022327179046801,0.006970610399397136,0.0,0.02655367231638418,0.012555584619408842,0.01124859392575928,0.01652892561983471
-2,0.001998001998001998,0.0016823687752355316,0.009316770186335404,0.004672897196261682,0.00715648854961832,0.0030006001200240046,0.00448239060832444,0.009077155824508321,0.007594936708860759,0.010634526763559022,0.0022988505747126436,0.0057306590257879654,0.002461841457410143,0.0121580547112462,0.006278538812785388,0.007352941176470588,0.005208333333333333,0.0,0.009129442451907402,0.0,0.0,0.005859375,0.005473998507091316,0.0011587485515643105,0.012479652740097666,0.011467889908256881,0.01021209740769835,0.006557377049180328,0.004975124378109453,0.022935779816513763,0.011893870082342177,0.004072490327835471,0.0,0.04414361389052384,0.014754098360655738,0.009696969696969697,0.03636363636363636
-1,0.0010714285714285715,0.0003257328990228013,0.010309278350515464,0.004201680672268907,0.0052606408417025345,0.0015503875968992248,0.0034411562284927736,0.005961251862891207,0.00997506234413965,0.007452093683463449,0.0012674271229404308,0.0015105740181268882,0.0020222446916076846,0.009685230024213076,0.0072666294019005035,0.008417508417508417,0.009242144177449169,0.0,0.009048136083966703,0.0,0.0016835016835016834,0.0,0.00407955124936257,0.0072992700729927005,0.009593679458239277,0.008849557522123894,0.009673518742442563,0.006369426751592357,0.001358695652173913,0.025486250838363516,0.010483135824977211,0.005380794701986755,0.0,0.038130381303813035,0.011111111111111112,0.008860759493670886,0.058823529411764705
0,0.002587800369685767,0.001038781163434903,0.01597444089456869,0.0038927335640138406,0.006238859180035651,0.0023688663282571912,0.0029985007496251873,0.0044444444444444444,0.004640371229698376,0.01020780167699599,0.0024330900243309003,0.004658385093167702,0.0009876543209876543,0.011204481792717087,0.0035608308605341245,0.007736943907156673,0.0,0.013368983957219251,0.00897554936552151,0.015384615384615385,0.0,0.0048543689320388345,0.00817184216670558,0.0031088082901554403,0.012972972972972972,0.0036275695284159614,0.016786570743405275,0.0030959752321981426,0.0027991602519244225,0.023901808785529714,0.01429230059935454,0.006438631790744467,0.0,0.05081194342587742,0.010921683537559936,0.0035460992907801418,0.011904761904761904
1,0.0006587615283267457,0.0002969121140142518,0.008746355685131196,0.003420265070542967,0.007699275362318841,0.0016871941960519656,0.002992220227408737,0.007751937984496124,0.00881057268722467,0.006761107533805538,0.005040322580645161,0.006313131313131313,0.0013026487190620929,0.004201680672268907,0.006417112299465241,0.006220839813374806,0.001610305958132045,0.011834319526627219,0.007226980728051392,0.0,0.0,0.004459308807134894,0.005979760809567618,0.004757373929590866,0.01101206082852648,0.004214963119072708,0.008357558139534883,0.009836065573770493,0.005211726384364821,0.027414330218068536,0.01076158940397351,0.00646900269541779,0.013888888888888888,0.04321608040201005,0.01244490536686544,0.005773672055427252,0.0
