cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.025295663600525625,0.011433868974042027,0.019736842105263157,0.043190832966064345,0.016734509271822705,0.02884101833719067,0.021032902957101206,0.05142857142857143,0.03170731707317073,0.03252323087919943,0.028846153846153848,0.014725568942436412,0.03458711629917856,0.034759358288770054,0.03682393555811277,0.04,0.02032520325203252,0.030959752321981424,0.05104210974053594,0.015873015873015872,0.045,0.03950617283950617,0.058025110281642346,0.07150480256136606,0.033681214421252374,0.031936127744510975,0.060897435897435896,0.020134228187919462,0.02877697841726619,0.04104741684359519,0.03841536614645858,0.024800336275746113,0.031914893617021274,0.03185063152114223,0.08478260869565217,0.029782359679266894,0.010638297872340425
-11,0.024628986422481843,0.009918319719953326,0.06688963210702341,0.0425531914893617,0.02394938996836873,0.02932290741069842,0.01680672268907563,0.05973223480947477,0.01809954751131222,0.03808228493709623,0.03835360149672591,0.018252933507170794,0.03259949195596952,0.05665024630541872,0.03821656050955414,0.03741496598639456,0.03146067415730337,0.031609195402298854,0.053130511463844794,0.012048192771084338,0.04296296296296296,0.03253796095444685,0.0698965430229624,0.052854122621564484,0.030447193149381543,0.035196687370600416,0.04916158536585366,0.02023121387283237,0.03480113636363636,0.03542780748663102,0.04113533525298231,0.02888446215139442,0.02040816326530612,0.02891156462585034,0.08540189125295508,0.032825322391559206,0.029411764705882353
-10,0.034009156311314584,0.012135221034383126,0.049689440993788817,0.04924242424242424,0.018365472910927456,0.03312361213915618,0.017144051850303158,0.03333333333333333,0.015945330296127564,0.04200853298326222,0.0446168768186227,0.01443001443001443,0.028584392014519056,0.05623471882640587,0.0449497620306716,0.03745928338762215,0.016863406408094434,0.02,0.04764984907287624,0.028985507246376812,0.041254125412541254,0.037037037037037035,0.06335260115606936,0.05616740088105727,0.02960039467192896,0.02685765443151298,0.05779194898365883,0.01775147928994083,0.03792851932895697,0.043936731107205626,0.04521167283189478,0.025449674703406047,0.03333333333333333,0.02408256880733945,0.10006027727546715,0.03460207612456748,0.017699115044247787
-9,0.023255813953488372,0.01188707280832095,0.04304635761589404,0.04341926729986431,0.015799256505576207,0.02907504997274214,0.02100665557404326,0.03292181069958848,0.026378896882494004,0.038282290279627165,0.025069637883008356,0.025,0.028114186851211073,0.042826552462526764,0.047293746715712036,0.03296703296703297,0.02772963604852686,0.018072289156626505,0.046019629225736096,0.018867924528301886,0.05008347245409015,0.033932135728542916,0.05948317893710385,0.05585980284775466,0.03134635149023638,0.027385159010600707,0.05966898954703833,0.005988023952095809,0.02911306702775897,0.06415094339622641,0.048901782014090345,0.025846153846153845,0.07246376811594203,0.027011494252873563,0.0798447463265872,0.0344418052256532,0.00909090909090909
-8,0.028487641390867197,0.011674718196457327,0.03461538461538462,0.04452255418863503,0.022727272727272728,0.029252704031465092,0.01609322974472808,0.046357615894039736,0.01694915254237288,0.03886776510350655,0.028004667444574097,0.01818181818181818,0.03565267395054629,0.025714285714285714,0.03537214443625645,0.045662100456621,0.016227180527383367,0.018518518518518517,0.047491039426523295,0.0,0.06289308176100629,0.03869047619047619,0.05466237942122187,0.06169296987087518,0.03290799194089993,0.04156479217603912,0.05936352509179926,0.016835016835016835,0.021484375,0.058919803600654665,0.04311872415829888,0.023262032085561497,0.01639344262295082,0.019005847953216373,0.08799374266718811,0.030390738060781478,0.033707865168539325
-7,0.03248259860788863,0.014223194748358862,0.053125,0.052884615384615384,0.01762632197414806,0.034334763948497854,0.014771395076201642,0.05627009646302251,0.037940379403794036,0.04309656823623304,0.035555555555555556,0.018115942028985508,0.03685092127303183,0.047244094488188976,0.048577376821651634,0.036468330134357005,0.016129032258064516,0.02247191011235955,0.05741374769554912,0.0,0.03777335984095427,0.025839793281653745,0.06656101426307448,0.050870147255689425,0.03701527614571093,0.037800687285223365,0.05791710945802338,0.01509433962264151,0.03411131059245961,0.05042016806722689,0.05303760848601736,0.024667931688804556,0.0379746835443038,0.023952095808383235,0.0803903345724907,0.03070175438596491,0.011764705882352941
-6,0.035725477906612346,0.012021246854906346,0.06547619047619048,0.04533230887437572,0.02031316123571731,0.03187803187803188,0.018774890953916178,0.05631868131868132,0.02127659574468085,0.03753101736972705,0.0279424216765453,0.024,0.03803562831006259,0.02526315789473684,0.04524886877828054,0.0432,0.012364760432766615,0.014970059880239521,0.05597859641901626,0.0,0.04376657824933687,0.037267080745341616,0.06586685485768054,0.0674955595026643,0.03773584905660377,0.040763226366001735,0.06570762052877138,0.01971830985915493,0.03547066848567531,0.05178857447944474,0.05118694362017804,0.03428365211115121,0.019230769230769232,0.023721275018532245,0.09707481232202951,0.0350109409190372,0.008403361344537815
-5,0.027292241643667586,0.014049586776859505,0.050595238095238096,0.045564516129032256,0.023114355231143552,0.0354470965443534,0.01727082937938888,0.042582417582417584,0.02610441767068273,0.03676913803496082,0.035878564857405704,0.022193211488250653,0.0316722972972973,0.0367170626349892,0.04864311315924219,0.044444444444444446,0.0367504835589942,0.019337016574585635,0.04400538841490795,0.057971014492753624,0.05322128851540616,0.025440313111545987,0.0631307708825424,0.06896551724137931,0.036877394636015325,0.033849129593810444,0.05961251862891207,0.0171990171990172,0.040105193951347796,0.061968408262454436,0.048050413548641195,0.03809003098232185,0.018691588785046728,0.02784940691077875,0.07653184790506176,0.02715466351829988,0.014598540145985401
-4,0.026853829722306988,0.010520163646990065,0.041237113402061855,0.04555221314997851,0.02664298401420959,0.03336809176225235,0.014240506329113924,0.045081967213114756,0.025404157043879907,0.03905029678225554,0.0336734693877551,0.017711171662125342,0.03169642857142857,0.0319634703196347,0.059548254620123205,0.031141868512110725,0.03234501347708895,0.02881844380403458,0.05644941368966458,0.011764705882352941,0.051470588235294115,0.036231884057971016,0.06260257913247362,0.06885919835560124,0.03758325404376784,0.027698185291308502,0.0748273215656178,0.014005602240896359,0.038487060384870604,0.05260047281323877,0.044585987261146494,0.0395227442207308,0.022988505747126436,0.03409090909090909,0.09062170706006323,0.03591470258136925,0.014814814814814815
-3,0.028037383177570093,0.015035286897821418,0.04946996466431095,0.047271164589600345,0.020489977728285078,0.021422653568469643,0.014498844295019962,0.042584434654919234,0.028720626631853787,0.039202433254477864,0.03841676367869616,0.021491782553729456,0.03836930455635491,0.04603580562659847,0.037840845854201444,0.04032258064516129,0.023510971786833857,0.008695652173913044,0.05864751645721125,0.023255813953488372,0.0532724505327245,0.04789272030651341,0.06604673342870768,0.06941838649155722,0.038401660612350806,0.03018867924528302,0.06763664962642549,0.008746355685131196,0.036619718309859155,0.06193548387096774,0.043366251610133105,0.03541823662396383,0.0,0.04124293785310734,0.07690295579387915,0.0281214848143982,0.024793388429752067
