cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.13370565045992117,0.1288627935723115,0.1611842105263158,0.11679153812252094,0.19131614654002713,0.11928075485134414,0.17284464806330696,0.16,0.07317073170731707,0.1043602573266619,0.2403846153846154,0.17670682730923695,0.12148724600086468,0.14171122994652408,0.10529344073647871,0.12173913043478261,0.034552845528455285,0.14551083591331268,0.169715014887282,0.06349206349206349,0.1,0.06666666666666667,0.1350525958601968,0.10992529348986126,0.13377609108159394,0.07584830339321358,0.18990384615384615,0.17785234899328858,0.16258992805755396,0.1387119603680113,0.15086034413765506,0.06305170239596469,0.010638297872340425,0.11367380560131796,0.1701863354037267,0.23482245131729668,0.11702127659574468
-11,0.13167035048942216,0.12252042007001167,0.14381270903010032,0.1084689194826867,0.18210573881608677,0.11284876488359695,0.17393003713113153,0.17301750772399588,0.083710407239819,0.12784767086025162,0.21983161833489243,0.18383311603650587,0.1126164267569856,0.14285714285714285,0.1045647558386412,0.1360544217687075,0.056179775280898875,0.13793103448275862,0.16203703703703703,0.14457831325301204,0.08444444444444445,0.03253796095444685,0.11733535200605602,0.113107822410148,0.1603235014272122,0.09006211180124224,0.1951219512195122,0.16473988439306358,0.17045454545454544,0.1657754010695187,0.13615795968737146,0.06713147410358565,0.02040816326530612,0.1116780045351474,0.15484633569739953,0.23446658851113716,0.19607843137254902
-10,0.13570961412688032,0.11846287200231147,0.18633540372670807,0.10016835016835017,0.17722681359044995,0.10566247224278312,0.17896717541292076,0.18686868686868688,0.08656036446469248,0.12504102395799147,0.2405431619786615,0.18181818181818182,0.12341197822141561,0.15403422982885084,0.10735060814383923,0.1270358306188925,0.05902192242833052,0.13666666666666666,0.15222078482104356,0.17391304347826086,0.10066006600660066,0.04398148148148148,0.11028901734104046,0.11674008810572688,0.14109521460286137,0.08415398388540735,0.19330410522120367,0.22781065088757396,0.16703136396790663,0.1704745166959578,0.1364570489108097,0.05721393034825871,0.011111111111111112,0.12672018348623854,0.162748643761302,0.23875432525951557,0.1415929203539823
-9,0.14049060210258044,0.13164933135215454,0.1423841059602649,0.10945273631840796,0.17983271375464685,0.10685080864982736,0.17699667221297838,0.16049382716049382,0.05755395683453238,0.1118508655126498,0.2200557103064067,0.18125,0.1245674740484429,0.14132762312633834,0.10614818707304256,0.12087912087912088,0.04852686308492201,0.14156626506024098,0.15856052344601962,0.09433962264150944,0.10684474123539232,0.03792415169660679,0.11457825450999512,0.12814895947426067,0.1397738951695786,0.0715547703180212,0.1951219512195122,0.18562874251497005,0.16384563303994584,0.15471698113207547,0.1475341898052217,0.06174358974358975,0.0,0.0925287356321839,0.14915442195730524,0.2529691211401425,0.18181818181818182
-8,0.13322161709258484,0.1215780998389694,0.16538461538461538,0.09314586994727592,0.19381313131313133,0.10029498525073746,0.17203107658157601,0.17086092715231788,0.0480225988700565,0.11237853823405154,0.17969661610268378,0.18181818181818182,0.11500862564692352,0.12571428571428572,0.11643330876934414,0.10730593607305935,0.05476673427991886,0.125,0.15471923536439666,0.18181818181818182,0.11530398322851153,0.020833333333333332,0.11093247588424437,0.10043041606886657,0.11954331766286098,0.07579462102689487,0.18298653610771115,0.18855218855218855,0.1552734375,0.16530278232405893,0.12344949793266391,0.06871657754010695,0.01639344262295082,0.09137426900584796,0.13922565506452875,0.2590448625180897,0.16853932584269662
-7,0.12335653518948182,0.12107950401167031,0.1875,0.10240384615384615,0.17508813160987075,0.11888412017167382,0.18077373974208674,0.21221864951768488,0.07317073170731707,0.11372705506783719,0.18888888888888888,0.1793478260869565,0.13009491903964265,0.15223097112860892,0.11519777931991672,0.12092130518234165,0.06451612903225806,0.13108614232209737,0.145114564129576,0.16279069767441862,0.0874751491053678,0.03875968992248062,0.13724247226624406,0.09772423025435073,0.12925969447708577,0.07789232531500573,0.22369819341126462,0.19622641509433963,0.14542190305206462,0.15966386554621848,0.16055930568948892,0.05945604048070841,0.012658227848101266,0.12489307100085544,0.16728624535315986,0.26169590643274854,0.23529411764705882
-6,0.12535255405828893,0.12776069331842327,0.16964285714285715,0.12331924702266615,0.1840880236986881,0.1062023562023562,0.18964536317087047,0.21978021978021978,0.07156673114119923,0.1262406947890819,0.1964436917866215,0.204,0.11458834857968224,0.13052631578947368,0.11865258924082453,0.1408,0.04945904173106646,0.10179640718562874,0.1629965013377238,0.1111111111111111,0.08620689655172414,0.031055900621118012,0.12749941190308162,0.10657193605683836,0.14764150943396226,0.07285342584562012,0.22045101088646968,0.16619718309859155,0.1432469304229195,0.14575547250400428,0.13093471810089022,0.05972573078311079,0.009615384615384616,0.1430689399555226,0.15117784105617396,0.2275711159737418,0.11764705882352941
-5,0.13860778902177245,0.11818181818181818,0.17261904761904762,0.11088709677419355,0.1735604217356042,0.11115069469184183,0.17593471246915923,0.22252747252747251,0.0823293172690763,0.12055455093429777,0.17111315547378106,0.17493472584856398,0.12077702702702703,0.15550755939524838,0.11469534050179211,0.10952380952380952,0.048355899419729204,0.11878453038674033,0.1621014818140997,0.057971014492753624,0.09803921568627451,0.03913894324853229,0.12475842817264333,0.1053639846743295,0.13745210727969348,0.07543520309477757,0.20491803278688525,0.20393120393120392,0.14003944773175542,0.15735115431348723,0.1354864119732178,0.06961909969017678,0.0,0.13460546673543064,0.1586340518285299,0.256198347107438,0.15328467153284672
-4,0.1235886481537992,0.11104617182933957,0.16494845360824742,0.10571551353674259,0.18294849023090587,0.11661452902328814,0.17365506329113925,0.20765027322404372,0.06466512702078522,0.13152139956263667,0.1826530612244898,0.1907356948228883,0.13616071428571427,0.15296803652968036,0.10728952772073921,0.13494809688581316,0.09433962264150944,0.09221902017291066,0.18407417507499318,0.058823529411764705,0.09264705882352942,0.03804347826086957,0.1198124267291911,0.13052415210688592,0.13891531874405327,0.06781279847182425,0.19800460475825019,0.20448179271708683,0.1486396814863968,0.1743498817966903,0.1227176220806794,0.06319910514541387,0.0,0.13744588744588745,0.13487881981032665,0.20763187429854096,0.1111111111111111
-3,0.12349799732977303,0.11138386007977907,0.16607773851590105,0.12978083369144822,0.19599109131403117,0.07397325127233992,0.16663164530363522,0.23494860499265785,0.0783289817232376,0.12064886786076377,0.18044237485448195,0.16308470290771176,0.1237410071942446,0.1483375959079284,0.11908736783528102,0.11612903225806452,0.06896551724137931,0.06956521739130435,0.17624177139437464,0.06976744186046512,0.0882800608828006,0.032567049808429116,0.11468764902241298,0.08911819887429644,0.14063310845874416,0.06792452830188679,0.2080220212347621,0.16909620991253643,0.14929577464788732,0.16838709677419356,0.12065264061829112,0.06348907309721176,0.0,0.14632768361581922,0.1388961548522103,0.24634420697412823,0.15702479338842976
