cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.06044678055190539,0.02812113720642769,0.07236842105263158,0.08197443807844866,0.04613297150610583,0.05696991276482108,0.04081632653061224,0.07142857142857142,0.07317073170731707,0.11865618298784847,0.05961538461538462,0.018741633199464525,0.06355382619974059,0.0962566844919786,0.08285385500575373,0.07130434782608695,0.056910569105691054,0.058823529411764705,0.06507868991918332,0.015873015873015872,0.09166666666666666,0.06666666666666667,0.09365456396335256,0.10779082177161152,0.061195445920303605,0.06986027944111776,0.12139423076923077,0.04697986577181208,0.038129496402877695,0.11252653927813164,0.06202480992396959,0.06368221941992434,0.11702127659574468,0.05216913783635365,0.07950310559006211,0.053837342497136315,0.0425531914893617
-11,0.06251973476476161,0.030338389731621937,0.07692307692307693,0.08427200667501043,0.04654315408947131,0.06131153367691487,0.041235098690639044,0.08032955715756952,0.09276018099547512,0.10778646718803128,0.047708138447146865,0.03911342894393742,0.07281964436917866,0.08620689655172414,0.08333333333333333,0.07142857142857142,0.05393258426966292,0.05172413793103448,0.06128747795414462,0.024096385542168676,0.10518518518518519,0.0650759219088937,0.09058793843048196,0.10782241014799154,0.07373929590865842,0.06418219461697723,0.12195121951219512,0.028901734104046242,0.037642045454545456,0.09558823529411764,0.060057589469354175,0.06653386454183267,0.061224489795918366,0.053854875283446714,0.09604018912529551,0.05627198124267292,0.0196078431372549
-10,0.059516023544800525,0.030915920254261774,0.059006211180124224,0.07407407407407407,0.03994490358126722,0.06606217616580311,0.04014217018607569,0.06565656565656566,0.09339407744874716,0.1135543157203807,0.0533462657613967,0.025974025974025976,0.0866606170598911,0.09046454767726161,0.08725542041248018,0.06351791530944625,0.08263069139966273,0.03333333333333333,0.06166451056489866,0.028985507246376812,0.11221122112211221,0.07407407407407407,0.09641618497109826,0.11563876651982379,0.06808090774543661,0.05371530886302596,0.12036667995217218,0.038461538461538464,0.034281546316557256,0.10281195079086115,0.06987258528565557,0.06812093379257558,0.03333333333333333,0.04472477064220184,0.09041591320072333,0.04267589388696655,0.04424778761061947
-9,0.053838802166295,0.030906389301634474,0.03642384105960265,0.08819538670284939,0.04321561338289963,0.05851353807014356,0.03868552412645591,0.0823045267489712,0.10071942446043165,0.10885486018641811,0.0510677808727948,0.028125,0.07698961937716263,0.1006423982869379,0.1045717288491855,0.06593406593406594,0.060658578856152515,0.05120481927710843,0.0604143947655398,0.05660377358490566,0.11352253756260434,0.06387225548902195,0.08824963432471965,0.10952902519167579,0.0724563206577595,0.05565371024734982,0.1528745644599303,0.059880239520958084,0.034529451591062965,0.12955974842767295,0.07252382925818483,0.0637948717948718,0.028985507246376812,0.0367816091954023,0.09814250069309675,0.05463182897862233,0.02727272727272727
-8,0.04985337243401759,0.03784219001610306,0.07307692307692308,0.07439953134153486,0.043560606060606064,0.05383480825958702,0.041620421753607105,0.08344370860927153,0.1016949152542373,0.11660329531051965,0.058343057176196034,0.03636363636363636,0.08280621046578493,0.11714285714285715,0.07369196757553427,0.06164383561643835,0.05070993914807302,0.046296296296296294,0.06810035842293907,0.06818181818181818,0.1090146750524109,0.08630952380952381,0.08617363344051447,0.09899569583931134,0.07521826729348556,0.05378973105134474,0.15422276621787026,0.026936026936026935,0.037109375,0.11129296235679215,0.0637920850561134,0.059893048128342244,0.01639344262295082,0.039473684210526314,0.09346890887759093,0.06657018813314038,0.0898876404494382
-7,0.05297757153905646,0.029905178701677606,0.04375,0.08125,0.04935370152761457,0.0555793991416309,0.044314185228604926,0.06913183279742766,0.1111111111111111,0.1189146049481245,0.034444444444444444,0.02355072463768116,0.07928531546621999,0.11811023622047244,0.08674531575294935,0.1017274472168906,0.06451612903225806,0.02247191011235955,0.06610481959441665,0.023255813953488372,0.12524850894632206,0.09560723514211886,0.09128367670364501,0.107095046854083,0.06110458284371328,0.054982817869415807,0.14187035069075452,0.018867924528301886,0.04847396768402154,0.13025210084033614,0.05400192864030858,0.07653383934218849,0.0,0.041916167664670656,0.09618959107806692,0.04678362573099415,0.07058823529411765
-6,0.04920087746787841,0.034386357282639085,0.05952380952380952,0.08182865923933923,0.04316546762589928,0.06392931392931393,0.04570453252417978,0.09065934065934066,0.10058027079303675,0.1054590570719603,0.0558848433530906,0.02,0.07558979297063072,0.09473684210526316,0.07491201608848667,0.0704,0.05873261205564142,0.020958083832335328,0.057419222062152706,0.037037037037037035,0.11405835543766578,0.08902691511387163,0.08844977652317101,0.09502664298401421,0.07641509433962264,0.05724197745013009,0.12752721617418353,0.04507042253521127,0.03819918144611187,0.11211959423384944,0.05749258160237389,0.06640202093107181,0.009615384615384616,0.054114158636026685,0.09578048149106912,0.045951859956236324,0.025210084033613446
-5,0.04538485127261576,0.02837465564738292,0.05952380952380952,0.08669354838709678,0.036090835360908353,0.06323477021731386,0.03795786676788764,0.08104395604395605,0.09839357429718876,0.09734779987944545,0.03863845446182153,0.02610966057441253,0.07601351351351351,0.09503239740820735,0.08038914490527393,0.07142857142857142,0.059961315280464215,0.027624309392265192,0.05859901212393354,0.028985507246376812,0.1092436974789916,0.08610567514677103,0.08374490015031136,0.1206896551724138,0.07136015325670499,0.0425531914893617,0.12183308494783905,0.044226044226044224,0.030900723208415515,0.12575941676792224,0.05080740448995667,0.0661563696008748,0.009345794392523364,0.05415162454873646,0.08549285541293292,0.05430932703659976,0.043795620437956206
-4,0.04974061641745499,0.030683810637054353,0.054982817869415807,0.0842286205414697,0.035523978685612786,0.05822036843934654,0.03560126582278481,0.09562841530054644,0.08545034642032333,0.09934395501405811,0.05102040816326531,0.020435967302452316,0.07410714285714286,0.10730593607305935,0.09188911704312115,0.04844290657439446,0.03234501347708895,0.011527377521613832,0.06817562039814562,0.023529411764705882,0.1161764705882353,0.07789855072463768,0.0813599062133646,0.10277492291880781,0.07040913415794481,0.05921680993314231,0.12432847275518036,0.04481792717086835,0.033178500331785,0.11052009456264776,0.05435244161358811,0.063944817300522,0.011494252873563218,0.05303030303030303,0.08930453108535301,0.04826038159371493,0.044444444444444446
-3,0.0520694259012016,0.026081620128873887,0.05653710247349823,0.07692307692307693,0.04899777282850779,0.040123091490117176,0.030678714015549485,0.08076358296622614,0.09399477806788512,0.11017235552551538,0.04423748544819558,0.015170670037926675,0.07721822541966426,0.11508951406649616,0.08681135225375626,0.07258064516129033,0.08307210031347963,0.020289855072463767,0.06552962298025135,0.0,0.0852359208523592,0.08237547892720307,0.07534573199809251,0.0900562851782364,0.06486766995329528,0.05660377358490566,0.13723948092803775,0.03498542274052478,0.04084507042253521,0.10838709677419354,0.05710605410047231,0.06461944235116805,0.0,0.05028248587570622,0.09442845932513733,0.03824521934758155,0.01652892561983471
