cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.1146384479717813,0.07478260869565218,0.3333333333333333,0.12601626016260162,0.102803738317757,0.139186295503212,0.09165302782324058,0.16774193548387098,0.12307692307692308,0.13793103448275862,0.10434782608695652,0.12173913043478261,0.07371794871794872,0.25,0.28205128205128205,0.1956521739130435,0.06756756756756757,0.21428571428571427,0.14555765595463138,0.0,0.18032786885245902,0.10526315789473684,0.14389799635701275,0.2948717948717949,0.23564954682779457,0.11162790697674418,0.16981132075471697,0.22727272727272727,0.09813084112149532,0.4393063583815029,0.14893617021276595,0.12777053455019557,0.21875,0.19583333333333333,0.21839080459770116,0.14754098360655737,0.047619047619047616
-11,0.13050314465408805,0.10935023771790808,0.28125,0.11811023622047244,0.07633587786259542,0.1673866090712743,0.07934336525307797,0.09420289855072464,0.13333333333333333,0.15286624203821655,0.140625,0.057692307692307696,0.08012820512820513,0.1702127659574468,0.2108626198083067,0.23595505617977527,0.1111111111111111,0.1038961038961039,0.13513513513513514,0.13333333333333333,0.12121212121212122,0.211864406779661,0.1299559471365639,0.20833333333333334,0.1907356948228883,0.12631578947368421,0.22935779816513763,0.10526315789473684,0.08,0.351010101010101,0.10869565217391304,0.10159817351598173,0.17391304347826086,0.13658536585365855,0.1590909090909091,0.1736111111111111,0.05555555555555555
-10,0.14690265486725665,0.08221225710014948,0.29545454545454547,0.11688311688311688,0.01680672268907563,0.1319358816276202,0.10172143974960876,0.10526315789473684,0.1282051282051282,0.16910229645093947,0.13114754098360656,0.05454545454545454,0.09152542372881356,0.1836734693877551,0.2197452229299363,0.25675675675675674,0.06422018348623854,0.15942028985507245,0.14090019569471623,0.17391304347826086,0.1774193548387097,0.23478260869565218,0.17012448132780084,0.23529411764705882,0.2,0.14227642276422764,0.20168067226890757,0.20833333333333334,0.07614213197969544,0.38338658146964855,0.10833333333333334,0.1043956043956044,0.1,0.15384615384615385,0.11764705882352941,0.16176470588235295,0.16666666666666666
-9,0.1277602523659306,0.08223684210526316,0.2682926829268293,0.1493212669683258,0.05737704918032787,0.1331133113311331,0.09618573797678276,0.11475409836065574,0.21875,0.1489795918367347,0.171875,0.11363636363636363,0.08389261744966443,0.2641509433962264,0.2824675324675325,0.2619047619047619,0.07272727272727272,0.2028985507246377,0.1693227091633466,0.07142857142857142,0.24561403508771928,0.13157894736842105,0.1622222222222222,0.25396825396825395,0.25165562913907286,0.1689497716894977,0.1625,0.2,0.108,0.4787234042553192,0.125,0.11639549436795996,0.09523809523809523,0.13901345291479822,0.14285714285714285,0.18253968253968253,0.25
-8,0.098,0.08869179600886919,0.3684210526315789,0.13609467455621302,0.056179775280898875,0.13986013986013987,0.05043859649122807,0.1125,0.2,0.136,0.11956521739130435,0.013333333333333334,0.06639004149377593,0.29411764705882354,0.2623762376237624,0.0958904109589041,0.03076923076923077,0.029411764705882353,0.125,0.07692307692307693,0.25,0.1724137931034483,0.13707165109034267,0.1875,0.19753086419753085,0.11409395973154363,0.25675675675675674,0.09090909090909091,0.1346153846153846,0.44755244755244755,0.12290502793296089,0.12935323383084577,0.16666666666666666,0.14754098360655737,0.1875,0.22033898305084745,0.2
-7,0.12453531598513011,0.10239651416122005,0.2830188679245283,0.14691943127962084,0.08653846153846154,0.1307277628032345,0.09262759924385633,0.1044776119402985,0.17391304347826086,0.1912568306010929,0.1414141414141414,0.02247191011235955,0.08955223880597014,0.22448979591836735,0.21333333333333335,0.22077922077922077,0.10909090909090909,0.14583333333333334,0.1752136752136752,0.18181818181818182,0.16666666666666666,0.22,0.14426229508196722,0.2727272727272727,0.23636363636363636,0.19760479041916168,0.17142857142857143,0.18181818181818182,0.11801242236024845,0.5063291139240507,0.15319148936170213,0.1159062885326757,0.07692307692307693,0.13861386138613863,0.28,0.1592920353982301,0.23076923076923078
-6,0.12162162162162163,0.07779578606158834,0.27586206896551724,0.1413427561837456,0.013888888888888888,0.17581187010078386,0.08943089430894309,0.13414634146341464,0.2222222222222222,0.15756302521008403,0.10483870967741936,0.07207207207207207,0.07575757575757576,0.2127659574468085,0.26666666666666666,0.16304347826086957,0.06593406593406594,0.22727272727272727,0.1607773851590106,0.20689655172413793,0.2,0.17886178861788618,0.1558139534883721,0.2988505747126437,0.20552147239263804,0.13229571984435798,0.18947368421052632,0.13043478260869565,0.1050228310502283,0.3613963039014374,0.14624505928853754,0.12474012474012475,0.0,0.1566265060240964,0.2867132867132867,0.1568627450980392,0.2222222222222222
-5,0.1166407465007776,0.08056872037914692,0.2391304347826087,0.22033898305084745,0.03636363636363636,0.13017031630170317,0.09950248756218906,0.10465116279069768,0.23958333333333334,0.14779270633397312,0.0990990990990991,0.08771929824561403,0.07627118644067797,0.15789473684210525,0.2901960784313726,0.29473684210526313,0.08333333333333333,0.14583333333333334,0.14829659318637275,0.20689655172413793,0.1323529411764706,0.14285714285714285,0.15185185185185185,0.28125,0.23893805309734514,0.1282051282051282,0.19047619047619047,0.13953488372093023,0.08050847457627118,0.4506329113924051,0.14347826086956522,0.11473684210526315,0.0,0.18702290076335878,0.28634361233480177,0.20535714285714285,0.13333333333333333
-4,0.11834319526627218,0.0658578856152513,0.1702127659574468,0.19631901840490798,0.1048951048951049,0.16065192083818394,0.08818897637795275,0.11235955056179775,0.20833333333333334,0.1640926640926641,0.056818181818181816,0.10344827586206896,0.08300395256916997,0.09090909090909091,0.22105263157894736,0.3111111111111111,0.07407407407407407,0.03636363636363636,0.17303370786516853,0.08823529411764706,0.19047619047619047,0.24475524475524477,0.16632443531827515,0.25,0.2,0.13978494623655913,0.2604166666666667,0.0967741935483871,0.10138248847926268,0.4572127139364303,0.13761467889908258,0.13137893593919653,0.0,0.15270935960591134,0.27040816326530615,0.17557251908396945,0.08333333333333333
-3,0.09420289855072464,0.07414829659318638,0.21052631578947367,0.16913946587537093,0.10077519379844961,0.11512027491408934,0.09075907590759076,0.1506849315068493,0.2714285714285714,0.1630695443645084,0.05434782608695652,0.09782608695652174,0.06198347107438017,0.06451612903225806,0.23404255319148937,0.23255813953488372,0.09523809523809523,0.034482758620689655,0.18114143920595532,0.07142857142857142,0.16363636363636364,0.24812030075187969,0.18588235294117647,0.23863636363636365,0.196875,0.107981220657277,0.18888888888888888,0.08333333333333333,0.0759493670886076,0.4636118598382749,0.11267605633802817,0.12357217030114226,0.0,0.14009661835748793,0.3157894736842105,0.18571428571428572,0.3181818181818182
