cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.037037037037037035,0.03304347826086956,0.07142857142857142,0.044715447154471545,0.04672897196261682,0.04068522483940043,0.031096563011456628,0.09032258064516129,0.046153846153846156,0.028017241379310345,0.034782608695652174,0.05217391304347826,0.019230769230769232,0.11363636363636363,0.09523809523809523,0.08695652173913043,0.013513513513513514,0.14285714285714285,0.052930056710775046,0.0,0.04918032786885246,0.010526315789473684,0.04735883424408015,0.14102564102564102,0.09063444108761329,0.03255813953488372,0.05660377358490566,0.045454545454545456,0.014018691588785047,0.19653179190751446,0.06382978723404255,0.035202086049543675,0.09375,0.06666666666666667,0.05747126436781609,0.04918032786885246,0.047619047619047616
-11,0.029874213836477988,0.042789223454833596,0.03125,0.03543307086614173,0.015267175572519083,0.047516198704103674,0.025991792065663474,0.050724637681159424,0.013333333333333334,0.036093418259023353,0.03125,0.028846153846153848,0.01282051282051282,0.06382978723404255,0.08306709265175719,0.07865168539325842,0.0,0.025974025974025976,0.05791505791505792,0.0,0.015151515151515152,0.06779661016949153,0.03524229074889868,0.06944444444444445,0.0653950953678474,0.015789473684210527,0.10091743119266056,0.02631578947368421,0.024,0.1414141414141414,0.05217391304347826,0.021689497716894976,0.043478260869565216,0.05365853658536585,0.045454545454545456,0.0763888888888889,0.0
-10,0.02654867256637168,0.025411061285500747,0.06818181818181818,0.025974025974025976,0.0,0.035758323057953144,0.018779342723004695,0.06015037593984962,0.02564102564102564,0.04801670146137787,0.04918032786885246,0.01818181818181818,0.030508474576271188,0.08163265306122448,0.054140127388535034,0.02702702702702703,0.0,0.043478260869565216,0.043052837573385516,0.043478260869565216,0.06451612903225806,0.0782608695652174,0.04564315352697095,0.04411764705882353,0.06,0.044715447154471545,0.08403361344537816,0.041666666666666664,0.015228426395939087,0.13099041533546327,0.05,0.017582417582417582,0.05,0.058823529411764705,0.014705882352941176,0.022058823529411766,0.05555555555555555
-9,0.02365930599369085,0.018092105263157895,0.12195121951219512,0.05429864253393665,0.02459016393442623,0.0429042904290429,0.03150912106135987,0.040983606557377046,0.078125,0.0326530612244898,0.0625,0.022727272727272728,0.016778523489932886,0.07547169811320754,0.08766233766233766,0.07142857142857142,0.03636363636363636,0.08695652173913043,0.043824701195219126,0.0,0.07017543859649122,0.03508771929824561,0.04666666666666667,0.031746031746031744,0.056291390728476824,0.0639269406392694,0.05,0.02857142857142857,0.036,0.25,0.056451612903225805,0.02252816020025031,0.047619047619047616,0.04932735426008968,0.03896103896103896,0.06349206349206349,0.0
-8,0.02,0.028824833702882482,0.05263157894736842,0.01775147928994083,0.011235955056179775,0.017482517482517484,0.010964912280701754,0.025,0.07142857142857142,0.037333333333333336,0.03260869565217391,0.0,0.016597510373443983,0.14705882352941177,0.054455445544554455,0.0410958904109589,0.015384615384615385,0.0,0.0398936170212766,0.0,0.075,0.05172413793103448,0.03115264797507788,0.0625,0.053497942386831275,0.040268456375838924,0.0945945945945946,0.045454545454545456,0.05128205128205128,0.22377622377622378,0.055865921787709494,0.02155887230514096,0.1111111111111111,0.0273224043715847,0.078125,0.059322033898305086,0.05
-7,0.03903345724907063,0.034858387799564274,0.05660377358490566,0.037914691943127965,0.019230769230769232,0.02021563342318059,0.02835538752362949,0.05970149253731343,0.043478260869565216,0.0546448087431694,0.020202020202020204,0.011235955056179775,0.009950248756218905,0.08163265306122448,0.05333333333333334,0.07792207792207792,0.0,0.020833333333333332,0.08974358974358974,0.09090909090909091,0.07407407407407407,0.05,0.06557377049180328,0.06818181818181818,0.07272727272727272,0.0718562874251497,0.07142857142857142,0.0,0.031055900621118012,0.26582278481012656,0.07234042553191489,0.01972872996300863,0.07692307692307693,0.034653465346534656,0.1,0.04424778761061947,0.07692307692307693
-6,0.04560810810810811,0.03403565640194489,0.15517241379310345,0.04240282685512368,0.0,0.04143337066069429,0.026016260162601626,0.036585365853658534,0.06666666666666667,0.03991596638655462,0.07258064516129033,0.009009009009009009,0.026515151515151516,0.0425531914893617,0.09206349206349207,0.09782608695652174,0.0,0.16666666666666666,0.0706713780918728,0.06896551724137931,0.046153846153846156,0.056910569105691054,0.06511627906976744,0.09195402298850575,0.08588957055214724,0.03501945525291829,0.08421052631578947,0.08695652173913043,0.0365296803652968,0.162217659137577,0.043478260869565216,0.028066528066528068,0.0,0.04819277108433735,0.11188811188811189,0.032679738562091505,0.037037037037037035
-5,0.05132192846034215,0.020537124802527645,0.06521739130434782,0.06779661016949153,0.012121212121212121,0.04744525547445255,0.029850746268656716,0.05813953488372093,0.041666666666666664,0.05182341650671785,0.04504504504504504,0.008771929824561403,0.03389830508474576,0.017543859649122806,0.10980392156862745,0.11578947368421053,0.027777777777777776,0.14583333333333334,0.04609218436873747,0.13793103448275862,0.04411764705882353,0.058823529411764705,0.046296296296296294,0.078125,0.09734513274336283,0.05641025641025641,0.0761904761904762,0.023255813953488372,0.012711864406779662,0.22278481012658227,0.05217391304347826,0.024210526315789474,0.0,0.04961832061068702,0.13656387665198239,0.05357142857142857,0.03333333333333333
-4,0.034023668639053255,0.019064124783362217,0.0851063829787234,0.049079754601226995,0.04195804195804196,0.04540162980209546,0.029921259842519685,0.07865168539325842,0.10416666666666667,0.04826254826254826,0.022727272727272728,0.02586206896551724,0.023715415019762844,0.0,0.06666666666666667,0.17777777777777778,0.037037037037037035,0.01818181818181818,0.04943820224719101,0.029411764705882353,0.047619047619047616,0.04895104895104895,0.057494866529774126,0.03409090909090909,0.08405797101449275,0.021505376344086023,0.07291666666666667,0.0,0.03225806451612903,0.24449877750611246,0.05504587155963303,0.02714440825190011,0.0,0.03940886699507389,0.05102040816326531,0.06870229007633588,0.041666666666666664
-3,0.016304347826086956,0.022044088176352707,0.07894736842105263,0.04747774480712166,0.05426356589147287,0.022336769759450172,0.03135313531353135,0.0547945205479452,0.1,0.06235011990407674,0.021739130434782608,0.03260869565217391,0.012396694214876033,0.0,0.0851063829787234,0.13953488372093023,0.01904761904761905,0.034482758620689655,0.03722084367245657,0.0,0.03636363636363636,0.03759398496240601,0.07764705882352942,0.07954545454545454,0.059375,0.009389671361502348,0.06666666666666667,0.08333333333333333,0.02109704641350211,0.24258760107816713,0.046948356807511735,0.02699896157840083,0.0,0.043478260869565216,0.11483253588516747,0.05714285714285714,0.13636363636363635
