cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.21176470588235294,0.11206896551724138,0.18461538461538463,0.2994350282485876,0.1618705035971223,0.2077922077922078,0.14980793854033292,0.30962343096234307,0.3194444444444444,0.3187250996015936,0.2,0.10465116279069768,0.23883495145631067,0.20270270270270271,0.3735632183908046,0.35384615384615387,0.2288135593220339,0.28,0.2799634034766697,0.1,0.3776223776223776,0.296875,0.35003385240352064,0.3877551020408163,0.22818791946308725,0.2857142857142857,0.39579349904397704,0.13793103448275862,0.19387755102040816,0.2766990291262136,0.31684981684981683,0.19637750238322213,0.11764705882352941,0.2054794520547945,0.4374342797055731,0.21505376344086022,0.13333333333333333
-11,0.2,0.08009153318077804,0.3253012048192771,0.31970260223048325,0.12030075187969924,0.2057541412380122,0.13530135301353013,0.34841628959276016,0.26666666666666666,0.3207207207207207,0.20863309352517986,0.08433734939759036,0.22153209109730848,0.3069306930693069,0.30158730158730157,0.2890625,0.24770642201834864,0.125,0.2790224032586558,0.25,0.2976190476190476,0.27710843373493976,0.3872889771598808,0.34408602150537637,0.27906976744186046,0.25,0.3516483516483517,0.2,0.19696969696969696,0.319672131147541,0.2727272727272727,0.22709163346613545,0.08695652173913043,0.2114695340501792,0.4321110009910803,0.17894736842105263,0.29411764705882354
-10,0.24864864864864866,0.07042253521126761,0.2676056338028169,0.326007326007326,0.176056338028169,0.20331588132635253,0.13618157543391188,0.24170616113744076,0.20270270270270271,0.29037800687285226,0.2631578947368421,0.09302325581395349,0.24295010845986983,0.24719101123595505,0.3734015345268542,0.30833333333333335,0.22627737226277372,0.043478260869565216,0.25806451612903225,0.14285714285714285,0.3382352941176471,0.2441860465116279,0.36363636363636365,0.3249097472924188,0.20540540540540542,0.2594142259414226,0.35800344234079173,0.15625,0.1971326164874552,0.4146341463414634,0.31368821292775667,0.20588235294117646,0.2222222222222222,0.16412213740458015,0.45060483870967744,0.26548672566371684,0.2857142857142857
-9,0.18027210884353742,0.125,0.26153846153846155,0.3034188034188034,0.11363636363636363,0.2017467248908297,0.15471698113207547,0.23902439024390243,0.3389830508474576,0.3516068052930057,0.18604651162790697,0.20967741935483872,0.17453798767967146,0.2268041237113402,0.40053763440860213,0.26956521739130435,0.15753424657534246,0.10344827586206896,0.25456389452332656,0.5,0.3411764705882353,0.2727272727272727,0.36016096579476864,0.3172690763052209,0.28213166144200624,0.23412698412698413,0.44776119402985076,0.16,0.18181818181818182,0.40540540540540543,0.291015625,0.25256673511293637,0.2,0.1776061776061776,0.4354207436399217,0.25,0.13333333333333333
-8,0.21271393643031786,0.08385093167701864,0.1643835616438356,0.2849740932642487,0.13526570048309178,0.20642201834862386,0.12618296529968454,0.24475524475524477,0.24615384615384617,0.3201754385964912,0.13761467889908258,0.16666666666666666,0.18155619596541786,0.22388059701492538,0.3041825095057034,0.25842696629213485,0.1588785046728972,0.06060606060606061,0.2755681818181818,0.0,0.2882882882882883,0.2857142857142857,0.3155844155844156,0.3118811881188119,0.23674911660777384,0.2857142857142857,0.410828025477707,0.08333333333333333,0.2028985507246377,0.36363636363636365,0.28296703296703296,0.211781206171108,0.0,0.13744075829383887,0.40970350404312667,0.23404255319148937,0.0
-7,0.2673913043478261,0.10204081632653061,0.22727272727272727,0.32382892057026474,0.16260162601626016,0.2309217046580773,0.14992927864214992,0.38095238095238093,0.33783783783783783,0.29156626506024097,0.17293233082706766,0.12,0.27069351230425054,0.34615384615384615,0.36594202898550726,0.29245283018867924,0.1885245901639344,0.10344827586206896,0.2902542372881356,0.16666666666666666,0.31,0.22340425531914893,0.36742424242424243,0.2727272727272727,0.24269005847953215,0.25,0.36283185840707965,0.14634146341463414,0.21393034825870647,0.42857142857142855,0.3259423503325942,0.2060491493383743,0.05,0.1569767441860465,0.40589198036006546,0.1951219512195122,0.2
-6,0.24909090909090909,0.07766990291262135,0.25925925925925924,0.25980392156862747,0.16071428571428573,0.2172096908939014,0.13953488372093023,0.3358208955223881,0.26506024096385544,0.31160572337042924,0.18181818181818182,0.1188118811881188,0.2528216704288939,0.3020833333333333,0.3501259445843829,0.29931972789115646,0.1657142857142857,0.034482758620689655,0.33890436397400187,0.25,0.31176470588235294,0.28421052631578947,0.33648393194706994,0.3788300835654596,0.24087591240875914,0.2345679012345679,0.43045112781954886,0.2647058823529412,0.21978021978021978,0.325,0.365814696485623,0.22681281618887014,0.1111111111111111,0.16842105263157894,0.4093617021276596,0.2222222222222222,0.07142857142857142
-5,0.18661971830985916,0.0970873786407767,0.2127659574468085,0.30220713073005095,0.1441717791411043,0.25205930807248766,0.1386946386946387,0.33093525179856115,0.2289156626506024,0.3129139072847682,0.17088607594936708,0.0975609756097561,0.19881889763779528,0.34513274336283184,0.35170603674540685,0.3402777777777778,0.14615384615384616,0.07142857142857142,0.2871287128712871,0.2857142857142857,0.3355263157894737,0.25961538461538464,0.3703374777975133,0.32558139534883723,0.3069053708439898,0.24369747899159663,0.4353369763205829,0.14634146341463414,0.2465753424657534,0.4647887323943662,0.31186440677966104,0.24438902743142144,0.04,0.17737003058103976,0.4092792046396023,0.20175438596491227,0.17647058823529413
-4,0.18953068592057762,0.07727272727272727,0.2535211267605634,0.25402504472271914,0.16498316498316498,0.23434856175972926,0.11211340206185567,0.3402777777777778,0.3484848484848485,0.3282828282828283,0.19696969696969696,0.16666666666666666,0.24197002141327623,0.27586206896551724,0.36674259681093396,0.2396694214876033,0.17142857142857143,0.06451612903225806,0.3678290213723285,0.0625,0.3028571428571429,0.3643410852713178,0.3196078431372549,0.34983498349834985,0.23024830699774265,0.1722689075630252,0.42132867132867136,0.16666666666666666,0.21864951768488747,0.3283018867924528,0.29523809523809524,0.2587646076794658,0.13333333333333333,0.27335640138408307,0.4097646033129904,0.27358490566037735,0.375
-3,0.20641282565130262,0.06744186046511629,0.3068181818181818,0.28546409807355516,0.12582781456953643,0.15090090090090091,0.1325136612021858,0.27835051546391754,0.24074074074074073,0.3163444639718805,0.15833333333333333,0.12871287128712872,0.22146118721461186,0.38461538461538464,0.3162162162162162,0.296,0.20418848167539266,0.02702702702702703,0.31733333333333336,0.16666666666666666,0.2751677852348993,0.29508196721311475,0.3467666354264292,0.35435435435435436,0.2561307901907357,0.2222222222222222,0.44022770398481975,0.21875,0.19858156028368795,0.38016528925619836,0.29389312977099236,0.25144747725392885,0.0,0.22666666666666666,0.39204545454545453,0.2558139534883721,0.16666666666666666
