cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.25366695427092323,0.19233268356075373,0.2708333333333333,0.24227642276422764,0.2652899126290707,0.2095357590966123,0.2678973435389464,0.28362573099415206,0.22077922077922077,0.2401685393258427,0.32509505703422054,0.22772277227722773,0.19529085872576177,0.2682926829268293,0.2356828193832599,0.30994152046783624,0.04929577464788732,0.24031007751937986,0.294249022892239,0.14285714285714285,0.24503311258278146,0.0970873786407767,0.26777087646652864,0.30165289256198347,0.25177809388335703,0.1891891891891892,0.3865814696485623,0.22777777777777777,0.2687385740402194,0.3652173913043478,0.2534031413612565,0.14273356401384082,0.0,0.2052401746724891,0.3940329218106996,0.3620689655172414,0.25
-11,0.2296849087893864,0.16926920674578388,0.25,0.2669683257918552,0.27387529597474347,0.19158878504672897,0.2656794425087108,0.305993690851735,0.20270270270270271,0.2952755905511811,0.326605504587156,0.24162679425837322,0.18471337579617833,0.2440944881889764,0.25,0.27071823204419887,0.125,0.25874125874125875,0.2857142857142857,0.3157894736842105,0.24731182795698925,0.021505376344086023,0.2618110236220472,0.24193548387096775,0.29403606102635227,0.1801470588235294,0.37087378640776697,0.2193877551020408,0.2851919561243144,0.41388888888888886,0.2305159165751921,0.14460596786534047,0.14285714285714285,0.20389805097451275,0.3786692759295499,0.3737864077669903,0.3055555555555556
-10,0.22878535773710482,0.1682013505217925,0.25471698113207547,0.23384615384615384,0.2545612510860122,0.19767441860465115,0.26886145404663925,0.3006134969325153,0.16666666666666666,0.3202170963364993,0.30017761989342806,0.28488372093023256,0.2122905027932961,0.2753623188405797,0.2141280353200883,0.2571428571428571,0.08571428571428572,0.20512820512820512,0.2652595550484883,0.3888888888888889,0.22641509433962265,0.07446808510638298,0.2645985401459854,0.27125506072874495,0.2655007949125596,0.18556701030927836,0.3980263157894737,0.2849740932642487,0.26887661141804786,0.3689655172413793,0.25227272727272726,0.1206896551724138,0.0,0.21171171171171171,0.40446168768186225,0.36683417085427134,0.28205128205128205
-9,0.2427797833935018,0.18601895734597157,0.23,0.2687813021702838,0.2622673434856176,0.20824881676808654,0.2686008423022929,0.27531645569620256,0.1414141414141414,0.279291553133515,0.28546409807355516,0.22935779816513763,0.196,0.25477707006369427,0.25206611570247933,0.281767955801105,0.09090909090909091,0.22321428571428573,0.24956871765382405,0.05263157894736842,0.2653061224489796,0.0297029702970297,0.2576045627376426,0.250936329588015,0.27496382054992763,0.132890365448505,0.38504464285714285,0.23036649214659685,0.2740740740740741,0.4147465437788018,0.24771689497716895,0.13242375601926162,0.0,0.20064724919093851,0.37318840579710144,0.3564102564102564,0.3142857142857143
-8,0.22195704057279236,0.18755555555555556,0.3466666666666667,0.2,0.25841346153846156,0.16455696202531644,0.2630241423125794,0.2664359861591695,0.16883116883116883,0.2474747474747475,0.27488151658767773,0.27450980392156865,0.1980392156862745,0.2358490566037736,0.2836676217765043,0.21014492753623187,0.09580838323353294,0.23529411764705882,0.27510204081632655,0.4,0.29411764705882354,0.0273972602739726,0.2761904761904762,0.1712707182320442,0.23060344827586207,0.17061611374407584,0.3850085178875639,0.2606060606060606,0.2696629213483146,0.375,0.20135363790186125,0.1512513601741023,0.07142857142857142,0.19279661016949154,0.37252124645892354,0.36990595611285265,0.36666666666666664
-7,0.20146904512067157,0.17003105590062112,0.2403846153846154,0.24394785847299813,0.2383025027203482,0.19925373134328359,0.26371951219512196,0.3015267175572519,0.12307692307692308,0.26186830015313933,0.2318181818181818,0.2138157894736842,0.21335504885993486,0.28448275862068967,0.2724867724867725,0.26973684210526316,0.10077519379844961,0.19387755102040816,0.2565284178187404,0.5,0.19117647058823528,0.02531645569620253,0.29006772009029347,0.21428571428571427,0.23709369024856597,0.21052631578947367,0.43490304709141275,0.19858156028368795,0.2589073634204275,0.3812154696132597,0.26878980891719745,0.1506572295247725,0.0,0.20090293453724606,0.36281859070464767,0.4054878048780488,0.3125
-6,0.19273301737756715,0.17559863169897377,0.25,0.2785185185185185,0.23753894080996885,0.19768934531450577,0.28330658105939005,0.33548387096774196,0.18085106382978725,0.2829028290282903,0.2672,0.287598944591029,0.21044776119402986,0.24822695035460993,0.2912966252220249,0.30412371134020616,0.0972972972972973,0.1386861313868613,0.26595174262734583,0.2608695652173913,0.18041237113402062,0.0392156862745098,0.2929883138564274,0.23958333333333334,0.2526158445440957,0.17391304347826086,0.41427155599603566,0.1990521327014218,0.21602787456445993,0.3779527559055118,0.22629969418960244,0.13681783243658724,0.047619047619047616,0.20532319391634982,0.3834519572953737,0.3371824480369515,0.1891891891891892
-5,0.22523219814241485,0.16549295774647887,0.297029702970297,0.277602523659306,0.2599364069952305,0.19153094462540718,0.24968527066722618,0.3205574912891986,0.15625,0.24278846153846154,0.24511545293072823,0.25547445255474455,0.18286445012787725,0.3383458646616541,0.24100719424460432,0.25396825396825395,0.125,0.16447368421052633,0.2759237187127533,0.13043478260869565,0.2391304347826087,0.06923076923076923,0.26953748006379585,0.2465277777777778,0.2702312138728324,0.1597222222222222,0.4011684518013632,0.28936170212765955,0.24028268551236748,0.4041994750656168,0.2366167023554604,0.1664145234493192,0.0,0.22580645161290322,0.3831223628691983,0.3877551020408163,0.23076923076923078
-4,0.20747217806041335,0.14990859232175502,0.25301204819277107,0.2720125786163522,0.27114427860696516,0.20560152768936982,0.254708904109589,0.34265734265734266,0.13953488372093023,0.28035043804755944,0.2514506769825919,0.2419753086419753,0.20184696569920843,0.3,0.2766798418972332,0.2789473684210526,0.1557377049180328,0.1386861313868613,0.3393801965230537,0.23809523809523808,0.26380368098159507,0.096,0.28013876843018215,0.3048780487804878,0.2605633802816901,0.1510791366906475,0.4266009852216749,0.2916666666666667,0.2578268876611418,0.4034653465346535,0.21403508771929824,0.12808641975308643,0.0,0.24123422159887797,0.33493743984600577,0.34772182254196643,0.12121212121212122
-3,0.217206132879046,0.1549386701097482,0.3125,0.28907563025210087,0.28842832469775476,0.14547160957297042,0.24616813748258246,0.3754152823920266,0.24285714285714285,0.26718547341115434,0.2637889688249401,0.2108695652173913,0.20327421555252387,0.2462686567164179,0.25164113785557984,0.2537313432835821,0.13636363636363635,0.096,0.32107843137254904,0.2222222222222222,0.23214285714285715,0.03361344537815126,0.27214611872146116,0.19795221843003413,0.25732899022801303,0.10116731517509728,0.3931034482758621,0.20707070707070707,0.24118738404452691,0.38786279683377306,0.21634615384615385,0.13029576338928858,0.0,0.24457308248914617,0.37037037037037035,0.354978354978355,0.16363636363636364
