cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.13978494623655913,0.05985915492957746,0.2033898305084746,0.11380880121396054,0.11,0.106703146374829,0.08600770218228498,0.1912568306010929,0.12598425196850394,0.2185929648241206,0.11764705882352941,0.0449438202247191,0.10073260073260074,0.17391304347826086,0.21882951653944022,0.16312056737588654,0.13114754098360656,0.203125,0.16198704103671707,0.0,0.16842105263157894,0.1368421052631579,0.1717019133937563,0.17624521072796934,0.1592920353982301,0.10714285714285714,0.2540106951871658,0.04878048780487805,0.08571428571428572,0.29526462395543174,0.15984405458089668,0.10307564422277639,0.3333333333333333,0.14080459770114942,0.17654171704957677,0.10852713178294573,0.125
-11,0.13190184049079753,0.06269113149847094,0.16666666666666666,0.1034965034965035,0.07731958762886598,0.10403120936280884,0.09685230024213075,0.21081081081081082,0.17073170731707318,0.21254355400696864,0.1368421052631579,0.07865168539325842,0.0831918505942275,0.12264150943396226,0.22115384615384615,0.1893939393939394,0.13392857142857142,0.11475409836065574,0.14989059080962802,0.0,0.18181818181818182,0.10714285714285714,0.16709732988802756,0.16666666666666666,0.17695473251028807,0.2138728323699422,0.27225130890052357,0.019230769230769232,0.056818181818181816,0.2932098765432099,0.13059701492537312,0.1242798353909465,0.08333333333333333,0.1557377049180328,0.2151029748283753,0.104,0.0
-10,0.15025041736227046,0.06901840490797546,0.125,0.12570621468926554,0.07857142857142857,0.10351692103516921,0.06510416666666667,0.1796116504854369,0.1417910447761194,0.20726495726495728,0.16666666666666666,0.09090909090909091,0.12956204379562045,0.17699115044247787,0.20222222222222222,0.15894039735099338,0.16058394160583941,0.08196721311475409,0.1363173957273652,0.1111111111111111,0.15763546798029557,0.11320754716981132,0.1780506523407521,0.22140221402214022,0.17418032786885246,0.13106796116504854,0.25864453665283543,0.04411764705882353,0.075,0.2982456140350877,0.16319444444444445,0.10846153846153846,0.07407407407407407,0.13043478260869565,0.211864406779661,0.10852713178294573,0.1
-9,0.14551083591331268,0.06199021207177814,0.04838709677419355,0.14723032069970846,0.07317073170731707,0.08602150537634409,0.07509386733416772,0.20725388601036268,0.19708029197080293,0.19870410367170627,0.11956521739130435,0.06896551724137931,0.11672473867595819,0.168,0.25690021231422505,0.16666666666666666,0.15555555555555556,0.06976744186046512,0.1269191402251791,0.16666666666666666,0.192090395480226,0.1262135922330097,0.15625,0.2589641434262948,0.16163793103448276,0.13106796116504854,0.27046783625730997,0.09230769230769231,0.08056872037914692,0.35638297872340424,0.16111111111111112,0.0908353609083536,0.0,0.10932475884244373,0.19852164730728616,0.1103448275862069,0.15
-8,0.10925925925925926,0.07707509881422925,0.14035087719298245,0.11847389558232932,0.09036144578313253,0.08914386584289496,0.09259259259259259,0.189873417721519,0.14782608695652175,0.22349570200573066,0.14534883720930233,0.03636363636363636,0.10833333333333334,0.19658119658119658,0.1641337386018237,0.12087912087912088,0.10833333333333334,0.09433962264150944,0.15120711562897077,0.375,0.20606060606060606,0.11578947368421053,0.16043307086614172,0.1943127962085308,0.18457300275482094,0.13768115942028986,0.25316455696202533,0.044444444444444446,0.07482993197278912,0.30578512396694213,0.16580310880829016,0.08949416342412451,0.0,0.1103202846975089,0.1916083916083916,0.11428571428571428,0.36363636363636365
-7,0.11010830324909747,0.05699481865284974,0.10909090909090909,0.11162790697674418,0.11356466876971609,0.10066006600660066,0.0920863309352518,0.23423423423423423,0.17708333333333334,0.20536756126021002,0.09523809523809523,0.12,0.11395348837209303,0.1891891891891892,0.21568627450980393,0.21768707482993196,0.18446601941747573,0.05,0.1444582814445828,0.0,0.15873015873015872,0.14942528735632185,0.18181818181818182,0.2077922077922078,0.15348837209302327,0.12796208530805686,0.2484076433121019,0.047619047619047616,0.09289617486338798,0.3716216216216216,0.16521739130434782,0.150997150997151,0.0,0.084070796460177,0.21585160202360876,0.0761904761904762,0.125
-6,0.1468189233278956,0.06637168141592921,0.11428571428571428,0.1259946949602122,0.10810810810810811,0.11738857501569366,0.11342592592592593,0.22764227642276422,0.18181818181818182,0.19161676646706588,0.14485981308411214,0.06382978723404255,0.12159709618874773,0.16778523489932887,0.21867881548974943,0.19117647058823528,0.11724137931034483,0.029850746268656716,0.13595166163141995,0.0,0.17100371747211895,0.1782178217821782,0.18468823993685873,0.19122257053291536,0.20077972709551656,0.14622641509433962,0.25263157894736843,0.10294117647058823,0.11483253588516747,0.3456221198156682,0.12935323383084577,0.10949963741841914,0.043478260869565216,0.10948905109489052,0.21506442021803765,0.0963855421686747,0.05
-5,0.12071778140293637,0.05503355704697987,0.17647058823529413,0.14589235127478753,0.05656565656565657,0.1076822061720289,0.0730593607305936,0.17123287671232876,0.14465408805031446,0.18431771894093688,0.09693877551020408,0.09473684210526316,0.11320754716981132,0.17557251908396945,0.2058165548098434,0.14838709677419354,0.14383561643835616,0.0821917808219178,0.12084592145015106,0.0,0.17803030303030304,0.09821428571428571,0.1686478454680535,0.21554770318021202,0.1437125748502994,0.1043956043956044,0.2366412213740458,0.05555555555555555,0.08374384236453201,0.3348623853211009,0.11070110701107011,0.11475409836065574,0.038461538461538464,0.1506849315068493,0.1990521327014218,0.1360544217687075,0.038461538461538464
-4,0.11532385466034756,0.06083086053412463,0.18461538461538463,0.15806988352745424,0.08857808857808858,0.10089399744572158,0.08104886769964244,0.1958041958041958,0.1,0.20824053452115812,0.0967741935483871,0.12857142857142856,0.1259259259259259,0.17886178861788618,0.22787610619469026,0.12307692307692308,0.06451612903225806,0.012658227848101266,0.18607764390896922,0.0,0.14285714285714285,0.10377358490566038,0.15857605177993528,0.18861209964412812,0.2102803738317757,0.15165876777251186,0.2543046357615894,0.11594202898550725,0.08181818181818182,0.28863636363636364,0.1342155009451796,0.10310841546626232,0.043478260869565216,0.15616438356164383,0.20628272251308902,0.08,0.11764705882352941
-3,0.12074303405572756,0.07204610951008646,0.1111111111111111,0.14918032786885246,0.12416851441241686,0.0766698024459078,0.08395989974937343,0.16875,0.17557251908396945,0.20288248337028825,0.08247422680412371,0.034482758620689655,0.14423076923076922,0.13559322033898305,0.1980440097799511,0.1476510067114094,0.22,0.02702702702702703,0.12656467315716272,0.0,0.14893617021276595,0.16091954022988506,0.16339869281045752,0.22491349480968859,0.17987152034261242,0.15789473684210525,0.2862796833773087,0.07462686567164178,0.08994708994708994,0.3059125964010283,0.12477064220183487,0.13793103448275862,0.0,0.15755627009646303,0.20606060606060606,0.11864406779661017,0.125
