cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.1,0.0,0.0,0.07407407407407407,0.0,0.02030456852791878,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.06451612903225806,0.12244897959183673,0.0,0.07142857142857142,0.0,0.0,0.0379746835443038,0.09090909090909091,0.0,0.05524553571428571,0.25,0.0,0.0,0.0,0.0,0.01694915254237288,0.16314935064935066,0.0196078431372549,0.0,0.02349624060150376,0.0,0.0
-11,0.02631578947368421,0.019179894179894182,0.0,0.07755102040816327,0.030303030303030304,0.0,0.00641025641025641,0.0,0.0,0.0,0.03125,0.007857142857142858,0.2830188679245283,0.0,0.0012315270935960591,0.0,0.0,0.08139534883720931,0.07692307692307693,0.0,0.0,0.20833333333333334,0.0,0.0,0.010714285714285714,0.0,0.0,0.04788961038961039,0.0,0.0,0.0,0.0,0.0
-10,0.06896551724137931,0.0,0.0,0.024390243902439025,0.022727272727272728,0.011560693641618497,0.006896551724137931,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.17567567567567569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024258760107816708,0.375,0.0,0.022222222222222223,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.04107142857142857
-9,0.02857142857142857,0.03225806451612903,0.0,0.07589285714285714,0.11904761904761904,0.007480694980694981,0.01027077497665733,0.0,0.034482758620689655,0.043478260869565216,0.04,0.0,0.21341463414634146,0.0,0.0,0.0,0.0,0.07731554160125588,0.0,0.0,0.018633540372670808,0.14814814814814814,0.03125,0.0,0.0,0.0,0.0,0.10810810810810811,0.02040816326530612,0.0,0.0,0.0,0.058823529411764705
-8,0.045454545454545456,0.0,0.0,0.04723502304147466,0.08333333333333333,0.023478835978835978,0.01421957671957672,0.0,0.1,0.022727272727272728,0.037037037037037035,0.0,0.18601190476190477,0.0,0.037037037037037035,0.0,0.0,0.018867924528301886,0.0,0.0,0.11538461538461539,0.3125,0.0,0.05128205128205128,0.0,0.0,0.0,0.15476190476190477,0.027777777777777776,0.0,0.03125,0.0,0.0
-7,0.125,0.0,0.0,0.11020408163265306,0.043478260869565216,0.007389162561576354,0.0072992700729927005,0.0,0.0,0.05714285714285714,0.05555555555555555,0.041666666666666664,0.2781954887218045,0.0,0.0,0.0,0.0,0.04244306418219462,0.2,0.0,0.03231292517006803,0.15126050420168066,0.0,0.034482758620689655,0.0,0.0,0.0,0.12637362637362637,0.0,0.0,0.0,0.0,0.0
-6,0.023255813953488372,0.0,0.0,0.05555555555555555,0.06451612903225806,0.016690595836324477,0.0001850481125092524,0.0,0.0,0.0,0.0,0.027777777777777776,0.08061224489795918,0.0,0.0,0.058823529411764705,0.0,0.046296296296296294,0.0,0.0,0.0,0.17857142857142855,0.0,0.0,0.0,0.0,0.0,0.08803986710963455,0.058823529411764705,0.0,0.04,0.0,0.0
-5,0.0,0.0,0.0,0.06766917293233082,0.01694915254237288,0.007341269841269841,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.1456043956043956,0.0,0.0,0.1111111111111111,0.0,0.057284299858557285,0.09090909090909091,0.0,0.016343825665859565,0.2741071428571428,0.0,0.0,0.027777777777777776,0.0,0.0,0.15217391304347827,0.02702702702702703,0.0,0.049107142857142856,0.0,0.09090909090909091
-4,0.05555555555555555,0.02857142857142857,0.0,0.10256410256410256,0.11904761904761904,0.019465894465894466,0.012987012987012988,0.0,0.0625,0.046511627906976744,0.02564102564102564,0.04642857142857142,0.18259557344064387,0.0,0.0,0.0,0.0,0.044642857142857144,0.0,0.0,0.06887755102040816,0.36607142857142855,0.0,0.0,0.0,0.0,0.009900990099009901,0.0821917808219178,0.0047619047619047615,0.01333907056798623,0.0,0.0,0.06666666666666667
-3,0.0,0.05128205128205128,0.0,0.05555555555555555,0.04878048780487805,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.13513513513513514,0.0,0.015306122448979591,0.0,0.0,0.0882936507936508,0.0,0.0,0.05952380952380953,0.15789473684210525,0.0,0.0,0.0,0.0,0.014705882352941176,0.0565934065934066,0.05,0.0,0.11175115207373272,0.0,0.0
