cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.01644736842105263,0.0162748643761302,0.023809523809523808,0.007633587786259542,0.023809523809523808,0.0057692307692307696,0.01680672268907563,0.0,0.0,0.010111317254174397,0.0,0.0038610038610038607,0.02188449848024316,0.0,0.01282051282051282,0.0,0.0,0.004819277108433735,0.0,0.0,0.0,0.014285714285714285,0.0,0.005917159763313609,0.0,0.0,0.011494252873563218,0.0,0.08333333333333333,0.002105263157894737,0.023630504833512353,0.0,0.0
-11,0.008902077151335312,0.0035014005602240893,0.0,0.007874015748031496,0.02040816326530612,0.017128987517337033,0.02127659574468085,0.0,0.0,0.010416666666666666,0.0038515406162464984,0.020800627943485087,0.05876068376068376,0.0,0.0,0.04225352112676056,0.0,0.013363028953229399,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.010101010101010102,0.16666666666666666,0.00966183574879227,0.0,0.02980472764645426,0.0033055475711411325,0.019417475728155338,0.0,0.0
-10,0.009554140127388535,0.0033799008562415502,0.0,0.0,0.0,0.011531069827033953,0.011350293542074362,0.0,0.0,0.010416666666666666,0.0,0.0594059405940594,0.02647783251231527,0.0,0.015625,0.0,0.0,0.010166840458811263,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.03773584905660377,0.25,0.006329113924050633,0.0,0.05357142857142857,0.0021413276231263384,0.008771929824561403,0.0,0.01282051282051282
-9,0.0056179775280898875,0.010917838638045891,0.0,0.0,0.0,0.01083935519733185,0.0199215524360033,0.0,0.0,0.009216589861751152,0.009433962264150943,0.031462585034013606,0.06415030467163169,0.0,0.01714285714285714,0.0,0.0,0.006934812760055479,0.0,0.0,0.003676470588235294,0.016666666666666666,0.0,0.0018907563025210086,0.02551020408163265,0.09090909090909091,0.029317697228144986,0.0,0.041390728476821195,0.0,0.03361344537815126,0.0,0.0
-8,0.007352941176470588,0.009324009324009324,0.0,0.013392857142857144,0.02857142857142857,0.004195011337868481,0.007462686567164179,0.0,0.01818181818181818,0.009606690777576853,0.007142857142857143,0.04285714285714286,0.041194255479969764,0.0,0.0,0.0,0.0,0.006153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.015873015873015872,0.0,0.06637466307277629,0.003115264797507788,0.02719155844155844,0.0,0.0
-7,0.006920415224913495,0.0066518847006651885,0.010781671159029648,0.03787878787878788,0.0,0.00981675392670157,0.012397634212920837,0.0,0.0,0.01390144665461121,0.0,0.012987012987012986,0.005952380952380952,0.0,0.01639344262295082,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019810267857142856,0.0,0.04194630872483222,0.004437009019493745,0.011904761904761904,0.0,0.0273972602739726
-6,0.023323615160349854,0.0016750418760469012,0.0,0.006802721088435374,0.0,0.00974025974025974,0.0071233411397345825,0.0,0.0,0.0072717231222385855,0.01834862385321101,0.0,0.024390243902439025,0.0,0.013333333333333334,0.01098901098901099,0.0,0.008421052631578947,0.0,0.0,0.0,0.010017421602787456,0.009174311926605505,0.009174311926605505,0.0,0.0,0.011428571428571429,0.0,0.06025267249757046,0.0,0.018518518518518517,0.0,0.0
-5,0.01092896174863388,0.004966887417218543,0.0,0.015957446808510637,0.021739130434782608,0.021396754692968502,0.00042265426880811494,0.0,0.0,0.005126050420168068,0.0,0.015353805073431242,0.01764199655765921,0.0,0.0,0.0,0.0,0.0020804438280166435,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0104091888011486,0.0,0.02112676056338028,0.004640371229698376,0.05102040816326531,0.0,0.015384615384615385
-4,0.008323654665118078,0.0024901703800786373,0.0,0.014354066985645933,0.02,0.008,0.022537259178480554,0.0,0.0,0.009259259259259259,0.0,0.008695652173913044,0.01653061224489796,0.0,0.0,0.018518518518518517,0.0,0.006315331010452961,0.0,0.0,0.0,0.018487394957983194,0.0,0.0,0.012345679012345678,0.0,0.010810810810810811,0.0,0.0547945205479452,0.004651162790697674,0.045454545454545456,0.0,0.0
-3,0.009933774834437087,0.006237006237006237,0.0,0.009523809523809525,0.0,0.008164512748864827,0.016817838246409676,0.0,0.0,0.005865102639296188,0.03333333333333333,0.0003968253968253968,0.05172413793103448,0.0,0.013513513513513514,0.01904761904761905,0.0,0.00608382154123479,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.010526315789473684,0.0,0.02586206896551724,0.004220068771491091,0.009523809523809525,0.0,0.0
-2,0.024539877300613498,0.0,0.023255813953488372,0.023255813953488372,0.0,0.010025062656641603,0.010595542564852026,0.0,0.0,0.006748338870431893,0.0,0.012362637362637362,0.023255813953488372,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.013984509466437178,0.0,0.07207207207207207,0.009779951100244499,0.024825783972125433,0.0,0.011764705882352941
-1,0.03322259136212625,0.005378657487091223,0.0,0.0,0.024390243902439025,0.010615711252653927,0.012938408896492727,0.0,0.0,0.007826278659611993,0.011363636363636364,0.0,0.02127659574468085,0.0,0.014705882352941176,0.0,0.0,0.00390625,0.0,0.0,0.0,0.008551307847082494,0.0,0.0,0.02564102564102564,0.14285714285714285,0.018153117600631413,0.0,0.0,0.0015254845656855706,0.0,0.0,0.0
0,0.00411522633744856,0.0008653241032095658,0.0,0.010362694300518135,0.023255813953488372,0.007653061224489796,0.008654688869412794,0.0,0.0,0.0,0.0,0.011904761904761904,0.015748031496062992,0.0,0.045454545454545456,0.0013392857142857143,0.0,0.009900990099009901,0.0,0.0,0.0,0.003484320557491289,0.0,0.0,0.010101010101010102,0.0,0.023952095808383235,0.006944444444444444,0.03278688524590164,0.002352941176470588,0.0,0.0,0.0
1,0.006042296072507553,0.001876172607879925,0.0,0.0,0.0,0.008528784648187633,0.015925367508480965,0.0,0.0,0.008039945836154366,0.0,0.02654867256637168,0.020942408376963352,0.0,0.004140786749482401,0.010101010101010102,0.0,0.012796027501909854,0.0,0.0,0.0,0.0,0.0,0.009163533834586466,0.038461538461538464,0.0,0.004901960784313725,0.0,0.03380952380952381,0.0055762081784386614,0.01652892561983471,0.0,0.0
2,0.044513457556935816,0.0019569471624266144,0.0,0.005376344086021506,0.0,0.011951355884819683,0.013157894736842105,0.05263157894736842,0.01,0.0,0.008695652173913044,0.008547008547008548,0.0058823529411764705,0.0,0.029850746268656716,0.008620689655172414,0.0,0.010666666666666666,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.01345083487940631,0.3333333333333333,0.016483516483516484,0.0,0.06945812807881774,0.001984126984126984,0.0221584984358707,0.0,0.0
3,0.0111731843575419,0.011278195488721804,0.0,0.00510204081632653,0.0,0.008048289738430584,0.018754988028731046,0.0,0.0,0.00439266615737204,0.0,0.021052631578947368,0.026595744680851064,0.038461538461538464,0.0,0.008771929824561403,0.0,0.01011378002528445,0.0,0.0,0.0,0.0074041811846689886,0.0,0.015144665461121157,0.018691588785046728,0.3333333333333333,0.004975124378109453,0.0,0.006756756756756757,0.00202020202020202,0.027636054421768703,0.0,0.0
4,0.002398081534772182,0.007936507936507936,0.0,0.010752688172043012,0.0,0.005988023952095809,0.015772870662460567,0.0,0.003539253539253539,0.0010608203677510608,0.0,0.010526315789473684,0.016483516483516484,0.0,0.01282051282051282,0.0,0.0,0.0020408163265306124,0.0,0.0,0.002849002849002849,0.0,0.0,0.0,0.012195121951219513,0.02857142857142857,0.04151785714285714,0.0,0.010822510822510822,0.0,0.017241379310344827,0.0,0.0
5,0.002457002457002457,0.007653061224489797,0.0,0.008587041373926619,0.02702702702702703,0.016602715466351833,0.006968641114982578,0.07142857142857142,0.0,0.005362201537838932,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.012561576354679803,0.023928571428571428,0.0,0.02040816326530612,0.0,0.01910828025477707,0.004291845493562232,0.009009009009009009,0.0,0.01282051282051282
