cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.12016648764769065,0.09287308673469387,0.07142857142857142,0.14791258969341162,0.06420313790255987,0.11179060665362037,0.1271551724137931,0.0,0.08928571428571429,0.05553696888591502,0.048859126984126984,0.26205357142857144,0.09145021645021645,0.02619047619047619,0.06553755522827688,0.13278388278388278,0.0,0.050111741447481525,0.11507936507936509,0.0,0.02204858914336328,0.12461459403905448,0.0572562358276644,0.11388483965014579,0.011363636363636364,0.0,0.04936507936507937,0.03533026113671275,0.18133503401360546,0.07366975130133026,0.170822102425876,0.0003759398496240601,0.17142857142857143
-11,0.12287903667214012,0.12136243386243387,0.07716049382716049,0.11794354838709678,0.09136722173531989,0.1471206129510628,0.14384079903147698,0.0,0.031994047619047616,0.0662593984962406,0.056,0.23376623376623376,0.10978444632290785,0.17391304347826086,0.07216494845360824,0.17687074829931973,0.0,0.06177606177606178,0.10714285714285714,0.0,0.045642763034067384,0.18015873015873016,0.05968688845401174,0.18248045486851458,0.028409090909090908,0.0,0.05461073318216175,0.05373525557011796,0.18694741740344348,0.06036662452591656,0.3123433583959899,0.011764705882352941,0.1375878220140515
-10,0.1038837588267246,0.12996515679442508,0.08673469387755102,0.1553935860058309,0.06205357142857143,0.14775295003766006,0.1435006435006435,0.0,0.10501066098081023,0.07950680272108843,0.10260290556900727,0.20238095238095238,0.14935974389755902,0.1892857142857143,0.06992481203007518,0.1683298319327731,0.0,0.06161940431603353,0.023255813953488372,0.0,0.027528809218950064,0.22794117647058823,0.04342532467532468,0.10311355311355312,0.03819444444444445,0.0,0.12525879917184266,0.06858766233766234,0.23110766045548653,0.08454305509732761,0.22740524781341107,0.0,0.1746031746031746
-9,0.1306193806193806,0.128718056137411,0.1076923076923077,0.15530527563722585,0.053201970443349754,0.18095238095238095,0.13872491145218416,0.0,0.04271708683473389,0.07880690737833594,0.09955752212389381,0.21912832929782083,0.22639933166248957,0.15736607142857142,0.02003484320557491,0.2103448275862069,0.5,0.0760165527168046,0.06666666666666667,0.0,0.04832499037350789,0.20870535714285715,0.08676893576222436,0.11572128851540617,0.05556562726613488,0.0,0.10033222591362127,0.04141337386018237,0.16330049261083743,0.09155394259320357,0.20225155279503107,0.0,0.10944700460829493
-8,0.164956590370955,0.12201405152224824,0.17559523809523808,0.14698596201486375,0.04827008928571429,0.20285051375538615,0.18569647310295687,0.002976190476190476,0.05911330049261084,0.12827086280056577,0.053571428571428575,0.40513392857142855,0.2169531713100178,0.24603174603174605,0.12822014051522249,0.34130727762803237,0.0,0.07142857142857144,0.0,0.0,0.03693254680687356,0.28419452887537994,0.08222591362126246,0.09804791481810114,0.041381128096995255,0.2,0.09295175023651846,0.12349397590361445,0.21474164133738602,0.1258449752140604,0.34356136820925554,0.006097560975609756,0.1661807580174927
-7,0.18066280566280565,0.1717235566793089,0.16599025974025974,0.14467075892857142,0.13344594594594594,0.17006164567140175,0.16478830338105394,0.05803571428571429,0.06573498964803312,0.09975718332658842,0.09447004608294932,0.26173469387755105,0.20427786499215073,0.15357142857142858,0.0753968253968254,0.15738498789346247,0.0,0.08055555555555556,0.038018433179723504,0.0,0.06947004608294931,0.24898921832884097,0.06473214285714285,0.13526785714285713,0.0809608540925267,0.0,0.15059940059940058,0.11302521008403361,0.253416149068323,0.21043547530536377,0.22406015037593985,0.003968253968253969,0.17857142857142858
-6,0.12903667214012043,0.10534816941852118,0.06785714285714287,0.10963455149501661,0.08118770764119601,0.16479591836734694,0.12728194726166328,0.35714285714285715,0.03277886497064579,0.0878003696857671,0.08830146231721035,0.22706766917293233,0.16595441595441596,0.20634920634920634,0.058503401360544216,0.12105481727574752,0.0,0.05098887515451174,0.1078042328042328,0.0,0.05324926362297496,0.2714285714285714,0.04782082324455205,0.11122956645344706,0.03000304599451721,0.0,0.09529791816223977,0.04128440366972477,0.18695737963693765,0.12794512376975842,0.18084415584415584,0.0,0.10204081632653061
-5,0.13338192419825073,0.09161490683229813,0.05453149001536098,0.12367277992277992,0.07940941739824423,0.14635522455427669,0.1294885042624645,0.0,0.07338551859099804,0.0865171650055371,0.09421992481203008,0.2913763066202091,0.1525550167847818,0.12627551020408162,0.09137709137709137,0.19319460067491562,0.0,0.05565137987012987,0.05660377358490566,0.0,0.049509892902523146,0.20758928571428573,0.05,0.08098591549295775,0.043100822418519646,0.0,0.0661764705882353,0.056074766355140186,0.19616204690831554,0.1525689223057644,0.16624525916561314,0.009581881533101046,0.10153061224489797
-4,0.09753787878787878,0.08380729340916694,0.10764587525150905,0.11252747252747253,0.11540178571428572,0.13199499545040946,0.1338737949167397,0.09090909090909091,0.06451612903225806,0.08567218635980914,0.05455568053993251,0.2784911717495987,0.18667377398720683,0.09090909090909091,0.22857142857142856,0.10610263522884883,1.0,0.095596558750283,0.038740920096852295,0.0,0.0640873015873016,0.23141891891891891,0.07224396607958251,0.11402529761904762,0.030622489959839357,0.125,0.09385009609224855,0.044642857142857144,0.17732426303854873,0.12053571428571429,0.30851063829787234,0.0,0.175
-3,0.11561978877153975,0.11076604554865424,0.10139573070607553,0.05816010614772224,0.07057313943541488,0.06862286649520692,0.14464692482915717,0.0,0.06285714285714286,0.0923469387755102,0.08974358974358974,0.2923416789396171,0.12835497835497833,0.0,0.09285714285714286,0.1972972972972973,0.0,0.10330408554976693,0.0,0.0,0.05619047619047619,0.27667548500881833,0.075,0.06336996336996337,0.048941798941798946,0.2,0.07650471356055112,0.09142857142857143,0.1510170293282876,0.13600901525658807,0.17857142857142858,0.007503001200480193,0.22264437689969607
-2,0.16428571428571428,0.100658419792498,0.07751623376623376,0.06514657980456026,0.06301020408163265,0.13725868725868726,0.15566770186335405,0.14285714285714285,0.0963455149501661,0.0669740543919975,0.07942430703624732,0.2080564784053156,0.1455861414333175,0.4,0.03942486085343228,0.11648351648351649,0.0,0.10858516483516484,0.00974025974025974,0.0,0.05254120879120879,0.2448107448107448,0.031214848143982003,0.1147811725846408,0.03910220214568041,0.0,0.07222222222222222,0.08070054945054944,0.14810090702947845,0.12102709936433591,0.18571428571428572,0.0008782201405152225,0.16346153846153846
-1,0.12753147235905857,0.10525368837711407,0.11794019933554817,0.06966322650733298,0.09478021978021979,0.1424305216967333,0.14433229813664594,0.049107142857142856,0.06961259079903147,0.09144910530947492,0.11583011583011583,0.27631578947368424,0.1364877161055505,0.0,0.10267857142857144,0.2919010123734533,0.0,0.08321569734613213,0.0,0.0,0.04155844155844156,0.19235095613048367,0.08216476774758984,0.11743697478991597,0.031640965958684895,0.0,0.06884681583476764,0.0430780559646539,0.16647277803629595,0.12271750805585392,0.19893973214285715,0.0005065856129685916,0.1279761904761905
0,0.11997226074895978,0.10043409629044987,0.07312925170068027,0.07438335046248715,0.06808688387635756,0.1393157262905162,0.13843888070692192,0.0,0.11807580174927114,0.06311920741450942,0.0881389252948886,0.15476190476190474,0.13648351648351648,0.16666666666666666,0.036904761904761905,0.21693121693121692,0.0,0.10235849056603774,0.14285714285714285,0.0,0.04276061776061776,0.22898065476190477,0.07555879494655005,0.11220871327254306,0.046865581675708264,0.0,0.04780505952380953,0.08,0.16138814016172506,0.11944241982507288,0.2487129987129987,0.0,0.12071428571428572
1,0.09554559831312599,0.10535266738274257,0.040293040293040296,0.05605487228003784,0.0941358024691358,0.11952998379254456,0.1376488095238095,0.2087912087912088,0.04114906832298137,0.050626304801670144,0.10174717368961973,0.295014880952381,0.15374564459930312,0.10989010989010989,0.02142857142857143,0.21036866359447004,0.0,0.08718330849478391,0.09433962264150944,0.0,0.061461794019933555,0.13072122052704577,0.06176006314127861,0.12563451776649745,0.06008184523809523,0.0,0.04,0.08737864077669903,0.12380952380952381,0.12539160401002505,0.20460614152202936,0.0,0.1896551724137931
2,0.22747747747747749,0.10871985157699443,0.06666666666666667,0.06701940035273368,0.08758076094759511,0.13241670470104974,0.14335023950408565,0.336734693877551,0.03389830508474576,0.09271978021978022,0.10546875,0.15256211180124224,0.12425980754996299,0.09472049689440995,0.11894409937888199,0.1832589285714286,0.0,0.0867808661926309,0.06919642857142858,0.0,0.04654895666131622,0.18354655294953803,0.051510989010989015,0.16071428571428573,0.0546218487394958,0.25,0.09569377990430622,0.04867511520737327,0.1768920734437976,0.12142857142857143,0.3115889212827988,0.018867924528301886,0.07357142857142858
3,0.1509584664536741,0.13276190476190475,0.06338028169014084,0.08639705882352941,0.040372670807453416,0.1593784078516903,0.10566770186335403,0.05102040816326531,0.045454545454545456,0.05291858678955453,0.08412698412698412,0.1638198757763975,0.16123642439431915,0.07055749128919861,0.041666666666666664,0.1973214285714286,0.4166666666666667,0.07967032967032966,0.045454545454545456,0.0,0.058689717925386714,0.19642857142857145,0.04903474903474903,0.09646539027982327,0.06210908181135852,0.2222222222222222,0.08737541528239202,0.09931972789115646,0.17047471162377995,0.10513730330145017,0.1640926640926641,0.01618705035971223,0.0967741935483871
4,0.14538145100972324,0.119533527696793,0.1,0.08697944122298366,0.07773109243697479,0.1566196542311192,0.15312408330888824,0.0,0.0784313725490196,0.094,0.1054860088365243,0.17706766917293235,0.12144679300291544,0.022448979591836733,0.07182539682539682,0.13632404181184668,0.0,0.06962323390894819,0.13333333333333333,0.0,0.04085127201565558,0.1843814080656186,0.08575705731394354,0.13185215946843853,0.04743083003952569,0.25,0.06311154598825831,0.03183831672203766,0.15676270508203283,0.08671586715867159,0.3387755102040816,0.015963203463203464,0.07539682539682539
5,0.1407376006782535,0.11401532221721497,0.10259103641456582,0.10945529290853032,0.07414369256474519,0.14268626110731372,0.13025682182985554,0.0,0.011501210653753027,0.059951676230746,0.04775747508305647,0.1576923076923077,0.14388934764657307,0.06043956043956045,0.05791505791505791,0.16397288842544316,0.0,0.08574646074646074,0.09803921568627451,0.0,0.047619047619047616,0.1889736477115118,0.03205128205128205,0.11520034843205575,0.04281496062992126,0.2,0.09473684210526316,0.058823529411764705,0.1353327681220856,0.07547313797313797,0.20488721804511278,0.0,0.13905775075987842
6,0.11695171026156942,0.07936507936507936,0.11580086580086581,0.06609566903684551,0.06168831168831169,0.14315181518151815,0.1192266380236305,0.05654761904761905,0.046153846153846156,0.05430327868852459,0.060142857142857144,0.1414092664092664,0.15105820105820106,0.07605820105820105,0.1466973886328725,0.13825591586327782,1.0,0.08217930029154519,0.08616071428571428,0.0,0.06177995391705069,0.13319327731092437,0.10119047619047619,0.1282996894409938,0.03017241379310345,0.25,0.09447674418604651,0.03876678876678877,0.15959517321915143,0.0684326710816777,0.263536866359447,0.0,0.18993506493506496
7,0.1538548752834467,0.10201316298877275,0.10582010582010581,0.09183673469387754,0.1484375,0.1322954822954823,0.12392526455026455,0.14285714285714285,0.06822344322344322,0.06562316284538507,0.05401563610518835,0.30178571428571427,0.1252692031586504,0.1794871794871795,0.12349799732977303,0.16964285714285715,1.0,0.08629232039636664,0.0367965367965368,0.0,0.06558956916099773,0.19359145527369828,0.046633303002729755,0.10060690943043885,0.030243963782696174,0.4,0.08907563025210084,0.06475029036004645,0.18012422360248448,0.1060582584443756,0.17894736842105263,0.0,0.10839598997493735
8,0.10467575187969926,0.09042553191489362,0.06395348837209303,0.06242969628796401,0.07094918504314478,0.1627846790890269,0.15367203219315895,0.2857142857142857,0.08368869936034116,0.06824244220509781,0.07273320287018917,0.31547619047619047,0.09713911742707554,0.16545189504373178,0.09174311926605505,0.1616432700247729,0.0,0.07560876623376624,0.043478260869565216,0.0,0.04743460764587525,0.1907422186751796,0.035929432013769365,0.10551948051948053,0.03677721088435374,0.45454545454545453,0.08645470383275261,0.01581243184296619,0.17336499817318232,0.1184402332361516,0.18015170670037928,0.015561224489795918,0.09598214285714285
9,0.18008241758241758,0.10634477254588987,0.04835164835164835,0.11569627851140456,0.09458128078817733,0.1567203591233166,0.13800366300366299,0.0,0.02702702702702703,0.07754841066861527,0.06622746185852982,0.13192419825072887,0.15018579686209743,0.17582417582417584,0.06604696673189824,0.17382617382617382,0.0,0.080987785448752,0.10416666666666667,0.0,0.04728592467915001,0.13002773925104022,0.046008403361344534,0.11469387755102042,0.041143822393822395,0.14285714285714285,0.057511737089201875,0.04310344827586207,0.14810648668916385,0.15276828434723172,0.17440476190476192,0.007751937984496124,0.16156462585034015
10,0.16964285714285715,0.1051791850760923,0.0728200371057514,0.10349854227405247,0.09018499486125386,0.1492901508429459,0.11595425571803525,0.15384615384615385,0.07510504201680672,0.08600583090379009,0.05612244897959183,0.22569444444444445,0.15183504340962906,0.0995879120879121,0.08755760368663594,0.14976190476190476,0.0,0.0782967032967033,0.05812324929971989,0.0,0.05553600750645085,0.1430684699915469,0.10519922254616132,0.1407685881370092,0.04088424055146185,0.4166666666666667,0.06683673469387756,0.052597402597402594,0.14703541583764423,0.10721916971916973,0.17319508448540707,0.002997002997002997,0.15552995391705068
11,0.15684523809523812,0.10313751668891855,0.0658953722334004,0.08296130952380952,0.04839544513457557,0.16811515480717001,0.1316425120772947,0.0,0.05929919137466307,0.06930601698043559,0.12789827973074044,0.1846938775510204,0.1299047619047619,0.09650455927051671,0.0382960413080895,0.1470281543274244,0.0,0.06448951863354037,0.09948979591836735,0.0,0.051728305535412133,0.09837092731829575,0.09410844629822732,0.12720156555772993,0.02708571428571429,0.5,0.10145586897179254,0.03267477203647416,0.15766045548654245,0.12062324929971989,0.17373511904761904,0.001984126984126984,0.08403361344537814
12,0.18485999050783106,0.09955357142857142,0.18729235880398673,0.11964285714285715,0.04887218045112782,0.14622365339578455,0.15868263473053892,0.0,0.08229813664596274,0.05990499648135116,0.05482142857142857,0.22153209109730848,0.10425420168067227,0.07894736842105263,0.13405797101449277,0.12551020408163266,0.0,0.06525510204081633,0.025,0.0,0.0425974025974026,0.17813852813852812,0.10199757869249394,0.14235055724417428,0.04188712522045855,0.8333333333333334,0.06218487394957983,0.04794973544973545,0.175191527715187,0.09346846846846847,0.1914802065404475,0.0,0.11587301587301588
13,0.14097744360902256,0.10522432113341204,0.05538302277432712,0.15756302521008403,0.06284606866002215,0.15920735382760698,0.17004978935273843,0.09090909090909091,0.0012106537530266342,0.07204738330975954,0.03970864661654135,0.2748447204968944,0.1056547619047619,0.07908163265306123,0.04285714285714286,0.10261194029850747,0.0,0.06624722427831237,0.09682539682539681,0.0,0.04642857142857143,0.18234890109890112,0.07354323308270677,0.10264550264550265,0.024744540172310158,0.6428571428571429,0.04174710424710425,0.04360902255639097,0.15747842761265582,0.10322170411191182,0.19265109890109888,0.01296477495107632,0.14583333333333334
