cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.0037156845602378035,0.0013360053440213762,0.0,0.0,0.0,0.0018148820326678765,0.004088892995749399,0.0,0.014925373134328358,0.0,0.002512562814070352,0.003816046966731898,0.012960829493087559,0.0,0.0,0.0,0.0,0.002609262883235486,0.0,0.0,0.0,0.0,0.0020215633423180594,0.0,0.001142857142857143,0.14285714285714285,0.011709601873536299,0.0,0.009128092577813248,0.0021321961620469083,0.0,0.0,0.0013227513227513227
-11,0.00234192037470726,0.005115089514066497,0.0,0.0,0.0022727272727272726,0.0027606933184232594,0.0,0.0,0.01639344262295082,0.0,0.0,0.0026041666666666665,0.0072992700729927005,0.0,0.0009784735812133072,0.006902761104441777,0.0,0.0025919809156803373,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.09090909090909091,0.002544529262086514,0.0,0.013903629802589685,0.0,0.0,0.0,0.0
-10,0.005168615488900187,0.003182686187141948,0.0,0.0026246719160104987,0.0,0.002393225331369661,0.0007022471910112359,0.0,0.0,0.0,0.0023752969121140144,0.0,0.005659223003976751,0.0,0.0,0.011494252873563218,0.0,0.0013297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0023952095808383233,0.0,0.0028011204481792717,0.0,0.0141287284144427,0.0,0.0,0.0,0.0
-9,0.001277139208173691,0.0036216074701108302,0.0,0.0,0.0,0.0009784735812133072,0.0014005602240896359,0.0,0.024691358024691357,0.0,0.0,0.0033333333333333335,0.02815126050420168,0.030303030303030304,0.006944444444444444,0.0,0.0,0.000655307994757536,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.15384615384615385,0.008130081300813009,0.0,0.012929207291225094,0.004210526315789474,0.004329004329004329,0.0,0.0
-8,0.003436426116838488,0.00458295142071494,0.0,0.003703703703703704,0.0,0.0013812154696132596,0.001890359168241966,0.0,0.0,0.0,0.0,0.005927051671732523,0.03235294117647059,0.0,0.0,0.0,0.0,0.0009250693802035153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0091324200913242,0.0,0.009423503325942351,0.0,0.00881057268722467,0.0,0.0
-7,0.0076103500761035,0.007142857142857143,0.0,0.0,0.0031746031746031746,0.003393665158371041,0.00103867050175775,0.0,0.017241379310344827,0.0022222222222222222,0.0,0.0036231884057971015,0.014989293361884369,0.0,0.0078125,0.007751937984496124,0.0,0.0015816778438567632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.019064124783362217,0.002369668246445498,0.0,0.0,0.0
-6,0.0011547344110854503,0.005303476723629935,0.0,0.0,0.0007018091079226451,0.00499001996007984,0.00315884476534296,0.0,0.0,0.0017761989342806395,0.0,0.0,0.029227557411273485,0.0,0.0,0.0,0.0,0.00019964507542147294,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.1,0.007342277012327774,0.0,0.00945945945945946,0.0,0.0,0.0,0.0
-5,0.002207505518763797,0.0031187732825088796,0.0,0.00273224043715847,0.0,0.0009813542688910696,0.0006188118811881188,0.0,0.0,0.0,0.0,0.0,0.007943457593194895,0.0,0.0,0.0,0.0,0.0009279695024077048,0.0,0.0,0.002421307506053269,0.009259259259259259,0.0,0.0,0.0,0.25,0.011367704976727533,0.0,0.0029498525073746312,0.002127659574468085,0.003115264797507788,0.0,0.0
-4,0.0056433408577878106,0.002506265664160401,0.0,0.0,0.0,0.003581376840429765,0.0006414368184733803,0.0,0.0,0.0017391304347826088,0.0,0.007462686567164179,0.003883495145631068,0.0,0.0,0.0,0.0,0.0029615004935834156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00554016620498615,0.0,0.007055348938963028,0.0,0.003048780487804878,0.0,0.004545454545454545
-3,0.001226993865030675,0.0019022256039566293,0.0,0.0,0.0,0.00186219739292365,0.0007032348804500703,0.0,0.0,0.0,0.002785515320334262,0.0,0.008097165991902834,0.0,0.0,0.0,0.0,0.0010055116937285862,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0,0.0,0.3736263736263736,0.009006211180124225,0.0,0.007982497634815516,0.0,0.0,0.0,0.0
-2,0.0012484394506866417,0.0012736149437486733,0.0,0.0,0.0,0.0022222222222222222,0.0021691973969631237,0.0,0.012987012987012988,0.0,0.0,0.0,0.004576659038901602,0.0,0.0020885547201336674,0.0,0.0,0.0011441647597254005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.00041050903119868636,0.0,0.014598540145985401,0.0,0.0,0.0,0.0
-1,0.0,0.0,0.0,0.0,0.0,0.005580357142857143,0.0,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0
0,0.001466275659824047,0.0,0.0,0.0,0.0,0.0026642984014209592,0.0014619883040935672,0.0,0.012195121951219513,0.002127659574468085,0.0,0.0,0.008273263433813892,0.0,0.0,0.0009216589861751152,0.0,0.0010845986984815619,0.0,0.0,0.0,0.0,0.005552220888355342,0.0056179775280898875,0.0,0.2,0.0,0.0,0.005199306759098787,0.0,0.0,0.0,0.0
1,0.0024743230625583566,0.004017565168644305,0.0,0.002967359050445104,0.0,0.0026431718061674008,0.0006622516556291391,0.0,0.0,0.0,0.0,0.004192196065785231,0.008516483516483517,0.0,0.0,0.0,0.0,0.0019065776930409914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0017327685791297652,0.006535947712418301,0.004511278195488722,0.0,0.0,0.0,0.0
2,0.003439695550351288,0.0,0.0,0.0,0.0,0.0035649468498833293,0.0013235683402453013,0.0,0.011235955056179775,0.0,0.0,0.0022988505747126436,0.016977669011930253,0.0,0.0,0.007518796992481203,0.0,0.0008326394671107411,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.06666666666666667,0.002967359050445104,0.0,0.01173469387755102,0.002331002331002331,0.0,0.0,0.0
3,0.0007335411699981661,0.0,0.0,0.0,0.0,0.0009216589861751152,0.0012970168612191958,0.0,0.0,0.0,0.0,0.0025575447570332483,0.005250069079856314,0.0,0.0,0.0,0.0,0.002576788291074005,0.0,0.0,0.0,0.0,0.004149377593360996,0.0,0.0,0.17647058823529413,0.0,0.0,0.012224691856940795,0.0,0.0033783783783783786,0.0,0.0
4,0.0010626992561105207,0.0015710919088766694,0.0,0.0,0.0,0.0008496176720475786,0.0006480881399870382,0.0,0.0,0.0,0.0,0.0,0.006442577030812325,0.0,0.0,0.0,0.0,0.0006480881399870382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.002828854314002829,0.0021598272138228943,0.0,0.0,0.004830917874396135
5,0.002190580503833516,0.00076103500761035,0.0,0.0,0.0,0.0,0.001624512646206138,0.0,0.0,0.0,0.002652519893899204,0.0,0.005437701396348013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.008646099430143446,0.0012080942313500453,0.0,0.0,0.0
6,0.0,0.0015003750937734434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008531157270029673,0.0,0.004707792207792208,0.0,0.0,0.0,0.0
7,0.0,0.0006810504522175003,0.0,0.0,0.0,0.0010330578512396695,0.0004470860509152114,0.0,0.0,0.0,0.0,0.0,0.0056802044873615455,0.0,0.0,0.0,0.0,0.0014114326040931546,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0032914128512477893,0.0022222222222222222,0.0,0.0,0.0
