cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI
-12,0.2208450704225352,0.14695569014982468,0.3023255813953488,0.25812441968430827,0.33153347732181426,0.19729323308270677,0.17622287010042112,0.33043478260869563,0.20967741935483872,0.2409691629955947,0.3011904761904762,0.19912790697674418,0.19235668789808918,0.24285714285714285,0.26153846153846155,0.1111111111111111,0.2,0.2852925389157273,0.12738853503184713,0.0,0.2853552661640393,0.2505353319057816,0.23843416370106763,0.1796116504854369,0.3221626452189455,0.0,0.19860279441117765,0.4807370184254606,0.21058688147295743,0.12197350388305161,0.20667522464698332,0.2945205479452055,0.24105461393596986
-11,0.2123401889938855,0.14962518740629685,0.3050847457627119,0.2601626016260163,0.2983050847457627,0.21034696406443618,0.16418373680943513,0.43023255813953487,0.2025974025974026,0.23190235690235692,0.3070776255707763,0.23285714285714285,0.18963337547408343,0.23076923076923078,0.2575107296137339,0.11643835616438356,0.045454545454545456,0.2677333333333333,0.14285714285714285,0.0,0.29371112646855563,0.20425531914893616,0.22705882352941176,0.18034825870646767,0.3188654920498496,0.05263157894736842,0.20175438596491227,0.5117004680187207,0.20292504570383912,0.14049586776859505,0.1863270777479893,0.30791788856304986,0.2665406427221172
-10,0.23878020713463752,0.137409200968523,0.30914826498422715,0.25446808510638297,0.2770663562281723,0.2103737113402062,0.16807861741782446,0.39805825242718446,0.16666666666666666,0.24652639936482731,0.33657351154313486,0.2132921174652241,0.19571230982019364,0.18095238095238095,0.24346076458752516,0.10338983050847457,0.030303030303030304,0.24484328957942675,0.14864864864864866,0.0,0.29823413996075865,0.2273781902552204,0.22043628013777267,0.17194570135746606,0.3242753623188406,0.0,0.2037037037037037,0.5017921146953405,0.2269900497512438,0.12470138557095078,0.19607843137254902,0.3283582089552239,0.2297551789077213
-9,0.20110803324099724,0.15026226473310705,0.2516778523489933,0.2765765765765766,0.30083234244946494,0.1958151155527795,0.17579534273532305,0.2909090909090909,0.20215633423180593,0.22687047465808527,0.30192962542565266,0.20268006700167504,0.1678082191780822,0.18421052631578946,0.23423423423423423,0.1048951048951049,0.07692307692307693,0.23924084469393211,0.2158273381294964,0.0,0.2780784844384303,0.23667377398720682,0.2503209242618742,0.16067415730337078,0.34329845540607873,0.0196078431372549,0.18637653736991486,0.49756888168557534,0.23564954682779457,0.12144955925563174,0.16828929068150209,0.2773722627737226,0.26325757575757575
-8,0.18957703927492447,0.1459823306689104,0.2607003891050584,0.2550177095631641,0.3026874115983027,0.18879310344827585,0.1581745680106336,0.27835051546391754,0.1791530944625407,0.22950819672131148,0.2906815020862309,0.21428571428571427,0.1831858407079646,0.10975609756097561,0.22096317280453256,0.10020449897750511,0.3333333333333333,0.2328023171614772,0.17647058823529413,0.0,0.26094808126410834,0.16758241758241757,0.2350230414746544,0.17549167927382753,0.34917355371900827,0.0,0.20974889217134415,0.4717832957110609,0.1883445945945946,0.11535968891769281,0.17543859649122806,0.2581967213114754,0.26894865525672373
-7,0.19556451612903225,0.1453248216297409,0.27586206896551724,0.2698268003646308,0.27926657263751764,0.2179337231968811,0.17536386226482073,0.28695652173913044,0.23564954682779457,0.23372781065088757,0.29155313351498635,0.1867704280155642,0.1917808219178082,0.1232876712328767,0.27315914489311166,0.11627906976744186,0.09523809523809523,0.22626788036410922,0.1506849315068493,0.0,0.2911016949152542,0.2004950495049505,0.21306818181818182,0.18641618497109827,0.35938461538461536,0.0,0.18455497382198952,0.48713235294117646,0.2308259587020649,0.09194395796847636,0.18955223880597014,0.30914826498422715,0.2832080200501253
-6,0.21118349619978286,0.15496227510156704,0.33534743202416917,0.27313769751693,0.3024193548387097,0.2164358819987959,0.18200589970501474,0.35,0.1932059447983015,0.2323427248166731,0.3306613226452906,0.21971830985915494,0.18578465869106264,0.16831683168316833,0.2689243027888446,0.1206896551724138,0.12903225806451613,0.22307104660045837,0.1715686274509804,0.0,0.2969551830311324,0.22163120567375885,0.265792610250298,0.19916142557651992,0.3636769299419902,0.0,0.19382835101253615,0.4897680763983629,0.20142700329308452,0.1440443213296399,0.24966622162883845,0.367816091954023,0.23388581952117865
-5,0.2169474221541603,0.1471687266455878,0.31626506024096385,0.264635124298316,0.3130252100840336,0.21861471861471862,0.16986620127981383,0.3709677419354839,0.2081447963800905,0.22327520849128127,0.28191489361702127,0.2033898305084746,0.1802076970067196,0.17582417582417584,0.25393700787401574,0.10980392156862745,0.20689655172413793,0.23453318335208098,0.15263157894736842,0.0,0.3104192355117139,0.22033898305084745,0.23337222870478413,0.18403547671840353,0.34523809523809523,0.05,0.19798350137488543,0.49293563579277866,0.20783847980997625,0.12870813397129185,0.20684931506849316,0.3310502283105023,0.274703557312253
-4,0.18707660239708182,0.1366535074400243,0.2827586206896552,0.24326530612244898,0.330635838150289,0.21422325852521132,0.16496440730424017,0.4214876033057851,0.21119592875318066,0.23367029548989113,0.26268320180383314,0.1815680880330124,0.2060478199718706,0.15254237288135594,0.29540481400437635,0.13972602739726028,0.2413793103448276,0.29904761904761906,0.13186813186813187,0.0,0.29163879598662207,0.1962809917355372,0.23255813953488372,0.16483516483516483,0.3558951965065502,0.0,0.19775070290534208,0.5144927536231884,0.1795968234575443,0.13393810032017076,0.19549929676511954,0.3015075376884422,0.24812030075187969
-3,0.2054794520547945,0.13879117364886473,0.25806451612903225,0.2470978441127695,0.3474945533769063,0.12188006482982172,0.15808701428096977,0.35294117647058826,0.23728813559322035,0.23881856540084387,0.23261694058154236,0.18701298701298702,0.1927007299270073,0.15555555555555556,0.286,0.14171974522292993,0.038461538461538464,0.2762295081967213,0.1503267973856209,0.0,0.28663282571912013,0.1948529411764706,0.23529411764705882,0.17370892018779344,0.3625282167042889,0.0,0.18356997971602435,0.49765258215962443,0.19084967320261437,0.1328781512605042,0.22206703910614525,0.32222222222222224,0.28596802841918295
